,labels_olivetti_HDBSCAN_params1,labels_olivetti_HDBSCAN_params10,labels_olivetti_HDBSCAN_params11,labels_olivetti_HDBSCAN_params12,labels_olivetti_HDBSCAN_params13,labels_olivetti_HDBSCAN_params14,labels_olivetti_HDBSCAN_params15,labels_olivetti_HDBSCAN_params16,labels_olivetti_HDBSCAN_params17,labels_olivetti_HDBSCAN_params18,labels_olivetti_HDBSCAN_params19,labels_olivetti_HDBSCAN_params2,labels_olivetti_HDBSCAN_params20,labels_olivetti_HDBSCAN_params21,labels_olivetti_HDBSCAN_params22,labels_olivetti_HDBSCAN_params23,labels_olivetti_HDBSCAN_params24,labels_olivetti_HDBSCAN_params25,labels_olivetti_HDBSCAN_params26,labels_olivetti_HDBSCAN_params27,labels_olivetti_HDBSCAN_params28,labels_olivetti_HDBSCAN_params29,labels_olivetti_HDBSCAN_params3,labels_olivetti_HDBSCAN_params30,labels_olivetti_HDBSCAN_params31,labels_olivetti_HDBSCAN_params32,labels_olivetti_HDBSCAN_params33,labels_olivetti_HDBSCAN_params34,labels_olivetti_HDBSCAN_params35,labels_olivetti_HDBSCAN_params4,labels_olivetti_HDBSCAN_params43,labels_olivetti_HDBSCAN_params44,labels_olivetti_HDBSCAN_params45,labels_olivetti_HDBSCAN_params46,labels_olivetti_HDBSCAN_params47,labels_olivetti_HDBSCAN_params48,labels_olivetti_HDBSCAN_params49,labels_olivetti_HDBSCAN_params5,labels_olivetti_HDBSCAN_params6,labels_olivetti_HDBSCAN_params7,labels_olivetti_HDBSCAN_params8,labels_olivetti_HDBSCAN_params9
D,0.5105142039498751,0.32840495576607387,0.32840495576607387,0.32840495576607387,0.32840495576607387,0.32840495576607387,0.5982382707575958,0.5982382707575958,0.5982382707575958,0.5982382707575958,0.5982382707575958,0.5105142039498751,0.5982382707575958,0.5982382707575958,0.3325011751553952,0.3325011751553952,0.3325011751553952,0.3325011751553952,0.3325011751553952,0.3325011751553952,0.3325011751553952,0.5086250620536571,0.5105142039498751,0.5086250620536571,0.5086250620536571,0.5086250620536571,0.5086250620536571,0.5086250620536571,0.5086250620536571,0.5105142039498751,0.3239600170909984,0.3239600170909984,0.3239600170909984,0.3239600170909984,0.3239600170909984,0.3239600170909984,0.3239600170909984,0.5105142039498751,0.5105142039498751,0.5105142039498751,0.32840495576607387,0.32840495576607387
H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBCV,0.6575,0.5325,0.5325,0.5325,0.5325,0.5325,0.0425,0.0425,0.0425,0.0425,0.0425,0.6575,0.0425,0.0425,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.195,0.6575,0.195,0.195,0.195,0.195,0.195,0.195,0.6575,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.6575,0.6575,0.6575,0.5325,0.5325
I,26.28040714691392,281.12905159546114,281.12905159546114,281.12905159546114,281.12905159546114,281.12905159546114,106101.60446339908,106101.60446339908,106101.60446339908,106101.60446339908,106101.60446339908,26.28040714691392,106101.60446339908,106101.60446339908,122.38481600461917,122.38481600461917,122.38481600461917,122.38481600461917,122.38481600461917,122.38481600461917,122.38481600461917,4238.009006783254,26.28040714691392,4238.009006783254,4238.009006783254,4238.009006783254,4238.009006783254,4238.009006783254,4238.009006783254,26.28040714691392,146.74008726747402,146.74008726747402,146.74008726747402,146.74008726747402,146.74008726747402,146.74008726747402,146.74008726747402,26.28040714691392,26.28040714691392,26.28040714691392,281.12905159546114,281.12905159546114
C,0.41155076315715605,0.3887351203918358,0.3887351203918358,0.3887351203918358,0.3887351203918358,0.3887351203918358,0.6172164146256534,0.6172164146256534,0.6172164146256534,0.6172164146256534,0.6172164146256534,0.41155076315715605,0.6172164146256534,0.6172164146256534,0.353591562283586,0.353591562283586,0.353591562283586,0.353591562283586,0.353591562283586,0.353591562283586,0.353591562283586,0.5621613622290736,0.41155076315715605,0.5621613622290736,0.5621613622290736,0.5621613622290736,0.5621613622290736,0.5621613622290736,0.5621613622290736,0.41155076315715605,0.3443343369686707,0.3443343369686707,0.3443343369686707,0.3443343369686707,0.3443343369686707,0.3443343369686707,0.3443343369686707,0.41155076315715605,0.41155076315715605,0.41155076315715605,0.3887351203918358,0.3887351203918358
VIASCKDE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,0.44544553355191285,0.4864481395954235,0.4864481395954235,0.4864481395954235,0.4864481395954235,0.4864481395954235,0.5085812323480723,0.5085812323480723,0.5085812323480723,0.5085812323480723,0.5085812323480723,0.44544553355191285,0.5085812323480723,0.5085812323480723,0.4834912626635315,0.4834912626635315,0.4834912626635315,0.4834912626635315,0.4834912626635315,0.4834912626635315,0.4834912626635315,0.5024058834343929,0.44544553355191285,0.5024058834343929,0.5024058834343929,0.5024058834343929,0.5024058834343929,0.5024058834343929,0.5024058834343929,0.44544553355191285,0.5063519955216949,0.5063519955216949,0.5063519955216949,0.5063519955216949,0.5063519955216949,0.5063519955216949,0.5063519955216949,0.44544553355191285,0.44544553355191285,0.44544553355191285,0.4864481395954235,0.4864481395954235
Sym,1.0300151056300313e-05,2.6481518063331247e-05,2.6481518063331247e-05,2.6481518063331247e-05,2.6481518063331247e-05,2.6481518063331247e-05,2.631187350296702e-05,2.631187350296702e-05,2.631187350296702e-05,2.631187350296702e-05,2.631187350296702e-05,1.0300151056300313e-05,2.631187350296702e-05,2.631187350296702e-05,2.269085332595622e-05,2.269085332595622e-05,2.269085332595622e-05,2.269085332595622e-05,2.269085332595622e-05,2.269085332595622e-05,2.269085332595622e-05,3.2228816819753115e-05,1.0300151056300313e-05,3.2228816819753115e-05,3.2228816819753115e-05,3.2228816819753115e-05,3.2228816819753115e-05,3.2228816819753115e-05,3.2228816819753115e-05,1.0300151056300313e-05,2.5172091653148828e-05,2.5172091653148828e-05,2.5172091653148828e-05,2.5172091653148828e-05,2.5172091653148828e-05,2.5172091653148828e-05,2.5172091653148828e-05,1.0300151056300313e-05,1.0300151056300313e-05,1.0300151056300313e-05,2.6481518063331247e-05,2.6481518063331247e-05
CS,1.2871537846708831,1.6797800705054593,1.6797800705054593,1.6797800705054593,1.6797800705054593,1.6797800705054593,2.2130803259885825,2.2130803259885825,2.2130803259885825,2.2130803259885825,2.2130803259885825,1.2871537846708831,2.2130803259885825,2.2130803259885825,1.7904548615653644,1.7904548615653644,1.7904548615653644,1.7904548615653644,1.7904548615653644,1.7904548615653644,1.7904548615653644,2.4427008469715665,1.2871537846708831,2.4427008469715665,2.4427008469715665,2.4427008469715665,2.4427008469715665,2.4427008469715665,2.4427008469715665,1.2871537846708831,4.0501995546253475,4.0501995546253475,4.0501995546253475,4.0501995546253475,4.0501995546253475,4.0501995546253475,4.0501995546253475,1.2871537846708831,1.2871537846708831,1.2871537846708831,1.6797800705054593,1.6797800705054593
SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,0.043181785408996434,0.05655426508291721,0.05655426508291721,0.05655426508291721,0.05655426508291721,0.05655426508291721,0.04955561738137737,0.04955561738137737,0.04955561738137737,0.04955561738137737,0.04955561738137737,0.043181785408996434,0.04955561738137737,0.04955561738137737,0.06283752387438989,0.06283752387438989,0.06283752387438989,0.06283752387438989,0.06283752387438989,0.06283752387438989,0.06283752387438989,0.06278227330919345,0.043181785408996434,0.06278227330919345,0.06278227330919345,0.06278227330919345,0.06278227330919345,0.06278227330919345,0.06278227330919345,0.043181785408996434,0.09015650181109401,0.09015650181109401,0.09015650181109401,0.09015650181109401,0.09015650181109401,0.09015650181109401,0.09015650181109401,0.043181785408996434,0.043181785408996434,0.043181785408996434,0.05655426508291721,0.05655426508291721
SDbw,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
XB*,4.00535734620694,5.163017970287196,5.163017970287196,5.163017970287196,5.163017970287196,5.163017970287196,2.7404571242206783,2.7404571242206783,2.7404571242206783,2.7404571242206783,2.7404571242206783,4.00535734620694,2.7404571242206783,2.7404571242206783,5.917213286680039,5.917213286680039,5.917213286680039,5.917213286680039,5.917213286680039,5.917213286680039,5.917213286680039,5.5922979079939,4.00535734620694,5.5922979079939,5.5922979079939,5.5922979079939,5.5922979079939,5.5922979079939,5.5922979079939,4.00535734620694,8.720217041482957,8.720217041482957,8.720217041482957,8.720217041482957,8.720217041482957,8.720217041482957,8.720217041482957,4.00535734620694,4.00535734620694,4.00535734620694,5.163017970287196,5.163017970287196
S,0.07202276587486267,-0.04250331223011017,-0.04250331223011017,-0.04250331223011017,-0.04250331223011017,-0.04250331223011017,-0.1431417316198349,-0.1431417316198349,-0.1431417316198349,-0.1431417316198349,-0.1431417316198349,0.07202276587486267,-0.1431417316198349,-0.1431417316198349,-0.002851206110790372,-0.002851206110790372,-0.002851206110790372,-0.002851206110790372,-0.002851206110790372,-0.002851206110790372,-0.002851206110790372,-0.04667524993419647,0.07202276587486267,-0.04667524993419647,-0.04667524993419647,-0.04667524993419647,-0.04667524993419647,-0.04667524993419647,-0.04667524993419647,0.07202276587486267,0.02828039601445198,0.02828039601445198,0.02828039601445198,0.02828039601445198,0.02828039601445198,0.02828039601445198,0.02828039601445198,0.07202276587486267,0.07202276587486267,0.07202276587486267,-0.04250331223011017,-0.04250331223011017
DB,1.8399005455867747,2.6119405322703293,2.6119405322703293,2.6119405322703293,2.6119405322703293,2.6119405322703293,2.582641347910279,2.582641347910279,2.582641347910279,2.582641347910279,2.582641347910279,1.8399005455867747,2.582641347910279,2.582641347910279,2.725568189102108,2.725568189102108,2.725568189102108,2.725568189102108,2.725568189102108,2.725568189102108,2.725568189102108,3.308655875533477,1.8399005455867747,3.308655875533477,3.308655875533477,3.308655875533477,3.308655875533477,3.308655875533477,3.308655875533477,1.8399005455867747,4.774652635271528,4.774652635271528,4.774652635271528,4.774652635271528,4.774652635271528,4.774652635271528,4.774652635271528,1.8399005455867747,1.8399005455867747,1.8399005455867747,2.6119405322703293,2.6119405322703293
CH,10.924420555812532,10.04566268498849,10.04566268498849,10.04566268498849,10.04566268498849,10.04566268498849,3.1081764975810486,3.1081764975810486,3.1081764975810486,3.1081764975810486,3.1081764975810486,10.924420555812532,3.1081764975810486,3.1081764975810486,11.558519878845894,11.558519878845894,11.558519878845894,11.558519878845894,11.558519878845894,11.558519878845894,11.558519878845894,10.081457251753847,10.924420555812532,10.081457251753847,10.081457251753847,10.081457251753847,10.081457251753847,10.081457251753847,10.081457251753847,10.924420555812532,13.511291735482377,13.511291735482377,13.511291735482377,13.511291735482377,13.511291735482377,13.511291735482377,13.511291735482377,10.924420555812532,10.924420555812532,10.924420555812532,10.04566268498849,10.04566268498849
AD-S,0.21918519973474107,0.01862966247276297,0.01862966247276297,0.01862966247276297,0.01862966247276297,0.01862966247276297,-0.031185997573242946,-0.031185997573242946,-0.031185997573242946,-0.031185997573242946,-0.031185997573242946,0.21918519973474107,-0.031185997573242946,-0.031185997573242946,0.061313204755976056,0.061313204755976056,0.061313204755976056,0.061313204755976056,0.061313204755976056,0.061313204755976056,0.061313204755976056,0.01322151749006782,0.21918519973474107,0.01322151749006782,0.01322151749006782,0.01322151749006782,0.01322151749006782,0.01322151749006782,0.01322151749006782,0.21918519973474107,0.03765824191402364,0.03765824191402364,0.03765824191402364,0.03765824191402364,0.03765824191402364,0.03765824191402364,0.03765824191402364,0.21918519973474107,0.21918519973474107,0.21918519973474107,0.01862966247276297,0.01862966247276297
AD-DB,1.608483898924745,1.6930206537334376,1.6930206537334376,1.6930206537334376,1.6930206537334376,1.6930206537334376,1.6968604707071513,1.6968604707071513,1.6968604707071513,1.6968604707071513,1.6968604707071513,1.608483898924745,1.6968604707071513,1.6968604707071513,1.756263074163422,1.756263074163422,1.756263074163422,1.756263074163422,1.756263074163422,1.756263074163422,1.756263074163422,1.7731383358887065,1.608483898924745,1.7731383358887065,1.7731383358887065,1.7731383358887065,1.7731383358887065,1.7731383358887065,1.7731383358887065,1.608483898924745,1.9680215129223597,1.9680215129223597,1.9680215129223597,1.9680215129223597,1.9680215129223597,1.9680215129223597,1.9680215129223597,1.608483898924745,1.608483898924745,1.608483898924745,1.6930206537334376,1.6930206537334376
AD-CH,16.687812068666062,63.30770019873106,63.30770019873106,63.30770019873106,63.30770019873106,63.30770019873106,8.36868655889661,8.36868655889661,8.36868655889661,8.36868655889661,8.36868655889661,16.687812068666062,8.36868655889661,8.36868655889661,45.36615771921458,45.36615771921458,45.36615771921458,45.36615771921458,45.36615771921458,45.36615771921458,45.36615771921458,127.70268567910661,16.687812068666062,127.70268567910661,127.70268567910661,127.70268567910661,127.70268567910661,127.70268567910661,127.70268567910661,16.687812068666062,140.4174086263525,140.4174086263525,140.4174086263525,140.4174086263525,140.4174086263525,140.4174086263525,140.4174086263525,16.687812068666062,16.687812068666062,16.687812068666062,63.30770019873106,63.30770019873106
AD-idea,3811.99654500104,3.34443872448522,3.34443872448522,3.34443872448522,3.34443872448522,3.34443872448522,1.0223000764191992,1.0223000764191992,1.0223000764191992,1.0223000764191992,1.0223000764191992,3811.99654500104,1.0223000764191992,1.0223000764191992,6.1866039910099975,6.1866039910099975,6.1866039910099975,6.1866039910099975,6.1866039910099975,6.1866039910099975,6.1866039910099975,1.1357462910787317,3811.99654500104,1.1357462910787317,1.1357462910787317,1.1357462910787317,1.1357462910787317,1.1357462910787317,1.1357462910787317,3811.99654500104,1.1402027910148076,1.1402027910148076,1.1402027910148076,1.1402027910148076,1.1402027910148076,1.1402027910148076,1.1402027910148076,3811.99654500104,3811.99654500104,3811.99654500104,3.34443872448522,3.34443872448522
