,labels_dense_HDBSCAN_params1,labels_dense_HDBSCAN_params10,labels_dense_HDBSCAN_params11,labels_dense_HDBSCAN_params12,labels_dense_HDBSCAN_params13,labels_dense_HDBSCAN_params14,labels_dense_HDBSCAN_params15,labels_dense_HDBSCAN_params16,labels_dense_HDBSCAN_params17,labels_dense_HDBSCAN_params18,labels_dense_HDBSCAN_params19,labels_dense_HDBSCAN_params2,labels_dense_HDBSCAN_params20,labels_dense_HDBSCAN_params21,labels_dense_HDBSCAN_params22,labels_dense_HDBSCAN_params23,labels_dense_HDBSCAN_params24,labels_dense_HDBSCAN_params25,labels_dense_HDBSCAN_params26,labels_dense_HDBSCAN_params27,labels_dense_HDBSCAN_params28,labels_dense_HDBSCAN_params29,labels_dense_HDBSCAN_params3,labels_dense_HDBSCAN_params30,labels_dense_HDBSCAN_params31,labels_dense_HDBSCAN_params32,labels_dense_HDBSCAN_params33,labels_dense_HDBSCAN_params34,labels_dense_HDBSCAN_params35,labels_dense_HDBSCAN_params36,labels_dense_HDBSCAN_params37,labels_dense_HDBSCAN_params38,labels_dense_HDBSCAN_params39,labels_dense_HDBSCAN_params4,labels_dense_HDBSCAN_params40,labels_dense_HDBSCAN_params41,labels_dense_HDBSCAN_params42,labels_dense_HDBSCAN_params43,labels_dense_HDBSCAN_params44,labels_dense_HDBSCAN_params45,labels_dense_HDBSCAN_params46,labels_dense_HDBSCAN_params47,labels_dense_HDBSCAN_params48,labels_dense_HDBSCAN_params49,labels_dense_HDBSCAN_params5,labels_dense_HDBSCAN_params50,labels_dense_HDBSCAN_params51,labels_dense_HDBSCAN_params52,labels_dense_HDBSCAN_params53,labels_dense_HDBSCAN_params54,labels_dense_HDBSCAN_params55,labels_dense_HDBSCAN_params56,labels_dense_HDBSCAN_params57,labels_dense_HDBSCAN_params58,labels_dense_HDBSCAN_params59,labels_dense_HDBSCAN_params6,labels_dense_HDBSCAN_params60,labels_dense_HDBSCAN_params61,labels_dense_HDBSCAN_params62,labels_dense_HDBSCAN_params63,labels_dense_HDBSCAN_params7,labels_dense_HDBSCAN_params8,labels_dense_HDBSCAN_params9
B,2.610526179728297,2.3478142642383486,2.3478142642383486,2.3478142642383486,2.3478142642383486,2.3478142642383486,1.981092113547021,1.981092113547021,1.981092113547021,1.981092113547021,1.981092113547021,2.610526179728297,1.981092113547021,1.981092113547021,2.610526179728297,2.610526179728297,2.610526179728297,2.610526179728297,2.610526179728297,2.610526179728297,2.610526179728297,2.3478142642383486,2.610526179728297,2.3478142642383486,2.3478142642383486,2.3478142642383486,2.3478142642383486,2.3478142642383486,2.3478142642383486,1.981092113547021,1.981092113547021,1.981092113547021,1.981092113547021,2.610526179728297,1.981092113547021,1.981092113547021,1.981092113547021,2.610526179728297,2.610526179728297,2.610526179728297,2.610526179728297,2.610526179728297,2.610526179728297,2.610526179728297,2.610526179728297,2.3478142642383486,2.3478142642383486,2.3478142642383486,2.3478142642383486,2.3478142642383486,2.3478142642383486,2.3478142642383486,1.981092113547021,1.981092113547021,1.981092113547021,2.610526179728297,1.981092113547021,1.981092113547021,1.981092113547021,1.981092113547021,2.610526179728297,2.3478142642383486,2.3478142642383486
BH,6.579809038294869,4.028806035355095,4.028806035355095,4.028806035355095,4.028806035355095,4.028806035355095,2.0619344777756647,2.0619344777756647,2.0619344777756647,2.0619344777756647,2.0619344777756647,6.579809038294869,2.0619344777756647,2.0619344777756647,6.579809038294869,6.579809038294869,6.579809038294869,6.579809038294869,6.579809038294869,6.579809038294869,6.579809038294869,4.028806035355095,6.579809038294869,4.028806035355095,4.028806035355095,4.028806035355095,4.028806035355095,4.028806035355095,4.028806035355095,2.0619344777756647,2.0619344777756647,2.0619344777756647,2.0619344777756647,6.579809038294869,2.0619344777756647,2.0619344777756647,2.0619344777756647,6.579809038294869,6.579809038294869,6.579809038294869,6.579809038294869,6.579809038294869,6.579809038294869,6.579809038294869,6.579809038294869,4.028806035355095,4.028806035355095,4.028806035355095,4.028806035355095,4.028806035355095,4.028806035355095,4.028806035355095,2.0619344777756647,2.0619344777756647,2.0619344777756647,6.579809038294869,2.0619344777756647,2.0619344777756647,2.0619344777756647,2.0619344777756647,6.579809038294869,4.028806035355095,4.028806035355095
D,0.03363982855867042,0.007670598898589051,0.007670598898589051,0.007670598898589051,0.007670598898589051,0.007670598898589051,0.026752429551141897,0.026752429551141897,0.026752429551141897,0.026752429551141897,0.026752429551141897,0.03363982855867042,0.026752429551141897,0.026752429551141897,0.03363982855867042,0.03363982855867042,0.03363982855867042,0.03363982855867042,0.03363982855867042,0.03363982855867042,0.03363982855867042,0.007670598898589051,0.03363982855867042,0.007670598898589051,0.007670598898589051,0.007670598898589051,0.007670598898589051,0.007670598898589051,0.007670598898589051,0.026752429551141897,0.026752429551141897,0.026752429551141897,0.026752429551141897,0.03363982855867042,0.026752429551141897,0.026752429551141897,0.026752429551141897,0.03363982855867042,0.03363982855867042,0.03363982855867042,0.03363982855867042,0.03363982855867042,0.03363982855867042,0.03363982855867042,0.03363982855867042,0.007670598898589051,0.007670598898589051,0.007670598898589051,0.007670598898589051,0.007670598898589051,0.007670598898589051,0.007670598898589051,0.026752429551141897,0.026752429551141897,0.026752429551141897,0.03363982855867042,0.026752429551141897,0.026752429551141897,0.026752429551141897,0.026752429551141897,0.03363982855867042,0.007670598898589051,0.007670598898589051
H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBCV,0.4968300858168579,0.7689604877123196,0.7689604877123196,0.7689604877123196,0.7689604877123196,0.7689604877123196,0.7344353871002527,0.7344353871002527,0.7344353871002527,0.7344353871002527,0.7344353871002527,0.4968300858168579,0.7344353871002527,0.7344353871002527,0.4968300858168579,0.4968300858168579,0.4968300858168579,0.4968300858168579,0.4968300858168579,0.4968300858168579,0.4968300858168579,0.7689604877123196,0.4968300858168579,0.7689604877123196,0.7689604877123196,0.7689604877123196,0.7689604877123196,0.7689604877123196,0.7689604877123196,0.7344353871002527,0.7344353871002527,0.7344353871002527,0.7344353871002527,0.4968300858168579,0.7344353871002527,0.7344353871002527,0.7344353871002527,0.4968300858168579,0.4968300858168579,0.4968300858168579,0.4968300858168579,0.4968300858168579,0.4968300858168579,0.4968300858168579,0.4968300858168579,0.7689604877123196,0.7689604877123196,0.7689604877123196,0.7689604877123196,0.7689604877123196,0.7689604877123196,0.7689604877123196,0.7344353871002527,0.7344353871002527,0.7344353871002527,0.4968300858168579,0.7344353871002527,0.7344353871002527,0.7344353871002527,0.7344353871002527,0.4968300858168579,0.7689604877123196,0.7689604877123196
I,1.5286667193626318,3.087906114547266,3.087906114547266,3.087906114547266,3.087906114547266,3.087906114547266,7.205712968335132,7.205712968335132,7.205712968335132,7.205712968335132,7.205712968335132,1.5286667193626318,7.205712968335132,7.205712968335132,1.5286667193626318,1.5286667193626318,1.5286667193626318,1.5286667193626318,1.5286667193626318,1.5286667193626318,1.5286667193626318,3.087906114547266,1.5286667193626318,3.087906114547266,3.087906114547266,3.087906114547266,3.087906114547266,3.087906114547266,3.087906114547266,7.205712968335132,7.205712968335132,7.205712968335132,7.205712968335132,1.5286667193626318,7.205712968335132,7.205712968335132,7.205712968335132,1.5286667193626318,1.5286667193626318,1.5286667193626318,1.5286667193626318,1.5286667193626318,1.5286667193626318,1.5286667193626318,1.5286667193626318,3.087906114547266,3.087906114547266,3.087906114547266,3.087906114547266,3.087906114547266,3.087906114547266,3.087906114547266,7.205712968335132,7.205712968335132,7.205712968335132,1.5286667193626318,7.205712968335132,7.205712968335132,7.205712968335132,7.205712968335132,1.5286667193626318,3.087906114547266,3.087906114547266
C,0.051408405968179416,0.05258268146791916,0.05258268146791916,0.05258268146791916,0.05258268146791916,0.05258268146791916,0.0681488079958513,0.0681488079958513,0.0681488079958513,0.0681488079958513,0.0681488079958513,0.051408405968179416,0.0681488079958513,0.0681488079958513,0.051408405968179416,0.051408405968179416,0.051408405968179416,0.051408405968179416,0.051408405968179416,0.051408405968179416,0.051408405968179416,0.05258268146791916,0.051408405968179416,0.05258268146791916,0.05258268146791916,0.05258268146791916,0.05258268146791916,0.05258268146791916,0.05258268146791916,0.0681488079958513,0.0681488079958513,0.0681488079958513,0.0681488079958513,0.051408405968179416,0.0681488079958513,0.0681488079958513,0.0681488079958513,0.051408405968179416,0.051408405968179416,0.051408405968179416,0.051408405968179416,0.051408405968179416,0.051408405968179416,0.051408405968179416,0.051408405968179416,0.05258268146791916,0.05258268146791916,0.05258268146791916,0.05258268146791916,0.05258268146791916,0.05258268146791916,0.05258268146791916,0.0681488079958513,0.0681488079958513,0.0681488079958513,0.051408405968179416,0.0681488079958513,0.0681488079958513,0.0681488079958513,0.0681488079958513,0.051408405968179416,0.05258268146791916,0.05258268146791916
CDbw,0.1142085468650616,0.1316089604876416,0.1316089604876416,0.1316089604876416,0.1316089604876416,0.1316089604876416,0.12359221934544816,0.12359221934544816,0.12359221934544816,0.12359221934544816,0.12359221934544816,0.1142085468650616,0.12359221934544816,0.12359221934544816,0.1142085468650616,0.1142085468650616,0.1142085468650616,0.1142085468650616,0.1142085468650616,0.1142085468650616,0.1142085468650616,0.1316089604876416,0.1142085468650616,0.1316089604876416,0.1316089604876416,0.1316089604876416,0.1316089604876416,0.1316089604876416,0.1316089604876416,0.12359221934544816,0.12359221934544816,0.12359221934544816,0.12359221934544816,0.1142085468650616,0.12359221934544816,0.12359221934544816,0.12359221934544816,0.1142085468650616,0.1142085468650616,0.1142085468650616,0.1142085468650616,0.1142085468650616,0.1142085468650616,0.1142085468650616,0.1142085468650616,0.1316089604876416,0.1316089604876416,0.1316089604876416,0.1316089604876416,0.1316089604876416,0.1316089604876416,0.1316089604876416,0.12359221934544816,0.12359221934544816,0.12359221934544816,0.1142085468650616,0.12359221934544816,0.12359221934544816,0.12359221934544816,0.12359221934544816,0.1142085468650616,0.1316089604876416,0.1316089604876416
VIASCKDE,0.5880466263836184,0.5651178856575741,0.5651178856575741,0.5651178856575741,0.5651178856575741,0.5651178856575741,0.5481184699660271,0.5481184699660271,0.5481184699660271,0.5481184699660271,0.5481184699660271,0.5880466263836184,0.5481184699660271,0.5481184699660271,0.5880466263836184,0.5880466263836184,0.5880466263836184,0.5880466263836184,0.5880466263836184,0.5880466263836184,0.5880466263836184,0.5651178856575741,0.5880466263836184,0.5651178856575741,0.5651178856575741,0.5651178856575741,0.5651178856575741,0.5651178856575741,0.5651178856575741,0.5481184699660271,0.5481184699660271,0.5481184699660271,0.5481184699660271,0.5880466263836184,0.5481184699660271,0.5481184699660271,0.5481184699660271,0.5880466263836184,0.5880466263836184,0.5880466263836184,0.5880466263836184,0.5880466263836184,0.5880466263836184,0.5880466263836184,0.5880466263836184,0.5651178856575741,0.5651178856575741,0.5651178856575741,0.5651178856575741,0.5651178856575741,0.5651178856575741,0.5651178856575741,0.5481184699660271,0.5481184699660271,0.5481184699660271,0.5880466263836184,0.5481184699660271,0.5481184699660271,0.5481184699660271,0.5481184699660271,0.5880466263836184,0.5651178856575741,0.5651178856575741
COP,0.20488356298417792,0.1900216007825125,0.1900216007825125,0.1900216007825125,0.1900216007825125,0.1900216007825125,0.15909265316323368,0.15909265316323368,0.15909265316323368,0.15909265316323368,0.15909265316323368,0.20488356298417792,0.15909265316323368,0.15909265316323368,0.20488356298417792,0.20488356298417792,0.20488356298417792,0.20488356298417792,0.20488356298417792,0.20488356298417792,0.20488356298417792,0.1900216007825125,0.20488356298417792,0.1900216007825125,0.1900216007825125,0.1900216007825125,0.1900216007825125,0.1900216007825125,0.1900216007825125,0.15909265316323368,0.15909265316323368,0.15909265316323368,0.15909265316323368,0.20488356298417792,0.15909265316323368,0.15909265316323368,0.15909265316323368,0.20488356298417792,0.20488356298417792,0.20488356298417792,0.20488356298417792,0.20488356298417792,0.20488356298417792,0.20488356298417792,0.20488356298417792,0.1900216007825125,0.1900216007825125,0.1900216007825125,0.1900216007825125,0.1900216007825125,0.1900216007825125,0.1900216007825125,0.15909265316323368,0.15909265316323368,0.15909265316323368,0.20488356298417792,0.15909265316323368,0.15909265316323368,0.15909265316323368,0.15909265316323368,0.20488356298417792,0.1900216007825125,0.1900216007825125
Sym,0.0526696707866266,0.051059475801721675,0.051059475801721675,0.051059475801721675,0.051059475801721675,0.051059475801721675,0.05391811481421032,0.05391811481421032,0.05391811481421032,0.05391811481421032,0.05391811481421032,0.0526696707866266,0.05391811481421032,0.05391811481421032,0.0526696707866266,0.0526696707866266,0.0526696707866266,0.0526696707866266,0.0526696707866266,0.0526696707866266,0.0526696707866266,0.051059475801721675,0.0526696707866266,0.051059475801721675,0.051059475801721675,0.051059475801721675,0.051059475801721675,0.051059475801721675,0.051059475801721675,0.05391811481421032,0.05391811481421032,0.05391811481421032,0.05391811481421032,0.0526696707866266,0.05391811481421032,0.05391811481421032,0.05391811481421032,0.0526696707866266,0.0526696707866266,0.0526696707866266,0.0526696707866266,0.0526696707866266,0.0526696707866266,0.0526696707866266,0.0526696707866266,0.051059475801721675,0.051059475801721675,0.051059475801721675,0.051059475801721675,0.051059475801721675,0.051059475801721675,0.051059475801721675,0.05391811481421032,0.05391811481421032,0.05391811481421032,0.0526696707866266,0.05391811481421032,0.05391811481421032,0.05391811481421032,0.05391811481421032,0.0526696707866266,0.051059475801721675,0.051059475801721675
CS,2.3187051128242557,2.382308530677278,2.382308530677278,2.382308530677278,2.382308530677278,2.382308530677278,2.2989803688956383,2.2989803688956383,2.2989803688956383,2.2989803688956383,2.2989803688956383,2.3187051128242557,2.2989803688956383,2.2989803688956383,2.3187051128242557,2.3187051128242557,2.3187051128242557,2.3187051128242557,2.3187051128242557,2.3187051128242557,2.3187051128242557,2.382308530677278,2.3187051128242557,2.382308530677278,2.382308530677278,2.382308530677278,2.382308530677278,2.382308530677278,2.382308530677278,2.2989803688956383,2.2989803688956383,2.2989803688956383,2.2989803688956383,2.3187051128242557,2.2989803688956383,2.2989803688956383,2.2989803688956383,2.3187051128242557,2.3187051128242557,2.3187051128242557,2.3187051128242557,2.3187051128242557,2.3187051128242557,2.3187051128242557,2.3187051128242557,2.382308530677278,2.382308530677278,2.382308530677278,2.382308530677278,2.382308530677278,2.382308530677278,2.382308530677278,2.2989803688956383,2.2989803688956383,2.2989803688956383,2.3187051128242557,2.2989803688956383,2.2989803688956383,2.2989803688956383,2.2989803688956383,2.3187051128242557,2.382308530677278,2.382308530677278
SF,0.24169139412306329,0.29174860028881977,0.29174860028881977,0.29174860028881977,0.29174860028881977,0.29174860028881977,0.32527394665372056,0.32527394665372056,0.32527394665372056,0.32527394665372056,0.32527394665372056,0.24169139412306329,0.32527394665372056,0.32527394665372056,0.24169139412306329,0.24169139412306329,0.24169139412306329,0.24169139412306329,0.24169139412306329,0.24169139412306329,0.24169139412306329,0.29174860028881977,0.24169139412306329,0.29174860028881977,0.29174860028881977,0.29174860028881977,0.29174860028881977,0.29174860028881977,0.29174860028881977,0.32527394665372056,0.32527394665372056,0.32527394665372056,0.32527394665372056,0.24169139412306329,0.32527394665372056,0.32527394665372056,0.32527394665372056,0.24169139412306329,0.24169139412306329,0.24169139412306329,0.24169139412306329,0.24169139412306329,0.24169139412306329,0.24169139412306329,0.24169139412306329,0.29174860028881977,0.29174860028881977,0.29174860028881977,0.29174860028881977,0.29174860028881977,0.29174860028881977,0.29174860028881977,0.32527394665372056,0.32527394665372056,0.32527394665372056,0.24169139412306329,0.32527394665372056,0.32527394665372056,0.32527394665372056,0.32527394665372056,0.24169139412306329,0.29174860028881977,0.29174860028881977
SD,1218971.1758165485,885787.9563215484,885787.9563215484,885787.9563215484,885787.9563215484,885787.9563215484,705236.2177082932,705236.2177082932,705236.2177082932,705236.2177082932,705236.2177082932,1218971.1758165485,705236.2177082932,705236.2177082932,1218971.1758165485,1218971.1758165485,1218971.1758165485,1218971.1758165485,1218971.1758165485,1218971.1758165485,1218971.1758165485,885787.9563215484,1218971.1758165485,885787.9563215484,885787.9563215484,885787.9563215484,885787.9563215484,885787.9563215484,885787.9563215484,705236.2177082932,705236.2177082932,705236.2177082932,705236.2177082932,1218971.1758165485,705236.2177082932,705236.2177082932,705236.2177082932,1218971.1758165485,1218971.1758165485,1218971.1758165485,1218971.1758165485,1218971.1758165485,1218971.1758165485,1218971.1758165485,1218971.1758165485,885787.9563215484,885787.9563215484,885787.9563215484,885787.9563215484,885787.9563215484,885787.9563215484,885787.9563215484,705236.2177082932,705236.2177082932,705236.2177082932,1218971.1758165485,705236.2177082932,705236.2177082932,705236.2177082932,705236.2177082932,1218971.1758165485,885787.9563215484,885787.9563215484
SDbw,1.1499098234245742,0.9532684783030484,0.9532684783030484,0.9532684783030484,0.9532684783030484,0.9532684783030484,0.8285829919776874,0.8285829919776874,0.8285829919776874,0.8285829919776874,0.8285829919776874,1.1499098234245742,0.8285829919776874,0.8285829919776874,1.1499098234245742,1.1499098234245742,1.1499098234245742,1.1499098234245742,1.1499098234245742,1.1499098234245742,1.1499098234245742,0.9532684783030484,1.1499098234245742,0.9532684783030484,0.9532684783030484,0.9532684783030484,0.9532684783030484,0.9532684783030484,0.9532684783030484,0.8285829919776874,0.8285829919776874,0.8285829919776874,0.8285829919776874,1.1499098234245742,0.8285829919776874,0.8285829919776874,0.8285829919776874,1.1499098234245742,1.1499098234245742,1.1499098234245742,1.1499098234245742,1.1499098234245742,1.1499098234245742,1.1499098234245742,1.1499098234245742,0.9532684783030484,0.9532684783030484,0.9532684783030484,0.9532684783030484,0.9532684783030484,0.9532684783030484,0.9532684783030484,0.8285829919776874,0.8285829919776874,0.8285829919776874,1.1499098234245742,0.8285829919776874,0.8285829919776874,0.8285829919776874,0.8285829919776874,1.1499098234245742,0.9532684783030484,0.9532684783030484
XB*,44.89471404164476,107.34878294016401,107.34878294016401,107.34878294016401,107.34878294016401,107.34878294016401,30.211121465881817,30.211121465881817,30.211121465881817,30.211121465881817,30.211121465881817,44.89471404164476,30.211121465881817,30.211121465881817,44.89471404164476,44.89471404164476,44.89471404164476,44.89471404164476,44.89471404164476,44.89471404164476,44.89471404164476,107.34878294016401,44.89471404164476,107.34878294016401,107.34878294016401,107.34878294016401,107.34878294016401,107.34878294016401,107.34878294016401,30.211121465881817,30.211121465881817,30.211121465881817,30.211121465881817,44.89471404164476,30.211121465881817,30.211121465881817,30.211121465881817,44.89471404164476,44.89471404164476,44.89471404164476,44.89471404164476,44.89471404164476,44.89471404164476,44.89471404164476,44.89471404164476,107.34878294016401,107.34878294016401,107.34878294016401,107.34878294016401,107.34878294016401,107.34878294016401,107.34878294016401,30.211121465881817,30.211121465881817,30.211121465881817,44.89471404164476,30.211121465881817,30.211121465881817,30.211121465881817,30.211121465881817,44.89471404164476,107.34878294016401,107.34878294016401
S,0.5886641975088323,0.5496769148340851,0.5496769148340851,0.5496769148340851,0.5496769148340851,0.5496769148340851,0.5192253562701612,0.5192253562701612,0.5192253562701612,0.5192253562701612,0.5192253562701612,0.5886641975088323,0.5192253562701612,0.5192253562701612,0.5886641975088323,0.5886641975088323,0.5886641975088323,0.5886641975088323,0.5886641975088323,0.5886641975088323,0.5886641975088323,0.5496769148340851,0.5886641975088323,0.5496769148340851,0.5496769148340851,0.5496769148340851,0.5496769148340851,0.5496769148340851,0.5496769148340851,0.5192253562701612,0.5192253562701612,0.5192253562701612,0.5192253562701612,0.5886641975088323,0.5192253562701612,0.5192253562701612,0.5192253562701612,0.5886641975088323,0.5886641975088323,0.5886641975088323,0.5886641975088323,0.5886641975088323,0.5886641975088323,0.5886641975088323,0.5886641975088323,0.5496769148340851,0.5496769148340851,0.5496769148340851,0.5496769148340851,0.5496769148340851,0.5496769148340851,0.5496769148340851,0.5192253562701612,0.5192253562701612,0.5192253562701612,0.5886641975088323,0.5192253562701612,0.5192253562701612,0.5192253562701612,0.5192253562701612,0.5886641975088323,0.5496769148340851,0.5496769148340851
DB,6.787253539082161,10.316180933690992,10.316180933690992,10.316180933690992,10.316180933690992,10.316180933690992,5.306264007508337,5.306264007508337,5.306264007508337,5.306264007508337,5.306264007508337,6.787253539082161,5.306264007508337,5.306264007508337,6.787253539082161,6.787253539082161,6.787253539082161,6.787253539082161,6.787253539082161,6.787253539082161,6.787253539082161,10.316180933690992,6.787253539082161,10.316180933690992,10.316180933690992,10.316180933690992,10.316180933690992,10.316180933690992,10.316180933690992,5.306264007508337,5.306264007508337,5.306264007508337,5.306264007508337,6.787253539082161,5.306264007508337,5.306264007508337,5.306264007508337,6.787253539082161,6.787253539082161,6.787253539082161,6.787253539082161,6.787253539082161,6.787253539082161,6.787253539082161,6.787253539082161,10.316180933690992,10.316180933690992,10.316180933690992,10.316180933690992,10.316180933690992,10.316180933690992,10.316180933690992,5.306264007508337,5.306264007508337,5.306264007508337,6.787253539082161,5.306264007508337,5.306264007508337,5.306264007508337,5.306264007508337,6.787253539082161,10.316180933690992,10.316180933690992
CH,221.86697258987004,226.6856266220619,226.6856266220619,226.6856266220619,226.6856266220619,226.6856266220619,227.67440680613737,227.67440680613737,227.67440680613737,227.67440680613737,227.67440680613737,221.86697258987004,227.67440680613737,227.67440680613737,221.86697258987004,221.86697258987004,221.86697258987004,221.86697258987004,221.86697258987004,221.86697258987004,221.86697258987004,226.6856266220619,221.86697258987004,226.6856266220619,226.6856266220619,226.6856266220619,226.6856266220619,226.6856266220619,226.6856266220619,227.67440680613737,227.67440680613737,227.67440680613737,227.67440680613737,221.86697258987004,227.67440680613737,227.67440680613737,227.67440680613737,221.86697258987004,221.86697258987004,221.86697258987004,221.86697258987004,221.86697258987004,221.86697258987004,221.86697258987004,221.86697258987004,226.6856266220619,226.6856266220619,226.6856266220619,226.6856266220619,226.6856266220619,226.6856266220619,226.6856266220619,227.67440680613737,227.67440680613737,227.67440680613737,221.86697258987004,227.67440680613737,227.67440680613737,227.67440680613737,227.67440680613737,221.86697258987004,226.6856266220619,226.6856266220619
