,labels_jain_HDBSCAN_params1,labels_jain_HDBSCAN_params10,labels_jain_HDBSCAN_params11,labels_jain_HDBSCAN_params12,labels_jain_HDBSCAN_params13,labels_jain_HDBSCAN_params14,labels_jain_HDBSCAN_params15,labels_jain_HDBSCAN_params16,labels_jain_HDBSCAN_params17,labels_jain_HDBSCAN_params18,labels_jain_HDBSCAN_params19,labels_jain_HDBSCAN_params2,labels_jain_HDBSCAN_params20,labels_jain_HDBSCAN_params21,labels_jain_HDBSCAN_params22,labels_jain_HDBSCAN_params23,labels_jain_HDBSCAN_params24,labels_jain_HDBSCAN_params25,labels_jain_HDBSCAN_params26,labels_jain_HDBSCAN_params27,labels_jain_HDBSCAN_params28,labels_jain_HDBSCAN_params29,labels_jain_HDBSCAN_params3,labels_jain_HDBSCAN_params30,labels_jain_HDBSCAN_params31,labels_jain_HDBSCAN_params32,labels_jain_HDBSCAN_params33,labels_jain_HDBSCAN_params34,labels_jain_HDBSCAN_params35,labels_jain_HDBSCAN_params36,labels_jain_HDBSCAN_params37,labels_jain_HDBSCAN_params38,labels_jain_HDBSCAN_params39,labels_jain_HDBSCAN_params4,labels_jain_HDBSCAN_params40,labels_jain_HDBSCAN_params41,labels_jain_HDBSCAN_params42,labels_jain_HDBSCAN_params43,labels_jain_HDBSCAN_params44,labels_jain_HDBSCAN_params45,labels_jain_HDBSCAN_params46,labels_jain_HDBSCAN_params47,labels_jain_HDBSCAN_params48,labels_jain_HDBSCAN_params49,labels_jain_HDBSCAN_params5,labels_jain_HDBSCAN_params50,labels_jain_HDBSCAN_params51,labels_jain_HDBSCAN_params52,labels_jain_HDBSCAN_params53,labels_jain_HDBSCAN_params54,labels_jain_HDBSCAN_params55,labels_jain_HDBSCAN_params56,labels_jain_HDBSCAN_params57,labels_jain_HDBSCAN_params58,labels_jain_HDBSCAN_params59,labels_jain_HDBSCAN_params6,labels_jain_HDBSCAN_params60,labels_jain_HDBSCAN_params61,labels_jain_HDBSCAN_params62,labels_jain_HDBSCAN_params63,labels_jain_HDBSCAN_params7,labels_jain_HDBSCAN_params8,labels_jain_HDBSCAN_params9
B,1.644421156038513,2.319362295351509,2.319362295351509,1.723592179255217,1.723592179255217,1.723592179255217,1.6030253570147635,1.6030253570147635,1.6030253570147635,1.6030253570147635,1.6030253570147635,1.644421156038513,1.6030253570147635,1.6030253570147635,1.318575256317958,1.318575256317958,1.318575256317958,1.318575256317958,1.758723335315176,1.758723335315176,1.758723335315176,1.1645419860799016,1.644421156038513,1.1645419860799016,1.1645419860799016,1.1645419860799016,1.723592179255217,1.723592179255217,1.723592179255217,1.6030253570147635,1.6030253570147635,1.6030253570147635,1.6030253570147635,1.644421156038513,1.6030253570147635,1.6030253570147635,1.6030253570147635,1.3596818382388978,1.3596818382388978,1.3596818382388978,1.3596818382388978,1.3596818382388978,1.3596818382388978,1.3596818382388978,1.758723335315176,1.3779999077502734,1.3779999077502734,1.3779999077502734,1.3779999077502734,1.3779999077502734,1.3779999077502734,1.3779999077502734,0.8230727380279084,0.8230727380279084,0.8230727380279084,1.758723335315176,0.8230727380279084,0.8230727380279084,0.8230727380279084,0.8230727380279084,1.758723335315176,2.319362295351509,2.319362295351509
BH,16.254633496342173,15.259868006820806,15.259868006820806,42.8934623224854,42.8934623224854,42.8934623224854,25.05738966775488,25.05738966775488,25.05738966775488,25.05738966775488,25.05738966775488,16.254633496342173,25.05738966775488,25.05738966775488,20.950643337921548,20.950643337921548,20.950643337921548,20.950643337921548,48.526565548193894,48.526565548193894,48.526565548193894,19.52703731158539,16.254633496342173,19.52703731158539,19.52703731158539,19.52703731158539,42.8934623224854,42.8934623224854,42.8934623224854,25.05738966775488,25.05738966775488,25.05738966775488,25.05738966775488,16.254633496342173,25.05738966775488,25.05738966775488,25.05738966775488,27.726947989284373,27.726947989284373,27.726947989284373,27.726947989284373,27.726947989284373,27.726947989284373,27.726947989284373,48.526565548193894,25.99250380148391,25.99250380148391,25.99250380148391,25.99250380148391,25.99250380148391,25.99250380148391,25.99250380148391,7.061153739246856,7.061153739246856,7.061153739246856,48.526565548193894,7.061153739246856,7.061153739246856,7.061153739246856,7.061153739246856,48.526565548193894,15.259868006820806,15.259868006820806
D,0.02425506193001932,0.026752944955236366,0.026752944955236366,0.02918670341905457,0.02918670341905457,0.02918670341905457,0.05261910043399923,0.05261910043399923,0.05261910043399923,0.05261910043399923,0.05261910043399923,0.02425506193001932,0.05261910043399923,0.05261910043399923,0.04070922379335439,0.04070922379335439,0.04070922379335439,0.04070922379335439,0.027001181564190267,0.027001181564190267,0.027001181564190267,0.013987456038131977,0.02425506193001932,0.013987456038131977,0.013987456038131977,0.013987456038131977,0.02918670341905457,0.02918670341905457,0.02918670341905457,0.05261910043399923,0.05261910043399923,0.05261910043399923,0.05261910043399923,0.02425506193001932,0.05261910043399923,0.05261910043399923,0.05261910043399923,0.23806445689554806,0.23806445689554806,0.23806445689554806,0.23806445689554806,0.23806445689554806,0.23806445689554806,0.23806445689554806,0.027001181564190267,0.2595453381752854,0.2595453381752854,0.2595453381752854,0.2595453381752854,0.2595453381752854,0.2595453381752854,0.2595453381752854,0.20563211936148507,0.20563211936148507,0.20563211936148507,0.027001181564190267,0.20563211936148507,0.20563211936148507,0.20563211936148507,0.20563211936148507,0.027001181564190267,0.026752944955236366,0.026752944955236366
H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBCV,0.40040490535222784,0.504476618141478,0.504476618141478,0.6451868370341529,0.6451868370341529,0.6451868370341529,0.5697328680641915,0.5697328680641915,0.5697328680641915,0.5697328680641915,0.5697328680641915,0.40040490535222784,0.5697328680641915,0.5697328680641915,0.39259569295799285,0.39259569295799285,0.39259569295799285,0.39259569295799285,0.5289157509586246,0.5289157509586246,0.5289157509586246,0.5323405642269559,0.40040490535222784,0.5323405642269559,0.5323405642269559,0.5323405642269559,0.6451868370341529,0.6451868370341529,0.6451868370341529,0.5697328680641915,0.5697328680641915,0.5697328680641915,0.5697328680641915,0.40040490535222784,0.5697328680641915,0.5697328680641915,0.5697328680641915,0.35834809008655955,0.35834809008655955,0.35834809008655955,0.35834809008655955,0.35834809008655955,0.35834809008655955,0.35834809008655955,0.5289157509586246,0.5078197434009669,0.5078197434009669,0.5078197434009669,0.5078197434009669,0.5078197434009669,0.5078197434009669,0.5078197434009669,0.27562343399957695,0.27562343399957695,0.27562343399957695,0.5289157509586246,0.27562343399957695,0.27562343399957695,0.27562343399957695,0.27562343399957695,0.5289157509586246,0.504476618141478,0.504476618141478
I,0.2807179015635889,0.26770697936692955,0.26770697936692955,0.32273692688819866,0.32273692688819866,0.32273692688819866,0.4895227921023471,0.4895227921023471,0.4895227921023471,0.4895227921023471,0.4895227921023471,0.2807179015635889,0.4895227921023471,0.4895227921023471,0.31364473912625435,0.31364473912625435,0.31364473912625435,0.31364473912625435,0.24139520718617846,0.24139520718617846,0.24139520718617846,0.3919222410829012,0.2807179015635889,0.3919222410829012,0.3919222410829012,0.3919222410829012,0.32273692688819866,0.32273692688819866,0.32273692688819866,0.4895227921023471,0.4895227921023471,0.4895227921023471,0.4895227921023471,0.2807179015635889,0.4895227921023471,0.4895227921023471,0.4895227921023471,0.35627969890695954,0.35627969890695954,0.35627969890695954,0.35627969890695954,0.35627969890695954,0.35627969890695954,0.35627969890695954,0.24139520718617846,0.373144565943177,0.373144565943177,0.373144565943177,0.373144565943177,0.373144565943177,0.373144565943177,0.373144565943177,1.5522460341284365,1.5522460341284365,1.5522460341284365,0.24139520718617846,1.5522460341284365,1.5522460341284365,1.5522460341284365,1.5522460341284365,0.24139520718617846,0.26770697936692955,0.26770697936692955
C,0.14689056754532878,0.15343124791800006,0.15343124791800006,0.25127719389891817,0.25127719389891817,0.25127719389891817,0.13120762414288495,0.13120762414288495,0.13120762414288495,0.13120762414288495,0.13120762414288495,0.14689056754532878,0.13120762414288495,0.13120762414288495,0.13881244200536993,0.13881244200536993,0.13881244200536993,0.13881244200536993,0.27613374850792527,0.27613374850792527,0.27613374850792527,0.14855547912485045,0.14689056754532878,0.14855547912485045,0.14855547912485045,0.14855547912485045,0.25127719389891817,0.25127719389891817,0.25127719389891817,0.13120762414288495,0.13120762414288495,0.13120762414288495,0.13120762414288495,0.14689056754532878,0.13120762414288495,0.13120762414288495,0.13120762414288495,0.13537433189246376,0.13537433189246376,0.13537433189246376,0.13537433189246376,0.13537433189246376,0.13537433189246376,0.13537433189246376,0.27613374850792527,0.14333096043066978,0.14333096043066978,0.14333096043066978,0.14333096043066978,0.14333096043066978,0.14333096043066978,0.14333096043066978,0.3975667440090205,0.3975667440090205,0.3975667440090205,0.27613374850792527,0.3975667440090205,0.3975667440090205,0.3975667440090205,0.3975667440090205,0.27613374850792527,0.15343124791800006,0.15343124791800006
CDbw,0.38080016172233677,0.4434394788466659,0.4434394788466659,0.10565662875338144,0.10565662875338144,0.10565662875338144,0.1491150681970013,0.1491150681970013,0.1491150681970013,0.1491150681970013,0.1491150681970013,0.38080016172233677,0.1491150681970013,0.1491150681970013,0.16310813640102362,0.16310813640102362,0.16310813640102362,0.16310813640102362,0.15265744117315186,0.15265744117315186,0.15265744117315186,0.21478857706644525,0.38080016172233677,0.21478857706644525,0.21478857706644525,0.21478857706644525,0.10565662875338144,0.10565662875338144,0.10565662875338144,0.1491150681970013,0.1491150681970013,0.1491150681970013,0.1491150681970013,0.38080016172233677,0.1491150681970013,0.1491150681970013,0.1491150681970013,0.10083684621011134,0.10083684621011134,0.10083684621011134,0.10083684621011134,0.10083684621011134,0.10083684621011134,0.10083684621011134,0.15265744117315186,0.1333186185647636,0.1333186185647636,0.1333186185647636,0.1333186185647636,0.1333186185647636,0.1333186185647636,0.1333186185647636,0.05627048305687056,0.05627048305687056,0.05627048305687056,0.15265744117315186,0.05627048305687056,0.05627048305687056,0.05627048305687056,0.05627048305687056,0.15265744117315186,0.4434394788466659,0.4434394788466659
VIASCKDE,0.5742340283660181,0.5557101708070923,0.5557101708070923,0.5747840348342936,0.5747840348342936,0.5747840348342936,0.544330979350234,0.544330979350234,0.544330979350234,0.544330979350234,0.544330979350234,0.5742340283660181,0.544330979350234,0.544330979350234,0.5797679515670069,0.5797679515670069,0.5797679515670069,0.5797679515670069,0.5764733522600254,0.5764733522600254,0.5764733522600254,0.5572540495186636,0.5742340283660181,0.5572540495186636,0.5572540495186636,0.5572540495186636,0.5747840348342936,0.5747840348342936,0.5747840348342936,0.544330979350234,0.544330979350234,0.544330979350234,0.544330979350234,0.5742340283660181,0.544330979350234,0.544330979350234,0.544330979350234,0.590985156163081,0.590985156163081,0.590985156163081,0.590985156163081,0.590985156163081,0.590985156163081,0.590985156163081,0.5764733522600254,0.566015839917945,0.566015839917945,0.566015839917945,0.566015839917945,0.566015839917945,0.566015839917945,0.566015839917945,0.3299469794857531,0.3299469794857531,0.3299469794857531,0.5764733522600254,0.3299469794857531,0.3299469794857531,0.3299469794857531,0.3299469794857531,0.5764733522600254,0.5557101708070923,0.5557101708070923
COP,0.2829375311617546,0.2843549859379975,0.2843549859379975,0.30934063840502957,0.30934063840502957,0.30934063840502957,0.24000180886413397,0.24000180886413397,0.24000180886413397,0.24000180886413397,0.24000180886413397,0.2829375311617546,0.24000180886413397,0.24000180886413397,0.2786230042803934,0.2786230042803934,0.2786230042803934,0.2786230042803934,0.3161965006515794,0.3161965006515794,0.3161965006515794,0.2802645073497829,0.2829375311617546,0.2802645073497829,0.2802645073497829,0.2802645073497829,0.30934063840502957,0.30934063840502957,0.30934063840502957,0.24000180886413397,0.24000180886413397,0.24000180886413397,0.24000180886413397,0.2829375311617546,0.24000180886413397,0.24000180886413397,0.24000180886413397,0.25545481671170644,0.25545481671170644,0.25545481671170644,0.25545481671170644,0.25545481671170644,0.25545481671170644,0.25545481671170644,0.3161965006515794,0.26363561615919107,0.26363561615919107,0.26363561615919107,0.26363561615919107,0.26363561615919107,0.26363561615919107,0.26363561615919107,0.2728778131622257,0.2728778131622257,0.2728778131622257,0.3161965006515794,0.2728778131622257,0.2728778131622257,0.2728778131622257,0.2728778131622257,0.3161965006515794,0.2843549859379975,0.2843549859379975
Sym,0.009794255032744356,0.008706954030127466,0.008706954030127466,0.010022540302226404,0.010022540302226404,0.010022540302226404,0.011382629872246018,0.011382629872246018,0.011382629872246018,0.011382629872246018,0.011382629872246018,0.009794255032744356,0.011382629872246018,0.011382629872246018,0.010751461756823507,0.010751461756823507,0.010751461756823507,0.010751461756823507,0.00925621591675764,0.00925621591675764,0.00925621591675764,0.010807679954079687,0.009794255032744356,0.010807679954079687,0.010807679954079687,0.010807679954079687,0.010022540302226404,0.010022540302226404,0.010022540302226404,0.011382629872246018,0.011382629872246018,0.011382629872246018,0.011382629872246018,0.009794255032744356,0.011382629872246018,0.011382629872246018,0.011382629872246018,0.01210824478257086,0.01210824478257086,0.01210824478257086,0.01210824478257086,0.01210824478257086,0.01210824478257086,0.01210824478257086,0.00925621591675764,0.011796069713481171,0.011796069713481171,0.011796069713481171,0.011796069713481171,0.011796069713481171,0.011796069713481171,0.011796069713481171,0.011833885580615799,0.011833885580615799,0.011833885580615799,0.00925621591675764,0.011833885580615799,0.011833885580615799,0.011833885580615799,0.011833885580615799,0.00925621591675764,0.008706954030127466,0.008706954030127466
CS,1.5881225481458814,1.833864706978258,1.833864706978258,1.7405493313824743,1.7405493313824743,1.7405493313824743,2.1527877287774073,2.1527877287774073,2.1527877287774073,2.1527877287774073,2.1527877287774073,1.5881225481458814,2.1527877287774073,2.1527877287774073,1.9038675285299151,1.9038675285299151,1.9038675285299151,1.9038675285299151,1.995321503822046,1.995321503822046,1.995321503822046,1.7794079657156832,1.5881225481458814,1.7794079657156832,1.7794079657156832,1.7794079657156832,1.7405493313824743,1.7405493313824743,1.7405493313824743,2.1527877287774073,2.1527877287774073,2.1527877287774073,2.1527877287774073,1.5881225481458814,2.1527877287774073,2.1527877287774073,2.1527877287774073,1.6613701033874388,1.6613701033874388,1.6613701033874388,1.6613701033874388,1.6613701033874388,1.6613701033874388,1.6613701033874388,1.995321503822046,1.9215647919993553,1.9215647919993553,1.9215647919993553,1.9215647919993553,1.9215647919993553,1.9215647919993553,1.9215647919993553,1.406175177012112,1.406175177012112,1.406175177012112,1.995321503822046,1.406175177012112,1.406175177012112,1.406175177012112,1.406175177012112,1.995321503822046,1.833864706978258,1.833864706978258
SF,0.20004317542518202,0.23967491007957653,0.23967491007957653,0.25608716276132903,0.25608716276132903,0.25608716276132903,0.3082627708376756,0.3082627708376756,0.3082627708376756,0.3082627708376756,0.3082627708376756,0.20004317542518202,0.3082627708376756,0.3082627708376756,0.2015412034016275,0.2015412034016275,0.2015412034016275,0.2015412034016275,0.22962844755616318,0.22962844755616318,0.22962844755616318,0.23796058913751772,0.20004317542518202,0.23796058913751772,0.23796058913751772,0.23796058913751772,0.25608716276132903,0.25608716276132903,0.25608716276132903,0.3082627708376756,0.3082627708376756,0.3082627708376756,0.3082627708376756,0.20004317542518202,0.3082627708376756,0.3082627708376756,0.3082627708376756,0.275167249161816,0.275167249161816,0.275167249161816,0.275167249161816,0.275167249161816,0.275167249161816,0.275167249161816,0.22962844755616318,0.27274089516325906,0.27274089516325906,0.27274089516325906,0.27274089516325906,0.27274089516325906,0.27274089516325906,0.27274089516325906,0.28734041446196645,0.28734041446196645,0.28734041446196645,0.22962844755616318,0.28734041446196645,0.28734041446196645,0.28734041446196645,0.28734041446196645,0.22962844755616318,0.23967491007957653,0.23967491007957653
SD,17225.586463337215,14713.170351749224,14713.170351749224,27982.084071626716,27982.084071626716,27982.084071626716,21109.173469333247,21109.173469333247,21109.173469333247,21109.173469333247,21109.173469333247,17225.586463337215,21109.173469333247,21109.173469333247,23119.754317473456,23119.754317473456,23119.754317473456,23119.754317473456,32135.305683259434,32135.305683259434,32135.305683259434,18890.686168386568,17225.586463337215,18890.686168386568,18890.686168386568,18890.686168386568,27982.084071626716,27982.084071626716,27982.084071626716,21109.173469333247,21109.173469333247,21109.173469333247,21109.173469333247,17225.586463337215,21109.173469333247,21109.173469333247,21109.173469333247,24361.82690465744,24361.82690465744,24361.82690465744,24361.82690465744,24361.82690465744,24361.82690465744,24361.82690465744,32135.305683259434,23683.316003897395,23683.316003897395,23683.316003897395,23683.316003897395,23683.316003897395,23683.316003897395,23683.316003897395,27362.519713207348,27362.519713207348,27362.519713207348,32135.305683259434,27362.519713207348,27362.519713207348,27362.519713207348,27362.519713207348,32135.305683259434,14713.170351749224,14713.170351749224
SDbw,1.1584068604124562,1.238618767753905,1.238618767753905,1.7534219866188616,1.7534219866188616,1.7534219866188616,1.1123901434767056,1.1123901434767056,1.1123901434767056,1.1123901434767056,1.1123901434767056,1.1584068604124562,1.1123901434767056,1.1123901434767056,1.148846603949191,1.148846603949191,1.148846603949191,1.148846603949191,1.5552923663276532,1.5552923663276532,1.5552923663276532,1.2538663418248794,1.1584068604124562,1.2538663418248794,1.2538663418248794,1.2538663418248794,1.7534219866188616,1.7534219866188616,1.7534219866188616,1.1123901434767056,1.1123901434767056,1.1123901434767056,1.1123901434767056,1.1584068604124562,1.1123901434767056,1.1123901434767056,1.1123901434767056,1.0034978566370767,1.0034978566370767,1.0034978566370767,1.0034978566370767,1.0034978566370767,1.0034978566370767,1.0034978566370767,1.5552923663276532,1.1272762134306689,1.1272762134306689,1.1272762134306689,1.1272762134306689,1.1272762134306689,1.1272762134306689,1.1272762134306689,1.3357552675732824,1.3357552675732824,1.3357552675732824,1.5552923663276532,1.3357552675732824,1.3357552675732824,1.3357552675732824,1.3357552675732824,1.5552923663276532,1.238618767753905,1.238618767753905
XB*,7.818801657464797,43.29521183807809,43.29521183807809,2.640036921108209,2.640036921108209,2.640036921108209,13.725504787732527,13.725504787732527,13.725504787732527,13.725504787732527,13.725504787732527,7.818801657464797,13.725504787732527,13.725504787732527,4.994357428679808,4.994357428679808,4.994357428679808,4.994357428679808,2.987499934483925,2.987499934483925,2.987499934483925,8.205904080390914,7.818801657464797,8.205904080390914,8.205904080390914,8.205904080390914,2.640036921108209,2.640036921108209,2.640036921108209,13.725504787732527,13.725504787732527,13.725504787732527,13.725504787732527,7.818801657464797,13.725504787732527,13.725504787732527,13.725504787732527,1.33800787656788,1.33800787656788,1.33800787656788,1.33800787656788,1.33800787656788,1.33800787656788,1.33800787656788,2.987499934483925,3.9702219407045707,3.9702219407045707,3.9702219407045707,3.9702219407045707,3.9702219407045707,3.9702219407045707,3.9702219407045707,1.1309672413811962,1.1309672413811962,1.1309672413811962,2.987499934483925,1.1309672413811962,1.1309672413811962,1.1309672413811962,1.1309672413811962,2.987499934483925,43.29521183807809,43.29521183807809
S,0.32166913714311207,0.14819339054159286,0.14819339054159286,0.24185045597660765,0.24185045597660765,0.24185045597660765,0.2652537955068372,0.2652537955068372,0.2652537955068372,0.2652537955068372,0.2652537955068372,0.32166913714311207,0.2652537955068372,0.2652537955068372,0.36820821866306663,0.36820821866306663,0.36820821866306663,0.36820821866306663,0.25338248225473176,0.25338248225473176,0.25338248225473176,0.2992049752183423,0.32166913714311207,0.2992049752183423,0.2992049752183423,0.2992049752183423,0.24185045597660765,0.24185045597660765,0.24185045597660765,0.2652537955068372,0.2652537955068372,0.2652537955068372,0.2652537955068372,0.32166913714311207,0.2652537955068372,0.2652537955068372,0.2652537955068372,0.3809611029539442,0.3809611029539442,0.3809611029539442,0.3809611029539442,0.3809611029539442,0.3809611029539442,0.3809611029539442,0.25338248225473176,0.31858060172347014,0.31858060172347014,0.31858060172347014,0.31858060172347014,0.31858060172347014,0.31858060172347014,0.31858060172347014,0.07147132436374529,0.07147132436374529,0.07147132436374529,0.25338248225473176,0.07147132436374529,0.07147132436374529,0.07147132436374529,0.07147132436374529,0.25338248225473176,0.14819339054159286,0.14819339054159286
DB,2.3588857059330555,4.007622227618396,4.007622227618396,1.5236278234528138,1.5236278234528138,1.5236278234528138,3.0598878761006616,3.0598878761006616,3.0598878761006616,3.0598878761006616,3.0598878761006616,2.3588857059330555,3.0598878761006616,3.0598878761006616,2.3933257569321738,2.3933257569321738,2.3933257569321738,2.3933257569321738,1.7550826658975993,1.7550826658975993,1.7550826658975993,2.593634825529408,2.3588857059330555,2.593634825529408,2.593634825529408,2.593634825529408,1.5236278234528138,1.5236278234528138,1.5236278234528138,3.0598878761006616,3.0598878761006616,3.0598878761006616,3.0598878761006616,2.3588857059330555,3.0598878761006616,3.0598878761006616,3.0598878761006616,1.3035363251622785,1.3035363251622785,1.3035363251622785,1.3035363251622785,1.3035363251622785,1.3035363251622785,1.3035363251622785,1.7550826658975993,2.123660384819547,2.123660384819547,2.123660384819547,2.123660384819547,2.123660384819547,2.123660384819547,2.123660384819547,1.309734489116736,1.309734489116736,1.309734489116736,1.7550826658975993,1.309734489116736,1.309734489116736,1.309734489116736,1.309734489116736,1.7550826658975993,4.007622227618396,4.007622227618396
CH,107.1209918335542,101.54688575682549,101.54688575682549,66.57524635193562,66.57524635193562,66.57524635193562,184.89751303221232,184.89751303221232,184.89751303221232,184.89751303221232,184.89751303221232,107.1209918335542,184.89751303221232,184.89751303221232,139.16583701668702,139.16583701668702,139.16583701668702,139.16583701668702,49.18676322796961,49.18676322796961,49.18676322796961,133.324453155963,107.1209918335542,133.324453155963,133.324453155963,133.324453155963,66.57524635193562,66.57524635193562,66.57524635193562,184.89751303221232,184.89751303221232,184.89751303221232,184.89751303221232,107.1209918335542,184.89751303221232,184.89751303221232,184.89751303221232,203.7390017749774,203.7390017749774,203.7390017749774,203.7390017749774,203.7390017749774,203.7390017749774,203.7390017749774,49.18676322796961,194.6461953468905,194.6461953468905,194.6461953468905,194.6461953468905,194.6461953468905,194.6461953468905,194.6461953468905,66.5695462454704,66.5695462454704,66.5695462454704,49.18676322796961,66.5695462454704,66.5695462454704,66.5695462454704,66.5695462454704,49.18676322796961,101.54688575682549,101.54688575682549
