,labels_wine_HDBSCAN_params1,labels_wine_HDBSCAN_params10,labels_wine_HDBSCAN_params11,labels_wine_HDBSCAN_params12,labels_wine_HDBSCAN_params13,labels_wine_HDBSCAN_params14,labels_wine_HDBSCAN_params15,labels_wine_HDBSCAN_params16,labels_wine_HDBSCAN_params17,labels_wine_HDBSCAN_params18,labels_wine_HDBSCAN_params19,labels_wine_HDBSCAN_params2,labels_wine_HDBSCAN_params20,labels_wine_HDBSCAN_params21,labels_wine_HDBSCAN_params22,labels_wine_HDBSCAN_params23,labels_wine_HDBSCAN_params24,labels_wine_HDBSCAN_params25,labels_wine_HDBSCAN_params26,labels_wine_HDBSCAN_params27,labels_wine_HDBSCAN_params28,labels_wine_HDBSCAN_params29,labels_wine_HDBSCAN_params3,labels_wine_HDBSCAN_params30,labels_wine_HDBSCAN_params31,labels_wine_HDBSCAN_params32,labels_wine_HDBSCAN_params33,labels_wine_HDBSCAN_params34,labels_wine_HDBSCAN_params35,labels_wine_HDBSCAN_params36,labels_wine_HDBSCAN_params37,labels_wine_HDBSCAN_params38,labels_wine_HDBSCAN_params39,labels_wine_HDBSCAN_params4,labels_wine_HDBSCAN_params40,labels_wine_HDBSCAN_params41,labels_wine_HDBSCAN_params42,labels_wine_HDBSCAN_params43,labels_wine_HDBSCAN_params44,labels_wine_HDBSCAN_params45,labels_wine_HDBSCAN_params46,labels_wine_HDBSCAN_params47,labels_wine_HDBSCAN_params48,labels_wine_HDBSCAN_params49,labels_wine_HDBSCAN_params5,labels_wine_HDBSCAN_params50,labels_wine_HDBSCAN_params51,labels_wine_HDBSCAN_params52,labels_wine_HDBSCAN_params53,labels_wine_HDBSCAN_params54,labels_wine_HDBSCAN_params55,labels_wine_HDBSCAN_params56,labels_wine_HDBSCAN_params6,labels_wine_HDBSCAN_params7,labels_wine_HDBSCAN_params8,labels_wine_HDBSCAN_params9
B,2.8074074084765543,1.3101674078498453,1.3101674078498453,1.3101674078498453,1.3101674078498453,1.3101674078498453,1.9877274441079278,1.9877274441079278,1.9877274441079278,1.9877274441079278,1.9877274441079278,2.8074074084765543,1.9877274441079278,1.9877274441079278,2.8074074084765543,2.8074074084765543,2.8074074084765543,2.8074074084765543,2.8074074084765543,2.8074074084765543,2.8074074084765543,1.3101674078498453,2.8074074084765543,1.3101674078498453,1.3101674078498453,1.3101674078498453,1.3101674078498453,1.3101674078498453,1.3101674078498453,1.9877274441079278,1.9877274441079278,1.9877274441079278,1.9877274441079278,2.8074074084765543,1.9877274441079278,1.9877274441079278,1.9877274441079278,2.8074074084765543,2.8074074084765543,2.8074074084765543,2.8074074084765543,2.8074074084765543,2.8074074084765543,2.8074074084765543,2.8074074084765543,1.3101674078498453,1.3101674078498453,1.3101674078498453,1.3101674078498453,1.3101674078498453,1.3101674078498453,1.3101674078498453,2.8074074084765543,2.8074074084765543,1.3101674078498453,1.3101674078498453
BH,50.59633708568609,37.8975426477484,37.8975426477484,37.8975426477484,37.8975426477484,37.8975426477484,32.10637024655794,32.10637024655794,32.10637024655794,32.10637024655794,32.10637024655794,50.59633708568609,32.10637024655794,32.10637024655794,50.59633708568609,50.59633708568609,50.59633708568609,50.59633708568609,50.59633708568609,50.59633708568609,50.59633708568609,37.8975426477484,50.59633708568609,37.8975426477484,37.8975426477484,37.8975426477484,37.8975426477484,37.8975426477484,37.8975426477484,32.10637024655794,32.10637024655794,32.10637024655794,32.10637024655794,50.59633708568609,32.10637024655794,32.10637024655794,32.10637024655794,50.59633708568609,50.59633708568609,50.59633708568609,50.59633708568609,50.59633708568609,50.59633708568609,50.59633708568609,50.59633708568609,37.8975426477484,37.8975426477484,37.8975426477484,37.8975426477484,37.8975426477484,37.8975426477484,37.8975426477484,50.59633708568609,50.59633708568609,37.8975426477484,37.8975426477484
D,0.26081791996152087,0.39852326934106064,0.39852326934106064,0.39852326934106064,0.39852326934106064,0.39852326934106064,0.3589735886834245,0.3589735886834245,0.3589735886834245,0.3589735886834245,0.3589735886834245,0.26081791996152087,0.3589735886834245,0.3589735886834245,0.26081791996152087,0.26081791996152087,0.26081791996152087,0.26081791996152087,0.26081791996152087,0.26081791996152087,0.26081791996152087,0.39852326934106064,0.26081791996152087,0.39852326934106064,0.39852326934106064,0.39852326934106064,0.39852326934106064,0.39852326934106064,0.39852326934106064,0.3589735886834245,0.3589735886834245,0.3589735886834245,0.3589735886834245,0.26081791996152087,0.3589735886834245,0.3589735886834245,0.3589735886834245,0.26081791996152087,0.26081791996152087,0.26081791996152087,0.26081791996152087,0.26081791996152087,0.26081791996152087,0.26081791996152087,0.26081791996152087,0.39852326934106064,0.39852326934106064,0.39852326934106064,0.39852326934106064,0.39852326934106064,0.39852326934106064,0.39852326934106064,0.26081791996152087,0.26081791996152087,0.39852326934106064,0.39852326934106064
H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBCV,0.26545810143963644,0.2755667915204537,0.2755667915204537,0.2755667915204537,0.2755667915204537,0.2755667915204537,0.29147984860413834,0.29147984860413834,0.29147984860413834,0.29147984860413834,0.29147984860413834,0.26545810143963644,0.29147984860413834,0.29147984860413834,0.26545810143963644,0.26545810143963644,0.26545810143963644,0.26545810143963644,0.26545810143963644,0.26545810143963644,0.26545810143963644,0.2755667915204537,0.26545810143963644,0.2755667915204537,0.2755667915204537,0.2755667915204537,0.2755667915204537,0.2755667915204537,0.2755667915204537,0.29147984860413834,0.29147984860413834,0.29147984860413834,0.29147984860413834,0.26545810143963644,0.29147984860413834,0.29147984860413834,0.29147984860413834,0.26545810143963644,0.26545810143963644,0.26545810143963644,0.26545810143963644,0.26545810143963644,0.26545810143963644,0.26545810143963644,0.26545810143963644,0.2755667915204537,0.2755667915204537,0.2755667915204537,0.2755667915204537,0.2755667915204537,0.2755667915204537,0.2755667915204537,0.26545810143963644,0.26545810143963644,0.2755667915204537,0.2755667915204537
I,1.4141803336149084,2.485365978321353,2.485365978321353,2.485365978321353,2.485365978321353,2.485365978321353,3.382230440828942,3.382230440828942,3.382230440828942,3.382230440828942,3.382230440828942,1.4141803336149084,3.382230440828942,3.382230440828942,1.4141803336149084,1.4141803336149084,1.4141803336149084,1.4141803336149084,1.4141803336149084,1.4141803336149084,1.4141803336149084,2.485365978321353,1.4141803336149084,2.485365978321353,2.485365978321353,2.485365978321353,2.485365978321353,2.485365978321353,2.485365978321353,3.382230440828942,3.382230440828942,3.382230440828942,3.382230440828942,1.4141803336149084,3.382230440828942,3.382230440828942,3.382230440828942,1.4141803336149084,1.4141803336149084,1.4141803336149084,1.4141803336149084,1.4141803336149084,1.4141803336149084,1.4141803336149084,1.4141803336149084,2.485365978321353,2.485365978321353,2.485365978321353,2.485365978321353,2.485365978321353,2.485365978321353,2.485365978321353,1.4141803336149084,1.4141803336149084,2.485365978321353,2.485365978321353
C,0.24222442264866254,0.34704050645784384,0.34704050645784384,0.34704050645784384,0.34704050645784384,0.34704050645784384,0.390282921407173,0.390282921407173,0.390282921407173,0.390282921407173,0.390282921407173,0.24222442264866254,0.390282921407173,0.390282921407173,0.24222442264866254,0.24222442264866254,0.24222442264866254,0.24222442264866254,0.24222442264866254,0.24222442264866254,0.24222442264866254,0.34704050645784384,0.24222442264866254,0.34704050645784384,0.34704050645784384,0.34704050645784384,0.34704050645784384,0.34704050645784384,0.34704050645784384,0.390282921407173,0.390282921407173,0.390282921407173,0.390282921407173,0.24222442264866254,0.390282921407173,0.390282921407173,0.390282921407173,0.24222442264866254,0.24222442264866254,0.24222442264866254,0.24222442264866254,0.24222442264866254,0.24222442264866254,0.24222442264866254,0.24222442264866254,0.34704050645784384,0.34704050645784384,0.34704050645784384,0.34704050645784384,0.34704050645784384,0.34704050645784384,0.34704050645784384,0.24222442264866254,0.24222442264866254,0.34704050645784384,0.34704050645784384
VIASCKDE,0.02239517468201616,0.02081900008809877,0.02081900008809877,0.02081900008809877,0.02081900008809877,0.02081900008809877,0.018784896387666106,0.018784896387666106,0.018784896387666106,0.018784896387666106,0.018784896387666106,0.02239517468201616,0.018784896387666106,0.018784896387666106,0.02239517468201616,0.02239517468201616,0.02239517468201616,0.02239517468201616,0.02239517468201616,0.02239517468201616,0.02239517468201616,0.02081900008809877,0.02239517468201616,0.02081900008809877,0.02081900008809877,0.02081900008809877,0.02081900008809877,0.02081900008809877,0.02081900008809877,0.018784896387666106,0.018784896387666106,0.018784896387666106,0.018784896387666106,0.02239517468201616,0.018784896387666106,0.018784896387666106,0.018784896387666106,0.02239517468201616,0.02239517468201616,0.02239517468201616,0.02239517468201616,0.02239517468201616,0.02239517468201616,0.02239517468201616,0.02239517468201616,0.02081900008809877,0.02081900008809877,0.02081900008809877,0.02081900008809877,0.02081900008809877,0.02081900008809877,0.02081900008809877,0.02239517468201616,0.02239517468201616,0.02081900008809877,0.02081900008809877
COP,0.44638776674952463,0.4279130914403076,0.4279130914403076,0.4279130914403076,0.4279130914403076,0.4279130914403076,0.4614252976557436,0.4614252976557436,0.4614252976557436,0.4614252976557436,0.4614252976557436,0.44638776674952463,0.4614252976557436,0.4614252976557436,0.44638776674952463,0.44638776674952463,0.44638776674952463,0.44638776674952463,0.44638776674952463,0.44638776674952463,0.44638776674952463,0.4279130914403076,0.44638776674952463,0.4279130914403076,0.4279130914403076,0.4279130914403076,0.4279130914403076,0.4279130914403076,0.4279130914403076,0.4614252976557436,0.4614252976557436,0.4614252976557436,0.4614252976557436,0.44638776674952463,0.4614252976557436,0.4614252976557436,0.4614252976557436,0.44638776674952463,0.44638776674952463,0.44638776674952463,0.44638776674952463,0.44638776674952463,0.44638776674952463,0.44638776674952463,0.44638776674952463,0.4279130914403076,0.4279130914403076,0.4279130914403076,0.4279130914403076,0.4279130914403076,0.4279130914403076,0.4279130914403076,0.44638776674952463,0.44638776674952463,0.4279130914403076,0.4279130914403076
Sym,0.003028882204517694,0.00285785626491832,0.00285785626491832,0.00285785626491832,0.00285785626491832,0.00285785626491832,0.0027775038145109302,0.0027775038145109302,0.0027775038145109302,0.0027775038145109302,0.0027775038145109302,0.003028882204517694,0.0027775038145109302,0.0027775038145109302,0.003028882204517694,0.003028882204517694,0.003028882204517694,0.003028882204517694,0.003028882204517694,0.003028882204517694,0.003028882204517694,0.00285785626491832,0.003028882204517694,0.00285785626491832,0.00285785626491832,0.00285785626491832,0.00285785626491832,0.00285785626491832,0.00285785626491832,0.0027775038145109302,0.0027775038145109302,0.0027775038145109302,0.0027775038145109302,0.003028882204517694,0.0027775038145109302,0.0027775038145109302,0.0027775038145109302,0.003028882204517694,0.003028882204517694,0.003028882204517694,0.003028882204517694,0.003028882204517694,0.003028882204517694,0.003028882204517694,0.003028882204517694,0.00285785626491832,0.00285785626491832,0.00285785626491832,0.00285785626491832,0.00285785626491832,0.00285785626491832,0.00285785626491832,0.003028882204517694,0.003028882204517694,0.00285785626491832,0.00285785626491832
CS,2.5911392016866364,2.508822115798612,2.508822115798612,2.508822115798612,2.508822115798612,2.508822115798612,2.3251874507728894,2.3251874507728894,2.3251874507728894,2.3251874507728894,2.3251874507728894,2.5911392016866364,2.3251874507728894,2.3251874507728894,2.5911392016866364,2.5911392016866364,2.5911392016866364,2.5911392016866364,2.5911392016866364,2.5911392016866364,2.5911392016866364,2.508822115798612,2.5911392016866364,2.508822115798612,2.508822115798612,2.508822115798612,2.508822115798612,2.508822115798612,2.508822115798612,2.3251874507728894,2.3251874507728894,2.3251874507728894,2.3251874507728894,2.5911392016866364,2.3251874507728894,2.3251874507728894,2.3251874507728894,2.5911392016866364,2.5911392016866364,2.5911392016866364,2.5911392016866364,2.5911392016866364,2.5911392016866364,2.5911392016866364,2.5911392016866364,2.508822115798612,2.508822115798612,2.508822115798612,2.508822115798612,2.508822115798612,2.508822115798612,2.508822115798612,2.5911392016866364,2.5911392016866364,2.508822115798612,2.508822115798612
SF,0.03355796782693388,0.03807847567009559,0.03807847567009559,0.03807847567009559,0.03807847567009559,0.03807847567009559,0.041089240535957416,0.041089240535957416,0.041089240535957416,0.041089240535957416,0.041089240535957416,0.03355796782693388,0.041089240535957416,0.041089240535957416,0.03355796782693388,0.03355796782693388,0.03355796782693388,0.03355796782693388,0.03355796782693388,0.03355796782693388,0.03355796782693388,0.03807847567009559,0.03355796782693388,0.03807847567009559,0.03807847567009559,0.03807847567009559,0.03807847567009559,0.03807847567009559,0.03807847567009559,0.041089240535957416,0.041089240535957416,0.041089240535957416,0.041089240535957416,0.03355796782693388,0.041089240535957416,0.041089240535957416,0.041089240535957416,0.03355796782693388,0.03355796782693388,0.03355796782693388,0.03355796782693388,0.03355796782693388,0.03355796782693388,0.03355796782693388,0.03355796782693388,0.03807847567009559,0.03807847567009559,0.03807847567009559,0.03807847567009559,0.03807847567009559,0.03807847567009559,0.03807847567009559,0.03355796782693388,0.03355796782693388,0.03807847567009559,0.03807847567009559
SD,20.454883465086645,19.25557586673112,19.25557586673112,19.25557586673112,19.25557586673112,19.25557586673112,17.609895133394282,17.609895133394282,17.609895133394282,17.609895133394282,17.609895133394282,20.454883465086645,17.609895133394282,17.609895133394282,20.454883465086645,20.454883465086645,20.454883465086645,20.454883465086645,20.454883465086645,20.454883465086645,20.454883465086645,19.25557586673112,20.454883465086645,19.25557586673112,19.25557586673112,19.25557586673112,19.25557586673112,19.25557586673112,19.25557586673112,17.609895133394282,17.609895133394282,17.609895133394282,17.609895133394282,20.454883465086645,17.609895133394282,17.609895133394282,17.609895133394282,20.454883465086645,20.454883465086645,20.454883465086645,20.454883465086645,20.454883465086645,20.454883465086645,20.454883465086645,20.454883465086645,19.25557586673112,19.25557586673112,19.25557586673112,19.25557586673112,19.25557586673112,19.25557586673112,19.25557586673112,20.454883465086645,20.454883465086645,19.25557586673112,19.25557586673112
SDbw,0.7854122986659564,0.7184009814453624,0.7184009814453624,0.7184009814453624,0.7184009814453624,0.7184009814453624,0.6846759745082999,0.6846759745082999,0.6846759745082999,0.6846759745082999,0.6846759745082999,0.7854122986659564,0.6846759745082999,0.6846759745082999,0.7854122986659564,0.7854122986659564,0.7854122986659564,0.7854122986659564,0.7854122986659564,0.7854122986659564,0.7854122986659564,0.7184009814453624,0.7854122986659564,0.7184009814453624,0.7184009814453624,0.7184009814453624,0.7184009814453624,0.7184009814453624,0.7184009814453624,0.6846759745082999,0.6846759745082999,0.6846759745082999,0.6846759745082999,0.7854122986659564,0.6846759745082999,0.6846759745082999,0.6846759745082999,0.7854122986659564,0.7854122986659564,0.7854122986659564,0.7854122986659564,0.7854122986659564,0.7854122986659564,0.7854122986659564,0.7854122986659564,0.7184009814453624,0.7184009814453624,0.7184009814453624,0.7184009814453624,0.7184009814453624,0.7184009814453624,0.7184009814453624,0.7854122986659564,0.7854122986659564,0.7184009814453624,0.7184009814453624
XB*,3.946857697135873,3.750421685826724,3.750421685826724,3.750421685826724,3.750421685826724,3.750421685826724,2.775873541508597,2.775873541508597,2.775873541508597,2.775873541508597,2.775873541508597,3.946857697135873,2.775873541508597,2.775873541508597,3.946857697135873,3.946857697135873,3.946857697135873,3.946857697135873,3.946857697135873,3.946857697135873,3.946857697135873,3.750421685826724,3.946857697135873,3.750421685826724,3.750421685826724,3.750421685826724,3.750421685826724,3.750421685826724,3.750421685826724,2.775873541508597,2.775873541508597,2.775873541508597,2.775873541508597,3.946857697135873,2.775873541508597,2.775873541508597,2.775873541508597,3.946857697135873,3.946857697135873,3.946857697135873,3.946857697135873,3.946857697135873,3.946857697135873,3.946857697135873,3.946857697135873,3.750421685826724,3.750421685826724,3.750421685826724,3.750421685826724,3.750421685826724,3.750421685826724,3.750421685826724,3.946857697135873,3.946857697135873,3.750421685826724,3.750421685826724
S,0.16174066124569503,0.08829616731035737,0.08829616731035737,0.08829616731035737,0.08829616731035737,0.08829616731035737,0.039210783927027267,0.039210783927027267,0.039210783927027267,0.039210783927027267,0.039210783927027267,0.16174066124569503,0.039210783927027267,0.039210783927027267,0.16174066124569503,0.16174066124569503,0.16174066124569503,0.16174066124569503,0.16174066124569503,0.16174066124569503,0.16174066124569503,0.08829616731035737,0.16174066124569503,0.08829616731035737,0.08829616731035737,0.08829616731035737,0.08829616731035737,0.08829616731035737,0.08829616731035737,0.039210783927027267,0.039210783927027267,0.039210783927027267,0.039210783927027267,0.16174066124569503,0.039210783927027267,0.039210783927027267,0.039210783927027267,0.16174066124569503,0.16174066124569503,0.16174066124569503,0.16174066124569503,0.16174066124569503,0.16174066124569503,0.16174066124569503,0.16174066124569503,0.08829616731035737,0.08829616731035737,0.08829616731035737,0.08829616731035737,0.08829616731035737,0.08829616731035737,0.08829616731035737,0.16174066124569503,0.16174066124569503,0.08829616731035737,0.08829616731035737
DB,2.8523981333476485,2.7504908115482958,2.7504908115482958,2.7504908115482958,2.7504908115482958,2.7504908115482958,2.511826290873113,2.511826290873113,2.511826290873113,2.511826290873113,2.511826290873113,2.8523981333476485,2.511826290873113,2.511826290873113,2.8523981333476485,2.8523981333476485,2.8523981333476485,2.8523981333476485,2.8523981333476485,2.8523981333476485,2.8523981333476485,2.7504908115482958,2.8523981333476485,2.7504908115482958,2.7504908115482958,2.7504908115482958,2.7504908115482958,2.7504908115482958,2.7504908115482958,2.511826290873113,2.511826290873113,2.511826290873113,2.511826290873113,2.8523981333476485,2.511826290873113,2.511826290873113,2.511826290873113,2.8523981333476485,2.8523981333476485,2.8523981333476485,2.8523981333476485,2.8523981333476485,2.8523981333476485,2.8523981333476485,2.8523981333476485,2.7504908115482958,2.7504908115482958,2.7504908115482958,2.7504908115482958,2.7504908115482958,2.7504908115482958,2.7504908115482958,2.8523981333476485,2.8523981333476485,2.7504908115482958,2.7504908115482958
CH,31.22598876184036,23.99444331927544,23.99444331927544,23.99444331927544,23.99444331927544,23.99444331927544,19.376216499303563,19.376216499303563,19.376216499303563,19.376216499303563,19.376216499303563,31.22598876184036,19.376216499303563,19.376216499303563,31.22598876184036,31.22598876184036,31.22598876184036,31.22598876184036,31.22598876184036,31.22598876184036,31.22598876184036,23.99444331927544,31.22598876184036,23.99444331927544,23.99444331927544,23.99444331927544,23.99444331927544,23.99444331927544,23.99444331927544,19.376216499303563,19.376216499303563,19.376216499303563,19.376216499303563,31.22598876184036,19.376216499303563,19.376216499303563,19.376216499303563,31.22598876184036,31.22598876184036,31.22598876184036,31.22598876184036,31.22598876184036,31.22598876184036,31.22598876184036,31.22598876184036,23.99444331927544,23.99444331927544,23.99444331927544,23.99444331927544,23.99444331927544,23.99444331927544,23.99444331927544,31.22598876184036,31.22598876184036,23.99444331927544,23.99444331927544
AD-S,0.12502362776766515,0.11737577372919857,0.11737577372919857,0.11737577372919857,0.11737577372919857,0.11737577372919857,0.0843433796936446,0.0843433796936446,0.0843433796936446,0.0843433796936446,0.0843433796936446,0.12502362776766515,0.0843433796936446,0.0843433796936446,0.12502362776766515,0.12502362776766515,0.12502362776766515,0.12502362776766515,0.12502362776766515,0.12502362776766515,0.12502362776766515,0.11737577372919857,0.12502362776766515,0.11737577372919857,0.11737577372919857,0.11737577372919857,0.11737577372919857,0.11737577372919857,0.11737577372919857,0.0843433796936446,0.0843433796936446,0.0843433796936446,0.0843433796936446,0.12502362776766515,0.0843433796936446,0.0843433796936446,0.0843433796936446,0.12502362776766515,0.12502362776766515,0.12502362776766515,0.12502362776766515,0.12502362776766515,0.12502362776766515,0.12502362776766515,0.12502362776766515,0.11737577372919857,0.11737577372919857,0.11737577372919857,0.11737577372919857,0.11737577372919857,0.11737577372919857,0.11737577372919857,0.12502362776766515,0.12502362776766515,0.11737577372919857,0.11737577372919857
AD-DB,1.9983164743108588,1.8099766510904214,1.8099766510904214,1.8099766510904214,1.8099766510904214,1.8099766510904214,1.792924287537858,1.792924287537858,1.792924287537858,1.792924287537858,1.792924287537858,1.9983164743108588,1.792924287537858,1.792924287537858,1.9983164743108588,1.9983164743108588,1.9983164743108588,1.9983164743108588,1.9983164743108588,1.9983164743108588,1.9983164743108588,1.8099766510904214,1.9983164743108588,1.8099766510904214,1.8099766510904214,1.8099766510904214,1.8099766510904214,1.8099766510904214,1.8099766510904214,1.792924287537858,1.792924287537858,1.792924287537858,1.792924287537858,1.9983164743108588,1.792924287537858,1.792924287537858,1.792924287537858,1.9983164743108588,1.9983164743108588,1.9983164743108588,1.9983164743108588,1.9983164743108588,1.9983164743108588,1.9983164743108588,1.9983164743108588,1.8099766510904214,1.8099766510904214,1.8099766510904214,1.8099766510904214,1.8099766510904214,1.8099766510904214,1.8099766510904214,1.9983164743108588,1.9983164743108588,1.8099766510904214,1.8099766510904214
AD-CH,85.25520453033982,87.25171160763816,87.25171160763816,87.25171160763816,87.25171160763816,87.25171160763816,85.90205854131395,85.90205854131395,85.90205854131395,85.90205854131395,85.90205854131395,85.25520453033982,85.90205854131395,85.90205854131395,85.25520453033982,85.25520453033982,85.25520453033982,85.25520453033982,85.25520453033982,85.25520453033982,85.25520453033982,87.25171160763816,85.25520453033982,87.25171160763816,87.25171160763816,87.25171160763816,87.25171160763816,87.25171160763816,87.25171160763816,85.90205854131395,85.90205854131395,85.90205854131395,85.90205854131395,85.25520453033982,85.90205854131395,85.90205854131395,85.90205854131395,85.25520453033982,85.25520453033982,85.25520453033982,85.25520453033982,85.25520453033982,85.25520453033982,85.25520453033982,85.25520453033982,87.25171160763816,87.25171160763816,87.25171160763816,87.25171160763816,87.25171160763816,87.25171160763816,87.25171160763816,85.25520453033982,85.25520453033982,87.25171160763816,87.25171160763816
AD-idea,1.5854430555710985,1.4943305106879714,1.4943305106879714,1.4943305106879714,1.4943305106879714,1.4943305106879714,1.4375467973144622,1.4375467973144622,1.4375467973144622,1.4375467973144622,1.4375467973144622,1.5854430555710985,1.4375467973144622,1.4375467973144622,1.5854430555710985,1.5854430555710985,1.5854430555710985,1.5854430555710985,1.5854430555710985,1.5854430555710985,1.5854430555710985,1.4943305106879714,1.5854430555710985,1.4943305106879714,1.4943305106879714,1.4943305106879714,1.4943305106879714,1.4943305106879714,1.4943305106879714,1.4375467973144622,1.4375467973144622,1.4375467973144622,1.4375467973144622,1.5854430555710985,1.4375467973144622,1.4375467973144622,1.4375467973144622,1.5854430555710985,1.5854430555710985,1.5854430555710985,1.5854430555710985,1.5854430555710985,1.5854430555710985,1.5854430555710985,1.5854430555710985,1.4943305106879714,1.4943305106879714,1.4943305106879714,1.4943305106879714,1.4943305106879714,1.4943305106879714,1.4943305106879714,1.5854430555710985,1.5854430555710985,1.4943305106879714,1.4943305106879714
