,labels_ionosphere_KMeans_params1,labels_ionosphere_KMeans_params10,labels_ionosphere_KMeans_params11,labels_ionosphere_KMeans_params12,labels_ionosphere_KMeans_params13,labels_ionosphere_KMeans_params14,labels_ionosphere_KMeans_params15,labels_ionosphere_KMeans_params16,labels_ionosphere_KMeans_params17,labels_ionosphere_KMeans_params18,labels_ionosphere_KMeans_params19,labels_ionosphere_KMeans_params2,labels_ionosphere_KMeans_params20,labels_ionosphere_KMeans_params21,labels_ionosphere_KMeans_params22,labels_ionosphere_KMeans_params23,labels_ionosphere_KMeans_params24,labels_ionosphere_KMeans_params25,labels_ionosphere_KMeans_params26,labels_ionosphere_KMeans_params27,labels_ionosphere_KMeans_params28,labels_ionosphere_KMeans_params29,labels_ionosphere_KMeans_params3,labels_ionosphere_KMeans_params30,labels_ionosphere_KMeans_params31,labels_ionosphere_KMeans_params32,labels_ionosphere_KMeans_params33,labels_ionosphere_KMeans_params34,labels_ionosphere_KMeans_params35,labels_ionosphere_KMeans_params36,labels_ionosphere_KMeans_params37,labels_ionosphere_KMeans_params38,labels_ionosphere_KMeans_params39,labels_ionosphere_KMeans_params4,labels_ionosphere_KMeans_params40,labels_ionosphere_KMeans_params41,labels_ionosphere_KMeans_params42,labels_ionosphere_KMeans_params43,labels_ionosphere_KMeans_params44,labels_ionosphere_KMeans_params45,labels_ionosphere_KMeans_params46,labels_ionosphere_KMeans_params47,labels_ionosphere_KMeans_params48,labels_ionosphere_KMeans_params49,labels_ionosphere_KMeans_params5,labels_ionosphere_KMeans_params50,labels_ionosphere_KMeans_params51,labels_ionosphere_KMeans_params52,labels_ionosphere_KMeans_params53,labels_ionosphere_KMeans_params54,labels_ionosphere_KMeans_params6,labels_ionosphere_KMeans_params7,labels_ionosphere_KMeans_params8,labels_ionosphere_KMeans_params9
B,1.5049555859064094,1.5049555859064094,1.5049555859064094,1.5049555859064094,1.5049555859064094,1.5049555859064094,1.5049555859064094,1.5049555859064094,1.5049555859064094,1.5049555859064094,1.0083504442013704,1.5049555859064094,1.0083504442013704,1.0083504442013704,1.0083504442013704,1.0083504442013704,1.0083504442013704,1.0083504442013704,1.0083504442013704,1.0083504442013704,1.0083504442013704,1.0083504442013704,1.5049555859064094,1.0083504442013704,1.0083504442013704,1.0083504442013704,1.0083504442013704,1.0083504442013704,1.0083504442013704,1.0083504442013704,0.8906073833649235,0.8906073833649235,0.8906073833649235,1.5049555859064094,0.8906073833649235,0.8906073833649235,0.8906073833649235,0.8906073833649235,0.8906073833649235,0.8906073833649235,0.8906073833649235,0.8906073833649235,0.8906073833649235,0.8906073833649235,1.5049555859064094,0.8906073833649235,0.8906073833649235,0.8906073833649235,0.8906073833649235,0.8906073833649235,1.5049555859064094,1.5049555859064094,1.5049555859064094,1.5049555859064094
BH,1255.3737848200979,1255.3737848200979,1255.3737848200979,1255.3737848200979,1255.3737848200979,1255.3737848200979,1255.3737848200979,1255.3737848200979,1255.3737848200979,1255.3737848200979,760.4043239107267,1255.3737848200979,760.4043239107267,760.4043239107267,760.4043239107267,760.4043239107267,760.4043239107267,760.4043239107267,760.4043239107267,760.4043239107267,760.4043239107267,760.4043239107267,1255.3737848200979,760.4043239107267,760.4043239107267,760.4043239107267,760.4043239107267,760.4043239107267,760.4043239107267,760.4043239107267,522.2277631552754,522.2277631552754,522.2277631552754,1255.3737848200979,522.2277631552754,522.2277631552754,522.2277631552754,522.2277631552754,522.2277631552754,522.2277631552754,522.2277631552754,522.2277631552754,522.2277631552754,522.2277631552754,1255.3737848200979,522.2277631552754,522.2277631552754,522.2277631552754,522.2277631552754,522.2277631552754,1255.3737848200979,1255.3737848200979,1255.3737848200979,1255.3737848200979
D,0.1817047036791773,0.1817047036791773,0.1817047036791773,0.1817047036791773,0.1817047036791773,0.1817047036791773,0.1817047036791773,0.1817047036791773,0.1817047036791773,0.1817047036791773,0.16668998592541767,0.1817047036791773,0.16668998592541767,0.16668998592541767,0.16668998592541767,0.16668998592541767,0.16668998592541767,0.16668998592541767,0.16668998592541767,0.16668998592541767,0.16668998592541767,0.16668998592541767,0.1817047036791773,0.16668998592541767,0.16668998592541767,0.16668998592541767,0.16668998592541767,0.16668998592541767,0.16668998592541767,0.16668998592541767,0.1718590541773103,0.1718590541773103,0.1718590541773103,0.1817047036791773,0.1718590541773103,0.1718590541773103,0.1718590541773103,0.1718590541773103,0.1718590541773103,0.1718590541773103,0.1718590541773103,0.1718590541773103,0.1718590541773103,0.1718590541773103,0.1817047036791773,0.1718590541773103,0.1718590541773103,0.1718590541773103,0.1718590541773103,0.1718590541773103,0.1817047036791773,0.1817047036791773,0.1817047036791773,0.1817047036791773
H,0.8282738999727801,0.8282738999727801,0.8282738999727801,0.8282738999727801,0.8282738999727801,0.8282738999727801,0.8282738999727801,0.8282738999727801,0.8282738999727801,0.8282738999727801,1.3796302183705658,0.8282738999727801,1.3796302183705658,1.3796302183705658,1.3796302183705658,1.3796302183705658,1.3796302183705658,1.3796302183705658,1.3796302183705658,1.3796302183705658,1.3796302183705658,1.3796302183705658,0.8282738999727801,1.3796302183705658,1.3796302183705658,1.3796302183705658,1.3796302183705658,1.3796302183705658,1.3796302183705658,1.3796302183705658,1.6619206324726548,1.6619206324726548,1.6619206324726548,0.8282738999727801,1.6619206324726548,1.6619206324726548,1.6619206324726548,1.6619206324726548,1.6619206324726548,1.6619206324726548,1.6619206324726548,1.6619206324726548,1.6619206324726548,1.6619206324726548,0.8282738999727801,1.6619206324726548,1.6619206324726548,1.6619206324726548,1.6619206324726548,1.6619206324726548,0.8282738999727801,0.8282738999727801,0.8282738999727801,0.8282738999727801
DBCV,-0.9562434172818319,-0.9562434172818319,-0.9562434172818319,-0.9562434172818319,-0.9562434172818319,-0.9562434172818319,-0.9562434172818319,-0.9562434172818319,-0.9562434172818319,-0.9562434172818319,-0.8952124929955386,-0.9562434172818319,-0.8952124929955386,-0.8952124929955386,-0.8952124929955386,-0.8952124929955386,-0.8952124929955386,-0.8952124929955386,-0.8952124929955386,-0.8952124929955386,-0.8952124929955386,-0.8952124929955386,-0.9562434172818319,-0.8952124929955386,-0.8952124929955386,-0.8952124929955386,-0.8952124929955386,-0.8952124929955386,-0.8952124929955386,-0.8952124929955386,-0.9388597549384526,-0.9388597549384526,-0.9388597549384526,-0.9562434172818319,-0.9388597549384526,-0.9388597549384526,-0.9388597549384526,-0.9388597549384526,-0.9388597549384526,-0.9388597549384526,-0.9388597549384526,-0.9388597549384526,-0.9388597549384526,-0.9388597549384526,-0.9562434172818319,-0.9388597549384526,-0.9388597549384526,-0.9388597549384526,-0.9388597549384526,-0.9388597549384526,-0.9562434172818319,-0.9562434172818319,-0.9562434172818319,-0.9562434172818319
I,3.557906336850956,3.557906336850956,3.557906336850956,3.557906336850956,3.557906336850956,3.557906336850956,3.557906336850956,3.557906336850956,3.557906336850956,3.557906336850956,3.3232166403687122,3.557906336850956,3.3232166403687122,3.3232166403687122,3.3232166403687122,3.3232166403687122,3.3232166403687122,3.3232166403687122,3.3232166403687122,3.3232166403687122,3.3232166403687122,3.3232166403687122,3.557906336850956,3.3232166403687122,3.3232166403687122,3.3232166403687122,3.3232166403687122,3.3232166403687122,3.3232166403687122,3.3232166403687122,2.1676418729931224,2.1676418729931224,2.1676418729931224,3.557906336850956,2.1676418729931224,2.1676418729931224,2.1676418729931224,2.1676418729931224,2.1676418729931224,2.1676418729931224,2.1676418729931224,2.1676418729931224,2.1676418729931224,2.1676418729931224,3.557906336850956,2.1676418729931224,2.1676418729931224,2.1676418729931224,2.1676418729931224,2.1676418729931224,3.557906336850956,3.557906336850956,3.557906336850956,3.557906336850956
C,0.22406690546031552,0.22406690546031552,0.22406690546031552,0.22406690546031552,0.22406690546031552,0.22406690546031552,0.22406690546031552,0.22406690546031552,0.22406690546031552,0.22406690546031552,0.19338867026957818,0.22406690546031552,0.19338867026957818,0.19338867026957818,0.19338867026957818,0.19338867026957818,0.19338867026957818,0.19338867026957818,0.19338867026957818,0.19338867026957818,0.19338867026957818,0.19338867026957818,0.22406690546031552,0.19338867026957818,0.19338867026957818,0.19338867026957818,0.19338867026957818,0.19338867026957818,0.19338867026957818,0.19338867026957818,0.17758945575436128,0.17758945575436128,0.17758945575436128,0.22406690546031552,0.17758945575436128,0.17758945575436128,0.17758945575436128,0.17758945575436128,0.17758945575436128,0.17758945575436128,0.17758945575436128,0.17758945575436128,0.17758945575436128,0.17758945575436128,0.22406690546031552,0.17758945575436128,0.17758945575436128,0.17758945575436128,0.17758945575436128,0.17758945575436128,0.22406690546031552,0.22406690546031552,0.22406690546031552,0.22406690546031552
VIASCKDE,0.014811853947840379,0.014811853947840379,0.014811853947840379,0.014811853947840379,0.014811853947840379,0.014811853947840379,0.014811853947840379,0.014811853947840379,0.014811853947840379,0.014811853947840379,0.02072246004258435,0.014811853947840379,0.02072246004258435,0.02072246004258435,0.02072246004258435,0.02072246004258435,0.02072246004258435,0.02072246004258435,0.02072246004258435,0.02072246004258435,0.02072246004258435,0.02072246004258435,0.014811853947840379,0.02072246004258435,0.02072246004258435,0.02072246004258435,0.02072246004258435,0.02072246004258435,0.02072246004258435,0.02072246004258435,0.025442835844420628,0.025442835844420628,0.025442835844420628,0.014811853947840379,0.025442835844420628,0.025442835844420628,0.025442835844420628,0.025442835844420628,0.025442835844420628,0.025442835844420628,0.025442835844420628,0.025442835844420628,0.025442835844420628,0.025442835844420628,0.014811853947840379,0.025442835844420628,0.025442835844420628,0.025442835844420628,0.025442835844420628,0.025442835844420628,0.014811853947840379,0.014811853947840379,0.014811853947840379,0.014811853947840379
COP,0.3687908822527863,0.3687908822527863,0.3687908822527863,0.3687908822527863,0.3687908822527863,0.3687908822527863,0.3687908822527863,0.3687908822527863,0.3687908822527863,0.3687908822527863,0.352237460622993,0.3687908822527863,0.352237460622993,0.352237460622993,0.352237460622993,0.352237460622993,0.352237460622993,0.352237460622993,0.352237460622993,0.352237460622993,0.352237460622993,0.352237460622993,0.3687908822527863,0.352237460622993,0.352237460622993,0.352237460622993,0.352237460622993,0.352237460622993,0.352237460622993,0.352237460622993,0.3549774116982203,0.3549774116982203,0.3549774116982203,0.3687908822527863,0.3549774116982203,0.3549774116982203,0.3549774116982203,0.3549774116982203,0.3549774116982203,0.3549774116982203,0.3549774116982203,0.3549774116982203,0.3549774116982203,0.3549774116982203,0.3687908822527863,0.3549774116982203,0.3549774116982203,0.3549774116982203,0.3549774116982203,0.3549774116982203,0.3687908822527863,0.3687908822527863,0.3687908822527863,0.3687908822527863
Sym,0.0007089205781822337,0.0007089205781822337,0.0007089205781822337,0.0007089205781822337,0.0007089205781822337,0.0007089205781822337,0.0007089205781822337,0.0007089205781822337,0.0007089205781822337,0.0007089205781822337,0.000713128232604509,0.0007089205781822337,0.000713128232604509,0.000713128232604509,0.000713128232604509,0.000713128232604509,0.000713128232604509,0.000713128232604509,0.000713128232604509,0.000713128232604509,0.000713128232604509,0.000713128232604509,0.0007089205781822337,0.000713128232604509,0.000713128232604509,0.000713128232604509,0.000713128232604509,0.000713128232604509,0.000713128232604509,0.000713128232604509,0.0006003214134063578,0.0006003214134063578,0.0006003214134063578,0.0007089205781822337,0.0006003214134063578,0.0006003214134063578,0.0006003214134063578,0.0006003214134063578,0.0006003214134063578,0.0006003214134063578,0.0006003214134063578,0.0006003214134063578,0.0006003214134063578,0.0006003214134063578,0.0007089205781822337,0.0006003214134063578,0.0006003214134063578,0.0006003214134063578,0.0006003214134063578,0.0006003214134063578,0.0007089205781822337,0.0007089205781822337,0.0007089205781822337,0.0007089205781822337
