,labels_x3_HDBSCAN_params1,labels_x3_HDBSCAN_params10,labels_x3_HDBSCAN_params11,labels_x3_HDBSCAN_params12,labels_x3_HDBSCAN_params13,labels_x3_HDBSCAN_params14,labels_x3_HDBSCAN_params15,labels_x3_HDBSCAN_params16,labels_x3_HDBSCAN_params17,labels_x3_HDBSCAN_params18,labels_x3_HDBSCAN_params19,labels_x3_HDBSCAN_params2,labels_x3_HDBSCAN_params20,labels_x3_HDBSCAN_params21,labels_x3_HDBSCAN_params22,labels_x3_HDBSCAN_params23,labels_x3_HDBSCAN_params24,labels_x3_HDBSCAN_params25,labels_x3_HDBSCAN_params26,labels_x3_HDBSCAN_params27,labels_x3_HDBSCAN_params28,labels_x3_HDBSCAN_params29,labels_x3_HDBSCAN_params3,labels_x3_HDBSCAN_params30,labels_x3_HDBSCAN_params31,labels_x3_HDBSCAN_params32,labels_x3_HDBSCAN_params33,labels_x3_HDBSCAN_params34,labels_x3_HDBSCAN_params35,labels_x3_HDBSCAN_params36,labels_x3_HDBSCAN_params37,labels_x3_HDBSCAN_params38,labels_x3_HDBSCAN_params39,labels_x3_HDBSCAN_params4,labels_x3_HDBSCAN_params40,labels_x3_HDBSCAN_params41,labels_x3_HDBSCAN_params42,labels_x3_HDBSCAN_params43,labels_x3_HDBSCAN_params44,labels_x3_HDBSCAN_params45,labels_x3_HDBSCAN_params46,labels_x3_HDBSCAN_params47,labels_x3_HDBSCAN_params48,labels_x3_HDBSCAN_params49,labels_x3_HDBSCAN_params5,labels_x3_HDBSCAN_params50,labels_x3_HDBSCAN_params51,labels_x3_HDBSCAN_params52,labels_x3_HDBSCAN_params53,labels_x3_HDBSCAN_params54,labels_x3_HDBSCAN_params55,labels_x3_HDBSCAN_params56,labels_x3_HDBSCAN_params57,labels_x3_HDBSCAN_params58,labels_x3_HDBSCAN_params59,labels_x3_HDBSCAN_params6,labels_x3_HDBSCAN_params60,labels_x3_HDBSCAN_params61,labels_x3_HDBSCAN_params62,labels_x3_HDBSCAN_params63,labels_x3_HDBSCAN_params7,labels_x3_HDBSCAN_params8,labels_x3_HDBSCAN_params9
B,1.595632211338264,0.9349276971534171,0.9349276971534171,1.3729714556347499,2.85879027265307,2.85879027265307,2.283597194403848,2.283597194403848,2.283597194403848,2.283597194403848,2.283597194403848,1.595632211338264,2.283597194403848,2.283597194403848,1.1289885477272297,1.1289885477272297,1.1289885477272297,1.1289885477272297,2.1507773430761583,2.6066939105435774,2.6066939105435774,0.9248837335742045,1.595632211338264,0.9248837335742045,0.9248837335742045,0.9248837335742045,1.4344143235236493,2.85879027265307,2.85879027265307,2.283597194403848,2.283597194403848,2.283597194403848,2.283597194403848,1.1289885477272297,2.283597194403848,2.283597194403848,2.283597194403848,1.2237474902887464,1.2237474902887464,1.2237474902887464,1.2237474902887464,2.6066939105435774,2.6066939105435774,2.6066939105435774,2.1507773430761583,2.85879027265307,2.85879027265307,2.85879027265307,2.85879027265307,2.85879027265307,2.85879027265307,2.85879027265307,2.283597194403848,2.283597194403848,2.283597194403848,2.6066939105435774,2.283597194403848,2.283597194403848,2.283597194403848,2.283597194403848,2.6066939105435774,0.9349276971534171,0.9349276971534171
BH,0.25140224104125913,0.28945822543575755,0.28945822543575755,1.3553929713230868,9.554837609320762,9.554837609320762,6.715094176436239,6.715094176436239,6.715094176436239,6.715094176436239,6.715094176436239,0.25140224104125913,6.715094176436239,6.715094176436239,0.3606208342307431,0.3606208342307431,0.3606208342307431,0.3606208342307431,6.034209499819199,11.483584239434032,11.483584239434032,0.3167327902063922,0.25140224104125913,0.3167327902063922,0.3167327902063922,0.3167327902063922,1.6559698637582123,9.554837609320762,9.554837609320762,6.715094176436239,6.715094176436239,6.715094176436239,6.715094176436239,0.3606208342307431,6.715094176436239,6.715094176436239,6.715094176436239,0.4170027182258812,0.4170027182258812,0.4170027182258812,0.4170027182258812,11.483584239434032,11.483584239434032,11.483584239434032,6.034209499819199,9.554837609320762,9.554837609320762,9.554837609320762,9.554837609320762,9.554837609320762,9.554837609320762,9.554837609320762,6.715094176436239,6.715094176436239,6.715094176436239,11.483584239434032,6.715094176436239,6.715094176436239,6.715094176436239,6.715094176436239,11.483584239434032,0.28945822543575755,0.28945822543575755
D,0.06979724727152632,0.04711142320073714,0.04711142320073714,0.07814053748726922,0.04669344751199203,0.04669344751199203,0.0071203318801819,0.0071203318801819,0.0071203318801819,0.0071203318801819,0.0071203318801819,0.06979724727152632,0.0071203318801819,0.0071203318801819,0.06376587305881534,0.06376587305881534,0.06376587305881534,0.06376587305881534,0.014298238037308147,0.1282023204191878,0.1282023204191878,0.01736871057115456,0.06979724727152632,0.01736871057115456,0.01736871057115456,0.01736871057115456,0.083992734889165,0.04669344751199203,0.04669344751199203,0.0071203318801819,0.0071203318801819,0.0071203318801819,0.0071203318801819,0.06376587305881534,0.0071203318801819,0.0071203318801819,0.0071203318801819,0.05360173243150185,0.05360173243150185,0.05360173243150185,0.05360173243150185,0.1282023204191878,0.1282023204191878,0.1282023204191878,0.014298238037308147,0.04669344751199203,0.04669344751199203,0.04669344751199203,0.04669344751199203,0.04669344751199203,0.04669344751199203,0.04669344751199203,0.0071203318801819,0.0071203318801819,0.0071203318801819,0.1282023204191878,0.0071203318801819,0.0071203318801819,0.0071203318801819,0.0071203318801819,0.1282023204191878,0.04711142320073714,0.04711142320073714
H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBCV,0.5416831418753143,0.46384330291732057,0.46384330291732057,0.5237272146808002,0.5595930829284551,0.5595930829284551,0.7064271019391316,0.7064271019391316,0.7064271019391316,0.7064271019391316,0.7064271019391316,0.5416831418753143,0.7064271019391316,0.7064271019391316,0.529405905313934,0.529405905313934,0.529405905313934,0.529405905313934,0.5800839458352386,0.7589564830060794,0.7589564830060794,0.4313871002526866,0.5416831418753143,0.4313871002526866,0.4313871002526866,0.4313871002526866,0.49127101201616624,0.5595930829284551,0.5595930829284551,0.7064271019391316,0.7064271019391316,0.7064271019391316,0.7064271019391316,0.529405905313934,0.7064271019391316,0.7064271019391316,0.7064271019391316,0.4110990368352404,0.4110990368352404,0.4110990368352404,0.4110990368352404,0.7589564830060794,0.7589564830060794,0.7589564830060794,0.5800839458352386,0.5595930829284551,0.5595930829284551,0.5595930829284551,0.5595930829284551,0.5595930829284551,0.5595930829284551,0.5595930829284551,0.7064271019391316,0.7064271019391316,0.7064271019391316,0.7589564830060794,0.7064271019391316,0.7064271019391316,0.7064271019391316,0.7064271019391316,0.7589564830060794,0.46384330291732057,0.46384330291732057
I,2.509592158493559,3.4716134921390696,3.4716134921390696,0.8537866365250577,0.2702149793030397,0.2702149793030397,0.42193597163448804,0.42193597163448804,0.42193597163448804,0.42193597163448804,0.42193597163448804,2.509592158493559,0.42193597163448804,0.42193597163448804,2.1836099933745583,2.1836099933745583,2.1836099933745583,2.1836099933745583,0.4284538000961214,0.22243112814074506,0.22243112814074506,4.244935676446569,2.509592158493559,4.244935676446569,4.244935676446569,4.244935676446569,0.7951292525076079,0.2702149793030397,0.2702149793030397,0.42193597163448804,0.42193597163448804,0.42193597163448804,0.42193597163448804,2.1836099933745583,0.42193597163448804,0.42193597163448804,0.42193597163448804,5.609576942497119,5.609576942497119,5.609576942497119,5.609576942497119,0.22243112814074506,0.22243112814074506,0.22243112814074506,0.4284538000961214,0.2702149793030397,0.2702149793030397,0.2702149793030397,0.2702149793030397,0.2702149793030397,0.2702149793030397,0.2702149793030397,0.42193597163448804,0.42193597163448804,0.42193597163448804,0.22243112814074506,0.42193597163448804,0.42193597163448804,0.42193597163448804,0.42193597163448804,0.22243112814074506,3.4716134921390696,3.4716134921390696
C,0.3478135566748057,0.3819909247391114,0.3819909247391114,0.21095250071717742,0.19312260311782725,0.19312260311782725,0.17151719130377102,0.17151719130377102,0.17151719130377102,0.17151719130377102,0.17151719130377102,0.3478135566748057,0.17151719130377102,0.17151719130377102,0.2587616051260084,0.2587616051260084,0.2587616051260084,0.2587616051260084,0.19713545438336758,0.19457831909369808,0.19457831909369808,0.403042704642511,0.3478135566748057,0.403042704642511,0.403042704642511,0.403042704642511,0.22401042247398062,0.19312260311782725,0.19312260311782725,0.17151719130377102,0.17151719130377102,0.17151719130377102,0.17151719130377102,0.2587616051260084,0.17151719130377102,0.17151719130377102,0.17151719130377102,0.34078855515626477,0.34078855515626477,0.34078855515626477,0.34078855515626477,0.19457831909369808,0.19457831909369808,0.19457831909369808,0.19713545438336758,0.19312260311782725,0.19312260311782725,0.19312260311782725,0.19312260311782725,0.19312260311782725,0.19312260311782725,0.19312260311782725,0.17151719130377102,0.17151719130377102,0.17151719130377102,0.19457831909369808,0.17151719130377102,0.17151719130377102,0.17151719130377102,0.17151719130377102,0.19457831909369808,0.3819909247391114,0.3819909247391114
CDbw,1.0175942276061585,0.5424266293979311,0.5424266293979311,0.44100920006747835,0.1206749697670152,0.1206749697670152,0.14957872175832307,0.14957872175832307,0.14957872175832307,0.14957872175832307,0.14957872175832307,1.0175942276061585,0.14957872175832307,0.14957872175832307,0.6941835460174605,0.6941835460174605,0.6941835460174605,0.6941835460174605,0.14695761107201982,0.10218229014126012,0.10218229014126012,0.32277962257453285,1.0175942276061585,0.32277962257453285,0.32277962257453285,0.32277962257453285,0.2640952409165397,0.1206749697670152,0.1206749697670152,0.14957872175832307,0.14957872175832307,0.14957872175832307,0.14957872175832307,0.6941835460174605,0.14957872175832307,0.14957872175832307,0.14957872175832307,0.5215304639841708,0.5215304639841708,0.5215304639841708,0.5215304639841708,0.10218229014126012,0.10218229014126012,0.10218229014126012,0.14695761107201982,0.1206749697670152,0.1206749697670152,0.1206749697670152,0.1206749697670152,0.1206749697670152,0.1206749697670152,0.1206749697670152,0.14957872175832307,0.14957872175832307,0.14957872175832307,0.10218229014126012,0.14957872175832307,0.14957872175832307,0.14957872175832307,0.14957872175832307,0.10218229014126012,0.5424266293979311,0.5424266293979311
VIASCKDE,0.3164482370226489,0.27180914684948737,0.27180914684948737,0.3013803481540738,0.34218579904239793,0.34218579904239793,0.39716892512518154,0.39716892512518154,0.39716892512518154,0.39716892512518154,0.39716892512518154,0.3164482370226489,0.39716892512518154,0.39716892512518154,0.38409661096794245,0.38409661096794245,0.38409661096794245,0.38409661096794245,0.36310228677135015,0.3752351086293321,0.3752351086293321,0.31750935385006374,0.3164482370226489,0.31750935385006374,0.31750935385006374,0.31750935385006374,0.3643177794085724,0.34218579904239793,0.34218579904239793,0.39716892512518154,0.39716892512518154,0.39716892512518154,0.39716892512518154,0.38409661096794245,0.39716892512518154,0.39716892512518154,0.39716892512518154,0.41422870561347636,0.41422870561347636,0.41422870561347636,0.41422870561347636,0.3752351086293321,0.3752351086293321,0.3752351086293321,0.36310228677135015,0.34218579904239793,0.34218579904239793,0.34218579904239793,0.34218579904239793,0.34218579904239793,0.34218579904239793,0.34218579904239793,0.39716892512518154,0.39716892512518154,0.39716892512518154,0.3752351086293321,0.39716892512518154,0.39716892512518154,0.39716892512518154,0.39716892512518154,0.3752351086293321,0.27180914684948737,0.27180914684948737
COP,0.3175056664323659,0.37563071008758364,0.37563071008758364,0.3450427234013155,0.4011429315130269,0.4011429315130269,0.39161057343587774,0.39161057343587774,0.39161057343587774,0.39161057343587774,0.39161057343587774,0.3175056664323659,0.39161057343587774,0.39161057343587774,0.3167625578725341,0.3167625578725341,0.3167625578725341,0.3167625578725341,0.37917188083778075,0.40183095662383234,0.40183095662383234,0.3851796054793916,0.3175056664323659,0.3851796054793916,0.3851796054793916,0.3851796054793916,0.34760618711005936,0.4011429315130269,0.4011429315130269,0.39161057343587774,0.39161057343587774,0.39161057343587774,0.39161057343587774,0.3167625578725341,0.39161057343587774,0.39161057343587774,0.39161057343587774,0.33452897478488947,0.33452897478488947,0.33452897478488947,0.33452897478488947,0.40183095662383234,0.40183095662383234,0.40183095662383234,0.37917188083778075,0.4011429315130269,0.4011429315130269,0.4011429315130269,0.4011429315130269,0.4011429315130269,0.4011429315130269,0.4011429315130269,0.39161057343587774,0.39161057343587774,0.39161057343587774,0.40183095662383234,0.39161057343587774,0.39161057343587774,0.39161057343587774,0.39161057343587774,0.40183095662383234,0.37563071008758364,0.37563071008758364
Sym,0.02535974361278854,0.021040134055918314,0.021040134055918314,0.022215635502791264,0.028696760746154154,0.028696760746154154,0.020739739541706086,0.020739739541706086,0.020739739541706086,0.020739739541706086,0.020739739541706086,0.02535974361278854,0.020739739541706086,0.020739739541706086,0.030733301513523863,0.030733301513523863,0.030733301513523863,0.030733301513523863,0.03652061989542129,0.03233687729070959,0.03233687729070959,0.021743633272090175,0.02535974361278854,0.021743633272090175,0.021743633272090175,0.021743633272090175,0.01799828826819599,0.028696760746154154,0.028696760746154154,0.020739739541706086,0.020739739541706086,0.020739739541706086,0.020739739541706086,0.030733301513523863,0.020739739541706086,0.020739739541706086,0.020739739541706086,0.027374455193739936,0.027374455193739936,0.027374455193739936,0.027374455193739936,0.03233687729070959,0.03233687729070959,0.03233687729070959,0.03652061989542129,0.028696760746154154,0.028696760746154154,0.028696760746154154,0.028696760746154154,0.028696760746154154,0.028696760746154154,0.028696760746154154,0.020739739541706086,0.020739739541706086,0.020739739541706086,0.03233687729070959,0.020739739541706086,0.020739739541706086,0.020739739541706086,0.020739739541706086,0.03233687729070959,0.021040134055918314,0.021040134055918314
CS,1.2711218110547264,1.4567892337897304,1.4567892337897304,1.6149578717386852,3.0111329735230985,3.0111329735230985,2.063825465363115,2.063825465363115,2.063825465363115,2.063825465363115,2.063825465363115,1.2711218110547264,2.063825465363115,2.063825465363115,1.3498576449454014,1.3498576449454014,1.3498576449454014,1.3498576449454014,2.276779241049885,2.362092616109844,2.362092616109844,1.7614340404359259,1.2711218110547264,1.7614340404359259,1.7614340404359259,1.7614340404359259,1.8772199651120531,3.0111329735230985,3.0111329735230985,2.063825465363115,2.063825465363115,2.063825465363115,2.063825465363115,1.3498576449454014,2.063825465363115,2.063825465363115,2.063825465363115,1.5938448922002366,1.5938448922002366,1.5938448922002366,1.5938448922002366,2.362092616109844,2.362092616109844,2.362092616109844,2.276779241049885,3.0111329735230985,3.0111329735230985,3.0111329735230985,3.0111329735230985,3.0111329735230985,3.0111329735230985,3.0111329735230985,2.063825465363115,2.063825465363115,2.063825465363115,2.362092616109844,2.063825465363115,2.063825465363115,2.063825465363115,2.063825465363115,2.362092616109844,1.4567892337897304,1.4567892337897304
SF,0.27023521015140695,0.25483838223046784,0.25483838223046784,0.23349990490531236,0.22341019758398273,0.22341019758398273,0.25884013528103267,0.25884013528103267,0.25884013528103267,0.25884013528103267,0.25884013528103267,0.27023521015140695,0.25884013528103267,0.25884013528103267,0.24359950063202074,0.24359950063202074,0.24359950063202074,0.24359950063202074,0.2101366773972526,0.22825492724837582,0.22825492724837582,0.285810461275005,0.27023521015140695,0.285810461275005,0.285810461275005,0.285810461275005,0.2700337059866389,0.22341019758398273,0.22341019758398273,0.25884013528103267,0.25884013528103267,0.25884013528103267,0.25884013528103267,0.24359950063202074,0.25884013528103267,0.25884013528103267,0.25884013528103267,0.31789940476264955,0.31789940476264955,0.31789940476264955,0.31789940476264955,0.22825492724837582,0.22825492724837582,0.22825492724837582,0.2101366773972526,0.22341019758398273,0.22341019758398273,0.22341019758398273,0.22341019758398273,0.22341019758398273,0.22341019758398273,0.22341019758398273,0.25884013528103267,0.25884013528103267,0.25884013528103267,0.22825492724837582,0.25884013528103267,0.25884013528103267,0.25884013528103267,0.25884013528103267,0.22825492724837582,0.25483838223046784,0.25483838223046784
SD,569925.0304418834,737382.2740529543,737382.2740529543,1062720.5491651602,2594421.4675139366,2594421.4675139366,2128201.8992655654,2128201.8992655654,2128201.8992655654,2128201.8992655654,2128201.8992655654,569925.0304418834,2128201.8992655654,2128201.8992655654,788108.8691977246,788108.8691977246,788108.8691977246,788108.8691977246,1866652.7511803077,2561869.7126506246,2561869.7126506246,830406.2139876449,569925.0304418834,830406.2139876449,830406.2139876449,830406.2139876449,1214382.650991754,2594421.4675139366,2594421.4675139366,2128201.8992655654,2128201.8992655654,2128201.8992655654,2128201.8992655654,788108.8691977246,2128201.8992655654,2128201.8992655654,2128201.8992655654,947553.8631351719,947553.8631351719,947553.8631351719,947553.8631351719,2561869.7126506246,2561869.7126506246,2561869.7126506246,1866652.7511803077,2594421.4675139366,2594421.4675139366,2594421.4675139366,2594421.4675139366,2594421.4675139366,2594421.4675139366,2594421.4675139366,2128201.8992655654,2128201.8992655654,2128201.8992655654,2561869.7126506246,2128201.8992655654,2128201.8992655654,2128201.8992655654,2128201.8992655654,2561869.7126506246,737382.2740529543,737382.2740529543
SDbw,0.8356119643383833,0.9911346758668775,0.9911346758668775,1.3035217056992434,1.9155394413432631,1.9155394413432631,1.6486882857381955,1.6486882857381955,1.6486882857381955,1.6486882857381955,1.6486882857381955,0.8356119643383833,1.6486882857381955,1.6486882857381955,0.9268238351956635,0.9268238351956635,0.9268238351956635,0.9268238351956635,1.3622099214207801,1.9224265441017345,1.9224265441017345,1.2226868196121092,0.8356119643383833,1.2226868196121092,1.2226868196121092,1.2226868196121092,1.3366737160849111,1.9155394413432631,1.9155394413432631,1.6486882857381955,1.6486882857381955,1.6486882857381955,1.6486882857381955,0.9268238351956635,1.6486882857381955,1.6486882857381955,1.6486882857381955,1.1671518065936832,1.1671518065936832,1.1671518065936832,1.1671518065936832,1.9224265441017345,1.9224265441017345,1.9224265441017345,1.3622099214207801,1.9155394413432631,1.9155394413432631,1.9155394413432631,1.9155394413432631,1.9155394413432631,1.9155394413432631,1.9155394413432631,1.6486882857381955,1.6486882857381955,1.6486882857381955,1.9224265441017345,1.6486882857381955,1.6486882857381955,1.6486882857381955,1.6486882857381955,1.9224265441017345,0.9911346758668775,0.9911346758668775
XB*,156.58693315983646,152.02538831775155,152.02538831775155,6.189206306650382,9.84076207892298,9.84076207892298,3.941644048816665,3.941644048816665,3.941644048816665,3.941644048816665,3.941644048816665,156.58693315983646,3.941644048816665,3.941644048816665,75.84779012877448,75.84779012877448,75.84779012877448,75.84779012877448,79.61119177303496,2.9624266488897906,2.9624266488897906,486.7584431427321,156.58693315983646,486.7584431427321,486.7584431427321,486.7584431427321,6.132162814351938,9.84076207892298,9.84076207892298,3.941644048816665,3.941644048816665,3.941644048816665,3.941644048816665,75.84779012877448,3.941644048816665,3.941644048816665,3.941644048816665,12.619108261969494,12.619108261969494,12.619108261969494,12.619108261969494,2.9624266488897906,2.9624266488897906,2.9624266488897906,79.61119177303496,9.84076207892298,9.84076207892298,9.84076207892298,9.84076207892298,9.84076207892298,9.84076207892298,9.84076207892298,3.941644048816665,3.941644048816665,3.941644048816665,2.9624266488897906,3.941644048816665,3.941644048816665,3.941644048816665,3.941644048816665,2.9624266488897906,152.02538831775155,152.02538831775155
S,0.15154623905871945,0.07977570760209186,0.07977570760209186,0.2208575554302415,0.3569739842079472,0.3569739842079472,0.37060290659676864,0.37060290659676864,0.37060290659676864,0.37060290659676864,0.37060290659676864,0.15154623905871945,0.37060290659676864,0.37060290659676864,0.27650648806439154,0.27650648806439154,0.27650648806439154,0.27650648806439154,0.2722766351780285,0.3761848260947311,0.3761848260947311,0.06625027995503455,0.15154623905871945,0.06625027995503455,0.06625027995503455,0.06625027995503455,0.21948178673611807,0.3569739842079472,0.3569739842079472,0.37060290659676864,0.37060290659676864,0.37060290659676864,0.37060290659676864,0.27650648806439154,0.37060290659676864,0.37060290659676864,0.37060290659676864,0.22318503391018993,0.22318503391018993,0.22318503391018993,0.22318503391018993,0.3761848260947311,0.3761848260947311,0.3761848260947311,0.2722766351780285,0.3569739842079472,0.3569739842079472,0.3569739842079472,0.3569739842079472,0.3569739842079472,0.3569739842079472,0.3569739842079472,0.37060290659676864,0.37060290659676864,0.37060290659676864,0.3761848260947311,0.37060290659676864,0.37060290659676864,0.37060290659676864,0.37060290659676864,0.3761848260947311,0.07977570760209186,0.07977570760209186
DB,4.956864602221442,5.167426575144421,5.167426575144421,2.056842202993328,3.424833189462871,3.424833189462871,2.1439191413592904,2.1439191413592904,2.1439191413592904,2.1439191413592904,2.1439191413592904,4.956864602221442,2.1439191413592904,2.1439191413592904,3.9336002837004043,3.9336002837004043,3.9336002837004043,3.9336002837004043,6.830763386958923,2.265654992362908,2.265654992362908,10.048892729480238,4.956864602221442,10.048892729480238,10.048892729480238,10.048892729480238,2.088735769523505,3.424833189462871,3.424833189462871,2.1439191413592904,2.1439191413592904,2.1439191413592904,2.1439191413592904,3.9336002837004043,2.1439191413592904,2.1439191413592904,2.1439191413592904,2.3627093892204654,2.3627093892204654,2.3627093892204654,2.3627093892204654,2.265654992362908,2.265654992362908,2.265654992362908,6.830763386958923,3.424833189462871,3.424833189462871,3.424833189462871,3.424833189462871,3.424833189462871,3.424833189462871,3.424833189462871,2.1439191413592904,2.1439191413592904,2.1439191413592904,2.265654992362908,2.1439191413592904,2.1439191413592904,2.1439191413592904,2.1439191413592904,2.265654992362908,5.167426575144421,5.167426575144421
CH,28.720209280320574,19.674075277937085,19.674075277937085,30.77801429665398,33.181828042800106,33.181828042800106,40.50463474963512,40.50463474963512,40.50463474963512,40.50463474963512,40.50463474963512,28.720209280320574,40.50463474963512,40.50463474963512,34.67020086070579,34.67020086070579,34.67020086070579,34.67020086070579,31.119700914850572,38.941674898316855,38.941674898316855,20.904032153874212,28.720209280320574,20.904032153874212,20.904032153874212,20.904032153874212,37.36663269277122,33.181828042800106,33.181828042800106,40.50463474963512,40.50463474963512,40.50463474963512,40.50463474963512,34.67020086070579,40.50463474963512,40.50463474963512,40.50463474963512,37.4418073945879,37.4418073945879,37.4418073945879,37.4418073945879,38.941674898316855,38.941674898316855,38.941674898316855,31.119700914850572,33.181828042800106,33.181828042800106,33.181828042800106,33.181828042800106,33.181828042800106,33.181828042800106,33.181828042800106,40.50463474963512,40.50463474963512,40.50463474963512,38.941674898316855,40.50463474963512,40.50463474963512,40.50463474963512,40.50463474963512,38.941674898316855,19.674075277937085,19.674075277937085
