,labels_lsun_HDBSCAN_params1,labels_lsun_HDBSCAN_params10,labels_lsun_HDBSCAN_params11,labels_lsun_HDBSCAN_params12,labels_lsun_HDBSCAN_params13,labels_lsun_HDBSCAN_params14,labels_lsun_HDBSCAN_params15,labels_lsun_HDBSCAN_params16,labels_lsun_HDBSCAN_params17,labels_lsun_HDBSCAN_params18,labels_lsun_HDBSCAN_params19,labels_lsun_HDBSCAN_params2,labels_lsun_HDBSCAN_params20,labels_lsun_HDBSCAN_params21,labels_lsun_HDBSCAN_params22,labels_lsun_HDBSCAN_params23,labels_lsun_HDBSCAN_params24,labels_lsun_HDBSCAN_params25,labels_lsun_HDBSCAN_params26,labels_lsun_HDBSCAN_params27,labels_lsun_HDBSCAN_params28,labels_lsun_HDBSCAN_params29,labels_lsun_HDBSCAN_params3,labels_lsun_HDBSCAN_params30,labels_lsun_HDBSCAN_params31,labels_lsun_HDBSCAN_params32,labels_lsun_HDBSCAN_params33,labels_lsun_HDBSCAN_params34,labels_lsun_HDBSCAN_params35,labels_lsun_HDBSCAN_params36,labels_lsun_HDBSCAN_params37,labels_lsun_HDBSCAN_params38,labels_lsun_HDBSCAN_params39,labels_lsun_HDBSCAN_params4,labels_lsun_HDBSCAN_params40,labels_lsun_HDBSCAN_params41,labels_lsun_HDBSCAN_params42,labels_lsun_HDBSCAN_params43,labels_lsun_HDBSCAN_params44,labels_lsun_HDBSCAN_params45,labels_lsun_HDBSCAN_params46,labels_lsun_HDBSCAN_params47,labels_lsun_HDBSCAN_params48,labels_lsun_HDBSCAN_params49,labels_lsun_HDBSCAN_params5,labels_lsun_HDBSCAN_params50,labels_lsun_HDBSCAN_params51,labels_lsun_HDBSCAN_params52,labels_lsun_HDBSCAN_params53,labels_lsun_HDBSCAN_params54,labels_lsun_HDBSCAN_params55,labels_lsun_HDBSCAN_params56,labels_lsun_HDBSCAN_params57,labels_lsun_HDBSCAN_params58,labels_lsun_HDBSCAN_params59,labels_lsun_HDBSCAN_params6,labels_lsun_HDBSCAN_params60,labels_lsun_HDBSCAN_params61,labels_lsun_HDBSCAN_params62,labels_lsun_HDBSCAN_params63,labels_lsun_HDBSCAN_params7,labels_lsun_HDBSCAN_params8,labels_lsun_HDBSCAN_params9
B,1.3945734057691277,1.6431620770310216,1.6431620770310216,2.2328775254637425,1.943623332217333,1.943623332217333,2.217162842401545,2.217162842401545,2.217162842401545,2.217162842401545,2.217162842401545,1.3945734057691277,1.9912302525351682,1.9912302525351682,1.3945734057691277,1.3945734057691277,1.3945734057691277,1.3945734057691277,1.3945734057691277,1.2495859804730416,1.2495859804730416,1.6431620770310216,1.3945734057691277,1.6431620770310216,1.6431620770310216,1.6431620770310216,2.2328775254637425,1.943623332217333,1.943623332217333,2.217162842401545,2.217162842401545,2.217162842401545,2.217162842401545,1.3945734057691277,2.217162842401545,1.9912302525351682,1.9912302525351682,1.3945734057691277,1.3945734057691277,1.3945734057691277,1.3945734057691277,1.3945734057691277,1.2495859804730416,1.2495859804730416,1.3945734057691277,2.2328775254637425,2.2328775254637425,2.2328775254637425,2.2328775254637425,2.2328775254637425,1.943623332217333,1.943623332217333,2.217162842401545,2.217162842401545,2.217162842401545,1.2495859804730416,2.217162842401545,2.217162842401545,1.9912302525351682,1.9912302525351682,1.2495859804730416,1.6431620770310216,1.6431620770310216
BH,21.71275361967041,13.63736612580264,13.63736612580264,20.701644198333618,59.95248642379016,59.95248642379016,20.846405956909656,20.846405956909656,20.846405956909656,20.846405956909656,20.846405956909656,21.71275361967041,46.64274419242664,46.64274419242664,21.71275361967041,21.71275361967041,21.71275361967041,21.71275361967041,21.71275361967041,60.32259502626076,60.32259502626076,13.63736612580264,21.71275361967041,13.63736612580264,13.63736612580264,13.63736612580264,20.701644198333618,59.95248642379016,59.95248642379016,20.846405956909656,20.846405956909656,20.846405956909656,20.846405956909656,21.71275361967041,20.846405956909656,46.64274419242664,46.64274419242664,21.71275361967041,21.71275361967041,21.71275361967041,21.71275361967041,21.71275361967041,60.32259502626076,60.32259502626076,21.71275361967041,20.701644198333618,20.701644198333618,20.701644198333618,20.701644198333618,20.701644198333618,59.95248642379016,59.95248642379016,20.846405956909656,20.846405956909656,20.846405956909656,60.32259502626076,20.846405956909656,20.846405956909656,46.64274419242664,46.64274419242664,60.32259502626076,13.63736612580264,13.63736612580264
D,0.253447825977874,0.06414447062295912,0.06414447062295912,0.1775545725370291,0.25251188404644653,0.25251188404644653,0.0037735007794347194,0.0037735007794347194,0.0037735007794347194,0.0037735007794347194,0.0037735007794347194,0.253447825977874,0.2857862103054499,0.2857862103054499,0.253447825977874,0.253447825977874,0.253447825977874,0.253447825977874,0.253447825977874,0.19840924903670235,0.19840924903670235,0.06414447062295912,0.253447825977874,0.06414447062295912,0.06414447062295912,0.06414447062295912,0.1775545725370291,0.25251188404644653,0.25251188404644653,0.0037735007794347194,0.0037735007794347194,0.0037735007794347194,0.0037735007794347194,0.253447825977874,0.0037735007794347194,0.2857862103054499,0.2857862103054499,0.253447825977874,0.253447825977874,0.253447825977874,0.253447825977874,0.253447825977874,0.19840924903670235,0.19840924903670235,0.253447825977874,0.1775545725370291,0.1775545725370291,0.1775545725370291,0.1775545725370291,0.1775545725370291,0.25251188404644653,0.25251188404644653,0.0037735007794347194,0.0037735007794347194,0.0037735007794347194,0.19840924903670235,0.0037735007794347194,0.0037735007794347194,0.2857862103054499,0.2857862103054499,0.19840924903670235,0.06414447062295912,0.06414447062295912
H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBCV,0.5115837507126257,0.7204471685014578,0.7204471685014578,0.5026012224017367,0.7379361590119757,0.7379361590119757,0.48129637821418764,0.48129637821418764,0.48129637821418764,0.48129637821418764,0.48129637821418764,0.5115837507126257,-0.22551394010407796,-0.22551394010407796,0.5115837507126257,0.5115837507126257,0.5115837507126257,0.5115837507126257,0.5115837507126257,0.5400140502519526,0.5400140502519526,0.7204471685014578,0.5115837507126257,0.7204471685014578,0.7204471685014578,0.7204471685014578,0.5026012224017367,0.7379361590119757,0.7379361590119757,0.48129637821418764,0.48129637821418764,0.48129637821418764,0.48129637821418764,0.5115837507126257,0.48129637821418764,-0.22551394010407796,-0.22551394010407796,0.5115837507126257,0.5115837507126257,0.5115837507126257,0.5115837507126257,0.5115837507126257,0.5400140502519526,0.5400140502519526,0.5115837507126257,0.5026012224017367,0.5026012224017367,0.5026012224017367,0.5026012224017367,0.5026012224017367,0.7379361590119757,0.7379361590119757,0.48129637821418764,0.48129637821418764,0.48129637821418764,0.5400140502519526,0.48129637821418764,0.48129637821418764,-0.22551394010407796,-0.22551394010407796,0.5400140502519526,0.7204471685014578,0.7204471685014578
I,0.27820072425776143,0.4046151678694471,0.4046151678694471,0.3105442195487079,0.0950343998526255,0.0950343998526255,0.30316840917438187,0.30316840917438187,0.30316840917438187,0.30316840917438187,0.30316840917438187,0.27820072425776143,0.20315919562959947,0.20315919562959947,0.27820072425776143,0.27820072425776143,0.27820072425776143,0.27820072425776143,0.27820072425776143,0.09486789762047193,0.09486789762047193,0.4046151678694471,0.27820072425776143,0.4046151678694471,0.4046151678694471,0.4046151678694471,0.3105442195487079,0.0950343998526255,0.0950343998526255,0.30316840917438187,0.30316840917438187,0.30316840917438187,0.30316840917438187,0.27820072425776143,0.30316840917438187,0.20315919562959947,0.20315919562959947,0.27820072425776143,0.27820072425776143,0.27820072425776143,0.27820072425776143,0.27820072425776143,0.09486789762047193,0.09486789762047193,0.27820072425776143,0.3105442195487079,0.3105442195487079,0.3105442195487079,0.3105442195487079,0.3105442195487079,0.0950343998526255,0.0950343998526255,0.30316840917438187,0.30316840917438187,0.30316840917438187,0.09486789762047193,0.30316840917438187,0.30316840917438187,0.20315919562959947,0.20315919562959947,0.09486789762047193,0.4046151678694471,0.4046151678694471
C,0.1375735458054296,0.16226384519461962,0.16226384519461962,0.14862335344444594,0.39001258907526365,0.39001258907526365,0.149414897765606,0.149414897765606,0.149414897765606,0.149414897765606,0.149414897765606,0.1375735458054296,0.20953876201302016,0.20953876201302016,0.1375735458054296,0.1375735458054296,0.1375735458054296,0.1375735458054296,0.1375735458054296,0.3824384103377715,0.3824384103377715,0.16226384519461962,0.1375735458054296,0.16226384519461962,0.16226384519461962,0.16226384519461962,0.14862335344444594,0.39001258907526365,0.39001258907526365,0.149414897765606,0.149414897765606,0.149414897765606,0.149414897765606,0.1375735458054296,0.149414897765606,0.20953876201302016,0.20953876201302016,0.1375735458054296,0.1375735458054296,0.1375735458054296,0.1375735458054296,0.1375735458054296,0.3824384103377715,0.3824384103377715,0.1375735458054296,0.14862335344444594,0.14862335344444594,0.14862335344444594,0.14862335344444594,0.14862335344444594,0.39001258907526365,0.39001258907526365,0.149414897765606,0.149414897765606,0.149414897765606,0.3824384103377715,0.149414897765606,0.149414897765606,0.20953876201302016,0.20953876201302016,0.3824384103377715,0.16226384519461962,0.16226384519461962
CDbw,0.0,0.3348099584741747,0.3348099584741747,0.15584234571007222,0.30315965351879387,0.30315965351879387,0.21919464507366723,0.21919464507366723,0.21919464507366723,0.21919464507366723,0.21919464507366723,0.0,0.08457952161190507,0.08457952161190507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3348099584741747,0.0,0.3348099584741747,0.3348099584741747,0.3348099584741747,0.15584234571007222,0.30315965351879387,0.30315965351879387,0.21919464507366723,0.21919464507366723,0.21919464507366723,0.21919464507366723,0.0,0.21919464507366723,0.08457952161190507,0.08457952161190507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15584234571007222,0.15584234571007222,0.15584234571007222,0.15584234571007222,0.15584234571007222,0.30315965351879387,0.30315965351879387,0.21919464507366723,0.21919464507366723,0.21919464507366723,0.0,0.21919464507366723,0.21919464507366723,0.08457952161190507,0.08457952161190507,0.0,0.3348099584741747,0.3348099584741747
VIASCKDE,,0.5046595445447962,0.5046595445447962,0.5156933720980998,0.5160297815366603,0.5160297815366603,0.5158906351127227,0.5158906351127227,0.5158906351127227,0.5158906351127227,0.5158906351127227,,0.557945410043302,0.557945410043302,,,,,,,,0.5046595445447962,,0.5046595445447962,0.5046595445447962,0.5046595445447962,0.5156933720980998,0.5160297815366603,0.5160297815366603,0.5158906351127227,0.5158906351127227,0.5158906351127227,0.5158906351127227,,0.5158906351127227,0.557945410043302,0.557945410043302,,,,,,,,,0.5156933720980998,0.5156933720980998,0.5156933720980998,0.5156933720980998,0.5156933720980998,0.5160297815366603,0.5160297815366603,0.5158906351127227,0.5158906351127227,0.5158906351127227,,0.5158906351127227,0.5158906351127227,0.557945410043302,0.557945410043302,,0.5046595445447962,0.5046595445447962
COP,0.2580054478643957,0.34455574849369697,0.34455574849369697,0.2655920198578388,0.3186510722858004,0.3186510722858004,0.2624079416924353,0.2624079416924353,0.2624079416924353,0.2624079416924353,0.2624079416924353,0.2580054478643957,0.33925624341541294,0.33925624341541294,0.2580054478643957,0.2580054478643957,0.2580054478643957,0.2580054478643957,0.2580054478643957,0.31257992351721725,0.31257992351721725,0.34455574849369697,0.2580054478643957,0.34455574849369697,0.34455574849369697,0.34455574849369697,0.2655920198578388,0.3186510722858004,0.3186510722858004,0.2624079416924353,0.2624079416924353,0.2624079416924353,0.2624079416924353,0.2580054478643957,0.2624079416924353,0.33925624341541294,0.33925624341541294,0.2580054478643957,0.2580054478643957,0.2580054478643957,0.2580054478643957,0.2580054478643957,0.31257992351721725,0.31257992351721725,0.2580054478643957,0.2655920198578388,0.2655920198578388,0.2655920198578388,0.2655920198578388,0.2655920198578388,0.3186510722858004,0.3186510722858004,0.2624079416924353,0.2624079416924353,0.2624079416924353,0.31257992351721725,0.2624079416924353,0.2624079416924353,0.33925624341541294,0.33925624341541294,0.31257992351721725,0.34455574849369697,0.34455574849369697
Sym,0.05687623128458114,0.020138978059299227,0.020138978059299227,0.023325451876485426,0.0036721365328112672,0.0036721365328112672,0.028862456532618642,0.028862456532618642,0.028862456532618642,0.028862456532618642,0.028862456532618642,0.05687623128458114,0.009519358790852517,0.009519358790852517,0.05687623128458114,0.05687623128458114,0.05687623128458114,0.05687623128458114,0.05687623128458114,0.005044961406337045,0.005044961406337045,0.020138978059299227,0.05687623128458114,0.020138978059299227,0.020138978059299227,0.020138978059299227,0.023325451876485426,0.0036721365328112672,0.0036721365328112672,0.028862456532618642,0.028862456532618642,0.028862456532618642,0.028862456532618642,0.05687623128458114,0.028862456532618642,0.009519358790852517,0.009519358790852517,0.05687623128458114,0.05687623128458114,0.05687623128458114,0.05687623128458114,0.05687623128458114,0.005044961406337045,0.005044961406337045,0.05687623128458114,0.023325451876485426,0.023325451876485426,0.023325451876485426,0.023325451876485426,0.023325451876485426,0.0036721365328112672,0.0036721365328112672,0.028862456532618642,0.028862456532618642,0.028862456532618642,0.005044961406337045,0.028862456532618642,0.028862456532618642,0.009519358790852517,0.009519358790852517,0.005044961406337045,0.020138978059299227,0.020138978059299227
CS,1.003925635914853,1.7005087822424603,1.7005087822424603,1.9908652159983036,3.0535429147755835,3.0535429147755835,2.3893738714689885,2.3893738714689885,2.3893738714689885,2.3893738714689885,2.3893738714689885,1.003925635914853,1.9280560902285433,1.9280560902285433,1.003925635914853,1.003925635914853,1.003925635914853,1.003925635914853,1.003925635914853,1.2638752453975977,1.2638752453975977,1.7005087822424603,1.003925635914853,1.7005087822424603,1.7005087822424603,1.7005087822424603,1.9908652159983036,3.0535429147755835,3.0535429147755835,2.3893738714689885,2.3893738714689885,2.3893738714689885,2.3893738714689885,1.003925635914853,2.3893738714689885,1.9280560902285433,1.9280560902285433,1.003925635914853,1.003925635914853,1.003925635914853,1.003925635914853,1.003925635914853,1.2638752453975977,1.2638752453975977,1.003925635914853,1.9908652159983036,1.9908652159983036,1.9908652159983036,1.9908652159983036,1.9908652159983036,3.0535429147755835,3.0535429147755835,2.3893738714689885,2.3893738714689885,2.3893738714689885,1.2638752453975977,2.3893738714689885,2.3893738714689885,1.9280560902285433,1.9280560902285433,1.2638752453975977,1.7005087822424603,1.7005087822424603
SF,0.303086113508255,0.20230567426505752,0.20230567426505752,0.1678400228286352,0.2416855066044853,0.2416855066044853,0.1839186699848615,0.1839186699848615,0.1839186699848615,0.1839186699848615,0.1839186699848615,0.303086113508255,0.17579602754494394,0.17579602754494394,0.303086113508255,0.303086113508255,0.303086113508255,0.303086113508255,0.303086113508255,0.3434044998549922,0.3434044998549922,0.20230567426505752,0.303086113508255,0.20230567426505752,0.20230567426505752,0.20230567426505752,0.1678400228286352,0.2416855066044853,0.2416855066044853,0.1839186699848615,0.1839186699848615,0.1839186699848615,0.1839186699848615,0.303086113508255,0.1839186699848615,0.17579602754494394,0.17579602754494394,0.303086113508255,0.303086113508255,0.303086113508255,0.303086113508255,0.303086113508255,0.3434044998549922,0.3434044998549922,0.303086113508255,0.1678400228286352,0.1678400228286352,0.1678400228286352,0.1678400228286352,0.1678400228286352,0.2416855066044853,0.2416855066044853,0.1839186699848615,0.1839186699848615,0.1839186699848615,0.3434044998549922,0.1839186699848615,0.1839186699848615,0.17579602754494394,0.17579602754494394,0.3434044998549922,0.20230567426505752,0.20230567426505752
SD,323391.7014408053,330661.3824738071,330661.3824738071,582424.8683689146,519206.7863361052,519206.7863361052,530758.8332657346,530758.8332657346,530758.8332657346,530758.8332657346,530758.8332657346,323391.7014408053,731709.1703175202,731709.1703175202,323391.7014408053,323391.7014408053,323391.7014408053,323391.7014408053,323391.7014408053,380105.60937624145,380105.60937624145,330661.3824738071,323391.7014408053,330661.3824738071,330661.3824738071,330661.3824738071,582424.8683689146,519206.7863361052,519206.7863361052,530758.8332657346,530758.8332657346,530758.8332657346,530758.8332657346,323391.7014408053,530758.8332657346,731709.1703175202,731709.1703175202,323391.7014408053,323391.7014408053,323391.7014408053,323391.7014408053,323391.7014408053,380105.60937624145,380105.60937624145,323391.7014408053,582424.8683689146,582424.8683689146,582424.8683689146,582424.8683689146,582424.8683689146,519206.7863361052,519206.7863361052,530758.8332657346,530758.8332657346,530758.8332657346,380105.60937624145,530758.8332657346,530758.8332657346,731709.1703175202,731709.1703175202,380105.60937624145,330661.3824738071,330661.3824738071
SDbw,0.8285446065691588,1.0103917318613194,1.0103917318613194,1.3272425670944543,1.2567158691688864,1.2567158691688864,1.2201591110310013,1.2201591110310013,1.2201591110310013,1.2201591110310013,1.2201591110310013,0.8285446065691588,1.4164631026641248,1.4164631026641248,0.8285446065691588,0.8285446065691588,0.8285446065691588,0.8285446065691588,0.8285446065691588,1.0486361518183345,1.0486361518183345,1.0103917318613194,0.8285446065691588,1.0103917318613194,1.0103917318613194,1.0103917318613194,1.3272425670944543,1.2567158691688864,1.2567158691688864,1.2201591110310013,1.2201591110310013,1.2201591110310013,1.2201591110310013,0.8285446065691588,1.2201591110310013,1.4164631026641248,1.4164631026641248,0.8285446065691588,0.8285446065691588,0.8285446065691588,0.8285446065691588,0.8285446065691588,1.0486361518183345,1.0486361518183345,0.8285446065691588,1.3272425670944543,1.3272425670944543,1.3272425670944543,1.3272425670944543,1.3272425670944543,1.2567158691688864,1.2567158691688864,1.2201591110310013,1.2201591110310013,1.2201591110310013,1.0486361518183345,1.2201591110310013,1.2201591110310013,1.4164631026641248,1.4164631026641248,1.0486361518183345,1.0103917318613194,1.0103917318613194
XB*,0.7205127083662217,2.1777472013074877,2.1777472013074877,2.4595727284659246,13.312257790117986,13.312257790117986,45.005333113061,45.005333113061,45.005333113061,45.005333113061,45.005333113061,0.7205127083662217,1.126685551068689,1.126685551068689,0.7205127083662217,0.7205127083662217,0.7205127083662217,0.7205127083662217,0.7205127083662217,1.3868683000500899,1.3868683000500899,2.1777472013074877,0.7205127083662217,2.1777472013074877,2.1777472013074877,2.1777472013074877,2.4595727284659246,13.312257790117986,13.312257790117986,45.005333113061,45.005333113061,45.005333113061,45.005333113061,0.7205127083662217,45.005333113061,1.126685551068689,1.126685551068689,0.7205127083662217,0.7205127083662217,0.7205127083662217,0.7205127083662217,0.7205127083662217,1.3868683000500899,1.3868683000500899,0.7205127083662217,2.4595727284659246,2.4595727284659246,2.4595727284659246,2.4595727284659246,2.4595727284659246,13.312257790117986,13.312257790117986,45.005333113061,45.005333113061,45.005333113061,1.3868683000500899,45.005333113061,45.005333113061,1.126685551068689,1.126685551068689,1.3868683000500899,2.1777472013074877,2.1777472013074877
S,0.3734478635809156,0.22096480177165698,0.22096480177165698,0.3855879323060492,0.17832693670831581,0.17832693670831581,0.38071764926232765,0.38071764926232765,0.38071764926232765,0.38071764926232765,0.38071764926232765,0.3734478635809156,0.24983316235307684,0.24983316235307684,0.3734478635809156,0.3734478635809156,0.3734478635809156,0.3734478635809156,0.3734478635809156,0.1852379196641361,0.1852379196641361,0.22096480177165698,0.3734478635809156,0.22096480177165698,0.22096480177165698,0.22096480177165698,0.3855879323060492,0.17832693670831581,0.17832693670831581,0.38071764926232765,0.38071764926232765,0.38071764926232765,0.38071764926232765,0.3734478635809156,0.38071764926232765,0.24983316235307684,0.24983316235307684,0.3734478635809156,0.3734478635809156,0.3734478635809156,0.3734478635809156,0.3734478635809156,0.1852379196641361,0.1852379196641361,0.3734478635809156,0.3855879323060492,0.3855879323060492,0.3855879323060492,0.3855879323060492,0.3855879323060492,0.17832693670831581,0.17832693670831581,0.38071764926232765,0.38071764926232765,0.38071764926232765,0.1852379196641361,0.38071764926232765,0.38071764926232765,0.24983316235307684,0.24983316235307684,0.1852379196641361,0.22096480177165698,0.22096480177165698
DB,0.6654962412467522,1.364992050743091,1.364992050743091,1.8898096185936613,2.3778005455297895,2.3778005455297895,4.455402326538269,4.455402326538269,4.455402326538269,4.455402326538269,4.455402326538269,0.6654962412467522,1.7157961908448414,1.7157961908448414,0.6654962412467522,0.6654962412467522,0.6654962412467522,0.6654962412467522,0.6654962412467522,0.9821618297515448,0.9821618297515448,1.364992050743091,0.6654962412467522,1.364992050743091,1.364992050743091,1.364992050743091,1.8898096185936613,2.3778005455297895,2.3778005455297895,4.455402326538269,4.455402326538269,4.455402326538269,4.455402326538269,0.6654962412467522,4.455402326538269,1.7157961908448414,1.7157961908448414,0.6654962412467522,0.6654962412467522,0.6654962412467522,0.6654962412467522,0.6654962412467522,0.9821618297515448,0.9821618297515448,0.6654962412467522,1.8898096185936613,1.8898096185936613,1.8898096185936613,1.8898096185936613,1.8898096185936613,2.3778005455297895,2.3778005455297895,4.455402326538269,4.455402326538269,4.455402326538269,0.9821618297515448,4.455402326538269,4.455402326538269,1.7157961908448414,1.7157961908448414,0.9821618297515448,1.364992050743091,1.364992050743091
CH,208.77222244654672,160.6770586958803,160.6770586958803,191.16067862538853,47.206598181124924,47.206598181124924,197.46126625456992,197.46126625456992,197.46126625456992,197.46126625456992,197.46126625456992,208.77222244654672,113.47108155574496,113.47108155574496,208.77222244654672,208.77222244654672,208.77222244654672,208.77222244654672,208.77222244654672,47.437294557346334,47.437294557346334,160.6770586958803,208.77222244654672,160.6770586958803,160.6770586958803,160.6770586958803,191.16067862538853,47.206598181124924,47.206598181124924,197.46126625456992,197.46126625456992,197.46126625456992,197.46126625456992,208.77222244654672,197.46126625456992,113.47108155574496,113.47108155574496,208.77222244654672,208.77222244654672,208.77222244654672,208.77222244654672,208.77222244654672,47.437294557346334,47.437294557346334,208.77222244654672,191.16067862538853,191.16067862538853,191.16067862538853,191.16067862538853,191.16067862538853,47.206598181124924,47.206598181124924,197.46126625456992,197.46126625456992,197.46126625456992,47.437294557346334,197.46126625456992,197.46126625456992,113.47108155574496,113.47108155574496,47.437294557346334,160.6770586958803,160.6770586958803
