,labels_sonar_MeanShift_params1,labels_sonar_MeanShift_params11,labels_sonar_MeanShift_params13,labels_sonar_MeanShift_params15,labels_sonar_MeanShift_params17,labels_sonar_MeanShift_params19,labels_sonar_MeanShift_params2,labels_sonar_MeanShift_params21,labels_sonar_MeanShift_params23,labels_sonar_MeanShift_params25,labels_sonar_MeanShift_params3,labels_sonar_MeanShift_params4,labels_sonar_MeanShift_params5,labels_sonar_MeanShift_params7,labels_sonar_MeanShift_params8,labels_sonar_MeanShift_params9
COP,,0.5093234039243938,0.5106128305244011,0.5216798227893651,0.5302064904452665,0.5238326417643151,,0.5229256094693527,0.5133663543381302,0.5303735802672245,0.5148360079361095,,0.5106128305244011,0.5133245942154869,,0.5106128305244011
Sym,0.0002086701616453406,0.00044278389463957627,0.00033169822852680973,0.0004817775333305996,0.0005748280684923489,0.0006572303363815846,0.0002131152796936248,0.0004790078991067817,0.0008210787130957643,0.0010208890790068322,0.00028206671499125525,0.00022732038917115723,0.00033169822852680973,0.0003463108713125852,0.00022732038917115723,0.00033169822852680973
CS,0.4556469457488043,0.7681497637950502,0.8885562063494844,0.779027742566549,0.9753414425617298,0.8272395945822728,0.4792007067263415,0.7808633521158362,1.0146222751656886,0.852562519018171,0.7744990970037855,0.49917600173794785,0.8885562063494844,0.8434463900598205,0.49917600173794785,0.8885562063494844
SF,1.9984014443252818e-15,1.1647064646069794e-07,4.995204250235474e-11,8.065761072373334e-07,7.673367169447332e-07,3.021006134795723e-05,1.3322676295501878e-15,7.952716712944508e-07,0.0002281662940998297,0.0038783243662493527,6.803446694902959e-13,1.6404655411861313e-12,4.995204250235474e-11,3.403304305038546e-10,1.6404655411861313e-12,4.995204250235474e-11
SD,2.400220370640983,2.929716837030969,3.4041214559983257,3.2787498788824436,3.982216425274826,3.9031604145370253,2.376486631297391,3.28812566854966,4.985920866991903,4.319645062807131,2.9074805559914365,1.916504939631333,3.4041214559983257,3.330844257078704,1.916504939631333,3.4041214559983257
SDbw,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
XB*,2.5164521610515465,1.5011440571003007,2.375998987516611,2.007623628872743,1.5790934611417946,0.6049159048206705,2.32104775417203,1.9950349666590381,0.6619141527027106,0.4623485337705235,1.6457332102065365,1.084354211335466,2.375998987516611,2.3912434496794783,1.084354211335466,2.375998987516611
S,0.03642588753037792,0.08580163169697466,0.05049105650826057,0.09615624219571996,0.13410051970168757,0.1620049384708035,0.03647159171410289,0.09424308891409093,0.2144182726989238,0.2096513783298493,0.05675526434493494,0.049386828028851665,0.05049105650826057,0.04970075120644589,0.049386828028851665,0.05049105650826057
DB,0.9358110718275141,1.2253279344246784,1.4266849729839706,1.2623028472846562,1.3446069421214155,1.1239384870940434,0.9568156673761509,1.263295011405864,1.2402697099996973,1.0078690804422574,1.2551810521807654,0.987244668951424,1.4266849729839706,1.3751825946910863,0.987244668951424,1.4266849729839706
CH,5.196029614672248,7.655948889422165,6.109203192496158,7.8705986770801255,8.693308172419162,7.892035965145762,5.3086642601281655,7.638365645158132,7.9735873688748145,3.2966375480871593,5.9081142828700015,5.766159513101446,6.109203192496158,6.273686913393265,5.766159513101446,6.109203192496158
AD-S,0.27392750281791095,0.24680899404376686,0.14976421040303387,0.22659577688164914,0.21764296089957128,0.20016268899092987,0.2788776143834558,0.22640426141229422,0.2837609264096459,0.24128888529985204,0.2787273590659106,0.24434895467994827,0.14976421040303387,0.14439439817601313,0.24434895467994827,0.14976421040303387
AD-DB,0.9819924725005446,1.2217790195236902,1.3741211935235678,1.2204232933399466,1.3206101560766825,1.30977737077173,0.9961512948361596,1.2181196519790995,1.2041075926665303,1.1621155840406778,1.1650442935962337,1.102319212626489,1.3741211935235678,1.411442679004323,1.102319212626489,1.3741211935235678
AD-CH,5.0648086918259985,19.192974137370296,13.297954339891028,23.008164829517163,28.935139766804475,39.50236846334908,5.265412924909077,22.97017496586005,64.6440990304897,2.0994053795304053,10.587979681233165,7.489145608413282,13.297954339891028,14.094867851314167,7.489145608413282,13.297954339891028
AD-idea,0.23434482098474416,2.529700960086319,0.10527630584676893,1.4942442018250788,0.8723898212208318,0.6327984179809656,0.348309689586841,1.4807605614275114,1.2489487387250566,0.9789462085633748,0.4816000040528312,2.2630772227313827,0.10527630584676893,0.20517646759550973,2.2630772227313827,0.10527630584676893
