,labels_spiral_HDBSCAN_params1,labels_spiral_HDBSCAN_params10,labels_spiral_HDBSCAN_params11,labels_spiral_HDBSCAN_params12,labels_spiral_HDBSCAN_params13,labels_spiral_HDBSCAN_params14,labels_spiral_HDBSCAN_params15,labels_spiral_HDBSCAN_params16,labels_spiral_HDBSCAN_params17,labels_spiral_HDBSCAN_params18,labels_spiral_HDBSCAN_params19,labels_spiral_HDBSCAN_params2,labels_spiral_HDBSCAN_params20,labels_spiral_HDBSCAN_params21,labels_spiral_HDBSCAN_params22,labels_spiral_HDBSCAN_params23,labels_spiral_HDBSCAN_params24,labels_spiral_HDBSCAN_params25,labels_spiral_HDBSCAN_params26,labels_spiral_HDBSCAN_params27,labels_spiral_HDBSCAN_params28,labels_spiral_HDBSCAN_params29,labels_spiral_HDBSCAN_params3,labels_spiral_HDBSCAN_params30,labels_spiral_HDBSCAN_params31,labels_spiral_HDBSCAN_params32,labels_spiral_HDBSCAN_params33,labels_spiral_HDBSCAN_params34,labels_spiral_HDBSCAN_params35,labels_spiral_HDBSCAN_params36,labels_spiral_HDBSCAN_params37,labels_spiral_HDBSCAN_params38,labels_spiral_HDBSCAN_params39,labels_spiral_HDBSCAN_params4,labels_spiral_HDBSCAN_params40,labels_spiral_HDBSCAN_params41,labels_spiral_HDBSCAN_params42,labels_spiral_HDBSCAN_params43,labels_spiral_HDBSCAN_params44,labels_spiral_HDBSCAN_params45,labels_spiral_HDBSCAN_params46,labels_spiral_HDBSCAN_params47,labels_spiral_HDBSCAN_params48,labels_spiral_HDBSCAN_params49,labels_spiral_HDBSCAN_params5,labels_spiral_HDBSCAN_params50,labels_spiral_HDBSCAN_params51,labels_spiral_HDBSCAN_params52,labels_spiral_HDBSCAN_params53,labels_spiral_HDBSCAN_params54,labels_spiral_HDBSCAN_params55,labels_spiral_HDBSCAN_params56,labels_spiral_HDBSCAN_params57,labels_spiral_HDBSCAN_params58,labels_spiral_HDBSCAN_params59,labels_spiral_HDBSCAN_params6,labels_spiral_HDBSCAN_params60,labels_spiral_HDBSCAN_params61,labels_spiral_HDBSCAN_params62,labels_spiral_HDBSCAN_params63,labels_spiral_HDBSCAN_params7,labels_spiral_HDBSCAN_params8,labels_spiral_HDBSCAN_params9
B,14.35937492413783,4.753998834196172,4.753998834196172,4.753998834196172,8.573240548144227,8.573240548144227,0.6383376680287008,0.6383376680287008,0.6383376680287008,0.6383376680287008,0.6383376680287008,14.35937492413783,1.1248243558303512,1.1248243558303512,14.35937492413783,14.35937492413783,14.35937492413783,14.35937492413783,14.35937492413783,13.33477605633165,13.33477605633165,4.753998834196172,14.35937492413783,4.753998834196172,4.753998834196172,4.753998834196172,4.753998834196172,8.573240548144227,8.573240548144227,0.6383376680287008,0.6383376680287008,0.6383376680287008,0.6383376680287008,14.35937492413783,0.6383376680287008,1.1248243558303512,1.1248243558303512,14.35937492413783,14.35937492413783,14.35937492413783,14.35937492413783,14.35937492413783,13.33477605633165,13.33477605633165,14.35937492413783,4.753998834196172,4.753998834196172,4.753998834196172,4.753998834196172,4.753998834196172,8.573240548144227,8.573240548144227,0.6383376680287008,0.6383376680287008,0.6383376680287008,13.33477605633165,0.6383376680287008,0.6383376680287008,1.1248243558303512,1.1248243558303512,13.33477605633165,4.753998834196172,4.753998834196172
BH,34.67878252376253,12.212000629423017,12.212000629423017,12.212000629423017,20.00032810383214,20.00032810383214,0.4033343519809017,0.4033343519809017,0.4033343519809017,0.4033343519809017,0.4033343519809017,34.67878252376253,1.8786535668508801,1.8786535668508801,34.67878252376253,34.67878252376253,34.67878252376253,34.67878252376253,34.67878252376253,47.041163413871026,47.041163413871026,12.212000629423017,34.67878252376253,12.212000629423017,12.212000629423017,12.212000629423017,12.212000629423017,20.00032810383214,20.00032810383214,0.4033343519809017,0.4033343519809017,0.4033343519809017,0.4033343519809017,34.67878252376253,0.4033343519809017,1.8786535668508801,1.8786535668508801,34.67878252376253,34.67878252376253,34.67878252376253,34.67878252376253,34.67878252376253,47.041163413871026,47.041163413871026,34.67878252376253,12.212000629423017,12.212000629423017,12.212000629423017,12.212000629423017,12.212000629423017,20.00032810383214,20.00032810383214,0.4033343519809017,0.4033343519809017,0.4033343519809017,47.041163413871026,0.4033343519809017,0.4033343519809017,1.8786535668508801,1.8786535668508801,47.041163413871026,12.212000629423017,12.212000629423017
D,0.06642798675007065,0.06159288663696437,0.06159288663696437,0.06159288663696437,0.15238102448903137,0.15238102448903137,0.324212713493787,0.324212713493787,0.324212713493787,0.324212713493787,0.324212713493787,0.06642798675007065,0.3179900495232371,0.3179900495232371,0.06642798675007065,0.06642798675007065,0.06642798675007065,0.06642798675007065,0.06642798675007065,0.05773911640211089,0.05773911640211089,0.06159288663696437,0.06642798675007065,0.06159288663696437,0.06159288663696437,0.06159288663696437,0.06159288663696437,0.15238102448903137,0.15238102448903137,0.324212713493787,0.324212713493787,0.324212713493787,0.324212713493787,0.06642798675007065,0.324212713493787,0.3179900495232371,0.3179900495232371,0.06642798675007065,0.06642798675007065,0.06642798675007065,0.06642798675007065,0.06642798675007065,0.05773911640211089,0.05773911640211089,0.06642798675007065,0.06159288663696437,0.06159288663696437,0.06159288663696437,0.06159288663696437,0.06159288663696437,0.15238102448903137,0.15238102448903137,0.324212713493787,0.324212713493787,0.324212713493787,0.05773911640211089,0.324212713493787,0.324212713493787,0.3179900495232371,0.3179900495232371,0.05773911640211089,0.06159288663696437,0.06159288663696437
H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBCV,0.5576831173673837,0.49480735069541676,0.49480735069541676,0.49480735069541676,0.2228922853324014,0.2228922853324014,0.15979621805342167,0.15979621805342167,0.15979621805342167,0.15979621805342167,0.15979621805342167,0.5576831173673837,0.09410769463261628,0.09410769463261628,0.5576831173673837,0.5576831173673837,0.5576831173673837,0.5576831173673837,0.5576831173673837,0.24826759693210354,0.24826759693210354,0.49480735069541676,0.5576831173673837,0.49480735069541676,0.49480735069541676,0.49480735069541676,0.49480735069541676,0.2228922853324014,0.2228922853324014,0.15979621805342167,0.15979621805342167,0.15979621805342167,0.15979621805342167,0.5576831173673837,0.15979621805342167,0.09410769463261628,0.09410769463261628,0.5576831173673837,0.5576831173673837,0.5576831173673837,0.5576831173673837,0.5576831173673837,0.24826759693210354,0.24826759693210354,0.5576831173673837,0.49480735069541676,0.49480735069541676,0.49480735069541676,0.49480735069541676,0.49480735069541676,0.2228922853324014,0.2228922853324014,0.15979621805342167,0.15979621805342167,0.15979621805342167,0.24826759693210354,0.15979621805342167,0.15979621805342167,0.09410769463261628,0.09410769463261628,0.24826759693210354,0.49480735069541676,0.49480735069541676
I,0.0038830388884404073,0.04446354630284941,0.04446354630284941,0.04446354630284941,0.0375574703344298,0.0375574703344298,9.442105687855811,9.442105687855811,9.442105687855811,9.442105687855811,9.442105687855811,0.0038830388884404073,2.8731686172166624,2.8731686172166624,0.0038830388884404073,0.0038830388884404073,0.0038830388884404073,0.0038830388884404073,0.0038830388884404073,0.0052934969425381334,0.0052934969425381334,0.04446354630284941,0.0038830388884404073,0.04446354630284941,0.04446354630284941,0.04446354630284941,0.04446354630284941,0.0375574703344298,0.0375574703344298,9.442105687855811,9.442105687855811,9.442105687855811,9.442105687855811,0.0038830388884404073,9.442105687855811,2.8731686172166624,2.8731686172166624,0.0038830388884404073,0.0038830388884404073,0.0038830388884404073,0.0038830388884404073,0.0038830388884404073,0.0052934969425381334,0.0052934969425381334,0.0038830388884404073,0.04446354630284941,0.04446354630284941,0.04446354630284941,0.04446354630284941,0.04446354630284941,0.0375574703344298,0.0375574703344298,9.442105687855811,9.442105687855811,9.442105687855811,0.0052934969425381334,9.442105687855811,9.442105687855811,2.8731686172166624,2.8731686172166624,0.0052934969425381334,0.04446354630284941,0.04446354630284941
C,0.4462243359914298,0.4383801276132894,0.4383801276132894,0.4383801276132894,0.3909208179059374,0.3909208179059374,0.654054000389532,0.654054000389532,0.654054000389532,0.654054000389532,0.654054000389532,0.4462243359914298,0.6237497923127657,0.6237497923127657,0.4462243359914298,0.4462243359914298,0.4462243359914298,0.4462243359914298,0.4462243359914298,0.46701516073532506,0.46701516073532506,0.4383801276132894,0.4462243359914298,0.4383801276132894,0.4383801276132894,0.4383801276132894,0.4383801276132894,0.3909208179059374,0.3909208179059374,0.654054000389532,0.654054000389532,0.654054000389532,0.654054000389532,0.4462243359914298,0.654054000389532,0.6237497923127657,0.6237497923127657,0.4462243359914298,0.4462243359914298,0.4462243359914298,0.4462243359914298,0.4462243359914298,0.46701516073532506,0.46701516073532506,0.4462243359914298,0.4383801276132894,0.4383801276132894,0.4383801276132894,0.4383801276132894,0.4383801276132894,0.3909208179059374,0.3909208179059374,0.654054000389532,0.654054000389532,0.654054000389532,0.46701516073532506,0.654054000389532,0.654054000389532,0.6237497923127657,0.6237497923127657,0.46701516073532506,0.4383801276132894,0.4383801276132894
CDbw,0.03953381218021393,0.07299191696562227,0.07299191696562227,0.07299191696562227,0.048012837155748674,0.048012837155748674,0.3188774321842423,0.3188774321842423,0.3188774321842423,0.3188774321842423,0.3188774321842423,0.03953381218021393,0.18834590722648709,0.18834590722648709,0.03953381218021393,0.03953381218021393,0.03953381218021393,0.03953381218021393,0.03953381218021393,0.024882256806622555,0.024882256806622555,0.07299191696562227,0.03953381218021393,0.07299191696562227,0.07299191696562227,0.07299191696562227,0.07299191696562227,0.048012837155748674,0.048012837155748674,0.3188774321842423,0.3188774321842423,0.3188774321842423,0.3188774321842423,0.03953381218021393,0.3188774321842423,0.18834590722648709,0.18834590722648709,0.03953381218021393,0.03953381218021393,0.03953381218021393,0.03953381218021393,0.03953381218021393,0.024882256806622555,0.024882256806622555,0.03953381218021393,0.07299191696562227,0.07299191696562227,0.07299191696562227,0.07299191696562227,0.07299191696562227,0.048012837155748674,0.048012837155748674,0.3188774321842423,0.3188774321842423,0.3188774321842423,0.024882256806622555,0.3188774321842423,0.3188774321842423,0.18834590722648709,0.18834590722648709,0.024882256806622555,0.07299191696562227,0.07299191696562227
VIASCKDE,0.3528999785767374,0.42587447449930654,0.42587447449930654,0.42587447449930654,0.419200888200255,0.419200888200255,0.3633483799486889,0.3633483799486889,0.3633483799486889,0.3633483799486889,0.3633483799486889,0.3528999785767374,0.37098483064179333,0.37098483064179333,0.3528999785767374,0.3528999785767374,0.3528999785767374,0.3528999785767374,0.3528999785767374,0.3530453330951344,0.3530453330951344,0.42587447449930654,0.3528999785767374,0.42587447449930654,0.42587447449930654,0.42587447449930654,0.42587447449930654,0.419200888200255,0.419200888200255,0.3633483799486889,0.3633483799486889,0.3633483799486889,0.3633483799486889,0.3528999785767374,0.3633483799486889,0.37098483064179333,0.37098483064179333,0.3528999785767374,0.3528999785767374,0.3528999785767374,0.3528999785767374,0.3528999785767374,0.3530453330951344,0.3530453330951344,0.3528999785767374,0.42587447449930654,0.42587447449930654,0.42587447449930654,0.42587447449930654,0.42587447449930654,0.419200888200255,0.419200888200255,0.3633483799486889,0.3633483799486889,0.3633483799486889,0.3530453330951344,0.3633483799486889,0.3633483799486889,0.37098483064179333,0.37098483064179333,0.3530453330951344,0.42587447449930654,0.42587447449930654
COP,0.35352387295536103,0.34688739889856546,0.34688739889856546,0.34688739889856546,0.34661808148756723,0.34661808148756723,0.30116814989871116,0.30116814989871116,0.30116814989871116,0.30116814989871116,0.30116814989871116,0.35352387295536103,0.31950450267900277,0.31950450267900277,0.35352387295536103,0.35352387295536103,0.35352387295536103,0.35352387295536103,0.35352387295536103,0.331615222990994,0.331615222990994,0.34688739889856546,0.35352387295536103,0.34688739889856546,0.34688739889856546,0.34688739889856546,0.34688739889856546,0.34661808148756723,0.34661808148756723,0.30116814989871116,0.30116814989871116,0.30116814989871116,0.30116814989871116,0.35352387295536103,0.30116814989871116,0.31950450267900277,0.31950450267900277,0.35352387295536103,0.35352387295536103,0.35352387295536103,0.35352387295536103,0.35352387295536103,0.331615222990994,0.331615222990994,0.35352387295536103,0.34688739889856546,0.34688739889856546,0.34688739889856546,0.34688739889856546,0.34688739889856546,0.34661808148756723,0.34661808148756723,0.30116814989871116,0.30116814989871116,0.30116814989871116,0.331615222990994,0.30116814989871116,0.30116814989871116,0.31950450267900277,0.31950450267900277,0.331615222990994,0.34688739889856546,0.34688739889856546
Sym,0.0015179423830444824,0.003089503652587686,0.003089503652587686,0.003089503652587686,0.003343037784631197,0.003343037784631197,0.005157191898384827,0.005157191898384827,0.005157191898384827,0.005157191898384827,0.005157191898384827,0.0015179423830444824,0.0064710840245872404,0.0064710840245872404,0.0015179423830444824,0.0015179423830444824,0.0015179423830444824,0.0015179423830444824,0.0015179423830444824,0.0023640514694593406,0.0023640514694593406,0.003089503652587686,0.0015179423830444824,0.003089503652587686,0.003089503652587686,0.003089503652587686,0.003089503652587686,0.003343037784631197,0.003343037784631197,0.005157191898384827,0.005157191898384827,0.005157191898384827,0.005157191898384827,0.0015179423830444824,0.005157191898384827,0.0064710840245872404,0.0064710840245872404,0.0015179423830444824,0.0015179423830444824,0.0015179423830444824,0.0015179423830444824,0.0015179423830444824,0.0023640514694593406,0.0023640514694593406,0.0015179423830444824,0.003089503652587686,0.003089503652587686,0.003089503652587686,0.003089503652587686,0.003089503652587686,0.003343037784631197,0.003343037784631197,0.005157191898384827,0.005157191898384827,0.005157191898384827,0.0023640514694593406,0.005157191898384827,0.005157191898384827,0.0064710840245872404,0.0064710840245872404,0.0023640514694593406,0.003089503652587686,0.003089503652587686
CS,9.163372746419457,5.998972761746248,5.998972761746248,5.998972761746248,10.894709558916308,10.894709558916308,2.579523231352658,2.579523231352658,2.579523231352658,2.579523231352658,2.579523231352658,9.163372746419457,4.119308551349617,4.119308551349617,9.163372746419457,9.163372746419457,9.163372746419457,9.163372746419457,9.163372746419457,10.634047678562789,10.634047678562789,5.998972761746248,9.163372746419457,5.998972761746248,5.998972761746248,5.998972761746248,5.998972761746248,10.894709558916308,10.894709558916308,2.579523231352658,2.579523231352658,2.579523231352658,2.579523231352658,9.163372746419457,2.579523231352658,4.119308551349617,4.119308551349617,9.163372746419457,9.163372746419457,9.163372746419457,9.163372746419457,9.163372746419457,10.634047678562789,10.634047678562789,9.163372746419457,5.998972761746248,5.998972761746248,5.998972761746248,5.998972761746248,5.998972761746248,10.894709558916308,10.894709558916308,2.579523231352658,2.579523231352658,2.579523231352658,10.634047678562789,2.579523231352658,2.579523231352658,4.119308551349617,4.119308551349617,10.634047678562789,5.998972761746248,5.998972761746248
SF,0.04915352590164557,0.09386861897677434,0.09386861897677434,0.09386861897677434,0.1336927559158143,0.1336927559158143,0.2831355662321072,0.2831355662321072,0.2831355662321072,0.2831355662321072,0.2831355662321072,0.04915352590164557,0.2679342587059824,0.2679342587059824,0.04915352590164557,0.04915352590164557,0.04915352590164557,0.04915352590164557,0.04915352590164557,0.09191711418549786,0.09191711418549786,0.09386861897677434,0.04915352590164557,0.09386861897677434,0.09386861897677434,0.09386861897677434,0.09386861897677434,0.1336927559158143,0.1336927559158143,0.2831355662321072,0.2831355662321072,0.2831355662321072,0.2831355662321072,0.04915352590164557,0.2831355662321072,0.2679342587059824,0.2679342587059824,0.04915352590164557,0.04915352590164557,0.04915352590164557,0.04915352590164557,0.04915352590164557,0.09191711418549786,0.09191711418549786,0.04915352590164557,0.09386861897677434,0.09386861897677434,0.09386861897677434,0.09386861897677434,0.09386861897677434,0.1336927559158143,0.1336927559158143,0.2831355662321072,0.2831355662321072,0.2831355662321072,0.09191711418549786,0.2831355662321072,0.2831355662321072,0.2679342587059824,0.2679342587059824,0.09191711418549786,0.09386861897677434,0.09386861897677434
SD,279399.46799425135,180604.94815397492,180604.94815397492,180604.94815397492,218956.498575739,218956.498575739,75253.41135698289,75253.41135698289,75253.41135698289,75253.41135698289,75253.41135698289,279399.46799425135,109113.59168794584,109113.59168794584,279399.46799425135,279399.46799425135,279399.46799425135,279399.46799425135,279399.46799425135,305419.08881886944,305419.08881886944,180604.94815397492,279399.46799425135,180604.94815397492,180604.94815397492,180604.94815397492,180604.94815397492,218956.498575739,218956.498575739,75253.41135698289,75253.41135698289,75253.41135698289,75253.41135698289,279399.46799425135,75253.41135698289,109113.59168794584,109113.59168794584,279399.46799425135,279399.46799425135,279399.46799425135,279399.46799425135,279399.46799425135,305419.08881886944,305419.08881886944,279399.46799425135,180604.94815397492,180604.94815397492,180604.94815397492,180604.94815397492,180604.94815397492,218956.498575739,218956.498575739,75253.41135698289,75253.41135698289,75253.41135698289,305419.08881886944,75253.41135698289,75253.41135698289,109113.59168794584,109113.59168794584,305419.08881886944,180604.94815397492,180604.94815397492
SDbw,3.3231637764018744,1.997931580257863,1.997931580257863,1.997931580257863,2.077965282206676,2.077965282206676,2.12313721024809,2.12313721024809,2.12313721024809,2.12313721024809,2.12313721024809,3.3231637764018744,2.167740251868584,2.167740251868584,3.3231637764018744,3.3231637764018744,3.3231637764018744,3.3231637764018744,3.3231637764018744,2.5114596112882235,2.5114596112882235,1.997931580257863,3.3231637764018744,1.997931580257863,1.997931580257863,1.997931580257863,1.997931580257863,2.077965282206676,2.077965282206676,2.12313721024809,2.12313721024809,2.12313721024809,2.12313721024809,3.3231637764018744,2.12313721024809,2.167740251868584,2.167740251868584,3.3231637764018744,3.3231637764018744,3.3231637764018744,3.3231637764018744,3.3231637764018744,2.5114596112882235,2.5114596112882235,3.3231637764018744,1.997931580257863,1.997931580257863,1.997931580257863,1.997931580257863,1.997931580257863,2.077965282206676,2.077965282206676,2.12313721024809,2.12313721024809,2.12313721024809,2.5114596112882235,2.12313721024809,2.12313721024809,2.167740251868584,2.167740251868584,2.5114596112882235,1.997931580257863,1.997931580257863
XB*,71.03499485491236,33.561942039450976,33.561942039450976,33.561942039450976,163.7848187742938,163.7848187742938,6.993085154938803,6.993085154938803,6.993085154938803,6.993085154938803,6.993085154938803,71.03499485491236,12.731092156608943,12.731092156608943,71.03499485491236,71.03499485491236,71.03499485491236,71.03499485491236,71.03499485491236,71.03499485491236,71.03499485491236,33.561942039450976,71.03499485491236,33.561942039450976,33.561942039450976,33.561942039450976,33.561942039450976,163.7848187742938,163.7848187742938,6.993085154938803,6.993085154938803,6.993085154938803,6.993085154938803,71.03499485491236,6.993085154938803,12.731092156608943,12.731092156608943,71.03499485491236,71.03499485491236,71.03499485491236,71.03499485491236,71.03499485491236,71.03499485491236,71.03499485491236,71.03499485491236,33.561942039450976,33.561942039450976,33.561942039450976,33.561942039450976,33.561942039450976,163.7848187742938,163.7848187742938,6.993085154938803,6.993085154938803,6.993085154938803,71.03499485491236,6.993085154938803,6.993085154938803,12.731092156608943,12.731092156608943,71.03499485491236,33.561942039450976,33.561942039450976
S,-0.0033143304292634003,-0.06397699170306778,-0.06397699170306778,-0.06397699170306778,-0.003017050661984746,-0.003017050661984746,-0.20223831473231133,-0.20223831473231133,-0.20223831473231133,-0.20223831473231133,-0.20223831473231133,-0.0033143304292634003,-0.14523008117500907,-0.14523008117500907,-0.0033143304292634003,-0.0033143304292634003,-0.0033143304292634003,-0.0033143304292634003,-0.0033143304292634003,0.022508356613049268,0.022508356613049268,-0.06397699170306778,-0.0033143304292634003,-0.06397699170306778,-0.06397699170306778,-0.06397699170306778,-0.06397699170306778,-0.003017050661984746,-0.003017050661984746,-0.20223831473231133,-0.20223831473231133,-0.20223831473231133,-0.20223831473231133,-0.0033143304292634003,-0.20223831473231133,-0.14523008117500907,-0.14523008117500907,-0.0033143304292634003,-0.0033143304292634003,-0.0033143304292634003,-0.0033143304292634003,-0.0033143304292634003,0.022508356613049268,0.022508356613049268,-0.0033143304292634003,-0.06397699170306778,-0.06397699170306778,-0.06397699170306778,-0.06397699170306778,-0.06397699170306778,-0.003017050661984746,-0.003017050661984746,-0.20223831473231133,-0.20223831473231133,-0.20223831473231133,0.022508356613049268,-0.20223831473231133,-0.20223831473231133,-0.14523008117500907,-0.14523008117500907,0.022508356613049268,-0.06397699170306778,-0.06397699170306778
DB,9.863188042208012,6.8824046707751165,6.8824046707751165,6.8824046707751165,14.832123737181293,14.832123737181293,2.9377952511872576,2.9377952511872576,2.9377952511872576,2.9377952511872576,2.9377952511872576,9.863188042208012,4.174139712882223,4.174139712882223,9.863188042208012,9.863188042208012,9.863188042208012,9.863188042208012,9.863188042208012,11.051292208897932,11.051292208897932,6.8824046707751165,9.863188042208012,6.8824046707751165,6.8824046707751165,6.8824046707751165,6.8824046707751165,14.832123737181293,14.832123737181293,2.9377952511872576,2.9377952511872576,2.9377952511872576,2.9377952511872576,9.863188042208012,2.9377952511872576,4.174139712882223,4.174139712882223,9.863188042208012,9.863188042208012,9.863188042208012,9.863188042208012,9.863188042208012,11.051292208897932,11.051292208897932,9.863188042208012,6.8824046707751165,6.8824046707751165,6.8824046707751165,6.8824046707751165,6.8824046707751165,14.832123737181293,14.832123737181293,2.9377952511872576,2.9377952511872576,2.9377952511872576,11.051292208897932,2.9377952511872576,2.9377952511872576,4.174139712882223,4.174139712882223,11.051292208897932,6.8824046707751165,6.8824046707751165
CH,4.074211909521582,8.302725325328083,8.302725325328083,8.302725325328083,5.317814815145232,5.317814815145232,4.518505662531717,4.518505662531717,4.518505662531717,4.518505662531717,4.518505662531717,4.074211909521582,4.830829106201372,4.830829106201372,4.074211909521582,4.074211909521582,4.074211909521582,4.074211909521582,4.074211909521582,3.495038755908171,3.495038755908171,8.302725325328083,4.074211909521582,8.302725325328083,8.302725325328083,8.302725325328083,8.302725325328083,5.317814815145232,5.317814815145232,4.518505662531717,4.518505662531717,4.518505662531717,4.518505662531717,4.074211909521582,4.518505662531717,4.830829106201372,4.830829106201372,4.074211909521582,4.074211909521582,4.074211909521582,4.074211909521582,4.074211909521582,3.495038755908171,3.495038755908171,4.074211909521582,8.302725325328083,8.302725325328083,8.302725325328083,8.302725325328083,8.302725325328083,5.317814815145232,5.317814815145232,4.518505662531717,4.518505662531717,4.518505662531717,3.495038755908171,4.518505662531717,4.518505662531717,4.830829106201372,4.830829106201372,3.495038755908171,8.302725325328083,8.302725325328083
