,labels_mk2_HDBSCAN_params1,labels_mk2_HDBSCAN_params10,labels_mk2_HDBSCAN_params11,labels_mk2_HDBSCAN_params12,labels_mk2_HDBSCAN_params13,labels_mk2_HDBSCAN_params14,labels_mk2_HDBSCAN_params15,labels_mk2_HDBSCAN_params16,labels_mk2_HDBSCAN_params17,labels_mk2_HDBSCAN_params18,labels_mk2_HDBSCAN_params19,labels_mk2_HDBSCAN_params2,labels_mk2_HDBSCAN_params20,labels_mk2_HDBSCAN_params21,labels_mk2_HDBSCAN_params22,labels_mk2_HDBSCAN_params23,labels_mk2_HDBSCAN_params24,labels_mk2_HDBSCAN_params25,labels_mk2_HDBSCAN_params26,labels_mk2_HDBSCAN_params27,labels_mk2_HDBSCAN_params28,labels_mk2_HDBSCAN_params29,labels_mk2_HDBSCAN_params3,labels_mk2_HDBSCAN_params30,labels_mk2_HDBSCAN_params31,labels_mk2_HDBSCAN_params32,labels_mk2_HDBSCAN_params33,labels_mk2_HDBSCAN_params34,labels_mk2_HDBSCAN_params35,labels_mk2_HDBSCAN_params36,labels_mk2_HDBSCAN_params37,labels_mk2_HDBSCAN_params38,labels_mk2_HDBSCAN_params39,labels_mk2_HDBSCAN_params4,labels_mk2_HDBSCAN_params40,labels_mk2_HDBSCAN_params41,labels_mk2_HDBSCAN_params42,labels_mk2_HDBSCAN_params43,labels_mk2_HDBSCAN_params44,labels_mk2_HDBSCAN_params45,labels_mk2_HDBSCAN_params46,labels_mk2_HDBSCAN_params47,labels_mk2_HDBSCAN_params48,labels_mk2_HDBSCAN_params49,labels_mk2_HDBSCAN_params5,labels_mk2_HDBSCAN_params50,labels_mk2_HDBSCAN_params51,labels_mk2_HDBSCAN_params52,labels_mk2_HDBSCAN_params53,labels_mk2_HDBSCAN_params54,labels_mk2_HDBSCAN_params55,labels_mk2_HDBSCAN_params56,labels_mk2_HDBSCAN_params57,labels_mk2_HDBSCAN_params58,labels_mk2_HDBSCAN_params59,labels_mk2_HDBSCAN_params6,labels_mk2_HDBSCAN_params60,labels_mk2_HDBSCAN_params61,labels_mk2_HDBSCAN_params62,labels_mk2_HDBSCAN_params63,labels_mk2_HDBSCAN_params7,labels_mk2_HDBSCAN_params8,labels_mk2_HDBSCAN_params9
B,1.1266448407944463,1.2581043495906659,1.3868437876279303,2.5120292842549903,2.5120292842549903,2.5120292842549903,0.560380770263181,0.560380770263181,0.560380770263181,0.560380770263181,2.041351393768193,1.1266448407944463,2.041351393768193,2.041351393768193,1.4621009070210162,1.4621009070210162,1.4621009070210162,1.3889012131428982,4.409078848747048,4.409078848747048,4.409078848747048,1.4601367002818724,0.9645425164243033,1.4601367002818724,1.4601367002818724,1.5020451668872503,2.5120292842549903,2.5120292842549903,2.5120292842549903,0.5038169785269094,0.5038169785269094,0.5038169785269094,0.5038169785269094,1.4591599523496857,2.041351393768193,2.041351393768193,2.041351393768193,1.5525915287778038,1.5525915287778038,1.5525915287778038,1.5159201725988747,4.409078848747048,4.409078848747048,4.409078848747048,4.409078848747048,1.651748612729159,1.651748612729159,1.651748612729159,1.806790821183152,2.4908513162192722,2.4908513162192722,2.4908513162192722,0.5172890182875112,0.5172890182875112,0.5172890182875112,4.409078848747048,0.5172890182875112,2.041351393768193,2.041351393768193,2.041351393768193,4.409078848747048,1.2581043495906659,1.2581043495906659
BH,0.21816054436293647,1.1121161828551012,3.718023462533262,141.79397773613275,141.79397773613275,141.79397773613275,0.4340289607623381,0.4340289607623381,0.4340289607623381,0.4340289607623381,69.64307584460082,0.21816054436293647,69.64307584460082,69.64307584460082,6.252328270991566,6.252328270991566,6.252328270991566,9.4472796290974,150.5988405306333,150.5988405306333,150.5988405306333,1.4037843570512292,0.43781020030269924,1.4037843570512292,1.4037843570512292,4.229132055520384,141.79397773613275,141.79397773613275,141.79397773613275,0.5679745909955283,0.5679745909955283,0.5679745909955283,0.5679745909955283,7.771359292808553,69.64307584460082,69.64307584460082,69.64307584460082,9.68565677729116,9.68565677729116,9.68565677729116,11.451480029206785,150.5988405306333,150.5988405306333,150.5988405306333,150.5988405306333,7.196452990271337,7.196452990271337,7.196452990271337,12.878788494196586,115.05310598025959,115.05310598025959,115.05310598025959,1.0790639995032771,1.0790639995032771,1.0790639995032771,150.5988405306333,1.0790639995032771,69.64307584460082,69.64307584460082,69.64307584460082,150.5988405306333,1.1121161828551012,1.1121161828551012
D,0.06512820725014916,0.09251580254557597,0.09251580254557597,0.04063869073370688,0.04063869073370688,0.04063869073370688,0.26129083439681416,0.26129083439681416,0.26129083439681416,0.26129083439681416,0.13102383711796572,0.06512820725014916,0.13102383711796572,0.13102383711796572,0.10315876766417885,0.10315876766417885,0.10315876766417885,0.10315876766417885,0.054651572003964505,0.054651572003964505,0.054651572003964505,0.07939860748428412,0.06512820725014916,0.07939860748428412,0.07939860748428412,0.07939860748428412,0.04063869073370688,0.04063869073370688,0.04063869073370688,0.26129083439681416,0.26129083439681416,0.26129083439681416,0.26129083439681416,0.05227046688857965,0.13102383711796572,0.13102383711796572,0.13102383711796572,0.04551977124244375,0.04551977124244375,0.04551977124244375,0.04242107257158077,0.054651572003964505,0.054651572003964505,0.054651572003964505,0.054651572003964505,0.0725232501454373,0.0725232501454373,0.0725232501454373,0.005906920545526403,0.020565015067837443,0.020565015067837443,0.020565015067837443,0.30501414778750624,0.30501414778750624,0.30501414778750624,0.054651572003964505,0.30501414778750624,0.13102383711796572,0.13102383711796572,0.13102383711796572,0.054651572003964505,0.09251580254557597,0.09251580254557597
H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBCV,0.6439343890532032,0.6375792128611542,0.6803644762029744,-0.365809057292753,-0.365809057292753,-0.365809057292753,0.31749227857465345,0.31749227857465345,0.31749227857465345,0.31749227857465345,0.06478027828781784,0.6439343890532032,0.06478027828781784,0.06478027828781784,0.547857931273148,0.547857931273148,0.547857931273148,0.43636516838440964,-0.601139463827545,-0.601139463827545,-0.601139463827545,0.6312355446722363,0.6421602731764743,0.6312355446722363,0.6312355446722363,0.6721985421347421,-0.365809057292753,-0.365809057292753,-0.365809057292753,0.2932022391520659,0.2932022391520659,0.2932022391520659,0.2932022391520659,0.4663989394272237,0.06478027828781784,0.06478027828781784,0.06478027828781784,0.4603995357741841,0.4603995357741841,0.4603995357741841,0.3933045342337518,-0.601139463827545,-0.601139463827545,-0.601139463827545,-0.601139463827545,0.5353776387228438,0.5353776387228438,0.5353776387228438,0.5854141919273711,-0.004330637886778872,-0.004330637886778872,-0.004330637886778872,0.2532567727511278,0.2532567727511278,0.2532567727511278,-0.601139463827545,0.2532567727511278,0.06478027828781784,0.06478027828781784,0.06478027828781784,-0.601139463827545,0.6375792128611542,0.6375792128611542
I,0.08103441631636346,0.13540432867653254,0.08534306983353274,0.1409877434592857,0.1409877434592857,0.1409877434592857,3.2487698766243094,3.2487698766243094,3.2487698766243094,3.2487698766243094,0.2278909889525069,0.08103441631636346,0.2278909889525069,0.2278909889525069,0.0595548550794792,0.0595548550794792,0.0595548550794792,0.06974200362236051,0.0385431523123187,0.0385431523123187,0.0385431523123187,0.14756902477167702,0.06413565852114139,0.14756902477167702,0.14756902477167702,0.09580487462972503,0.1409877434592857,0.1409877434592857,0.1409877434592857,4.006208994548914,4.006208994548914,4.006208994548914,4.006208994548914,0.0505353568745064,0.2278909889525069,0.2278909889525069,0.2278909889525069,0.08632674824140023,0.08632674824140023,0.08632674824140023,0.08583891883431745,0.0385431523123187,0.0385431523123187,0.0385431523123187,0.0385431523123187,0.11499306052712527,0.11499306052712527,0.11499306052712527,0.10530394894741185,0.11236460730713509,0.11236460730713509,0.11236460730713509,9.685814733167465,9.685814733167465,9.685814733167465,0.0385431523123187,9.685814733167465,0.2278909889525069,0.2278909889525069,0.2278909889525069,0.0385431523123187,0.13540432867653254,0.13540432867653254
C,0.31655974777750284,0.33413248719653077,0.2687871163244506,0.3656958141687134,0.3656958141687134,0.3656958141687134,0.5973458681238604,0.5973458681238604,0.5973458681238604,0.5973458681238604,0.3675650474046706,0.31655974777750284,0.3675650474046706,0.3675650474046706,0.24973192182024428,0.24973192182024428,0.24973192182024428,0.24075705113423362,0.5155471582093277,0.5155471582093277,0.5155471582093277,0.3115672901752098,0.19996515527041314,0.3115672901752098,0.3115672901752098,0.2616594824281796,0.3656958141687134,0.3656958141687134,0.3656958141687134,0.6044536980706218,0.6044536980706218,0.6044536980706218,0.6044536980706218,0.2396167557706822,0.3675650474046706,0.3675650474046706,0.3675650474046706,0.2440967881047534,0.2440967881047534,0.2440967881047534,0.24411850805109528,0.5155471582093277,0.5155471582093277,0.5155471582093277,0.5155471582093277,0.3035890802177554,0.3035890802177554,0.3035890802177554,0.2684708657647213,0.3201406955483721,0.3201406955483721,0.3201406955483721,0.6145273899476045,0.6145273899476045,0.6145273899476045,0.5155471582093277,0.6145273899476045,0.3675650474046706,0.3675650474046706,0.3675650474046706,0.5155471582093277,0.33413248719653077,0.33413248719653077
CDbw,0.42882733011649254,0.3185971709641491,0.23127774966357378,0.06400529438550898,0.06400529438550898,0.06400529438550898,0.5792893503451657,0.5792893503451657,0.5792893503451657,0.5792893503451657,0.05044398991828212,0.42882733011649254,0.05044398991828212,0.05044398991828212,0.1736513124601523,0.1736513124601523,0.1736513124601523,0.1386675775427266,0.04009302250098426,0.04009302250098426,0.04009302250098426,0.2922011339027906,0.34964319753285156,0.2922011339027906,0.2922011339027906,0.22234898772847547,0.06400529438550898,0.06400529438550898,0.06400529438550898,0.6006337145086833,0.6006337145086833,0.6006337145086833,0.6006337145086833,0.20541454432665543,0.05044398991828212,0.05044398991828212,0.05044398991828212,0.1432326048692668,0.1432326048692668,0.1432326048692668,0.12662274755115913,0.04009302250098426,0.04009302250098426,0.04009302250098426,0.04009302250098426,0.20540889485329084,0.20540889485329084,0.20540889485329084,0.128506802923219,0.03474003407514155,0.03474003407514155,0.03474003407514155,0.48191132174013607,0.48191132174013607,0.48191132174013607,0.04009302250098426,0.48191132174013607,0.05044398991828212,0.05044398991828212,0.05044398991828212,0.04009302250098426,0.3185971709641491,0.3185971709641491
VIASCKDE,0.4686486217776376,0.5510638102677201,0.5612945794899071,0.6087294547595152,0.6087294547595152,0.6087294547595152,0.5957401731720403,0.5957401731720403,0.5957401731720403,0.5957401731720403,0.5983162127604642,0.4686486217776376,0.5983162127604642,0.5983162127604642,0.5662917439847712,0.5662917439847712,0.5662917439847712,0.5817949679736237,0.59895894092743,0.59895894092743,0.59895894092743,0.5535291747732951,0.5456667202568198,0.5535291747732951,0.5535291747732951,0.5611387086078691,0.6087294547595152,0.6087294547595152,0.6087294547595152,0.6248283176299825,0.6248283176299825,0.6248283176299825,0.6248283176299825,0.5752742171872347,0.5983162127604642,0.5983162127604642,0.5983162127604642,0.588422318440244,0.588422318440244,0.588422318440244,0.5807168292384406,0.59895894092743,0.59895894092743,0.59895894092743,0.59895894092743,0.5513146529276169,0.5513146529276169,0.5513146529276169,0.5552069771989393,0.5542343793126153,0.5542343793126153,0.5542343793126153,0.6616231023533653,0.6616231023533653,0.6616231023533653,0.59895894092743,0.6616231023533653,0.5983162127604642,0.5983162127604642,0.5983162127604642,0.59895894092743,0.5510638102677201,0.5510638102677201
COP,0.3165369240945564,0.3780713916102245,0.42729829526187885,0.42503546533585546,0.42503546533585546,0.42503546533585546,0.4729330972723396,0.4729330972723396,0.4729330972723396,0.4729330972723396,0.4352832861460532,0.3165369240945564,0.4352832861460532,0.4352832861460532,0.45120901534354324,0.45120901534354324,0.45120901534354324,0.4711791213472387,0.42560623161538036,0.42560623161538036,0.42560623161538036,0.38161470275809983,0.3482510413433521,0.38161470275809983,0.38161470275809983,0.4303975637700771,0.42503546533585546,0.42503546533585546,0.42503546533585546,0.46273452448868885,0.46273452448868885,0.46273452448868885,0.46273452448868885,0.4686935286247466,0.4352832861460532,0.4352832861460532,0.4352832861460532,0.4584181879040596,0.4584181879040596,0.4584181879040596,0.4706346675663445,0.42560623161538036,0.42560623161538036,0.42560623161538036,0.42560623161538036,0.45766993102160336,0.45766993102160336,0.45766993102160336,0.48670743350089923,0.4217669208536759,0.4217669208536759,0.4217669208536759,0.42104390066567743,0.42104390066567743,0.42104390066567743,0.42560623161538036,0.42104390066567743,0.4352832861460532,0.4352832861460532,0.4352832861460532,0.42560623161538036,0.3780713916102245,0.3780713916102245
Sym,0.0017664076747734155,0.00292150251732727,0.002803419472368435,0.0064040713355256965,0.0064040713355256965,0.0064040713355256965,0.005094746431478474,0.005094746431478474,0.005094746431478474,0.005094746431478474,0.005219149715044954,0.0017664076747734155,0.005219149715044954,0.005219149715044954,0.0028668286053137888,0.0028668286053137888,0.0028668286053137888,0.0032302233525976745,0.005280234294026938,0.005280234294026938,0.005280234294026938,0.0032314982721408695,0.0017426872434502725,0.0032314982721408695,0.0032314982721408695,0.002867210627042596,0.0064040713355256965,0.0064040713355256965,0.0064040713355256965,0.005262919712750946,0.005262919712750946,0.005262919712750946,0.005262919712750946,0.002902393331705154,0.005219149715044954,0.005219149715044954,0.005219149715044954,0.0028356650662950053,0.0028356650662950053,0.0028356650662950053,0.0027944834743412602,0.005280234294026938,0.005280234294026938,0.005280234294026938,0.005280234294026938,0.002486437319833507,0.002486437319833507,0.002486437319833507,0.0023296050120306688,0.004053205677266424,0.004053205677266424,0.004053205677266424,0.008091286529557411,0.008091286529557411,0.008091286529557411,0.005280234294026938,0.008091286529557411,0.005219149715044954,0.005219149715044954,0.005219149715044954,0.005280234294026938,0.00292150251732727,0.00292150251732727
CS,1.035357951048509,1.6060801211380864,1.9382424135311693,2.497811605656152,2.497811605656152,2.497811605656152,1.3879474118489792,1.3879474118489792,1.3879474118489792,1.3879474118489792,3.310058200761673,1.035357951048509,3.310058200761673,3.310058200761673,2.0227640688487063,2.0227640688487063,2.0227640688487063,2.456976433411494,4.0365028994411185,4.0365028994411185,4.0365028994411185,1.812769574545474,1.2072838578892127,1.812769574545474,1.812769574545474,2.03599430528816,2.497811605656152,2.497811605656152,2.497811605656152,1.4404711786631967,1.4404711786631967,1.4404711786631967,1.4404711786631967,2.1099452501023124,3.310058200761673,3.310058200761673,3.310058200761673,2.345565592960533,2.345565592960533,2.345565592960533,2.6636923356574433,4.0365028994411185,4.0365028994411185,4.0365028994411185,4.0365028994411185,2.2156710554734724,2.2156710554734724,2.2156710554734724,2.6020363092088163,2.520561659056925,2.520561659056925,2.520561659056925,1.767583253704122,1.767583253704122,1.767583253704122,4.0365028994411185,1.767583253704122,3.310058200761673,3.310058200761673,3.310058200761673,4.0365028994411185,1.6060801211380864,1.6060801211380864
SF,0.02610044344366158,0.026439856000398776,0.022132865195107043,0.18678416431223455,0.18678416431223455,0.18678416431223455,0.13513444182762802,0.13513444182762802,0.13513444182762802,0.13513444182762802,0.2024283559569091,0.02610044344366158,0.2024283559569091,0.2024283559569091,0.01792983896712219,0.01792983896712219,0.01792983896712219,0.015360364825360073,0.13928631463960395,0.13928631463960395,0.13928631463960395,0.023421569913036233,0.018674734431644247,0.023421569913036233,0.023421569913036233,0.021012521891486613,0.18678416431223455,0.18678416431223455,0.18678416431223455,0.16449401499380767,0.16449401499380767,0.16449401499380767,0.16449401499380767,0.01488815091177842,0.2024283559569091,0.2024283559569091,0.2024283559569091,0.016014046382377134,0.016014046382377134,0.016014046382377134,0.01620038327564033,0.13928631463960395,0.13928631463960395,0.13928631463960395,0.13928631463960395,0.02812507040828871,0.02812507040828871,0.02812507040828871,0.026431881360161946,0.15234605162206483,0.15234605162206483,0.15234605162206483,0.2008025738622352,0.2008025738622352,0.2008025738622352,0.13928631463960395,0.2008025738622352,0.2024283559569091,0.2024283559569091,0.2024283559569091,0.13928631463960395,0.026439856000398776,0.026439856000398776
SD,686038036.5466589,2193955146.7687664,3942761845.3468122,20810773152.453068,20810773152.453068,20810773152.453068,2393277310.0191393,2393277310.0191393,2393277310.0191393,2393277310.0191393,18615688966.615284,686038036.5466589,18615688966.615284,18615688966.615284,5199126531.370884,5199126531.370884,5199126531.370884,7377483890.378896,31248914083.599323,31248914083.599323,31248914083.599323,2677525583.126199,1163084915.343897,2677525583.126199,2677525583.126199,4437427006.710511,20810773152.453068,20810773152.453068,20810773152.453068,3083605983.9147716,3083605983.9147716,3083605983.9147716,3083605983.9147716,5745270395.618929,18615688966.615284,18615688966.615284,18615688966.615284,7739042641.612769,7739042641.612769,7739042641.612769,8532017033.651125,31248914083.599323,31248914083.599323,31248914083.599323,31248914083.599323,5977265391.454378,5977265391.454378,5977265391.454378,8758517895.752064,23272000041.171432,23272000041.171432,23272000041.171432,5238843178.404554,5238843178.404554,5238843178.404554,31248914083.599323,5238843178.404554,18615688966.615284,18615688966.615284,18615688966.615284,31248914083.599323,2193955146.7687664,2193955146.7687664
SDbw,inf,0.3093431949404472,inf,2.2077275884487593,2.2077275884487593,2.2077275884487593,0.44399019428679076,0.44399019428679076,0.44399019428679076,0.44399019428679076,2.238646486628071,inf,2.238646486628071,2.238646486628071,0.5842822146358388,0.5842822146358388,0.5842822146358388,0.7700077474958501,2.3246294694053584,2.3246294694053584,2.3246294694053584,0.3649705056803011,0.1667100620950902,0.3649705056803011,0.3649705056803011,inf,2.2077275884487593,2.2077275884487593,2.2077275884487593,0.6300310534903162,0.6300310534903162,0.6300310534903162,0.6300310534903162,0.6530066989576011,2.238646486628071,2.238646486628071,2.238646486628071,0.7797999748825497,0.7797999748825497,0.7797999748825497,0.8713905235760228,2.3246294694053584,2.3246294694053584,2.3246294694053584,2.3246294694053584,0.7169618405844989,0.7169618405844989,0.7169618405844989,1.1600122271760016,1.909170082669307,1.909170082669307,1.909170082669307,1.0833752092556768,1.0833752092556768,1.0833752092556768,2.3246294694053584,1.0833752092556768,2.238646486628071,2.238646486628071,2.238646486628071,2.3246294694053584,0.3093431949404472,0.3093431949404472
XB*,106.87276256567716,28.883903241586836,76.47383359783268,4.977329185439645,4.977329185439645,4.977329185439645,19.634701550160997,19.634701550160997,19.634701550160997,19.634701550160997,29.72861352249585,106.87276256567716,29.72861352249585,29.72861352249585,165.78934227598097,165.78934227598097,165.78934227598097,66.52550922343873,12.6512335023248,12.6512335023248,12.6512335023248,22.717669772774574,49.46497643980754,22.717669772774574,22.717669772774574,49.949796811355846,4.977329185439645,4.977329185439645,4.977329185439645,19.43069768320525,19.43069768320525,19.43069768320525,19.43069768320525,154.2263949372275,29.72861352249585,29.72861352249585,29.72861352249585,14.636408693671756,14.636408693671756,14.636408693671756,51.8895750583324,12.6512335023248,12.6512335023248,12.6512335023248,12.6512335023248,18.216197161676476,18.216197161676476,18.216197161676476,143.07093916015924,2.8335626283945685,2.8335626283945685,2.8335626283945685,9.323865047027258,9.323865047027258,9.323865047027258,12.6512335023248,9.323865047027258,29.72861352249585,29.72861352249585,29.72861352249585,12.6512335023248,28.883903241586836,28.883903241586836
S,0.19624200867571487,-0.027497835637315775,-0.09068421676268011,0.08655056131144936,0.08655056131144936,0.08655056131144936,-0.3511490456785608,-0.3511490456785608,-0.3511490456785608,-0.3511490456785608,-0.024352873444140097,0.19624200867571487,-0.024352873444140097,-0.024352873444140097,-0.09522823090909543,-0.09522823090909543,-0.09522823090909543,-0.1096683699914769,-0.02775444656567619,-0.02775444656567619,-0.02775444656567619,0.002557594470350047,0.12677996505028988,0.002557594470350047,0.002557594470350047,-0.07441963266608241,0.08655056131144936,0.08655056131144936,0.08655056131144936,-0.3195397990058552,-0.3195397990058552,-0.3195397990058552,-0.3195397990058552,-0.11930403686380761,-0.024352873444140097,-0.024352873444140097,-0.024352873444140097,-0.05928775255951501,-0.05928775255951501,-0.05928775255951501,-0.09174169455705095,-0.02775444656567619,-0.02775444656567619,-0.02775444656567619,-0.02775444656567619,-0.13600719589562907,-0.13600719589562907,-0.13600719589562907,-0.16251575325535572,0.09948555086964136,0.09948555086964136,0.09948555086964136,-0.2791354345859964,-0.2791354345859964,-0.2791354345859964,-0.02775444656567619,-0.2791354345859964,-0.024352873444140097,-0.024352873444140097,-0.024352873444140097,-0.02775444656567619,-0.027497835637315775,-0.027497835637315775
DB,1.4931499705459685,1.5849603579471006,2.594938684966002,2.9129479786959327,2.9129479786959327,2.9129479786959327,1.8067229155153104,1.8067229155153104,1.8067229155153104,1.8067229155153104,6.191314162207793,1.4931499705459685,6.191314162207793,6.191314162207793,3.649951846969781,3.649951846969781,3.649951846969781,3.2967179442794383,4.592070073715454,4.592070073715454,4.592070073715454,1.6837215971111068,1.4686212325566148,1.6837215971111068,1.6837215971111068,2.496556562093829,2.9129479786959327,2.9129479786959327,2.9129479786959327,1.9465054721755557,1.9465054721755557,1.9465054721755557,1.9465054721755557,3.420259474379078,6.191314162207793,6.191314162207793,6.191314162207793,2.4107153626037614,2.4107153626037614,2.4107153626037614,3.1715099295538676,4.592070073715454,4.592070073715454,4.592070073715454,4.592070073715454,2.2319924420087403,2.2319924420087403,2.2319924420087403,3.844366491523673,2.3511800065014135,2.3511800065014135,2.3511800065014135,2.3867710047425494,2.3867710047425494,2.3867710047425494,4.592070073715454,2.3867710047425494,6.191314162207793,6.191314162207793,6.191314162207793,4.592070073715454,1.5849603579471006,1.5849603579471006
CH,52.450743302552866,67.28094005676365,76.98866490680345,22.384769200313862,22.384769200313862,22.384769200313862,14.320878615585865,14.320878615585865,14.320878615585865,14.320878615585865,24.744718047081374,52.450743302552866,24.744718047081374,24.744718047081374,98.84006494759528,98.84006494759528,98.84006494759528,113.04204226557695,22.38526658030173,22.38526658030173,22.38526658030173,82.463483466895,74.957072742876,82.463483466895,82.463483466895,88.05569012237748,22.384769200313862,22.384769200313862,22.384769200313862,15.749425803070874,15.749425803070874,15.749425803070874,15.749425803070874,100.52471594043188,24.744718047081374,24.744718047081374,24.744718047081374,121.77809889692763,121.77809889692763,121.77809889692763,117.6540534363014,22.38526658030173,22.38526658030173,22.38526658030173,22.38526658030173,89.88748463210021,89.88748463210021,89.88748463210021,97.9686304126629,73.55843629013206,73.55843629013206,73.55843629013206,19.645822794913936,19.645822794913936,19.645822794913936,22.38526658030173,19.645822794913936,24.744718047081374,24.744718047081374,24.744718047081374,22.38526658030173,67.28094005676365,67.28094005676365
