,labels_wdbc_MeanShift_params1,labels_wdbc_MeanShift_params10,labels_wdbc_MeanShift_params11,labels_wdbc_MeanShift_params12,labels_wdbc_MeanShift_params13,labels_wdbc_MeanShift_params14,labels_wdbc_MeanShift_params15,labels_wdbc_MeanShift_params16,labels_wdbc_MeanShift_params18,labels_wdbc_MeanShift_params3,labels_wdbc_MeanShift_params4,labels_wdbc_MeanShift_params5,labels_wdbc_MeanShift_params6,labels_wdbc_MeanShift_params7,labels_wdbc_MeanShift_params8,labels_wdbc_MeanShift_params9
BH,10.28608338744278,54.14654512499553,26.54017822312925,22.518981874618838,72.9523658737286,11.489532200050649,42.51647414331719,54.14654512499553,128.75508082342438,4.488686691538044,20.08619644762526,10.310040441212228,13.517900677790179,37.42608411335039,10.310040441212228,13.517900677790179
D,0.21500509695941078,0.1485553277040661,0.26357758302041334,0.18562143440328713,0.25883880993827324,0.1980706741768672,0.14943578470357885,0.1485553277040661,0.1547996860420547,0.2781116089362154,0.19770716403782254,0.20176546086738512,0.28280512253991774,0.16317882778128184,0.20176546086738512,0.28280512253991774
H,6.6201494758612025,3.4827914108085056,4.931505493264064,5.834418194627033,2.95220768218446,5.897743366067997,3.997775001773582,3.4827914108085056,2.8170596774138064,11.647981385701698,6.1556123849003725,6.6678126844781005,5.092371277542378,4.810927054750395,6.6678126844781005,5.092371277542378
DBCV,-0.43252847882533496,-0.7177112427681351,-0.5549598428053916,-0.5543457319615879,-0.7359343892942078,-0.40427326387372986,-0.5089563666780356,-0.7177112427681351,-0.6509799491614374,-0.3098281676797151,-0.4496429164220165,-0.4331837341134786,-0.5359163902256057,-0.485458137844678,-0.4331837341134786,-0.5359163902256057
I,0.059591233222215885,0.3118133058502956,0.1721573874743486,0.1408931391695191,0.3963264607970216,0.07039047223774349,0.22848603056412342,0.3118133058502956,0.7078861582811132,0.028220064221473,0.12594732140092682,0.05947221718403969,0.08179907402453615,0.18905658680533063,0.05947221718403969,0.08179907402453615
C,0.04594939866532999,0.11017985709771311,0.0627894535809206,0.06695981980535233,0.1113265523179924,0.046889791201592285,0.1008524096803687,0.11017985709771311,0.11224733936657821,0.049551222220241616,0.06480592277852197,0.04602810574607785,0.04937153915425079,0.10049114052688113,0.04602810574607785,0.04937153915425079
VIASCKDE,,,,,,,,,,,,,,,,
COP,,0.3988938705171382,,,0.3656054745722184,,,0.3988938705171382,0.35876644747841796,,,,,,,
Sym,0.00044431410732486185,0.0008307625788066882,0.0006781464371092574,0.0006209532105320426,0.0009173606742018136,0.0004754683355907301,0.0007327278009707716,0.0008307625788066882,0.001174428064775925,0.00033137871030253056,0.0005963233157051004,0.00044332219588712955,0.000504765781696897,0.0006701498866495312,0.00044332219588712955,0.000504765781696897
CS,0.5088693333456196,0.7793979766277651,0.7062278004421514,0.6856614020899895,0.8968203567787916,0.5020836147221704,0.7103449965172229,0.7793979766277651,1.3109218769828628,0.45637403327012155,0.6630773252544329,0.5097038022824,0.466691202913344,0.7596755789383539,0.5097038022824,0.466691202913344
SF,4.210357240630458e-08,6.454043281178823e-05,1.196806641901027e-06,7.335891768489589e-07,9.918811078846179e-05,1.699760165951858e-07,2.5413641204563575e-05,6.454043281178823e-05,0.00018796277513055681,6.259459617297125e-11,4.1005664075388637e-07,4.25057624653391e-08,1.4160681776065331e-06,4.2016360101149175e-06,4.25057624653391e-08,1.4160681776065331e-06
SD,32.062617175192344,63.511336015411786,52.010296314563995,50.8864084458618,85.29615031184058,32.06480874486168,54.48749629338628,63.511336015411786,119.07110584034847,28.544079042856005,47.96576241798399,32.412150687415995,29.663014380825054,56.459304471331535,32.412150687415995,29.663014380825054
SDbw,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
XB*,1.435043908891743,1.8382817370423852,1.145207406168664,2.3773809923662808,1.0143366907652276,1.6114235382175788,2.1567896657632377,1.8382817370423852,1.392775858629353,1.7224924375270918,2.3285938407539666,1.5283351530795808,0.9958334446419248,2.2070786451189393,1.5283351530795808,0.9958334446419248
S,0.1101140926405509,0.1625168477726625,0.1928864625272013,0.15212196571333264,0.2856835286821923,0.11823172777728942,0.15447755686942152,0.1625168477726625,0.27760513864901043,0.04211634935870259,0.12614195031026948,0.10892601808555516,0.15264858794777525,0.14861354398172827,0.10892601808555516,0.15264858794777525
DB,0.890219371132181,1.1252929198603063,1.063525414367422,1.1159656198589158,1.1692103436874624,0.8720265084160932,1.1221350187137284,1.1252929198603063,1.4778425340067596,0.8814595770075726,1.1034129356677096,0.8937495461459719,0.8590210766451776,1.1798730742072816,0.8937495461459719,0.8590210766451776
CH,24.567532166849897,29.50315705260073,32.82352875982842,30.874010788855838,31.368658976213318,26.527048210195794,27.63249576461637,29.50315705260073,30.165655297183992,18.248430277473606,30.472842559572168,24.482772807724093,27.110907120609134,25.83368539291158,24.482772807724093,27.110907120609134
AD-S,0.18500420222025138,0.1565019288326934,0.13052280921331288,0.15463166291313435,0.16949272952538003,0.17716796565959697,0.15800367844236626,0.1565019288326934,0.2353756780509916,0.22871046718639212,0.1586426694111878,0.18500420222025138,0.15948744910243123,0.1605865527754602,0.18500420222025138,0.15948744910243123
AD-DB,1.1855601324633633,1.5126158416412032,1.3893926477958969,1.3565166548344836,1.5510984603699844,1.1763194163997541,1.4274129838809246,1.5126158416412032,2.153568851729553,1.1250089115986945,1.3538833493164248,1.1839035722887261,1.1255091254120424,1.4384292355409494,1.1839035722887261,1.1255091254120424
