,labels_twodiamonds_DBSCAN_params11,labels_twodiamonds_DBSCAN_params16,labels_twodiamonds_DBSCAN_params17,labels_twodiamonds_DBSCAN_params21,labels_twodiamonds_DBSCAN_params22,labels_twodiamonds_DBSCAN_params23,labels_twodiamonds_DBSCAN_params28,labels_twodiamonds_DBSCAN_params29,labels_twodiamonds_DBSCAN_params34,labels_twodiamonds_DBSCAN_params40
VIASCKDE,0.44009594138186364,0.44660876452378684,0.4827423296258274,0.5943944263110843,0.5692471388594658,0.5215293946757434,0.5706627847411249,0.5841891574212797,0.6285187322875687,0.6681095000493861
COP,0.2286350422902829,0.27639733960482193,0.24612664904604603,0.33735766541356266,0.28887730995963007,0.19439215204230764,0.26342910195995967,0.21928035980479565,0.3016955706097878,0.26265159294585316
Sym,8.31824429599192,0.015008064947175952,0.08856610087624564,0.022297556873948864,0.020109709896678037,0.10537451792389964,0.026768960507462105,1.849382227707714,0.05415472202817993,0.050152558659243014
CS,0.1715054352426565,0.9011831737512667,0.6780714759784564,0.9039176963077704,0.8921073297233194,0.6397630775893252,0.8306168632387492,0.2756313811047765,1.3036707288655547,1.015611245074263
SF,0.5326174855349181,0.054792600000405756,0.15471125533619645,0.38390858596813704,0.2964496056846213,0.2613647292209996,0.27470734742996517,0.5612327039657254,0.3815267802915844,0.4186053002006491
SD,2228.557264309755,9512.734935012551,2632.612320005469,544078.8081306608,233611.65724499256,5993.248556589287,228971.87225494315,5013.453097089261,831157.633325645,575801.0366552274
SDbw,0.024581435095646347,0.0694590801329667,0.05403326911548441,0.9739974052087071,0.49568107823352786,0.09476273805416363,0.511583650529246,0.19490714385066446,1.3473704918241138,1.0762336579407648
XB*,0.12929834344568925,17.81146869745378,1.4053438197561559,1.800645100715507,3.6782112446521626,1.910011868997864,0.899816888333827,0.07374525954667246,0.22170178431171156,0.16438878591666678
S,0.8065636086210018,0.19187486769488546,0.49725170095105586,-0.19089414545737007,-0.20792153677702974,0.48991340306779413,0.15366207257518386,0.7676958803325294,0.4873733072040166,0.5359416642347743
DB,0.21557776158705771,0.8218158242199012,0.5673980191962404,1.1058663416318997,1.0799190592496908,0.5895335358915434,0.800592654628202,0.31249170563168155,0.8478806863468901,0.7421158484603384
CH,7690.692899330516,390.28274052763084,1226.7009554598765,10.462127892854147,194.3533850555151,965.6303653754738,371.5152184099421,1702.4754030699148,910.4782299484882,967.6509913030225
AD-S,0.8546401219717978,0.3722608588728213,0.4422418530490407,0.08980465619514397,0.1497804569845663,0.44576723028163456,0.13196134980421395,0.8215923660043821,0.16607914336120777,0.5776766900160779
AD-DB,0.28459339257435184,1.150585160898415,1.0496730310796223,1.3119325272715527,1.3606619079355082,1.0423537078743432,1.6481847665899005,0.3222142257449273,1.674026683857771,0.8451149140067391
AD-CH,107.1103276255636,32.6506355423673,50.7243823020662,252.1931568131121,196.02522867217448,116.10412466460221,188.58384805815027,356.66875059747724,923.3377764144378,1033.2913787314762
AD-idea,1.6199408138292076e+16,1339724926.5321772,1165456439.8838296,2.1588738247435333,12.248564228586593,6397517.11319502,4.057274054602361,7463.999271120776,1.4362749653022147,5.601431210706473
