,labels_mk1_DBSCAN_params11,labels_mk1_DBSCAN_params16,labels_mk1_DBSCAN_params17,labels_mk1_DBSCAN_params21,labels_mk1_DBSCAN_params22,labels_mk1_DBSCAN_params23,labels_mk1_DBSCAN_params26,labels_mk1_DBSCAN_params27,labels_mk1_DBSCAN_params28,labels_mk1_DBSCAN_params31,labels_mk1_DBSCAN_params32,labels_mk1_DBSCAN_params33,labels_mk1_DBSCAN_params34,labels_mk1_DBSCAN_params36,labels_mk1_DBSCAN_params37,labels_mk1_DBSCAN_params38,labels_mk1_DBSCAN_params39,labels_mk1_DBSCAN_params41,labels_mk1_DBSCAN_params42,labels_mk1_DBSCAN_params43,labels_mk1_DBSCAN_params44,labels_mk1_DBSCAN_params45,labels_mk1_DBSCAN_params46,labels_mk1_DBSCAN_params47,labels_mk1_DBSCAN_params48,labels_mk1_DBSCAN_params49,labels_mk1_DBSCAN_params50
VIASCKDE,0.45506385071330696,0.32578285263429896,0.3674941380287624,0.40072700258983995,0.3656286367410318,0.4595372553165773,0.46858114910606447,0.43508458322922006,0.3660778946737112,0.5464129302985569,0.5342367069860968,0.5028866295462289,0.4019093840153091,0.5428173282655552,0.5368286608904264,0.5273475532338212,0.5049881231952054,0.5428173282655552,0.5428173282655552,0.5378965930190119,0.5548776291254226,0.4412704477463084,,,,,0.5126130532193436
COP,0.4853061550624613,0.3516021734802623,0.4278448064188556,0.28307105941280486,0.34557676229065876,0.3816389801037207,0.2543494865871633,0.28573049482008256,0.3706387168416012,0.24662411311103608,0.26583350460259575,0.27656289450059957,0.32507561328597456,0.27450290846974895,0.2865460960435337,0.24033972360464867,0.27105665573763604,0.27450290846974895,0.27450290846974895,0.2743611160043999,0.2529234643477374,0.3073748700066213,0.27341355193633327,0.27341355193633327,0.27341355193633327,0.27341355193633327,0.25778076971553937
Sym,0.004732825501695555,0.0030326134114234925,0.005222292345742455,0.011048826186521083,0.007255013024100351,0.008301805188051037,0.027599645379333747,0.02266130936427891,0.008196016861509742,0.05413112179271362,0.036578354812308866,0.030634048758404978,0.013730035160935137,0.0517261129157904,0.04285535693615779,0.04569623230101287,0.031046790738853223,0.0517261129157904,0.0517261129157904,0.04907908305403067,0.051312809704897135,0.014692261655399268,0.051116764100432616,0.051116764100432616,0.051116764100432616,0.051116764100432616,0.03517884398009955
CS,1.4587642566316998,1.01775087119084,1.0607626761234916,1.099113625387245,1.4035144994058246,1.1436491915369629,1.3149768736206757,1.2609897590895096,1.5586594361195447,1.384511194707233,1.4309564484472215,1.4499070074367901,1.2720861121416802,1.2031687363128667,2.4944440994047206,1.4537297111357408,1.4775760008183376,1.2031687363128667,1.2031687363128667,1.9965313833743028,1.3458084909017323,1.3319652657424144,0.8995591951184184,0.8995591951184184,0.8995591951184184,0.8995591951184184,1.4415526532075476
SF,0.3733046309126955,0.17119573452521342,0.2975775528455583,0.16028698284065468,0.1996828602579218,0.3416531990514582,0.21650573757762404,0.2093101414519304,0.235723195935865,0.25972371097279146,0.22014573288369188,0.21863708857784947,0.2459743051534986,0.34333845950042163,0.2105475571807257,0.23119551299329988,0.21423908757357224,0.34333845950042163,0.34333845950042163,0.2647663054414141,0.24918392138837875,0.24553104273734283,0.39610164228419464,0.39610164228419464,0.39610164228419464,0.39610164228419464,0.21997259798592494
SD,98436.83947879744,20996.050654041675,52579.52943845197,36944.46910312219,56384.03050510943,123597.07314464425,93243.98250540493,122039.14164921606,88150.30771086428,138331.85132784094,204743.29466989238,205701.44871840125,126088.29577256317,142946.42441366063,326097.89142167824,196102.69367773074,215577.43029383686,142946.42441366063,142946.42441366063,226868.44639287933,179910.91137326337,176021.70341697498,133170.67121694816,133170.67121694816,133170.67121694816,133170.67121694816,211493.43604037704
SDbw,4.0541902811095945,0.3675438062092797,1.080880234723511,0.3600391014805687,0.5799994651297382,1.4638571324418004,0.5725608230463164,0.6729066491629917,0.7453067504792147,0.6804959887997333,0.9355923487892941,0.9387522129369599,0.8460982710300711,0.8313614917327262,1.3095193129358038,0.9140353553028933,0.9624052105000072,0.8313614917327262,0.8313614917327262,1.035459619596989,0.7740498257229111,0.9172108867030596,0.7897767604760786,0.7897767604760786,0.7897767604760786,0.7897767604760786,0.9491421031285594
XB*,80.9921054385872,96.54670868696898,42.27642950036812,47.95681662800835,93.46929446227053,11.263158823299161,3.834558847910682,4.406307923655273,11.54912726308011,3.557242388788133,1.957884806977762,3.2497023381383436,7.019569694671895,0.6998271247068873,3.392095481606372,1.7470855664808358,2.7958332148929976,0.6998271247068873,0.6998271247068873,1.1223488369982946,2.744122180910674,2.673281655827851,0.5092424302574506,0.5092424302574506,0.5092424302574506,0.5092424302574506,2.1860353365758645
S,-0.390929802289409,-0.10432608916239988,-0.4191462415758616,-0.10700324155533247,-0.0967736011134528,-0.21964716988347202,0.24114711311435105,0.26654976939440034,-0.10710114606697234,0.5990640742122763,0.6102406966615718,0.5689326109060482,0.18288100477281855,0.3279748838699934,0.42252636335562965,0.6163921073427724,0.5912235697165805,0.3279748838699934,0.3279748838699934,0.3637716585860524,0.6144804585480673,0.36876797039767867,0.36119082783489026,0.36119082783489026,0.36119082783489026,0.36119082783489026,0.6059505990714636
DB,1.3720027033323574,1.219072841715513,1.2045670455427107,1.1938043603367525,1.2500523568296134,1.082674772043075,1.3199348343670112,1.4628336012891292,1.316491178191345,1.6385925480019086,1.5417679615762472,1.7723479079280158,1.5089655458024631,0.7906104276627749,2.402016784175338,1.4350361523460795,1.730358781355534,0.7906104276627749,0.7906104276627749,1.4952664745766528,1.4857166292821242,1.637305876736307,0.6279517377946106,0.6279517377946106,0.6279517377946106,0.6279517377946106,1.6055014527424762
CH,2.093945794943788,9.585198444772683,7.8701707894930335,54.96272608678384,33.76521064013227,15.494317828747413,228.16909235737162,157.292362336654,36.998507331111796,575.0678452372202,459.5148791072774,339.42856822295,90.65913993288342,186.0165133552879,182.21491707188227,540.7159178738932,383.5498023221905,186.0165133552879,186.0165133552879,185.429075329377,591.0678127452004,147.49070394188487,184.72601959020096,184.72601959020096,184.72601959020096,184.72601959020096,444.0632332366642
AD-S,-0.30335119150534773,0.058859745329385496,-0.3802296202718986,0.20564171695703182,0.0347719580775045,-0.22230623729541393,0.3629130226281176,0.3211149727362043,-0.12267065913984009,0.6161307877359182,0.6016246997373375,0.5391706261935283,0.18920354595971825,0.5680597911193603,0.5596911020575253,0.5828763343122441,0.5766924341552886,0.5680597911193603,0.5680597911193603,0.559821773419287,0.623550819885543,0.3611100443626349,0.5695892811349671,0.5695892811349671,0.5695892811349671,0.5695892811349671,0.5939143528612514
AD-DB,1.3985836350047773,1.2497407939403489,1.1273105468244113,1.3728443967837096,1.5721636584242822,1.411620849314176,1.5132149441038492,1.9366522077272181,1.624254162593179,1.523123073487203,1.5691912900310785,1.6477978347939652,1.6167292209386783,0.8255996959242408,1.2835920242429106,1.4522890154282013,1.589382549963947,0.8255996959242408,0.8255996959242408,1.2835263602420253,1.1887178935473859,1.7235840747019866,0.6313750008827642,0.6313750008827642,0.6313750008827642,0.6313750008827642,1.5912128626109046
AD-CH,2.7267548620703543,10.025711237201705,43.609663091430505,43.187509124849015,51.94524583397858,15.478352652907713,131.29144592624164,134.57276491210138,41.31953366623203,265.92368783735964,255.6989245872872,251.0290177825619,132.69350608380296,253.93240647505485,252.54090299837546,271.8640044851316,239.95509999158548,253.93240647505485,253.93240647505485,252.5789646796859,273.06225073578315,199.15248279795534,254.4786279302756,254.4786279302756,254.4786279302756,254.4786279302756,250.75039515054314
AD-idea,1.2632283645344298,221.51872863013583,4.627894346740667,15.614199758188118,5.92867460682153,1.6919754129343842,9.392905286364385,2.8558654733190054,1.6977536327370715,24.217612120896906,23.57817730210248,21.72078627422804,7.303490889574624,7.957673569860497,7.908360489090227,23.702383784141297,22.454259893619163,7.957673569860497,7.957673569860497,7.909829417664857,23.183064045511422,14.108432831621348,7.686485329488461,7.686485329488461,7.686485329488461,7.686485329488461,23.29132561891347
