,labels_dense_MeanShift_params1,labels_dense_MeanShift_params10,labels_dense_MeanShift_params11,labels_dense_MeanShift_params12,labels_dense_MeanShift_params13,labels_dense_MeanShift_params14,labels_dense_MeanShift_params15,labels_dense_MeanShift_params16,labels_dense_MeanShift_params17,labels_dense_MeanShift_params18,labels_dense_MeanShift_params19,labels_dense_MeanShift_params2,labels_dense_MeanShift_params20,labels_dense_MeanShift_params21,labels_dense_MeanShift_params22,labels_dense_MeanShift_params23,labels_dense_MeanShift_params24,labels_dense_MeanShift_params25,labels_dense_MeanShift_params26,labels_dense_MeanShift_params27,labels_dense_MeanShift_params28,labels_dense_MeanShift_params29,labels_dense_MeanShift_params3,labels_dense_MeanShift_params30,labels_dense_MeanShift_params31,labels_dense_MeanShift_params32,labels_dense_MeanShift_params4,labels_dense_MeanShift_params5,labels_dense_MeanShift_params6,labels_dense_MeanShift_params7,labels_dense_MeanShift_params8,labels_dense_MeanShift_params9
Sym,0.1504536614820803,0.08582337200622059,0.09762712085971584,0.09436774233536409,0.12473921031103054,0.12256796061533341,0.0919557724000629,0.08582337200622059,0.08109388032355187,0.08602782041054681,0.08974332189448403,0.16919150027886645,0.08134721647421944,0.08269202718082608,0.07583564350531558,0.08432732105000285,0.08358065368003674,0.10524228550525278,0.11443333672559008,0.06916047049313842,0.06916047049313842,0.06611536338031529,0.13051451879582165,0.06611536338031529,0.06916047049313842,0.06916047049313842,0.13585287343058042,0.10174570965313488,0.09933595568284438,0.12473921031103054,0.12256796061533341,0.0919557724000629
CS,0.3699068751811925,0.7005632788716446,0.6941755303520155,0.7511883345549702,0.5397992224989789,0.48829605256175074,0.7484449642071467,0.7005632788716446,0.9510425471859776,0.7470291577960507,0.8761370554986274,0.30888630407626416,0.7614684035045731,0.8815136042154563,0.7118668906191802,0.8982316311754253,0.8334306994877276,0.6401377624225116,0.5483840712388179,0.902592657729337,0.902592657729337,1.0024493350775736,0.4664711328329891,1.0024493350775736,0.902592657729337,0.902592657729337,0.4100038737534909,0.5869418573194247,0.6169397362585971,0.5397992224989789,0.48829605256175074,0.7484449642071467
SF,0.20887550418032608,0.14601214437482712,0.13795136958084542,0.1373954328375181,0.1397706491502877,0.16935377422267417,0.14502993287223387,0.14601214437482712,0.20489151481965662,0.19484090571439183,0.2070351489443989,0.24974243455074263,0.19066179276092632,0.2067931940009925,0.20909453691112712,0.22490400741841854,0.2151957993783561,0.11834249098760374,0.1638345479170391,0.48657760033931685,0.48657760033931685,0.4845871753300005,0.16647070680482434,0.4845871753300005,0.48657760033931685,0.48657760033931685,0.19478400290755404,0.15676143943633247,0.14034951378885885,0.1397706491502877,0.16935377422267417,0.14502993287223387
SD,10280.323086117929,72462.60341205633,67501.81709642516,78702.95369668343,23451.708747339297,20065.478056201973,83692.4527202644,72462.60341205633,138134.07024012652,129849.39291998312,135574.1769987661,6719.410897444316,129939.35781575751,135882.64584608053,149471.15630057856,205264.16982129414,206978.96076006588,41354.84095583157,35126.356313968434,541457.3064471914,541457.3064471914,545471.5699374771,16004.47200763533,545471.5699374771,541457.3064471914,541457.3064471914,11841.418716692373,47802.144453258494,49243.180099074605,23451.708747339297,20065.478056201973,83692.4527202644
SDbw,0.03377600660287241,0.1910762162411544,0.1956307461367834,0.2262036740697368,inf,0.06699116517754602,0.19697271349247755,0.1910762162411544,0.36269866975300813,0.28138050650286106,0.35691765614470483,0.020349698592576883,0.30235449063090236,0.37184923615441545,0.3041471748699688,0.36646954569529844,0.47751222331287213,0.10711945617244084,0.1080017097623328,0.6015704230848917,0.6015704230848917,0.6038917619061547,0.051357277991205805,0.6038917619061547,0.6015704230848917,0.6015704230848917,0.038035685592900215,0.1332792595150062,0.14565321969493233,inf,0.06699116517754602,0.19697271349247755
XB*,0.4646603014093876,0.45310207468402053,0.5005168871534756,0.7093585927518334,0.47399968093755745,0.7245583336778854,0.8154478467956295,0.45310207468402053,0.4154521750818969,0.3029300642546959,0.42958341773831277,0.5765965159538158,0.3254160279620426,0.41701446420374577,0.33129990252854663,0.37529139934753075,0.4168022237475326,0.5549842307971536,0.3650632287162502,0.1904932428333195,0.1904932428333195,0.1846978338313275,0.37517498361148516,0.1846978338313275,0.1904932428333195,0.1904932428333195,0.5175571889846234,0.30993927953141487,0.6923367831604584,0.47399968093755745,0.7245583336778854,0.8154478467956295
S,0.5549142954549782,0.5542261104507594,0.5766796510860211,0.5641693051855146,0.6071358708171872,0.5483821116917119,0.5674100867644115,0.5542261104507594,0.6162743490561172,0.603512898698747,0.601943860998738,0.57250384556759,0.6023450375105697,0.5937203888517844,0.583860040049203,0.5905344115494444,0.589514531764084,0.5778037319186154,0.5867910620273652,0.6762830729823408,0.6762830729823408,0.6752650916075182,0.5579400527867278,0.6752650916075182,0.6762830729823408,0.6762830729823408,0.5323716972874809,0.5920197769455112,0.5764735538538542,0.6071358708171872,0.5483821116917119,0.5674100867644115
DB,0.44093095058480725,0.6937509384441127,0.7029383141950961,0.7494109452280984,0.5794565129515749,0.5349368497986206,0.7569278918837463,0.6937509384441127,0.7576824026928289,0.7002385844057993,0.7359932394320584,0.3684729593831663,0.7174679556536686,0.6970798381936067,0.7109923822258677,0.7765876020778529,0.736667458752,0.6782165174788028,0.5455801425542569,0.4824751522532295,0.4824751522532295,0.486614363871984,0.5180498620831681,0.486614363871984,0.4824751522532295,0.4824751522532295,0.48820884430541467,0.6015940618413002,0.6457064927821838,0.5794565129515749,0.5349368497986206,0.7569278918837463
CH,556.0867232562073,375.5591740502981,434.4287300377895,404.5364429511927,567.4726379036139,526.7713927319867,407.79227522671744,375.5591740502981,432.6391032750938,369.9466143290496,398.8558592049008,575.1357219643672,368.81935113445604,390.12184347488136,318.31788794107825,322.23594251761006,297.59565826263093,483.47502654191965,494.53224612889716,503.75254328027705,503.75254328027705,504.72627911983335,557.0101774252302,504.72627911983335,503.75254328027705,503.75254328027705,510.7681280191988,487.060887464439,453.34779000554056,567.4726379036139,526.7713927319867,407.79227522671744
AD-S,0.7511052197031189,0.5770944711273523,0.6030454978115531,0.5890786039898424,0.696370831304086,0.6914917444679964,0.5855247161070986,0.5770944711273523,0.5616620842380251,0.5605240814395361,0.5580753354576475,0.7839007767009565,0.5458800711550317,0.5629076308053517,0.5122909597893301,0.5147532696284485,0.515469949327911,0.6498416751133099,0.6657981970153455,0.6587309878166836,0.6587309878166836,0.6321681474719998,0.7188485350616971,0.6321681474719998,0.6587309878166836,0.6587309878166836,0.7316670738291413,0.632382077479729,0.6292033163088905,0.696370831304086,0.6914917444679964,0.5855247161070986
