,labels_s4_DBSCAN_params1,labels_s4_DBSCAN_params10,labels_s4_DBSCAN_params11,labels_s4_DBSCAN_params12,labels_s4_DBSCAN_params13,labels_s4_DBSCAN_params14,labels_s4_DBSCAN_params15,labels_s4_DBSCAN_params16,labels_s4_DBSCAN_params17,labels_s4_DBSCAN_params18,labels_s4_DBSCAN_params19,labels_s4_DBSCAN_params20,labels_s4_DBSCAN_params5,labels_s4_DBSCAN_params6,labels_s4_DBSCAN_params7,labels_s4_DBSCAN_params8,labels_s4_DBSCAN_params9
B,4.5728197995083595e-06,0.0008317639846918965,0.0006096757154337183,0.00042626575682150894,0.012635789193844118,0.005729950279687157,0.00353459695971956,0.002486309170118088,0.43373717432168823,0.5427124734472546,0.5763540323723408,0.3710123379341771,0.0002955958423804669,0.00015563076267816788,8.541929183088162e-05,0.0002895694142003489,0.002045636863874419
BH,4.336546650466641e-06,0.013792376085920483,0.012234356856668883,0.009608033718316672,0.07632430186114014,0.12295382970774392,0.10839471011672717,0.07227564104579018,166.51510315350612,621.6872603240336,335.7503093431231,43.79942992522284,0.0022433103925147083,0.002626268436808895,0.0018643466599682372,0.0023243865598183903,0.012358739666097001
D,0.6652005126172211,0.18895307975424017,0.22298430781625878,5.547093455173259,0.06956048420441147,0.1640006142845431,1.1271473855455818,0.2664725305454593,0.07800274688211319,0.4027109405499714,0.33142382709898255,0.027437176534407803,0.20995450792342946,7.192120033517312,16.033853365867223,19.8055684406246,0.08728709654577321
H,0.43176022261860053,0.8245629824666445,0.1981513329962722,0.0051070142963590085,12.55554745116842,1.4091666911102465,0.13304967374321133,0.27406741870611784,0.5605034103397831,0.3520951361044544,0.43145894388861566,1.694537437107718,1.4456066347237249,0.0021853675130175114,0.0004591490177958215,0.000300544004254428,4.243740311738034
DBCV,0.4711649079282922,0.2755604196227034,0.8887217439638182,0.9991580696167873,-0.11935248333287067,0.5651264724948672,0.9906561422129052,0.9231998316259546,-0.860366677197535,-0.7845377675994363,-0.576264983802525,-0.23860240189085707,0.12357694051465917,0.9997219938763745,0.9998690628453124,0.9998882759088428,0.3891647215628421
I,5176.820159135912,8.006605363010335,26.99271402647969,53.36868975525676,0.020334468125882254,0.8348007475878726,2.846339377148923,3.9145685528660725,0.046028918214890746,0.12207621398790539,0.18754920085332624,0.05843568531770967,7.636987595594847,124.0436661573916,504.6974531984454,76.82865254245745,0.43766672097966924
C,0.00012886433733851866,0.001393484959391514,0.0007577792530086086,3.853549285203371e-18,0.009361825565834972,0.002306509382677453,1.655829478190793e-07,0.0005918407986096622,0.3873703889797194,0.4507305204103429,0.3810756586735371,0.20198627246552028,0.0012265331923385818,1.827766023371771e-18,-1.0198726132803715e-18,-3.8531920831186626e-18,0.003577592176642608
CDbw,545.023802033861,19.890001725145318,12.943988820240603,18.19868598482526,7.769431322172254,6.263302674566808,3.4989899094036323,5.829339965171985,18.352182144772947,1.6849214087238849,1.9222335883719364,2.2487061991066137,67.65106078441929,60.74962875609275,67.99620686146118,13.100680598560135,29.16242153686676
VIASCKDE,0.470173966067078,0.7062102624843049,0.7452088978164859,0.7304109191277403,0.611945357749607,0.728303858563209,0.7495200078850915,0.7279630145512705,0.6399089384651516,0.6037279907995371,0.5851611987961735,0.6746022340134492,0.6157096840757897,0.7364546781792006,0.7289156557707978,0.7064760745867326,0.6417619489863224
COP,0.28440455293255534,0.06367712940766407,0.06814912926351453,0.059555328607165,0.145331249035133,0.0684922738719962,0.04563175152519255,0.05476702860182806,0.3675015817806699,0.3258529587017248,0.31633525657797273,0.25093947999077465,0.08137774774236198,0.04887688686086611,0.06516012892436594,0.20587441561580141,0.09660607489167915
Sym,12907.596593081036,1.8968021160694362,5.481433996309764,13.082032804383832,0.006378419641270314,0.12006267727355154,0.36034899778681767,0.5487857599563428,0.004056144517687319,0.007022850187571149,0.005348516078383843,0.0037499345898381795,3.1969461378964774,37.5295965062485,169.37679873732617,228.61856982035152,0.18252352083628912
CS,0.008028822617226549,0.1374038511751611,0.10865785365095962,0.06606813530289228,0.7832984872406789,0.46010753232970725,0.243200557454036,0.2136101422827535,0.6443606645923319,0.9548824457972618,0.8715984707379393,1.0872620801555213,0.12598132001480822,0.03962162031830213,0.022871590087821386,0.03125756961758196,0.47621619121741404
SF,0.6393779175815564,0.5793170058772554,0.6084451492591891,0.6231054992335385,0.09526420022821525,0.43545908451939686,0.5120926588125623,0.534764185058106,0.40126415707528196,0.4554996054355399,0.4439424270711758,0.35695805925355506,0.5884540110824843,0.6298098280603943,0.6446376586936097,0.6366332771540849,0.4366667391861736
SD,989908.2411857804,1158427.2120973796,304991.68531695404,248587.56669525985,10864945.456528692,9652252.02808639,7115434.58537229,4465255.601355109,641029229.6007011,2147190683.754524,1345643575.7830935,392357495.4205786,298210.793323525,40415.59393943755,39868.65399456884,119587.52531973633,1366463.2241846425
SDbw,0.5200050678948336,0.04464997851978308,0.026762896405675196,0.000421036538845754,0.032512252366246025,0.03915567274676497,0.002765570331991927,0.01428242318097325,0.7224145981950614,1.2870450242287306,0.9678082869361848,0.5323761581044474,0.09245017645235813,0.00013213660049255418,0.0001271715487252438,0.0005438377140006142,0.03826821237396739
XB*,0.24264698995066572,0.8707302196071112,0.20663445410819842,0.0021926128355119084,5.059278120847485,0.49748550839637407,0.028160953667885444,0.36692121413476847,8.675106412156145,0.541793495812501,0.7067965764102084,87.47612415311269,0.9725241603512765,0.0011633952417435705,0.0002429944263738052,0.00018478999603978947,2.879502110436952
S,0.6533453522010926,0.622806140881499,0.8349342601044475,0.9623941519627818,0.2717546265777104,0.6844286860016571,0.870432488419587,0.8633133560835853,-0.3845835625244609,0.12112110630665812,-0.11686772075184045,0.0722041827779372,0.5482874786824826,0.9749174268013432,0.9842921240977902,0.9839755225744604,0.4215640892110523
DB,0.42340086576480285,0.2758387429469611,0.1582118752064582,0.04495503456359269,0.6057713834297604,0.3983338923690811,0.16075955837925918,0.19072587513539213,0.7167591907393271,0.7140759788119253,0.8109924603226446,1.002608667273529,0.3465053065029138,0.02799568970812648,0.017639541240476127,0.02120386471462424,0.4707911056179406
CH,1406445.3419745576,51703.52693650845,85865.45717673615,126602.41181589659,2783.04527157863,17149.769591346012,30575.042296919146,35764.17430492659,10.359683676818111,11.069622577777508,337.40095394005573,841.6937506061819,54049.39814155365,177822.94653318374,364324.61520392925,179081.3596577711,12559.048564203364
AD-S,0.6241925406636698,0.6333776708603727,0.8738885194651288,0.9916434539130915,0.42259827769232916,0.777556410655532,0.9688569789774073,0.9311991647771178,0.3087958548328754,0.06402898343069642,0.24487948415534808,0.41739518272688936,0.5987366562369006,0.9937848687222152,0.9961924266342896,0.9962379771025802,0.5351070539061445
AD-DB,0.7031286557339748,0.5007495841893509,0.21023762756433273,0.01934667062024576,1.112780996699228,0.6567792782469424,0.06942471967350297,0.24060525203112332,0.9790915868957997,1.593600282092693,1.245320728258239,1.0780649344898463,0.6137906475635793,0.013622110072905548,0.007286550230969061,0.007858289030059086,0.738971288320432
AD-CH,2634.7766387362817,4244.315679625861,7616.805230022591,9655.727457252337,117.76720142402544,2367.621469455279,4970.080324853778,5234.642120793641,582.665819049276,5.8958828441577875,2242.361745291334,925.0779495519652,2666.4773243313794,8446.357269524618,9620.662375044118,11395.301721082456,1354.4932609319826
AD-idea,4863078.665690705,1.200717557017514e+20,8286830828389225.0,182399371625330.8,5.465672719940501e+21,1.2706081003338502e+17,1.5991952126708172e+22,6.023675238264376e+20,0.660643887608632,1.8451553483166692,7.48267234821967,662.9086247434061,4.092352846442261e+22,2.9724709245225466e+17,7437076328.407624,66801.80071643116,2.468291522191395e+24
