,labels_twodiamonds_KMeans_params1,labels_twodiamonds_KMeans_params10,labels_twodiamonds_KMeans_params11,labels_twodiamonds_KMeans_params12,labels_twodiamonds_KMeans_params13,labels_twodiamonds_KMeans_params14,labels_twodiamonds_KMeans_params15,labels_twodiamonds_KMeans_params16,labels_twodiamonds_KMeans_params17,labels_twodiamonds_KMeans_params18,labels_twodiamonds_KMeans_params19,labels_twodiamonds_KMeans_params2,labels_twodiamonds_KMeans_params20,labels_twodiamonds_KMeans_params21,labels_twodiamonds_KMeans_params22,labels_twodiamonds_KMeans_params23,labels_twodiamonds_KMeans_params24,labels_twodiamonds_KMeans_params25,labels_twodiamonds_KMeans_params26,labels_twodiamonds_KMeans_params27,labels_twodiamonds_KMeans_params28,labels_twodiamonds_KMeans_params29,labels_twodiamonds_KMeans_params3,labels_twodiamonds_KMeans_params30,labels_twodiamonds_KMeans_params31,labels_twodiamonds_KMeans_params32,labels_twodiamonds_KMeans_params33,labels_twodiamonds_KMeans_params34,labels_twodiamonds_KMeans_params35,labels_twodiamonds_KMeans_params36,labels_twodiamonds_KMeans_params37,labels_twodiamonds_KMeans_params38,labels_twodiamonds_KMeans_params39,labels_twodiamonds_KMeans_params4,labels_twodiamonds_KMeans_params40,labels_twodiamonds_KMeans_params41,labels_twodiamonds_KMeans_params42,labels_twodiamonds_KMeans_params43,labels_twodiamonds_KMeans_params44,labels_twodiamonds_KMeans_params45,labels_twodiamonds_KMeans_params46,labels_twodiamonds_KMeans_params47,labels_twodiamonds_KMeans_params48,labels_twodiamonds_KMeans_params49,labels_twodiamonds_KMeans_params5,labels_twodiamonds_KMeans_params50,labels_twodiamonds_KMeans_params51,labels_twodiamonds_KMeans_params52,labels_twodiamonds_KMeans_params53,labels_twodiamonds_KMeans_params54,labels_twodiamonds_KMeans_params6,labels_twodiamonds_KMeans_params7,labels_twodiamonds_KMeans_params8,labels_twodiamonds_KMeans_params9
B,0.4430684975746366,0.4430684975746366,0.4430684975746366,0.4430684975746366,0.4430684975746366,0.4430684975746366,0.4430684975746366,0.4430684975746366,0.4430684975746366,0.4430684975746366,0.3164469388910767,0.4430684975746366,0.3164469388910767,0.31666699770363,0.31666699770363,0.31666699770363,0.31666699770363,0.3164469388910767,0.3164469388910767,0.31666699770363,0.31666699770363,0.31666699770363,0.4430684975746366,0.31666699770363,0.3164469388910767,0.3164469388910767,0.31666699770363,0.31666699770363,0.31666699770363,0.31666699770363,0.20106566984596796,0.20106566984596796,0.2010656698459679,0.4430684975746366,0.2010656698459679,0.2010656698459679,0.2010656698459679,0.20106566984596796,0.20106566984596796,0.2010656698459679,0.2010656698459679,0.2010656698459679,0.2010656698459679,0.20106566984596796,0.4430684975746366,0.20106566984596796,0.2010656698459679,0.2010656698459679,0.2010656698459679,0.2010656698459679,0.4430684975746366,0.4430684975746366,0.4430684975746366,0.4430684975746366
BH,91.42254464881525,91.42254464881525,91.42254464881525,91.42254464881525,91.42254464881525,91.42254464881525,91.42254464881525,91.42254464881525,91.42254464881525,91.42254464881525,43.79312248691227,91.42254464881525,43.79312248691227,43.79258870246821,43.79258870246821,43.79258870246821,43.79258870246821,43.79312248691227,43.79312248691227,43.79258870246821,43.79258870246821,43.79258870246821,91.42254464881525,43.79258870246821,43.79312248691227,43.79312248691227,43.79258870246821,43.79258870246821,43.79258870246821,43.79258870246821,20.582645933160016,20.582645933160016,20.582645933160016,91.42254464881525,20.582645933160016,20.582645933160016,20.582645933160016,20.582645933160016,20.582645933160016,20.582645933160016,20.582645933160016,20.582645933160016,20.582645933160016,20.582645933160016,91.42254464881525,20.582645933160016,20.582645933160016,20.582645933160016,20.582645933160016,20.582645933160016,91.42254464881525,91.42254464881525,91.42254464881525,91.42254464881525
D,0.2654443927682905,0.2654443927682905,0.2654443927682905,0.2654443927682905,0.2654443927682905,0.2654443927682905,0.2654443927682905,0.2654443927682905,0.2654443927682905,0.2654443927682905,0.18558113890932515,0.2654443927682905,0.18558113890932515,0.18946864112441555,0.18946864112441555,0.18946864112441555,0.18946864112441555,0.18558113890932515,0.18558113890932515,0.18946864112441555,0.18946864112441555,0.18946864112441555,0.2654443927682905,0.18946864112441555,0.18558113890932515,0.18558113890932515,0.18946864112441555,0.18946864112441555,0.18946864112441555,0.18946864112441555,0.3143154024548227,0.3143154024548227,0.32789596442619295,0.2654443927682905,0.32789596442619295,0.32789596442619295,0.32789596442619295,0.3143154024548227,0.3143154024548227,0.32789596442619295,0.32789596442619295,0.32789596442619295,0.32789596442619295,0.3143154024548227,0.2654443927682905,0.3143154024548227,0.32789596442619295,0.32789596442619295,0.32789596442619295,0.32789596442619295,0.2654443927682905,0.2654443927682905,0.2654443927682905,0.2654443927682905
H,0.3619650567323057,0.3619650567323057,0.3619650567323057,0.3619650567323057,0.3619650567323057,0.3619650567323057,0.3619650567323057,0.3619650567323057,0.3619650567323057,0.3619650567323057,0.4873341126711057,0.3619650567323057,0.4873341126711057,0.4874317168978579,0.4874317168978579,0.4874317168978579,0.4874317168978579,0.4873341126711057,0.4873341126711057,0.4874317168978579,0.4874317168978579,0.4874317168978579,0.3619650567323057,0.4874317168978579,0.4873341126711057,0.4873341126711057,0.4874317168978579,0.4874317168978579,0.4874317168978579,0.4874317168978579,0.6736558650243589,0.6736558650243589,0.6736558650243589,0.3619650567323057,0.6736558650243589,0.6736558650243589,0.6736558650243589,0.6736558650243589,0.6736558650243589,0.6736558650243589,0.6736558650243589,0.6736558650243589,0.6736558650243589,0.6736558650243589,0.3619650567323057,0.6736558650243589,0.6736558650243589,0.6736558650243589,0.6736558650243589,0.6736558650243589,0.3619650567323057,0.3619650567323057,0.3619650567323057,0.3619650567323057
DBCV,-0.32153966046770294,-0.32153966046770294,-0.32153966046770294,-0.32153966046770294,-0.32153966046770294,-0.32153966046770294,-0.32153966046770294,-0.32153966046770294,-0.32153966046770294,-0.32153966046770294,-0.5261807826137399,-0.32153966046770294,-0.5261807826137399,-0.5421005116227373,-0.5421005116227373,-0.5421005116227373,-0.5421005116227373,-0.5261807826137399,-0.5261807826137399,-0.5421005116227373,-0.5421005116227373,-0.5421005116227373,-0.32153966046770294,-0.5421005116227373,-0.5261807826137399,-0.5261807826137399,-0.5421005116227373,-0.5421005116227373,-0.5421005116227373,-0.5421005116227373,-0.695982591001762,-0.695982591001762,-0.695982591001762,-0.32153966046770294,-0.695982591001762,-0.695982591001762,-0.695982591001762,-0.695982591001762,-0.695982591001762,-0.695982591001762,-0.695982591001762,-0.695982591001762,-0.695982591001762,-0.695982591001762,-0.32153966046770294,-0.695982591001762,-0.695982591001762,-0.695982591001762,-0.695982591001762,-0.695982591001762,-0.32153966046770294,-0.32153966046770294,-0.32153966046770294,-0.32153966046770294
I,0.5956624319764171,0.5956624319764171,0.5956624319764171,0.5956624319764171,0.5956624319764171,0.5956624319764171,0.5956624319764171,0.5956624319764171,0.5956624319764171,0.5956624319764171,0.4356186464819124,0.5956624319764171,0.4356186464819124,0.4338210210041441,0.4338210210041441,0.4338210210041441,0.4338210210041441,0.4356186464819124,0.4356186464819124,0.4338210210041441,0.4338210210041441,0.4338210210041441,0.5956624319764171,0.4338210210041441,0.4356186464819124,0.4356186464819124,0.4338210210041441,0.4338210210041441,0.4338210210041441,0.4338210210041441,0.4854175050230109,0.4854175050230109,0.4854175050230109,0.5956624319764171,0.4854175050230109,0.4854175050230109,0.4854175050230109,0.4854175050230109,0.4854175050230109,0.4854175050230109,0.4854175050230109,0.4854175050230109,0.4854175050230109,0.4854175050230109,0.5956624319764171,0.4854175050230109,0.4854175050230109,0.4854175050230109,0.4854175050230109,0.4854175050230109,0.5956624319764171,0.5956624319764171,0.5956624319764171,0.5956624319764171
C,0.10054043514698989,0.10054043514698989,0.10054043514698989,0.10054043514698989,0.10054043514698989,0.10054043514698989,0.10054043514698989,0.10054043514698989,0.10054043514698989,0.10054043514698989,0.10944677578404217,0.10054043514698989,0.10944677578404217,0.10950111671854074,0.10950111671854074,0.10950111671854074,0.10950111671854074,0.10944677578404217,0.10944677578404217,0.10950111671854074,0.10950111671854074,0.10950111671854074,0.10054043514698989,0.10950111671854074,0.10944677578404217,0.10944677578404217,0.10950111671854074,0.10950111671854074,0.10950111671854074,0.10950111671854074,0.0668423785991803,0.0668423785991803,0.0668423785991803,0.10054043514698989,0.0668423785991803,0.0668423785991803,0.0668423785991803,0.0668423785991803,0.0668423785991803,0.0668423785991803,0.0668423785991803,0.0668423785991803,0.0668423785991803,0.0668423785991803,0.10054043514698989,0.0668423785991803,0.0668423785991803,0.0668423785991803,0.0668423785991803,0.0668423785991803,0.10054043514698989,0.10054043514698989,0.10054043514698989,0.10054043514698989
CDbw,0.10407742511833905,0.10407742511833905,0.10407742511833905,0.10407742511833905,0.10407742511833905,0.10407742511833905,0.10407742511833905,0.10407742511833905,0.10407742511833905,0.10407742511833905,0.09710865171985109,0.10407742511833905,0.09710865171985109,0.08563033997730879,0.08563033997730879,0.08563033997730879,0.08563033997730879,0.09710865171985109,0.09710865171985109,0.08563033997730879,0.08563033997730879,0.08563033997730879,0.10407742511833905,0.08563033997730879,0.09710865171985109,0.09710865171985109,0.08563033997730879,0.08563033997730879,0.08563033997730879,0.08563033997730879,0.04100684892444234,0.04100684892444234,0.09976643346218853,0.10407742511833905,0.09976643346218853,0.09976643346218853,0.09976643346218853,0.04100684892444234,0.04100684892444234,0.09976643346218853,0.09976643346218853,0.09976643346218853,0.09976643346218853,0.04100684892444234,0.10407742511833905,0.04100684892444234,0.09976643346218853,0.09976643346218853,0.09976643346218853,0.09976643346218853,0.10407742511833905,0.10407742511833905,0.10407742511833905,0.10407742511833905
VIASCKDE,0.6273969681296703,0.6273969681296703,0.6273969681296703,0.6273969681296703,0.6273969681296703,0.6273969681296703,0.6273969681296703,0.6273969681296703,0.6273969681296703,0.6273969681296703,0.6114946247124047,0.6273969681296703,0.6114946247124047,0.6114779280183551,0.6114779280183551,0.6114779280183551,0.6114779280183551,0.6114946247124047,0.6114946247124047,0.6114779280183551,0.6114779280183551,0.6114779280183551,0.6273969681296703,0.6114779280183551,0.6114946247124047,0.6114946247124047,0.6114779280183551,0.6114779280183551,0.6114779280183551,0.6114779280183551,0.5718021171600411,0.5718021171600411,0.5718021171600411,0.6273969681296703,0.5718021171600411,0.5718021171600411,0.5718021171600411,0.5718021171600411,0.5718021171600411,0.5718021171600411,0.5718021171600411,0.5718021171600411,0.5718021171600411,0.5718021171600411,0.6273969681296703,0.5718021171600411,0.5718021171600411,0.5718021171600411,0.5718021171600411,0.5718021171600411,0.6273969681296703,0.6273969681296703,0.6273969681296703,0.6273969681296703
COP,0.3031636805638746,0.3031636805638746,0.3031636805638746,0.3031636805638746,0.3031636805638746,0.3031636805638746,0.3031636805638746,0.3031636805638746,0.3031636805638746,0.3031636805638746,0.24963232896102036,0.3031636805638746,0.24963232896102036,0.2496130355536911,0.2496130355536911,0.2496130355536911,0.2496130355536911,0.24963232896102036,0.24963232896102036,0.2496130355536911,0.2496130355536911,0.2496130355536911,0.3031636805638746,0.2496130355536911,0.24963232896102036,0.24963232896102036,0.2496130355536911,0.2496130355536911,0.2496130355536911,0.2496130355536911,0.22700355835272318,0.22700355835272318,0.22700355835272318,0.3031636805638746,0.22700355835272318,0.22700355835272318,0.22700355835272318,0.22700355835272318,0.22700355835272318,0.22700355835272318,0.22700355835272318,0.22700355835272318,0.22700355835272318,0.22700355835272318,0.3031636805638746,0.22700355835272318,0.22700355835272318,0.22700355835272318,0.22700355835272318,0.22700355835272318,0.3031636805638746,0.3031636805638746,0.3031636805638746,0.3031636805638746
