,labels_d31_DBSCAN_params13,labels_d31_DBSCAN_params14,labels_d31_DBSCAN_params15,labels_d31_DBSCAN_params17,labels_d31_DBSCAN_params18,labels_d31_DBSCAN_params19,labels_d31_DBSCAN_params20,labels_d31_DBSCAN_params21,labels_d31_DBSCAN_params22,labels_d31_DBSCAN_params23,labels_d31_DBSCAN_params24,labels_d31_DBSCAN_params25,labels_d31_DBSCAN_params26,labels_d31_DBSCAN_params27,labels_d31_DBSCAN_params28,labels_d31_DBSCAN_params9
D,0.1565826021628637,1.9021889187207155,29.971951555745814,0.04440062562709521,0.09672669646339695,0.283353374389132,0.35347852815136566,0.7354394888492175,0.37633828077337983,0.08921822526732523,0.08911049899298283,0.4663489078281551,0.4663489078281551,0.4663489078281551,0.4663489078281551,4.884844785303596
H,,,,,,,,,,,,0.2749853462557961,0.2749853462557961,0.2749853462557961,0.2749853462557961,
DBCV,0.2502137414061545,0.07783480259629086,0.009676506415424042,0.3536170252623999,0.191558555839078,0.3924460325390543,0.4926251607279452,0.4749273288271359,-0.2906917909845716,-0.2577654244240763,-0.17018726921569052,0.30134486449633646,0.30134486449633646,0.30134486449633646,0.30134486449633646,0.054924615228916375
I,0.7179224507242746,5243.0586254089385,6891946.462754061,0.27649525801720065,0.3318350824277972,0.7503011823680626,1.08768304218994,0.17983109325498556,0.21322107164946547,0.15662698695159036,0.1567718336791619,0.40348924886511234,0.40348924886511234,0.40348924886511234,0.40348924886511234,21492.66566792881
C,0.48845132200059854,0.5154571780110928,0.4383140354639586,0.0688981345082955,0.06508189253878542,0.14486417930365855,0.29190336435385617,0.30175999734531006,0.21055003523136884,0.2244207746007556,0.22435902196718613,0.30231648922931176,0.30231648922931176,0.30231648922931176,0.30231648922931176,0.49951356168491806
CDbw,0.0,1.2003085469857866,0.8847898445331975,0.33345589245066587,0.3754243140965015,0.4397228559740582,0.4955552509402427,0.19451042492010398,0.24425725859121417,0.29015927979612377,0.17080667543119815,0.17062759771793135,0.17062759771793135,0.17062759771793135,0.17062759771793135,0.8715846948667015
VIASCKDE,,0.6929388123022834,0.8193384612507915,0.6583374022526715,0.5975104636745425,0.5350571808555222,0.5011622300603946,0.7966636459084219,0.7789161824888001,0.776772870913951,0.7732105821130402,0.8378093400831139,0.8378093400831139,0.8378093400831139,0.8378093400831139,0.6811651673544505
COP,0.2510688688437473,0.2886194038872823,0.29977719878279285,0.1804990776719376,0.13417765225663725,0.11270413706390664,0.12530286028531515,0.3360372663005497,0.2436661620069375,0.24046341089703105,0.2405822534450356,0.3362458080102116,0.3362458080102116,0.3362458080102116,0.3362458080102116,0.2944248666858149
Sym,0.0003003738484392156,0.0011970305478637413,0.004009779605579998,0.005607419653622091,0.003777193355223788,0.002437930838912938,0.0018289599856760343,0.004818513768179621,0.003315323215035414,0.0025412828240057666,0.0024511610557952095,0.004858817417607094,0.004858817417607094,0.004858817417607094,0.004858817417607094,0.0006663837498387187
CS,0.9993577191274372,0.47817495335303645,0.6971274390659723,1.1811004629495507,1.1318155796957896,0.9256672788152636,0.8514889364157116,1.1087204741360734,1.5216625106886696,1.5903340669251624,1.8320611396935509,0.8450236606904923,0.8450236606904923,0.8450236606904923,0.8450236606904923,0.5942823048025989
SF,0.050884822893579096,0.32215859545115166,0.38129057357260343,0.09654894830241412,0.06958809361766927,0.06817222695455649,0.07715045982661661,0.2237406727650154,0.14488045354839907,0.1322376813554219,0.11261273901509927,0.3789939858909259,0.3789939858909259,0.3789939858909259,0.3789939858909259,0.33842773264544623
SD,2017179.9693283811,12950679.3381393,67760752.92857283,22685315.88033458,12918295.666992681,8931884.285899969,8319608.166683228,140473816.49469665,100535441.07421757,86052750.08932343,97276777.54502515,98380180.14141347,98380180.14141347,98380180.14141347,98380180.14141347,6821515.818637844
SDbw,0.06491203273502237,0.37368770431703524,0.9509505548533429,0.4227445846911235,0.2182206349354107,0.14342564217449943,0.13474805527140335,1.2919663471792853,0.8830570526066618,0.8476618992566667,0.9255500322853485,1.4875745079363403,1.4875745079363403,1.4875745079363403,1.4875745079363403,0.2979913426010573
XB*,920.9086417938952,21.115101120509205,0.8415907846229682,19.46307757957477,14.78240080200985,12.699327016311878,17.179111948465604,0.5910738748636261,1.5707134528805118,5.726082924632206,10.397301140492816,0.3716367641765005,0.3716367641765005,0.3716367641765005,0.3716367641765005,1090.4027684076727
S,-0.1707865317407508,-0.6627757098427545,-0.1383771064586327,0.3592544852950617,0.4074294309779611,0.45834767785072794,0.37744848146203713,0.02974681655844926,0.15490634131972708,0.019716921380330748,0.020485099662437087,0.230657442486975,0.230657442486975,0.230657442486975,0.230657442486975,-0.7349109377694371
DB,1.2680187284442181,1.5864001460074344,0.791814482688385,1.5880187082685429,1.4609676951661164,1.3918577789157853,1.42284320383206,1.1323505747689537,1.4517089504123326,1.6547430515376933,2.7365601485241027,0.6331853511840725,0.6331853511840725,0.6331853511840725,0.6331853511840725,1.252448515258653
CH,30.82223544090212,16.835746595133298,27.643220301630787,1786.532900567186,1457.3188075659573,718.1037487232898,390.66146049448616,137.20460955999044,754.8742873837336,613.7290076042825,612.915491006552,268.8085115306782,268.8085115306782,268.8085115306782,268.8085115306782,6.988878070790776
AD-S,-0.07569784304834672,-0.4444423522384655,-0.10935430892927796,0.4055407650112354,0.3550406920643937,0.33109116030325497,0.28355171446919075,0.44398923037654126,0.4043030776317993,0.427480358148986,0.42736537583614836,0.6958348988193255,0.6958348988193255,0.6958348988193255,0.6958348988193255,-0.530096344956828
AD-DB,1.406178252528413,1.2491597060898088,0.8668939708028374,1.5892123859127476,1.5169334610013276,1.4690659018934826,1.5142009411030732,1.0836778731118863,1.0687500300921493,1.0406819619487357,1.0711381515937275,0.40225474584155335,0.40225474584155335,0.40225474584155335,0.40225474584155335,1.1394699444173924
AD-CH,27.490952405087185,18.857022575973897,30.115506479830493,561.5219447793179,388.5141163856577,287.68390663827955,238.94828402530473,1152.6131608928713,1311.1362856639912,1098.902702601301,1098.7662093733172,2301.2679418580005,2301.2679418580005,2301.2679418580005,2301.2679418580005,6.912433041206703
AD-idea,75728607.04169635,6.622673721692969,1.06481097518351,37962.432459088006,2421631.529373143,60444003.09368729,37722703.10018381,35.22227318386225,72.94991138731147,240.33364034183253,240.01612162722876,35.31002601956933,35.31002601956933,35.31002601956933,35.31002601956933,4.204736754318632
