,labels_fuzzyx_HDBSCAN_params1,labels_fuzzyx_HDBSCAN_params10,labels_fuzzyx_HDBSCAN_params11,labels_fuzzyx_HDBSCAN_params12,labels_fuzzyx_HDBSCAN_params13,labels_fuzzyx_HDBSCAN_params14,labels_fuzzyx_HDBSCAN_params15,labels_fuzzyx_HDBSCAN_params16,labels_fuzzyx_HDBSCAN_params17,labels_fuzzyx_HDBSCAN_params18,labels_fuzzyx_HDBSCAN_params19,labels_fuzzyx_HDBSCAN_params2,labels_fuzzyx_HDBSCAN_params20,labels_fuzzyx_HDBSCAN_params21,labels_fuzzyx_HDBSCAN_params22,labels_fuzzyx_HDBSCAN_params23,labels_fuzzyx_HDBSCAN_params24,labels_fuzzyx_HDBSCAN_params25,labels_fuzzyx_HDBSCAN_params26,labels_fuzzyx_HDBSCAN_params27,labels_fuzzyx_HDBSCAN_params28,labels_fuzzyx_HDBSCAN_params29,labels_fuzzyx_HDBSCAN_params3,labels_fuzzyx_HDBSCAN_params30,labels_fuzzyx_HDBSCAN_params31,labels_fuzzyx_HDBSCAN_params32,labels_fuzzyx_HDBSCAN_params33,labels_fuzzyx_HDBSCAN_params34,labels_fuzzyx_HDBSCAN_params35,labels_fuzzyx_HDBSCAN_params36,labels_fuzzyx_HDBSCAN_params37,labels_fuzzyx_HDBSCAN_params38,labels_fuzzyx_HDBSCAN_params39,labels_fuzzyx_HDBSCAN_params4,labels_fuzzyx_HDBSCAN_params40,labels_fuzzyx_HDBSCAN_params41,labels_fuzzyx_HDBSCAN_params42,labels_fuzzyx_HDBSCAN_params43,labels_fuzzyx_HDBSCAN_params44,labels_fuzzyx_HDBSCAN_params45,labels_fuzzyx_HDBSCAN_params46,labels_fuzzyx_HDBSCAN_params47,labels_fuzzyx_HDBSCAN_params48,labels_fuzzyx_HDBSCAN_params49,labels_fuzzyx_HDBSCAN_params5,labels_fuzzyx_HDBSCAN_params50,labels_fuzzyx_HDBSCAN_params51,labels_fuzzyx_HDBSCAN_params52,labels_fuzzyx_HDBSCAN_params53,labels_fuzzyx_HDBSCAN_params54,labels_fuzzyx_HDBSCAN_params55,labels_fuzzyx_HDBSCAN_params56,labels_fuzzyx_HDBSCAN_params57,labels_fuzzyx_HDBSCAN_params58,labels_fuzzyx_HDBSCAN_params59,labels_fuzzyx_HDBSCAN_params6,labels_fuzzyx_HDBSCAN_params60,labels_fuzzyx_HDBSCAN_params61,labels_fuzzyx_HDBSCAN_params62,labels_fuzzyx_HDBSCAN_params63,labels_fuzzyx_HDBSCAN_params7,labels_fuzzyx_HDBSCAN_params8,labels_fuzzyx_HDBSCAN_params9
B,0.4289434632139564,0.9228930454669989,2.4313524029853166,2.4313524029853166,2.4313524029853166,2.4313524029853166,3.715394742262395,3.715394742262395,3.715394742262395,3.715394742262395,3.715394742262395,0.4289434632139564,3.715394742262395,3.715394742262395,0.6767230995735838,0.6767230995735838,0.6385964468294952,2.808630510303955,2.808630510303955,2.808630510303955,2.808630510303955,0.9725360960887146,0.698098110073696,0.9725360960887146,0.9725360960887146,2.4313524029853166,2.4313524029853166,2.4313524029853166,2.4313524029853166,3.715394742262395,3.715394742262395,3.715394742262395,3.715394742262395,3.449742722932335,3.715394742262395,3.715394742262395,3.715394742262395,0.6466271651343218,0.6466271651343218,0.6385964468294952,2.808630510303955,2.808630510303955,2.808630510303955,2.808630510303955,3.449742722932335,1.230885160653182,1.230885160653182,1.230885160653182,2.4313524029853166,2.4313524029853166,2.4313524029853166,2.4313524029853166,3.715394742262395,3.715394742262395,3.715394742262395,3.449742722932335,3.715394742262395,3.715394742262395,3.715394742262395,3.715394742262395,3.449742722932335,0.9228930454669989,0.9228930454669989
BH,0.1294497613735313,0.35868103924206535,85.78177173279853,85.78177173279853,85.78177173279853,85.78177173279853,97.38919827351798,97.38919827351798,97.38919827351798,97.38919827351798,97.38919827351798,0.1294497613735313,97.38919827351798,97.38919827351798,0.2785064367350662,0.2785064367350662,9.496808376671453,86.09562856146283,86.09562856146283,86.09562856146283,86.09562856146283,0.4047492959093644,7.470717648059017,0.4047492959093644,0.4047492959093644,85.78177173279853,85.78177173279853,85.78177173279853,85.78177173279853,97.38919827351798,97.38919827351798,97.38919827351798,97.38919827351798,114.64900883487614,97.38919827351798,97.38919827351798,97.38919827351798,0.6858901956605044,0.6858901956605044,9.496808376671453,86.09562856146283,86.09562856146283,86.09562856146283,86.09562856146283,114.64900883487614,0.766477617395931,0.766477617395931,0.766477617395931,85.78177173279853,85.78177173279853,85.78177173279853,85.78177173279853,97.38919827351798,97.38919827351798,97.38919827351798,114.64900883487614,97.38919827351798,97.38919827351798,97.38919827351798,97.38919827351798,114.64900883487614,0.35868103924206535,0.35868103924206535
D,0.0113497633936154,0.03550345130991161,0.0008690776221954851,0.0008690776221954851,0.0008690776221954851,0.0008690776221954851,0.002760989433088717,0.002760989433088717,0.002760989433088717,0.002760989433088717,0.002760989433088717,0.0113497633936154,0.002760989433088717,0.002760989433088717,0.006909410163892765,0.006909410163892765,0.0035274901710363755,0.002880104941555528,0.002880104941555528,0.002880104941555528,0.002880104941555528,0.039850979453377025,0.006533181523993673,0.039850979453377025,0.039850979453377025,0.0008690776221954851,0.0008690776221954851,0.0008690776221954851,0.0008690776221954851,0.002760989433088717,0.002760989433088717,0.002760989433088717,0.002760989433088717,0.0044329692611809164,0.002760989433088717,0.002760989433088717,0.002760989433088717,0.01004753704079455,0.01004753704079455,0.0035274901710363755,0.002880104941555528,0.002880104941555528,0.002880104941555528,0.002880104941555528,0.0044329692611809164,0.009203937405539857,0.009203937405539857,0.009203937405539857,0.0008690776221954851,0.0008690776221954851,0.0008690776221954851,0.0008690776221954851,0.002760989433088717,0.002760989433088717,0.002760989433088717,0.0044329692611809164,0.002760989433088717,0.002760989433088717,0.002760989433088717,0.002760989433088717,0.0044329692611809164,0.03550345130991161,0.03550345130991161
H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBCV,0.20393182653924133,0.2474514121472777,-0.36060947142490407,-0.36060947142490407,-0.36060947142490407,-0.36060947142490407,-0.696389588481439,-0.696389588481439,-0.696389588481439,-0.696389588481439,-0.696389588481439,0.20393182653924133,-0.696389588481439,-0.696389588481439,0.19359846773774597,0.19359846773774597,-0.16825493024249108,-0.5192133976166514,-0.5192133976166514,-0.5192133976166514,-0.5192133976166514,0.23470526840916028,-0.218870222243925,0.23470526840916028,0.23470526840916028,-0.36060947142490407,-0.36060947142490407,-0.36060947142490407,-0.36060947142490407,-0.696389588481439,-0.696389588481439,-0.696389588481439,-0.696389588481439,-0.6537482540148737,-0.696389588481439,-0.696389588481439,-0.696389588481439,0.099253483500555,0.099253483500555,-0.16825493024249108,-0.5192133976166514,-0.5192133976166514,-0.5192133976166514,-0.5192133976166514,-0.6537482540148737,0.21718649445484356,0.21718649445484356,0.21718649445484356,-0.36060947142490407,-0.36060947142490407,-0.36060947142490407,-0.36060947142490407,-0.696389588481439,-0.696389588481439,-0.696389588481439,-0.6537482540148737,-0.696389588481439,-0.696389588481439,-0.696389588481439,-0.696389588481439,-0.6537482540148737,0.2474514121472777,0.2474514121472777
I,1.645441727896948,2.7112689121743037,0.27513733632264636,0.27513733632264636,0.27513733632264636,0.27513733632264636,0.14294554335203255,0.14294554335203255,0.14294554335203255,0.14294554335203255,0.14294554335203255,1.645441727896948,0.14294554335203255,0.14294554335203255,2.4834682384473767,2.4834682384473767,0.6673602280941592,0.23622309908472497,0.23622309908472497,0.23622309908472497,0.23622309908472497,2.918412883018619,0.4365179486801693,2.918412883018619,2.918412883018619,0.27513733632264636,0.27513733632264636,0.27513733632264636,0.27513733632264636,0.14294554335203255,0.14294554335203255,0.14294554335203255,0.14294554335203255,0.07610273158290115,0.14294554335203255,0.14294554335203255,0.14294554335203255,2.5156254986840416,2.5156254986840416,0.6673602280941592,0.23622309908472497,0.23622309908472497,0.23622309908472497,0.23622309908472497,0.07610273158290115,3.11730208797448,3.11730208797448,3.11730208797448,0.27513733632264636,0.27513733632264636,0.27513733632264636,0.27513733632264636,0.14294554335203255,0.14294554335203255,0.14294554335203255,0.07610273158290115,0.14294554335203255,0.14294554335203255,0.14294554335203255,0.14294554335203255,0.07610273158290115,2.7112689121743037,2.7112689121743037
C,0.42560573718428374,0.4289381661405732,0.3452823606451905,0.3452823606451905,0.3452823606451905,0.3452823606451905,0.3020416169203927,0.3020416169203927,0.3020416169203927,0.3020416169203927,0.3020416169203927,0.42560573718428374,0.3020416169203927,0.3020416169203927,0.4016438922921833,0.4016438922921833,0.313317137815451,0.32257868005759377,0.32257868005759377,0.32257868005759377,0.32257868005759377,0.42614823183879685,0.3132650314599639,0.42614823183879685,0.42614823183879685,0.3452823606451905,0.3452823606451905,0.3452823606451905,0.3452823606451905,0.3020416169203927,0.3020416169203927,0.3020416169203927,0.3020416169203927,0.40853131491620387,0.3020416169203927,0.3020416169203927,0.3020416169203927,0.3679893590084255,0.3679893590084255,0.313317137815451,0.32257868005759377,0.32257868005759377,0.32257868005759377,0.32257868005759377,0.40853131491620387,0.40396362764222615,0.40396362764222615,0.40396362764222615,0.3452823606451905,0.3452823606451905,0.3452823606451905,0.3452823606451905,0.3020416169203927,0.3020416169203927,0.3020416169203927,0.40853131491620387,0.3020416169203927,0.3020416169203927,0.3020416169203927,0.3020416169203927,0.40853131491620387,0.4289381661405732,0.4289381661405732
CDbw,0.6653570917797773,0.8333577895862487,0.04947077835641105,0.04947077835641105,0.04947077835641105,0.04947077835641105,0.031666608475136436,0.031666608475136436,0.031666608475136436,0.031666608475136436,0.031666608475136436,0.6653570917797773,0.031666608475136436,0.031666608475136436,0.7532042255454061,0.7532042255454061,0.3689567216623098,0.04496768424217885,0.04496768424217885,0.04496768424217885,0.04496768424217885,0.8647480191891852,0.3538406376662147,0.8647480191891852,0.8647480191891852,0.04947077835641105,0.04947077835641105,0.04947077835641105,0.04947077835641105,0.031666608475136436,0.031666608475136436,0.031666608475136436,0.031666608475136436,0.10772707781725029,0.031666608475136436,0.031666608475136436,0.031666608475136436,0.8349066578536061,0.8349066578536061,0.3689567216623098,0.04496768424217885,0.04496768424217885,0.04496768424217885,0.04496768424217885,0.10772707781725029,0.8856902447387381,0.8856902447387381,0.8856902447387381,0.04947077835641105,0.04947077835641105,0.04947077835641105,0.04947077835641105,0.031666608475136436,0.031666608475136436,0.031666608475136436,0.10772707781725029,0.031666608475136436,0.031666608475136436,0.031666608475136436,0.031666608475136436,0.10772707781725029,0.8333577895862487,0.8333577895862487
VIASCKDE,0.2991314518409125,0.3511173213910572,0.3400635474016052,0.3400635474016052,0.3400635474016052,0.3400635474016052,0.5020806041420165,0.5020806041420165,0.5020806041420165,0.5020806041420165,0.5020806041420165,0.2991314518409125,0.5020806041420165,0.5020806041420165,0.3443797975726977,0.3443797975726977,0.32051265183549,0.3563720603425178,0.3563720603425178,0.3563720603425178,0.3563720603425178,0.3558425655150935,0.3176178387266638,0.3558425655150935,0.3558425655150935,0.3400635474016052,0.3400635474016052,0.3400635474016052,0.3400635474016052,0.5020806041420165,0.5020806041420165,0.5020806041420165,0.5020806041420165,0.3301336286168063,0.5020806041420165,0.5020806041420165,0.5020806041420165,0.3647866029954292,0.3647866029954292,0.32051265183549,0.3563720603425178,0.3563720603425178,0.3563720603425178,0.3563720603425178,0.3301336286168063,0.3693695162715582,0.3693695162715582,0.3693695162715582,0.3400635474016052,0.3400635474016052,0.3400635474016052,0.3400635474016052,0.5020806041420165,0.5020806041420165,0.5020806041420165,0.3301336286168063,0.5020806041420165,0.5020806041420165,0.5020806041420165,0.5020806041420165,0.3301336286168063,0.3511173213910572,0.3511173213910572
COP,0.1633157399083196,0.16821549238648875,0.23598882423154982,0.23598882423154982,0.23598882423154982,0.23598882423154982,0.22216313431320292,0.22216313431320292,0.22216313431320292,0.22216313431320292,0.22216313431320292,0.1633157399083196,0.22216313431320292,0.22216313431320292,0.16153897330017775,0.16153897330017775,0.2024243226047326,0.2758829605903233,0.2758829605903233,0.2758829605903233,0.2758829605903233,0.1701436202619311,0.1993025882173167,0.1701436202619311,0.1701436202619311,0.23598882423154982,0.23598882423154982,0.23598882423154982,0.23598882423154982,0.22216313431320292,0.22216313431320292,0.22216313431320292,0.22216313431320292,0.2528144050633022,0.22216313431320292,0.22216313431320292,0.22216313431320292,0.16546070414879452,0.16546070414879452,0.2024243226047326,0.2758829605903233,0.2758829605903233,0.2758829605903233,0.2758829605903233,0.2528144050633022,0.17158248578816282,0.17158248578816282,0.17158248578816282,0.23598882423154982,0.23598882423154982,0.23598882423154982,0.23598882423154982,0.22216313431320292,0.22216313431320292,0.22216313431320292,0.2528144050633022,0.22216313431320292,0.22216313431320292,0.22216313431320292,0.22216313431320292,0.2528144050633022,0.16821549238648875,0.16821549238648875
Sym,0.005009505664393213,0.007756534367574133,0.009121414501843355,0.009121414501843355,0.009121414501843355,0.009121414501843355,0.003141665993717563,0.003141665993717563,0.003141665993717563,0.003141665993717563,0.003141665993717563,0.005009505664393213,0.003141665993717563,0.003141665993717563,0.007905286397147203,0.007905286397147203,0.00956008844042176,0.005550849100402026,0.005550849100402026,0.005550849100402026,0.005550849100402026,0.00858487340640742,0.007828932614669314,0.00858487340640742,0.00858487340640742,0.009121414501843355,0.009121414501843355,0.009121414501843355,0.009121414501843355,0.003141665993717563,0.003141665993717563,0.003141665993717563,0.003141665993717563,0.010224588400360925,0.003141665993717563,0.003141665993717563,0.003141665993717563,0.011295740825321428,0.011295740825321428,0.00956008844042176,0.005550849100402026,0.005550849100402026,0.005550849100402026,0.005550849100402026,0.010224588400360925,0.011369988813357702,0.011369988813357702,0.011369988813357702,0.009121414501843355,0.009121414501843355,0.009121414501843355,0.009121414501843355,0.003141665993717563,0.003141665993717563,0.003141665993717563,0.010224588400360925,0.003141665993717563,0.003141665993717563,0.003141665993717563,0.003141665993717563,0.010224588400360925,0.007756534367574133,0.007756534367574133
CS,1.3816323117556848,1.2640855275555072,3.4538916254003666,3.4538916254003666,3.4538916254003666,3.4538916254003666,4.442659795522846,4.442659795522846,4.442659795522846,4.442659795522846,4.442659795522846,1.3816323117556848,4.442659795522846,4.442659795522846,1.350989614804978,1.350989614804978,1.9299450264916334,3.579856601448485,3.579856601448485,3.579856601448485,3.579856601448485,1.2529341135221232,1.886152837750944,1.2529341135221232,1.2529341135221232,3.4538916254003666,3.4538916254003666,3.4538916254003666,3.4538916254003666,4.442659795522846,4.442659795522846,4.442659795522846,4.442659795522846,5.524643213506212,4.442659795522846,4.442659795522846,4.442659795522846,1.4230589098852975,1.4230589098852975,1.9299450264916334,3.579856601448485,3.579856601448485,3.579856601448485,3.579856601448485,5.524643213506212,1.4267457310445604,1.4267457310445604,1.4267457310445604,3.4538916254003666,3.4538916254003666,3.4538916254003666,3.4538916254003666,4.442659795522846,4.442659795522846,4.442659795522846,5.524643213506212,4.442659795522846,4.442659795522846,4.442659795522846,4.442659795522846,5.524643213506212,1.2640855275555072,1.2640855275555072
SF,0.14974390104722735,0.18672389071989481,0.22179689916013368,0.22179689916013368,0.22179689916013368,0.22179689916013368,0.17063613253499832,0.17063613253499832,0.17063613253499832,0.17063613253499832,0.17063613253499832,0.14974390104722735,0.17063613253499832,0.17063613253499832,0.1793566567594428,0.1793566567594428,0.18678973101095409,0.2116232121552052,0.2116232121552052,0.2116232121552052,0.2116232121552052,0.1879241803307813,0.17679064082435292,0.1879241803307813,0.1879241803307813,0.22179689916013368,0.22179689916013368,0.22179689916013368,0.22179689916013368,0.17063613253499832,0.17063613253499832,0.17063613253499832,0.17063613253499832,0.2209412237448919,0.17063613253499832,0.17063613253499832,0.17063613253499832,0.19073206911725915,0.19073206911725915,0.18678973101095409,0.2116232121552052,0.2116232121552052,0.2116232121552052,0.2116232121552052,0.2209412237448919,0.20192394076260145,0.20192394076260145,0.20192394076260145,0.22179689916013368,0.22179689916013368,0.22179689916013368,0.22179689916013368,0.17063613253499832,0.17063613253499832,0.17063613253499832,0.2209412237448919,0.17063613253499832,0.17063613253499832,0.17063613253499832,0.17063613253499832,0.2209412237448919,0.18672389071989481,0.18672389071989481
SD,17589620.73245015,32451434.600368865,291383963.3502297,291383963.3502297,291383963.3502297,291383963.3502297,379664096.13701564,379664096.13701564,379664096.13701564,379664096.13701564,379664096.13701564,17589620.73245015,379664096.13701564,379664096.13701564,26725331.137536537,26725331.137536537,83373639.50307725,295343853.98686934,295343853.98686934,295343853.98686934,295343853.98686934,35051466.05110034,67136069.62737414,35051466.05110034,35051466.05110034,291383963.3502297,291383963.3502297,291383963.3502297,291383963.3502297,379664096.13701564,379664096.13701564,379664096.13701564,379664096.13701564,309631630.4201415,379664096.13701564,379664096.13701564,379664096.13701564,40616110.55053837,40616110.55053837,83373639.50307725,295343853.98686934,295343853.98686934,295343853.98686934,295343853.98686934,309631630.4201415,44620970.767406285,44620970.767406285,44620970.767406285,291383963.3502297,291383963.3502297,291383963.3502297,291383963.3502297,379664096.13701564,379664096.13701564,379664096.13701564,309631630.4201415,379664096.13701564,379664096.13701564,379664096.13701564,379664096.13701564,309631630.4201415,32451434.600368865,32451434.600368865
SDbw,0.2706222783079079,0.4146059918324938,1.9958119959440572,1.9958119959440572,1.9958119959440572,1.9958119959440572,2.002054405202266,2.002054405202266,2.002054405202266,2.002054405202266,2.002054405202266,0.2706222783079079,2.002054405202266,2.002054405202266,0.36791901408835154,0.36791901408835154,0.7523978987295786,1.8112503284149384,1.8112503284149384,1.8112503284149384,1.8112503284149384,0.4138925580049015,0.6462518295216838,0.4138925580049015,0.4138925580049015,1.9958119959440572,1.9958119959440572,1.9958119959440572,1.9958119959440572,2.002054405202266,2.002054405202266,2.002054405202266,2.002054405202266,1.8904131682118743,2.002054405202266,2.002054405202266,2.002054405202266,0.4574892527345261,0.4574892527345261,0.7523978987295786,1.8112503284149384,1.8112503284149384,1.8112503284149384,1.8112503284149384,1.8904131682118743,0.517783397176461,0.517783397176461,0.517783397176461,1.9958119959440572,1.9958119959440572,1.9958119959440572,1.9958119959440572,2.002054405202266,2.002054405202266,2.002054405202266,1.8904131682118743,2.002054405202266,2.002054405202266,2.002054405202266,2.002054405202266,1.8904131682118743,0.4146059918324938,0.4146059918324938
XB*,104.22106395680332,84.24498079355183,50.45068351267392,50.45068351267392,50.45068351267392,50.45068351267392,30.96890849005991,30.96890849005991,30.96890849005991,30.96890849005991,30.96890849005991,104.22106395680332,30.96890849005991,30.96890849005991,292.49627555133475,292.49627555133475,18.523650306700297,26.849665436297677,26.849665436297677,26.849665436297677,26.849665436297677,94.7792044412354,21.774548467453158,94.7792044412354,94.7792044412354,50.45068351267392,50.45068351267392,50.45068351267392,50.45068351267392,30.96890849005991,30.96890849005991,30.96890849005991,30.96890849005991,346.4785584086824,30.96890849005991,30.96890849005991,30.96890849005991,153.45153061622415,153.45153061622415,18.523650306700297,26.849665436297677,26.849665436297677,26.849665436297677,26.849665436297677,346.4785584086824,143.78534915868929,143.78534915868929,143.78534915868929,50.45068351267392,50.45068351267392,50.45068351267392,50.45068351267392,30.96890849005991,30.96890849005991,30.96890849005991,346.4785584086824,30.96890849005991,30.96890849005991,30.96890849005991,30.96890849005991,346.4785584086824,84.24498079355183,84.24498079355183
S,-0.11254317737981152,-0.049157598074190866,0.11415053158639273,0.11415053158639273,0.11415053158639273,0.11415053158639273,0.24443840466687997,0.24443840466687997,0.24443840466687997,0.24443840466687997,0.24443840466687997,-0.11254317737981152,0.24443840466687997,0.24443840466687997,-0.0505832090532702,-0.0505832090532702,0.01740085741554651,0.17411415682861087,0.17411415682861087,0.17411415682861087,0.17411415682861087,-0.047071355040210434,-0.07994827410304223,-0.047071355040210434,-0.047071355040210434,0.11415053158639273,0.11415053158639273,0.11415053158639273,0.11415053158639273,0.24443840466687997,0.24443840466687997,0.24443840466687997,0.24443840466687997,-0.07218899696887757,0.24443840466687997,0.24443840466687997,0.24443840466687997,0.01763442031039672,0.01763442031039672,0.01740085741554651,0.17411415682861087,0.17411415682861087,0.17411415682861087,0.17411415682861087,-0.07218899696887757,-0.016049832573706554,-0.016049832573706554,-0.016049832573706554,0.11415053158639273,0.11415053158639273,0.11415053158639273,0.11415053158639273,0.24443840466687997,0.24443840466687997,0.24443840466687997,-0.07218899696887757,0.24443840466687997,0.24443840466687997,0.24443840466687997,0.24443840466687997,-0.07218899696887757,-0.049157598074190866,-0.049157598074190866
DB,2.211036453443227,2.3746207002399427,7.571544333424817,7.571544333424817,7.571544333424817,7.571544333424817,6.118608796452385,6.118608796452385,6.118608796452385,6.118608796452385,6.118608796452385,2.211036453443227,6.118608796452385,6.118608796452385,3.0892096522889054,3.0892096522889054,2.296405145158068,5.669844740517692,5.669844740517692,5.669844740517692,5.669844740517692,2.563224065646889,2.179987067448882,2.563224065646889,2.563224065646889,7.571544333424817,7.571544333424817,7.571544333424817,7.571544333424817,6.118608796452385,6.118608796452385,6.118608796452385,6.118608796452385,19.9247167379326,6.118608796452385,6.118608796452385,6.118608796452385,3.154815880868726,3.154815880868726,2.296405145158068,5.669844740517692,5.669844740517692,5.669844740517692,5.669844740517692,19.9247167379326,3.2484495899196846,3.2484495899196846,3.2484495899196846,7.571544333424817,7.571544333424817,7.571544333424817,7.571544333424817,6.118608796452385,6.118608796452385,6.118608796452385,19.9247167379326,6.118608796452385,6.118608796452385,6.118608796452385,6.118608796452385,19.9247167379326,2.3746207002399427,2.3746207002399427
