,labels_yeast_HDBSCAN_params1,labels_yeast_HDBSCAN_params10,labels_yeast_HDBSCAN_params11,labels_yeast_HDBSCAN_params12,labels_yeast_HDBSCAN_params13,labels_yeast_HDBSCAN_params14,labels_yeast_HDBSCAN_params15,labels_yeast_HDBSCAN_params16,labels_yeast_HDBSCAN_params17,labels_yeast_HDBSCAN_params18,labels_yeast_HDBSCAN_params19,labels_yeast_HDBSCAN_params2,labels_yeast_HDBSCAN_params20,labels_yeast_HDBSCAN_params21,labels_yeast_HDBSCAN_params22,labels_yeast_HDBSCAN_params23,labels_yeast_HDBSCAN_params24,labels_yeast_HDBSCAN_params25,labels_yeast_HDBSCAN_params26,labels_yeast_HDBSCAN_params27,labels_yeast_HDBSCAN_params28,labels_yeast_HDBSCAN_params29,labels_yeast_HDBSCAN_params3,labels_yeast_HDBSCAN_params30,labels_yeast_HDBSCAN_params31,labels_yeast_HDBSCAN_params32,labels_yeast_HDBSCAN_params33,labels_yeast_HDBSCAN_params34,labels_yeast_HDBSCAN_params35,labels_yeast_HDBSCAN_params36,labels_yeast_HDBSCAN_params37,labels_yeast_HDBSCAN_params38,labels_yeast_HDBSCAN_params39,labels_yeast_HDBSCAN_params4,labels_yeast_HDBSCAN_params40,labels_yeast_HDBSCAN_params41,labels_yeast_HDBSCAN_params42,labels_yeast_HDBSCAN_params5,labels_yeast_HDBSCAN_params6,labels_yeast_HDBSCAN_params7,labels_yeast_HDBSCAN_params8,labels_yeast_HDBSCAN_params9
D,0.22534727444480576,0.22534727444480576,0.22534727444480576,0.22534727444480576,0.22534727444480576,0.22534727444480576,0.11017054564500157,0.11017054564500157,0.11017054564500157,0.11017054564500157,0.11017054564500157,0.22534727444480576,0.11017054564500157,0.11017054564500157,0.22534727444480576,0.22534727444480576,0.22534727444480576,0.22534727444480576,0.22534727444480576,0.22534727444480576,0.22534727444480576,0.22534727444480576,0.22534727444480576,0.22534727444480576,0.22534727444480576,0.22534727444480576,0.22534727444480576,0.22534727444480576,0.22534727444480576,0.11017054564500157,0.11017054564500157,0.11017054564500157,0.11017054564500157,0.22534727444480576,0.11017054564500157,0.11017054564500157,0.11017054564500157,0.22534727444480576,0.22534727444480576,0.22534727444480576,0.22534727444480576,0.22534727444480576
H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBCV,0.5881505947961629,0.5881505947961629,0.5881505947961629,0.5881505947961629,0.5881505947961629,0.5881505947961629,0.11304674645457101,0.11304674645457101,0.11304674645457101,0.11304674645457101,0.11304674645457101,0.5881505947961629,0.11304674645457101,0.11304674645457101,0.5881505947961629,0.5881505947961629,0.5881505947961629,0.5881505947961629,0.5881505947961629,0.5881505947961629,0.5881505947961629,0.5881505947961629,0.5881505947961629,0.5881505947961629,0.5881505947961629,0.5881505947961629,0.5881505947961629,0.5881505947961629,0.5881505947961629,0.11304674645457101,0.11304674645457101,0.11304674645457101,0.11304674645457101,0.5881505947961629,0.11304674645457101,0.11304674645457101,0.11304674645457101,0.5881505947961629,0.5881505947961629,0.5881505947961629,0.5881505947961629,0.5881505947961629
I,0.5047439102122186,0.5047439102122186,0.5047439102122186,0.5047439102122186,0.5047439102122186,0.5047439102122186,3.614051846837634,3.614051846837634,3.614051846837634,3.614051846837634,3.614051846837634,0.5047439102122186,3.614051846837634,3.614051846837634,0.5047439102122186,0.5047439102122186,0.5047439102122186,0.5047439102122186,0.5047439102122186,0.5047439102122186,0.5047439102122186,0.5047439102122186,0.5047439102122186,0.5047439102122186,0.5047439102122186,0.5047439102122186,0.5047439102122186,0.5047439102122186,0.5047439102122186,3.614051846837634,3.614051846837634,3.614051846837634,3.614051846837634,0.5047439102122186,3.614051846837634,3.614051846837634,3.614051846837634,0.5047439102122186,0.5047439102122186,0.5047439102122186,0.5047439102122186,0.5047439102122186
C,0.038639265764577345,0.038639265764577345,0.038639265764577345,0.038639265764577345,0.038639265764577345,0.038639265764577345,0.6717924754901773,0.6717924754901773,0.6717924754901773,0.6717924754901773,0.6717924754901773,0.038639265764577345,0.6717924754901773,0.6717924754901773,0.038639265764577345,0.038639265764577345,0.038639265764577345,0.038639265764577345,0.038639265764577345,0.038639265764577345,0.038639265764577345,0.038639265764577345,0.038639265764577345,0.038639265764577345,0.038639265764577345,0.038639265764577345,0.038639265764577345,0.038639265764577345,0.038639265764577345,0.6717924754901773,0.6717924754901773,0.6717924754901773,0.6717924754901773,0.038639265764577345,0.6717924754901773,0.6717924754901773,0.6717924754901773,0.038639265764577345,0.038639265764577345,0.038639265764577345,0.038639265764577345,0.038639265764577345
VIASCKDE,,,,,,,0.044070254955869116,0.044070254955869116,0.044070254955869116,0.044070254955869116,0.044070254955869116,,0.044070254955869116,0.044070254955869116,,,,,,,,,,,,,,,,0.044070254955869116,0.044070254955869116,0.044070254955869116,0.044070254955869116,,0.044070254955869116,0.044070254955869116,0.044070254955869116,,,,,
COP,0.28804259633406903,0.28804259633406903,0.28804259633406903,0.28804259633406903,0.28804259633406903,0.28804259633406903,0.28433790778804335,0.28433790778804335,0.28433790778804335,0.28433790778804335,0.28433790778804335,0.28804259633406903,0.28433790778804335,0.28433790778804335,0.28804259633406903,0.28804259633406903,0.28804259633406903,0.28804259633406903,0.28804259633406903,0.28804259633406903,0.28804259633406903,0.28804259633406903,0.28804259633406903,0.28804259633406903,0.28804259633406903,0.28804259633406903,0.28804259633406903,0.28804259633406903,0.28804259633406903,0.28433790778804335,0.28433790778804335,0.28433790778804335,0.28433790778804335,0.28804259633406903,0.28433790778804335,0.28433790778804335,0.28433790778804335,0.28804259633406903,0.28804259633406903,0.28804259633406903,0.28804259633406903,0.28804259633406903
Sym,0.0030104998573313047,0.0030104998573313047,0.0030104998573313047,0.0030104998573313047,0.0030104998573313047,0.0030104998573313047,0.0005364548946808707,0.0005364548946808707,0.0005364548946808707,0.0005364548946808707,0.0005364548946808707,0.0030104998573313047,0.0005364548946808707,0.0005364548946808707,0.0030104998573313047,0.0030104998573313047,0.0030104998573313047,0.0030104998573313047,0.0030104998573313047,0.0030104998573313047,0.0030104998573313047,0.0030104998573313047,0.0030104998573313047,0.0030104998573313047,0.0030104998573313047,0.0030104998573313047,0.0030104998573313047,0.0030104998573313047,0.0030104998573313047,0.0005364548946808707,0.0005364548946808707,0.0005364548946808707,0.0005364548946808707,0.0030104998573313047,0.0005364548946808707,0.0005364548946808707,0.0005364548946808707,0.0030104998573313047,0.0030104998573313047,0.0030104998573313047,0.0030104998573313047,0.0030104998573313047
CS,0.6079479812312772,0.6079479812312772,0.6079479812312772,0.6079479812312772,0.6079479812312772,0.6079479812312772,3.991798847272779,3.991798847272779,3.991798847272779,3.991798847272779,3.991798847272779,0.6079479812312772,3.991798847272779,3.991798847272779,0.6079479812312772,0.6079479812312772,0.6079479812312772,0.6079479812312772,0.6079479812312772,0.6079479812312772,0.6079479812312772,0.6079479812312772,0.6079479812312772,0.6079479812312772,0.6079479812312772,0.6079479812312772,0.6079479812312772,0.6079479812312772,0.6079479812312772,3.991798847272779,3.991798847272779,3.991798847272779,3.991798847272779,0.6079479812312772,3.991798847272779,3.991798847272779,3.991798847272779,0.6079479812312772,0.6079479812312772,0.6079479812312772,0.6079479812312772,0.6079479812312772
SF,0.159227965784694,0.159227965784694,0.159227965784694,0.159227965784694,0.159227965784694,0.159227965784694,0.29084025591755613,0.29084025591755613,0.29084025591755613,0.29084025591755613,0.29084025591755613,0.159227965784694,0.29084025591755613,0.29084025591755613,0.159227965784694,0.159227965784694,0.159227965784694,0.159227965784694,0.159227965784694,0.159227965784694,0.159227965784694,0.159227965784694,0.159227965784694,0.159227965784694,0.159227965784694,0.159227965784694,0.159227965784694,0.159227965784694,0.159227965784694,0.29084025591755613,0.29084025591755613,0.29084025591755613,0.29084025591755613,0.159227965784694,0.29084025591755613,0.29084025591755613,0.29084025591755613,0.159227965784694,0.159227965784694,0.159227965784694,0.159227965784694,0.159227965784694
SD,21528.95685520427,21528.95685520427,21528.95685520427,21528.95685520427,21528.95685520427,21528.95685520427,12618.696885509567,12618.696885509567,12618.696885509567,12618.696885509567,12618.696885509567,21528.95685520427,12618.696885509567,12618.696885509567,21528.95685520427,21528.95685520427,21528.95685520427,21528.95685520427,21528.95685520427,21528.95685520427,21528.95685520427,21528.95685520427,21528.95685520427,21528.95685520427,21528.95685520427,21528.95685520427,21528.95685520427,21528.95685520427,21528.95685520427,12618.696885509567,12618.696885509567,12618.696885509567,12618.696885509567,21528.95685520427,12618.696885509567,12618.696885509567,12618.696885509567,21528.95685520427,21528.95685520427,21528.95685520427,21528.95685520427,21528.95685520427
SDbw,0.84600196191762,0.84600196191762,0.84600196191762,0.84600196191762,0.84600196191762,0.84600196191762,1.550470379580727,1.550470379580727,1.550470379580727,1.550470379580727,1.550470379580727,0.84600196191762,1.550470379580727,1.550470379580727,0.84600196191762,0.84600196191762,0.84600196191762,0.84600196191762,0.84600196191762,0.84600196191762,0.84600196191762,0.84600196191762,0.84600196191762,0.84600196191762,0.84600196191762,0.84600196191762,0.84600196191762,0.84600196191762,0.84600196191762,1.550470379580727,1.550470379580727,1.550470379580727,1.550470379580727,0.84600196191762,1.550470379580727,1.550470379580727,1.550470379580727,0.84600196191762,0.84600196191762,0.84600196191762,0.84600196191762,0.84600196191762
XB*,0.15156116242013773,0.15156116242013773,0.15156116242013773,0.15156116242013773,0.15156116242013773,0.15156116242013773,8.735216797345322,8.735216797345322,8.735216797345322,8.735216797345322,8.735216797345322,0.15156116242013773,8.735216797345322,8.735216797345322,0.15156116242013773,0.15156116242013773,0.15156116242013773,0.15156116242013773,0.15156116242013773,0.15156116242013773,0.15156116242013773,0.15156116242013773,0.15156116242013773,0.15156116242013773,0.15156116242013773,0.15156116242013773,0.15156116242013773,0.15156116242013773,0.15156116242013773,8.735216797345322,8.735216797345322,8.735216797345322,8.735216797345322,0.15156116242013773,8.735216797345322,8.735216797345322,8.735216797345322,0.15156116242013773,0.15156116242013773,0.15156116242013773,0.15156116242013773,0.15156116242013773
S,0.5886889329657133,0.5886889329657133,0.5886889329657133,0.5886889329657133,0.5886889329657133,0.5886889329657133,-0.1629697147252847,-0.1629697147252847,-0.1629697147252847,-0.1629697147252847,-0.1629697147252847,0.5886889329657133,-0.1629697147252847,-0.1629697147252847,0.5886889329657133,0.5886889329657133,0.5886889329657133,0.5886889329657133,0.5886889329657133,0.5886889329657133,0.5886889329657133,0.5886889329657133,0.5886889329657133,0.5886889329657133,0.5886889329657133,0.5886889329657133,0.5886889329657133,0.5886889329657133,0.5886889329657133,-0.1629697147252847,-0.1629697147252847,-0.1629697147252847,-0.1629697147252847,0.5886889329657133,-0.1629697147252847,-0.1629697147252847,-0.1629697147252847,0.5886889329657133,0.5886889329657133,0.5886889329657133,0.5886889329657133,0.5886889329657133
DB,0.5231476733378948,0.5231476733378948,0.5231476733378948,0.5231476733378948,0.5231476733378948,0.5231476733378948,3.183647295484436,3.183647295484436,3.183647295484436,3.183647295484436,3.183647295484436,0.5231476733378948,3.183647295484436,3.183647295484436,0.5231476733378948,0.5231476733378948,0.5231476733378948,0.5231476733378948,0.5231476733378948,0.5231476733378948,0.5231476733378948,0.5231476733378948,0.5231476733378948,0.5231476733378948,0.5231476733378948,0.5231476733378948,0.5231476733378948,0.5231476733378948,0.5231476733378948,3.183647295484436,3.183647295484436,3.183647295484436,3.183647295484436,0.5231476733378948,3.183647295484436,3.183647295484436,3.183647295484436,0.5231476733378948,0.5231476733378948,0.5231476733378948,0.5231476733378948,0.5231476733378948
CH,99.23028856017281,99.23028856017281,99.23028856017281,99.23028856017281,99.23028856017281,99.23028856017281,19.398376985205147,19.398376985205147,19.398376985205147,19.398376985205147,19.398376985205147,99.23028856017281,19.398376985205147,19.398376985205147,99.23028856017281,99.23028856017281,99.23028856017281,99.23028856017281,99.23028856017281,99.23028856017281,99.23028856017281,99.23028856017281,99.23028856017281,99.23028856017281,99.23028856017281,99.23028856017281,99.23028856017281,99.23028856017281,99.23028856017281,19.398376985205147,19.398376985205147,19.398376985205147,19.398376985205147,99.23028856017281,19.398376985205147,19.398376985205147,19.398376985205147,99.23028856017281,99.23028856017281,99.23028856017281,99.23028856017281,99.23028856017281
AD-S,0.8308214204480407,0.8308214204480407,0.8308214204480407,0.8308214204480407,0.8308214204480407,0.8308214204480407,0.024796164317984506,0.024796164317984506,0.024796164317984506,0.024796164317984506,0.024796164317984506,0.8308214204480407,0.024796164317984506,0.024796164317984506,0.8308214204480407,0.8308214204480407,0.8308214204480407,0.8308214204480407,0.8308214204480407,0.8308214204480407,0.8308214204480407,0.8308214204480407,0.8308214204480407,0.8308214204480407,0.8308214204480407,0.8308214204480407,0.8308214204480407,0.8308214204480407,0.8308214204480407,0.024796164317984506,0.024796164317984506,0.024796164317984506,0.024796164317984506,0.8308214204480407,0.024796164317984506,0.024796164317984506,0.024796164317984506,0.8308214204480407,0.8308214204480407,0.8308214204480407,0.8308214204480407,0.8308214204480407
AD-DB,0.4672974092574371,0.4672974092574371,0.4672974092574371,0.4672974092574371,0.4672974092574371,0.4672974092574371,2.535953482587406,2.535953482587406,2.535953482587406,2.535953482587406,2.535953482587406,0.4672974092574371,2.535953482587406,2.535953482587406,0.4672974092574371,0.4672974092574371,0.4672974092574371,0.4672974092574371,0.4672974092574371,0.4672974092574371,0.4672974092574371,0.4672974092574371,0.4672974092574371,0.4672974092574371,0.4672974092574371,0.4672974092574371,0.4672974092574371,0.4672974092574371,0.4672974092574371,2.535953482587406,2.535953482587406,2.535953482587406,2.535953482587406,0.4672974092574371,2.535953482587406,2.535953482587406,2.535953482587406,0.4672974092574371,0.4672974092574371,0.4672974092574371,0.4672974092574371,0.4672974092574371
AD-CH,87.23295513293188,87.23295513293188,87.23295513293188,87.23295513293188,87.23295513293188,87.23295513293188,467.56406978210117,467.56406978210117,467.56406978210117,467.56406978210117,467.56406978210117,87.23295513293188,467.56406978210117,467.56406978210117,87.23295513293188,87.23295513293188,87.23295513293188,87.23295513293188,87.23295513293188,87.23295513293188,87.23295513293188,87.23295513293188,87.23295513293188,87.23295513293188,87.23295513293188,87.23295513293188,87.23295513293188,87.23295513293188,87.23295513293188,467.56406978210117,467.56406978210117,467.56406978210117,467.56406978210117,87.23295513293188,467.56406978210117,467.56406978210117,467.56406978210117,87.23295513293188,87.23295513293188,87.23295513293188,87.23295513293188,87.23295513293188
AD-idea,80.11898197401995,80.11898197401995,80.11898197401995,80.11898197401995,80.11898197401995,80.11898197401995,1.0479528968939513,1.0479528968939513,1.0479528968939513,1.0479528968939513,1.0479528968939513,80.11898197401995,1.0479528968939513,1.0479528968939513,80.11898197401995,80.11898197401995,80.11898197401995,80.11898197401995,80.11898197401995,80.11898197401995,80.11898197401995,80.11898197401995,80.11898197401995,80.11898197401995,80.11898197401995,80.11898197401995,80.11898197401995,80.11898197401995,80.11898197401995,1.0479528968939513,1.0479528968939513,1.0479528968939513,1.0479528968939513,80.11898197401995,1.0479528968939513,1.0479528968939513,1.0479528968939513,80.11898197401995,80.11898197401995,80.11898197401995,80.11898197401995,80.11898197401995
