,labels_glass_HDBSCAN_params1,labels_glass_HDBSCAN_params10,labels_glass_HDBSCAN_params11,labels_glass_HDBSCAN_params12,labels_glass_HDBSCAN_params13,labels_glass_HDBSCAN_params14,labels_glass_HDBSCAN_params15,labels_glass_HDBSCAN_params16,labels_glass_HDBSCAN_params17,labels_glass_HDBSCAN_params18,labels_glass_HDBSCAN_params19,labels_glass_HDBSCAN_params2,labels_glass_HDBSCAN_params20,labels_glass_HDBSCAN_params21,labels_glass_HDBSCAN_params22,labels_glass_HDBSCAN_params23,labels_glass_HDBSCAN_params24,labels_glass_HDBSCAN_params25,labels_glass_HDBSCAN_params26,labels_glass_HDBSCAN_params27,labels_glass_HDBSCAN_params28,labels_glass_HDBSCAN_params29,labels_glass_HDBSCAN_params3,labels_glass_HDBSCAN_params30,labels_glass_HDBSCAN_params31,labels_glass_HDBSCAN_params32,labels_glass_HDBSCAN_params33,labels_glass_HDBSCAN_params34,labels_glass_HDBSCAN_params35,labels_glass_HDBSCAN_params36,labels_glass_HDBSCAN_params37,labels_glass_HDBSCAN_params38,labels_glass_HDBSCAN_params39,labels_glass_HDBSCAN_params4,labels_glass_HDBSCAN_params40,labels_glass_HDBSCAN_params41,labels_glass_HDBSCAN_params42,labels_glass_HDBSCAN_params43,labels_glass_HDBSCAN_params44,labels_glass_HDBSCAN_params45,labels_glass_HDBSCAN_params46,labels_glass_HDBSCAN_params47,labels_glass_HDBSCAN_params48,labels_glass_HDBSCAN_params49,labels_glass_HDBSCAN_params5,labels_glass_HDBSCAN_params50,labels_glass_HDBSCAN_params51,labels_glass_HDBSCAN_params52,labels_glass_HDBSCAN_params53,labels_glass_HDBSCAN_params54,labels_glass_HDBSCAN_params55,labels_glass_HDBSCAN_params56,labels_glass_HDBSCAN_params6,labels_glass_HDBSCAN_params7,labels_glass_HDBSCAN_params8,labels_glass_HDBSCAN_params9
B,0.8426136776624593,1.8326345221725184,1.8326345221725184,1.8326345221725184,1.8326345221725184,1.8326345221725184,1.0613200015192614,1.0613200015192614,1.0613200015192614,1.0613200015192614,1.0613200015192614,0.8426136776624593,1.0613200015192614,1.0613200015192614,1.8997176621627678,1.8997176621627678,1.8997176621627678,1.8997176621627678,1.8997176621627678,1.8997176621627678,1.8997176621627678,1.8326345221725184,0.8426136776624593,1.8326345221725184,1.8326345221725184,1.8326345221725184,1.8326345221725184,1.8326345221725184,1.8326345221725184,1.0613200015192614,1.0613200015192614,1.0613200015192614,1.0613200015192614,0.8426136776624593,1.0613200015192614,1.0613200015192614,1.0613200015192614,1.8997176621627678,1.8997176621627678,1.8997176621627678,1.8997176621627678,1.8997176621627678,1.8997176621627678,1.8997176621627678,0.8426136776624593,1.8326345221725184,1.8326345221725184,1.8326345221725184,1.8326345221725184,1.8326345221725184,1.8326345221725184,1.8326345221725184,0.8426136776624593,0.8426136776624593,1.8326345221725184,1.8326345221725184
BH,11.673737156325007,16.805701216407105,16.805701216407105,16.805701216407105,16.805701216407105,16.805701216407105,16.2555682348319,16.2555682348319,16.2555682348319,16.2555682348319,16.2555682348319,11.673737156325007,16.2555682348319,16.2555682348319,18.288277046246268,18.288277046246268,18.288277046246268,18.288277046246268,18.288277046246268,18.288277046246268,18.288277046246268,16.805701216407105,11.673737156325007,16.805701216407105,16.805701216407105,16.805701216407105,16.805701216407105,16.805701216407105,16.805701216407105,16.2555682348319,16.2555682348319,16.2555682348319,16.2555682348319,11.673737156325007,16.2555682348319,16.2555682348319,16.2555682348319,18.288277046246268,18.288277046246268,18.288277046246268,18.288277046246268,18.288277046246268,18.288277046246268,18.288277046246268,11.673737156325007,16.805701216407105,16.805701216407105,16.805701216407105,16.805701216407105,16.805701216407105,16.805701216407105,16.805701216407105,11.673737156325007,11.673737156325007,16.805701216407105,16.805701216407105
D,0.5434371895259706,0.35488643557263067,0.35488643557263067,0.35488643557263067,0.35488643557263067,0.35488643557263067,0.38322577106932204,0.38322577106932204,0.38322577106932204,0.38322577106932204,0.38322577106932204,0.5434371895259706,0.38322577106932204,0.38322577106932204,0.35238096423665893,0.35238096423665893,0.35238096423665893,0.35238096423665893,0.35238096423665893,0.35238096423665893,0.35238096423665893,0.35488643557263067,0.5434371895259706,0.35488643557263067,0.35488643557263067,0.35488643557263067,0.35488643557263067,0.35488643557263067,0.35488643557263067,0.38322577106932204,0.38322577106932204,0.38322577106932204,0.38322577106932204,0.5434371895259706,0.38322577106932204,0.38322577106932204,0.38322577106932204,0.35238096423665893,0.35238096423665893,0.35238096423665893,0.35238096423665893,0.35238096423665893,0.35238096423665893,0.35238096423665893,0.5434371895259706,0.35488643557263067,0.35488643557263067,0.35488643557263067,0.35488643557263067,0.35488643557263067,0.35488643557263067,0.35488643557263067,0.5434371895259706,0.5434371895259706,0.35488643557263067,0.35488643557263067
H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBCV,0.713789925487331,0.670807611216182,0.670807611216182,0.670807611216182,0.670807611216182,0.670807611216182,0.5854014999470406,0.5854014999470406,0.5854014999470406,0.5854014999470406,0.5854014999470406,0.713789925487331,0.5854014999470406,0.5854014999470406,0.6886482199933563,0.6886482199933563,0.6886482199933563,0.6886482199933563,0.6886482199933563,0.6886482199933563,0.6886482199933563,0.670807611216182,0.713789925487331,0.670807611216182,0.670807611216182,0.670807611216182,0.670807611216182,0.670807611216182,0.670807611216182,0.5854014999470406,0.5854014999470406,0.5854014999470406,0.5854014999470406,0.713789925487331,0.5854014999470406,0.5854014999470406,0.5854014999470406,0.6886482199933563,0.6886482199933563,0.6886482199933563,0.6886482199933563,0.6886482199933563,0.6886482199933563,0.6886482199933563,0.713789925487331,0.670807611216182,0.670807611216182,0.670807611216182,0.670807611216182,0.670807611216182,0.670807611216182,0.670807611216182,0.713789925487331,0.713789925487331,0.670807611216182,0.670807611216182
I,1.3438501540068273,1.8348285295352553,1.8348285295352553,1.8348285295352553,1.8348285295352553,1.8348285295352553,2.1081425744476574,2.1081425744476574,2.1081425744476574,2.1081425744476574,2.1081425744476574,1.3438501540068273,2.1081425744476574,2.1081425744476574,1.5555759675449767,1.5555759675449767,1.5555759675449767,1.5555759675449767,1.5555759675449767,1.5555759675449767,1.5555759675449767,1.8348285295352553,1.3438501540068273,1.8348285295352553,1.8348285295352553,1.8348285295352553,1.8348285295352553,1.8348285295352553,1.8348285295352553,2.1081425744476574,2.1081425744476574,2.1081425744476574,2.1081425744476574,1.3438501540068273,2.1081425744476574,2.1081425744476574,2.1081425744476574,1.5555759675449767,1.5555759675449767,1.5555759675449767,1.5555759675449767,1.5555759675449767,1.5555759675449767,1.5555759675449767,1.3438501540068273,1.8348285295352553,1.8348285295352553,1.8348285295352553,1.8348285295352553,1.8348285295352553,1.8348285295352553,1.8348285295352553,1.3438501540068273,1.3438501540068273,1.8348285295352553,1.8348285295352553
C,0.057115446765302474,0.05821905107243749,0.05821905107243749,0.05821905107243749,0.05821905107243749,0.05821905107243749,0.07014924104380645,0.07014924104380645,0.07014924104380645,0.07014924104380645,0.07014924104380645,0.057115446765302474,0.07014924104380645,0.07014924104380645,0.04960494272865984,0.04960494272865984,0.04960494272865984,0.04960494272865984,0.04960494272865984,0.04960494272865984,0.04960494272865984,0.05821905107243749,0.057115446765302474,0.05821905107243749,0.05821905107243749,0.05821905107243749,0.05821905107243749,0.05821905107243749,0.05821905107243749,0.07014924104380645,0.07014924104380645,0.07014924104380645,0.07014924104380645,0.057115446765302474,0.07014924104380645,0.07014924104380645,0.07014924104380645,0.04960494272865984,0.04960494272865984,0.04960494272865984,0.04960494272865984,0.04960494272865984,0.04960494272865984,0.04960494272865984,0.057115446765302474,0.05821905107243749,0.05821905107243749,0.05821905107243749,0.05821905107243749,0.05821905107243749,0.05821905107243749,0.05821905107243749,0.057115446765302474,0.057115446765302474,0.05821905107243749,0.05821905107243749
VIASCKDE,0.15385406284871617,0.14542376252896494,0.14542376252896494,0.14542376252896494,0.14542376252896494,0.14542376252896494,0.1497113418616998,0.1497113418616998,0.1497113418616998,0.1497113418616998,0.1497113418616998,0.15385406284871617,0.1497113418616998,0.1497113418616998,0.14742519890486372,0.14742519890486372,0.14742519890486372,0.14742519890486372,0.14742519890486372,0.14742519890486372,0.14742519890486372,0.14542376252896494,0.15385406284871617,0.14542376252896494,0.14542376252896494,0.14542376252896494,0.14542376252896494,0.14542376252896494,0.14542376252896494,0.1497113418616998,0.1497113418616998,0.1497113418616998,0.1497113418616998,0.15385406284871617,0.1497113418616998,0.1497113418616998,0.1497113418616998,0.14742519890486372,0.14742519890486372,0.14742519890486372,0.14742519890486372,0.14742519890486372,0.14742519890486372,0.14742519890486372,0.15385406284871617,0.14542376252896494,0.14542376252896494,0.14542376252896494,0.14542376252896494,0.14542376252896494,0.14542376252896494,0.14542376252896494,0.15385406284871617,0.15385406284871617,0.14542376252896494,0.14542376252896494
COP,0.3308247481359662,0.3412018694943878,0.3412018694943878,0.3412018694943878,0.3412018694943878,0.3412018694943878,0.34609798510794704,0.34609798510794704,0.34609798510794704,0.34609798510794704,0.34609798510794704,0.3308247481359662,0.34609798510794704,0.34609798510794704,0.3487945879150459,0.3487945879150459,0.3487945879150459,0.3487945879150459,0.3487945879150459,0.3487945879150459,0.3487945879150459,0.3412018694943878,0.3308247481359662,0.3412018694943878,0.3412018694943878,0.3412018694943878,0.3412018694943878,0.3412018694943878,0.3412018694943878,0.34609798510794704,0.34609798510794704,0.34609798510794704,0.34609798510794704,0.3308247481359662,0.34609798510794704,0.34609798510794704,0.34609798510794704,0.3487945879150459,0.3487945879150459,0.3487945879150459,0.3487945879150459,0.3487945879150459,0.3487945879150459,0.3487945879150459,0.3308247481359662,0.3412018694943878,0.3412018694943878,0.3412018694943878,0.3412018694943878,0.3412018694943878,0.3412018694943878,0.3412018694943878,0.3308247481359662,0.3308247481359662,0.3412018694943878,0.3412018694943878
Sym,0.005284327096775752,0.006263354377148829,0.006263354377148829,0.006263354377148829,0.006263354377148829,0.006263354377148829,0.005932878948006332,0.005932878948006332,0.005932878948006332,0.005932878948006332,0.005932878948006332,0.005284327096775752,0.005932878948006332,0.005932878948006332,0.006028391182225682,0.006028391182225682,0.006028391182225682,0.006028391182225682,0.006028391182225682,0.006028391182225682,0.006028391182225682,0.006263354377148829,0.005284327096775752,0.006263354377148829,0.006263354377148829,0.006263354377148829,0.006263354377148829,0.006263354377148829,0.006263354377148829,0.005932878948006332,0.005932878948006332,0.005932878948006332,0.005932878948006332,0.005284327096775752,0.005932878948006332,0.005932878948006332,0.005932878948006332,0.006028391182225682,0.006028391182225682,0.006028391182225682,0.006028391182225682,0.006028391182225682,0.006028391182225682,0.006028391182225682,0.005284327096775752,0.006263354377148829,0.006263354377148829,0.006263354377148829,0.006263354377148829,0.006263354377148829,0.006263354377148829,0.006263354377148829,0.005284327096775752,0.005284327096775752,0.006263354377148829,0.006263354377148829
CS,1.5091982354916869,1.8776377143539487,1.8776377143539487,1.8776377143539487,1.8776377143539487,1.8776377143539487,1.7203371866840376,1.7203371866840376,1.7203371866840376,1.7203371866840376,1.7203371866840376,1.5091982354916869,1.7203371866840376,1.7203371866840376,2.020740386244532,2.020740386244532,2.020740386244532,2.020740386244532,2.020740386244532,2.020740386244532,2.020740386244532,1.8776377143539487,1.5091982354916869,1.8776377143539487,1.8776377143539487,1.8776377143539487,1.8776377143539487,1.8776377143539487,1.8776377143539487,1.7203371866840376,1.7203371866840376,1.7203371866840376,1.7203371866840376,1.5091982354916869,1.7203371866840376,1.7203371866840376,1.7203371866840376,2.020740386244532,2.020740386244532,2.020740386244532,2.020740386244532,2.020740386244532,2.020740386244532,2.020740386244532,1.5091982354916869,1.8776377143539487,1.8776377143539487,1.8776377143539487,1.8776377143539487,1.8776377143539487,1.8776377143539487,1.8776377143539487,1.5091982354916869,1.5091982354916869,1.8776377143539487,1.8776377143539487
SF,0.10942229342896892,0.11003276885251345,0.11003276885251345,0.11003276885251345,0.11003276885251345,0.11003276885251345,0.14007915988726616,0.14007915988726616,0.14007915988726616,0.14007915988726616,0.14007915988726616,0.10942229342896892,0.14007915988726616,0.14007915988726616,0.09319015495748761,0.09319015495748761,0.09319015495748761,0.09319015495748761,0.09319015495748761,0.09319015495748761,0.09319015495748761,0.11003276885251345,0.10942229342896892,0.11003276885251345,0.11003276885251345,0.11003276885251345,0.11003276885251345,0.11003276885251345,0.11003276885251345,0.14007915988726616,0.14007915988726616,0.14007915988726616,0.14007915988726616,0.10942229342896892,0.14007915988726616,0.14007915988726616,0.14007915988726616,0.09319015495748761,0.09319015495748761,0.09319015495748761,0.09319015495748761,0.09319015495748761,0.09319015495748761,0.09319015495748761,0.10942229342896892,0.11003276885251345,0.11003276885251345,0.11003276885251345,0.11003276885251345,0.11003276885251345,0.11003276885251345,0.11003276885251345,0.10942229342896892,0.10942229342896892,0.11003276885251345,0.11003276885251345
SD,7446.89788640644,10958.097311400372,10958.097311400372,10958.097311400372,10958.097311400372,10958.097311400372,9143.077021054623,9143.077021054623,9143.077021054623,9143.077021054623,9143.077021054623,7446.89788640644,9143.077021054623,9143.077021054623,12149.579410879142,12149.579410879142,12149.579410879142,12149.579410879142,12149.579410879142,12149.579410879142,12149.579410879142,10958.097311400372,7446.89788640644,10958.097311400372,10958.097311400372,10958.097311400372,10958.097311400372,10958.097311400372,10958.097311400372,9143.077021054623,9143.077021054623,9143.077021054623,9143.077021054623,7446.89788640644,9143.077021054623,9143.077021054623,9143.077021054623,12149.579410879142,12149.579410879142,12149.579410879142,12149.579410879142,12149.579410879142,12149.579410879142,12149.579410879142,7446.89788640644,10958.097311400372,10958.097311400372,10958.097311400372,10958.097311400372,10958.097311400372,10958.097311400372,10958.097311400372,7446.89788640644,7446.89788640644,10958.097311400372,10958.097311400372
SDbw,0.7470101432885535,0.7542687345819161,0.7542687345819161,0.7542687345819161,0.7542687345819161,0.7542687345819161,0.8781582267605001,0.8781582267605001,0.8781582267605001,0.8781582267605001,0.8781582267605001,0.7470101432885535,0.8781582267605001,0.8781582267605001,0.8556365003996911,0.8556365003996911,0.8556365003996911,0.8556365003996911,0.8556365003996911,0.8556365003996911,0.8556365003996911,0.7542687345819161,0.7470101432885535,0.7542687345819161,0.7542687345819161,0.7542687345819161,0.7542687345819161,0.7542687345819161,0.7542687345819161,0.8781582267605001,0.8781582267605001,0.8781582267605001,0.8781582267605001,0.7470101432885535,0.8781582267605001,0.8781582267605001,0.8781582267605001,0.8556365003996911,0.8556365003996911,0.8556365003996911,0.8556365003996911,0.8556365003996911,0.8556365003996911,0.8556365003996911,0.7470101432885535,0.7542687345819161,0.7542687345819161,0.7542687345819161,0.7542687345819161,0.7542687345819161,0.7542687345819161,0.7542687345819161,0.7470101432885535,0.7470101432885535,0.7542687345819161,0.7542687345819161
XB*,4.072893371676841,2.2253490819684547,2.2253490819684547,2.2253490819684547,2.2253490819684547,2.2253490819684547,2.6220253057980716,2.6220253057980716,2.6220253057980716,2.6220253057980716,2.6220253057980716,4.072893371676841,2.6220253057980716,2.6220253057980716,2.8224496105187553,2.8224496105187553,2.8224496105187553,2.8224496105187553,2.8224496105187553,2.8224496105187553,2.8224496105187553,2.2253490819684547,4.072893371676841,2.2253490819684547,2.2253490819684547,2.2253490819684547,2.2253490819684547,2.2253490819684547,2.2253490819684547,2.6220253057980716,2.6220253057980716,2.6220253057980716,2.6220253057980716,4.072893371676841,2.6220253057980716,2.6220253057980716,2.6220253057980716,2.8224496105187553,2.8224496105187553,2.8224496105187553,2.8224496105187553,2.8224496105187553,2.8224496105187553,2.8224496105187553,4.072893371676841,2.2253490819684547,2.2253490819684547,2.2253490819684547,2.2253490819684547,2.2253490819684547,2.2253490819684547,2.2253490819684547,4.072893371676841,4.072893371676841,2.2253490819684547,2.2253490819684547
S,0.4746556621509764,0.48276060484337163,0.48276060484337163,0.48276060484337163,0.48276060484337163,0.48276060484337163,0.43526360030570854,0.43526360030570854,0.43526360030570854,0.43526360030570854,0.43526360030570854,0.4746556621509764,0.43526360030570854,0.43526360030570854,0.49153558364322747,0.49153558364322747,0.49153558364322747,0.49153558364322747,0.49153558364322747,0.49153558364322747,0.49153558364322747,0.48276060484337163,0.4746556621509764,0.48276060484337163,0.48276060484337163,0.48276060484337163,0.48276060484337163,0.48276060484337163,0.48276060484337163,0.43526360030570854,0.43526360030570854,0.43526360030570854,0.43526360030570854,0.4746556621509764,0.43526360030570854,0.43526360030570854,0.43526360030570854,0.49153558364322747,0.49153558364322747,0.49153558364322747,0.49153558364322747,0.49153558364322747,0.49153558364322747,0.49153558364322747,0.4746556621509764,0.48276060484337163,0.48276060484337163,0.48276060484337163,0.48276060484337163,0.48276060484337163,0.48276060484337163,0.48276060484337163,0.4746556621509764,0.4746556621509764,0.48276060484337163,0.48276060484337163
DB,1.4252430559510505,1.7320732331076574,1.7320732331076574,1.7320732331076574,1.7320732331076574,1.7320732331076574,1.6314153926255217,1.6314153926255217,1.6314153926255217,1.6314153926255217,1.6314153926255217,1.4252430559510505,1.6314153926255217,1.6314153926255217,1.9870737740096949,1.9870737740096949,1.9870737740096949,1.9870737740096949,1.9870737740096949,1.9870737740096949,1.9870737740096949,1.7320732331076574,1.4252430559510505,1.7320732331076574,1.7320732331076574,1.7320732331076574,1.7320732331076574,1.7320732331076574,1.7320732331076574,1.6314153926255217,1.6314153926255217,1.6314153926255217,1.6314153926255217,1.4252430559510505,1.6314153926255217,1.6314153926255217,1.6314153926255217,1.9870737740096949,1.9870737740096949,1.9870737740096949,1.9870737740096949,1.9870737740096949,1.9870737740096949,1.9870737740096949,1.4252430559510505,1.7320732331076574,1.7320732331076574,1.7320732331076574,1.7320732331076574,1.7320732331076574,1.7320732331076574,1.7320732331076574,1.4252430559510505,1.4252430559510505,1.7320732331076574,1.7320732331076574
CH,57.607997685367266,79.52846390714134,79.52846390714134,79.52846390714134,79.52846390714134,79.52846390714134,68.49570031762453,68.49570031762453,68.49570031762453,68.49570031762453,68.49570031762453,57.607997685367266,68.49570031762453,68.49570031762453,78.31594884195385,78.31594884195385,78.31594884195385,78.31594884195385,78.31594884195385,78.31594884195385,78.31594884195385,79.52846390714134,57.607997685367266,79.52846390714134,79.52846390714134,79.52846390714134,79.52846390714134,79.52846390714134,79.52846390714134,68.49570031762453,68.49570031762453,68.49570031762453,68.49570031762453,57.607997685367266,68.49570031762453,68.49570031762453,68.49570031762453,78.31594884195385,78.31594884195385,78.31594884195385,78.31594884195385,78.31594884195385,78.31594884195385,78.31594884195385,57.607997685367266,79.52846390714134,79.52846390714134,79.52846390714134,79.52846390714134,79.52846390714134,79.52846390714134,79.52846390714134,57.607997685367266,57.607997685367266,79.52846390714134,79.52846390714134
AD-S,0.4774954043942187,0.44299892509920213,0.44299892509920213,0.44299892509920213,0.44299892509920213,0.44299892509920213,0.43346459952877386,0.43346459952877386,0.43346459952877386,0.43346459952877386,0.43346459952877386,0.4774954043942187,0.43346459952877386,0.43346459952877386,0.4440361413193011,0.4440361413193011,0.4440361413193011,0.4440361413193011,0.4440361413193011,0.4440361413193011,0.4440361413193011,0.44299892509920213,0.4774954043942187,0.44299892509920213,0.44299892509920213,0.44299892509920213,0.44299892509920213,0.44299892509920213,0.44299892509920213,0.43346459952877386,0.43346459952877386,0.43346459952877386,0.43346459952877386,0.4774954043942187,0.43346459952877386,0.43346459952877386,0.43346459952877386,0.4440361413193011,0.4440361413193011,0.4440361413193011,0.4440361413193011,0.4440361413193011,0.4440361413193011,0.4440361413193011,0.4774954043942187,0.44299892509920213,0.44299892509920213,0.44299892509920213,0.44299892509920213,0.44299892509920213,0.44299892509920213,0.44299892509920213,0.4774954043942187,0.4774954043942187,0.44299892509920213,0.44299892509920213
AD-DB,1.7216360467889507,1.8690052068328713,1.8690052068328713,1.8690052068328713,1.8690052068328713,1.8690052068328713,1.6764776500531389,1.6764776500531389,1.6764776500531389,1.6764776500531389,1.6764776500531389,1.7216360467889507,1.6764776500531389,1.6764776500531389,1.9694982150875058,1.9694982150875058,1.9694982150875058,1.9694982150875058,1.9694982150875058,1.9694982150875058,1.9694982150875058,1.8690052068328713,1.7216360467889507,1.8690052068328713,1.8690052068328713,1.8690052068328713,1.8690052068328713,1.8690052068328713,1.8690052068328713,1.6764776500531389,1.6764776500531389,1.6764776500531389,1.6764776500531389,1.7216360467889507,1.6764776500531389,1.6764776500531389,1.6764776500531389,1.9694982150875058,1.9694982150875058,1.9694982150875058,1.9694982150875058,1.9694982150875058,1.9694982150875058,1.9694982150875058,1.7216360467889507,1.8690052068328713,1.8690052068328713,1.8690052068328713,1.8690052068328713,1.8690052068328713,1.8690052068328713,1.8690052068328713,1.7216360467889507,1.7216360467889507,1.8690052068328713,1.8690052068328713
AD-CH,79.5164198316522,113.58242170497525,113.58242170497525,113.58242170497525,113.58242170497525,113.58242170497525,112.2085511835472,112.2085511835472,112.2085511835472,112.2085511835472,112.2085511835472,79.5164198316522,112.2085511835472,112.2085511835472,113.53655121373814,113.53655121373814,113.53655121373814,113.53655121373814,113.53655121373814,113.53655121373814,113.53655121373814,113.58242170497525,79.5164198316522,113.58242170497525,113.58242170497525,113.58242170497525,113.58242170497525,113.58242170497525,113.58242170497525,112.2085511835472,112.2085511835472,112.2085511835472,112.2085511835472,79.5164198316522,112.2085511835472,112.2085511835472,112.2085511835472,113.53655121373814,113.53655121373814,113.53655121373814,113.53655121373814,113.53655121373814,113.53655121373814,113.53655121373814,79.5164198316522,113.58242170497525,113.58242170497525,113.58242170497525,113.58242170497525,113.58242170497525,113.58242170497525,113.58242170497525,79.5164198316522,79.5164198316522,113.58242170497525,113.58242170497525
AD-idea,8.85926346132934,3.3405428756335676,3.3405428756335676,3.3405428756335676,3.3405428756335676,3.3405428756335676,4.363108958675961,4.363108958675961,4.363108958675961,4.363108958675961,4.363108958675961,8.85926346132934,4.363108958675961,4.363108958675961,3.1814471864723717,3.1814471864723717,3.1814471864723717,3.1814471864723717,3.1814471864723717,3.1814471864723717,3.1814471864723717,3.3405428756335676,8.85926346132934,3.3405428756335676,3.3405428756335676,3.3405428756335676,3.3405428756335676,3.3405428756335676,3.3405428756335676,4.363108958675961,4.363108958675961,4.363108958675961,4.363108958675961,8.85926346132934,4.363108958675961,4.363108958675961,4.363108958675961,3.1814471864723717,3.1814471864723717,3.1814471864723717,3.1814471864723717,3.1814471864723717,3.1814471864723717,3.1814471864723717,8.85926346132934,3.3405428756335676,3.3405428756335676,3.3405428756335676,3.3405428756335676,3.3405428756335676,3.3405428756335676,3.3405428756335676,8.85926346132934,8.85926346132934,3.3405428756335676,3.3405428756335676
