,labels_ring_noisy_MeanShift_params1,labels_ring_noisy_MeanShift_params10,labels_ring_noisy_MeanShift_params11,labels_ring_noisy_MeanShift_params12,labels_ring_noisy_MeanShift_params13,labels_ring_noisy_MeanShift_params14,labels_ring_noisy_MeanShift_params15,labels_ring_noisy_MeanShift_params16,labels_ring_noisy_MeanShift_params17,labels_ring_noisy_MeanShift_params18,labels_ring_noisy_MeanShift_params19,labels_ring_noisy_MeanShift_params2,labels_ring_noisy_MeanShift_params20,labels_ring_noisy_MeanShift_params21,labels_ring_noisy_MeanShift_params22,labels_ring_noisy_MeanShift_params23,labels_ring_noisy_MeanShift_params24,labels_ring_noisy_MeanShift_params25,labels_ring_noisy_MeanShift_params26,labels_ring_noisy_MeanShift_params28,labels_ring_noisy_MeanShift_params29,labels_ring_noisy_MeanShift_params3,labels_ring_noisy_MeanShift_params30,labels_ring_noisy_MeanShift_params31,labels_ring_noisy_MeanShift_params32,labels_ring_noisy_MeanShift_params4,labels_ring_noisy_MeanShift_params5,labels_ring_noisy_MeanShift_params6,labels_ring_noisy_MeanShift_params7,labels_ring_noisy_MeanShift_params8,labels_ring_noisy_MeanShift_params9
B,0.006272523169619788,0.01771023561258275,0.024187987766774565,0.02029254762506463,0.00828121807362629,0.0076496485380455745,0.01935082480821261,0.01771023561258275,0.031873608286643595,0.02141790371099436,0.017736752221137096,0.00532625719416486,0.01708561547078888,0.024888635614782977,0.021406908304554068,0.03335682251964847,0.028074493934158305,0.023622221939481124,0.021284819193682886,0.2173710932386277,0.22507023709804524,0.01597093466308626,0.22507023709804524,0.18136070305475072,0.3332027164409273,0.015760069224027146,0.016680589852654724,0.015323499874116159,0.00828121807362629,0.0076496485380455745,0.01935082480821261
BH,0.0487300027652927,0.45760299742263466,0.9647359346871361,0.6418170961388908,0.09655338859530507,0.06652886692130733,0.580108003536518,0.45760299742263466,1.6835457012337935,0.7720566944275932,0.38793696692068386,0.034733778867020296,0.37401343051449865,0.9506349599580833,0.7721239926957896,1.5844615969084368,1.3915822177990471,0.9426255268821876,0.7358810304421695,50.822167304543406,50.70723900148881,0.2668159454807898,50.70723900148881,50.828789464777735,50.30890771520088,0.26483576063363495,0.32246946474995536,0.26930523984179133,0.09655338859530507,0.06652886692130733,0.580108003536518
D,0.2715600620894941,0.26764643594869075,0.24256379400200617,0.27035284742576926,0.27202500051231315,0.27911198860720443,0.24413312000818732,0.26764643594869075,0.34693233296579723,0.2403240143091953,0.26021016516104584,0.26989845570372095,0.2446335654227835,0.2532470706727762,0.3223041639367472,0.2833931176092439,0.2908886081549193,0.22800830286040774,0.3109168069017735,0.3780593444251987,0.3672231585417725,0.22393468553267595,0.3672231585417725,0.3733138021463953,0.3598595933766677,0.14357651778332167,0.24241826103023598,0.18302948503458075,0.27202500051231315,0.27911198860720443,0.24413312000818732
H,3.798912851009125,1.4475072873209291,1.0209493758123906,1.1160897398073708,2.8837061141596387,3.186369453747927,1.4715442952736595,1.4475072873209291,0.8078821554774488,1.0352813854139995,1.630568309396478,3.4624631240089556,1.6160777141227458,1.1152559263603647,1.042800674290082,1.096693119537722,0.7788845535200275,0.975860716196679,0.9844573930416993,0.7165040619016316,0.7066758172870004,1.9901885854043642,0.7066758172870004,0.5099013688080365,0.9177534761320374,2.0767738328631653,2.0782184375163313,1.8101577599493919,2.8837061141596387,3.186369453747927,1.4715442952736595
DBCV,-0.42046909245341,0.3327465634994038,0.23506021671735725,0.2434465896818742,-0.46195414126990986,-0.49163169143456475,0.235248920654366,0.3327465634994038,0.23778514544251167,0.26523133305111074,0.27805251117121094,-0.5053083201191094,0.21488739031934037,0.14212867849779087,0.2032048063824736,0.15650830970188015,0.2622508266668018,0.2089017075483866,0.1023977057591706,0.7024019205080498,-0.8348558742734619,0.2631196660271666,-0.8348558742734619,0.0034650376082339188,-0.8833128569081787,0.21200817147391018,0.27781310687205224,0.3051746576591718,-0.46195414126990986,-0.49163169143456475,0.235248920654366
I,0.12221835443466385,0.1480316183803881,0.20014405670267024,0.17049516858759542,0.14262790129092862,0.11375316698734746,0.15739926105828433,0.1480316183803881,0.2328964220092733,0.20055531380540578,0.10467877463338222,0.10378265047001178,0.10697419703522588,0.1725664282104923,0.20083225185829398,0.26197188975469377,0.2745007025647524,0.2017651650475775,0.17617658988454063,0.25670054077838345,0.2433466905756441,0.08909834910587697,0.2433466905756441,0.35398410268106045,0.11154670791261645,0.09028254001825294,0.11164402083947811,0.09817015462033432,0.14262790129092862,0.11375316698734746,0.15739926105828433
C,0.01380471272830673,0.006913780244600151,0.008441912582975978,0.007095528387699949,0.016986883201878838,0.017036883252754438,0.0064833461162532155,0.006913780244600151,0.012642471421850513,0.006925982266627174,0.007227138971509994,0.014108354059975545,0.007046807842915348,0.008044232130575498,0.006890457112820343,0.01053927782299108,0.009539471097225874,0.00784437707142453,0.007106299191093669,0.19844657693276366,0.2157781979831178,0.007753836705655183,0.2157781979831178,0.20538946523998836,0.26451752513518056,0.008552106395963755,0.007373847764653057,0.008396664403995807,0.016986883201878838,0.017036883252754438,0.0064833461162532155
CDbw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07086997216825319,0.08766278662750007,0.0,0.08766278662750007,0.1868126380260927,0.09458909519283495,0.0,0.0,0.0,0.0,0.0,0.0
VIASCKDE,,,,,,,,,,,,,,,,,,,,0.7663338716728568,0.7676159881588307,,0.7676159881588307,0.7703820023840628,0.75503911120156,,,,,,
COP,0.1799849459544331,0.2588325440278955,0.279615381851176,0.26892926211533313,0.1804686221666621,0.18963334932470616,0.26877276879220924,0.2588325440278955,0.29494955262589034,0.27300515438848133,0.2628083329438224,0.17755576355027264,0.26340515315140356,0.2805137871098432,0.2727082140200797,0.28246236743060144,0.280054205069064,0.2824630882820118,0.27463776545225616,0.3476604072277621,0.34714893563445526,0.2487907988688355,0.34714893563445526,0.31374593268828604,0.345003430706379,0.24865399768162005,0.2522556475396948,0.24631277588453263,0.1804686221666621,0.18963334932470616,0.26877276879220924
Sym,0.08982631568002596,0.08095356533901177,0.06152150334830789,0.06277669072029567,0.07164382458009236,0.06733734234154405,0.07904016018441351,0.08095356533901177,0.0474254783426229,0.07144907109036196,0.07865585515529086,0.08900022354563207,0.08127566589494883,0.05812239565572552,0.06876008545248105,0.053426907893862695,0.05834207044119439,0.06433960476533554,0.06390236308809764,0.0684010187346401,0.06720889883257043,0.08492722561462171,0.06720889883257043,0.08311217942232724,0.040860754580831195,0.08176076244841038,0.0878800309328335,0.08508324156971783,0.07164382458009236,0.06733734234154405,0.07904016018441351
CS,0.4352088551116992,0.5018405085376734,0.5152192105149961,0.49327455523948105,0.46125944149627696,0.4193515882326017,0.524075659497104,0.5018405085376734,0.5427871694878897,0.5094616342813734,0.43146671488955585,0.3679528775539799,0.4356013792955729,0.5588984057775264,0.514494634695918,0.7186104962857892,0.5816778829242049,0.5169120125937036,0.47867151741609154,1.3023869674412762,1.3137777848878511,0.4430902615263836,1.3137777848878511,1.1025134155445389,1.6687310549582535,0.4497692618171227,0.5153971108120535,0.4317284257410526,0.46125944149627696,0.4193515882326017,0.524075659497104
SF,0.21269581221513412,0.26303787363855047,0.2791159964877591,0.2986009549270997,0.22851175383002453,0.22469041214763397,0.2382199828128112,0.26303787363855047,0.2835199903388226,0.2765650637954028,0.2685944579320654,0.2629206587155569,0.26504062830203556,0.24251695687969965,0.27543396565202194,0.2637754187872897,0.3055286850321164,0.27822067478856294,0.30146724544133563,0.2587445059323624,0.2743391027597365,0.24891627238807323,0.2743391027597365,0.2871247789013073,0.2848169858713019,0.2522726257165895,0.21722289943129247,0.27131473898333824,0.22851175383002453,0.22469041214763397,0.2382199828128112
SD,6414869.304764531,23402627.024684135,39320497.65000691,26650935.845406756,9126027.166600864,6642308.931034098,32262238.443293944,23402627.024684135,59040741.78154291,33446752.828568462,17547319.53379271,3736157.2127012005,17566321.323649734,46927338.98538695,34012673.95373234,75694423.26850818,51115492.23083002,38988782.668168426,30018090.166286506,773160794.51223,704165569.9738348,12454095.101760004,704165569.9738348,582711900.4761634,749311069.7286043,12447435.737416968,18002752.216743015,11389264.158897555,9126027.166600864,6642308.931034098,32262238.443293944
