,labels_s1_MeanShift_params1,labels_s1_MeanShift_params10,labels_s1_MeanShift_params11,labels_s1_MeanShift_params12,labels_s1_MeanShift_params13,labels_s1_MeanShift_params14,labels_s1_MeanShift_params15,labels_s1_MeanShift_params16,labels_s1_MeanShift_params17,labels_s1_MeanShift_params18,labels_s1_MeanShift_params2,labels_s1_MeanShift_params3,labels_s1_MeanShift_params4,labels_s1_MeanShift_params5,labels_s1_MeanShift_params6,labels_s1_MeanShift_params7,labels_s1_MeanShift_params8,labels_s1_MeanShift_params9
B,0.01479081935736815,0.22114064090010427,0.21961942931788764,0.21862429923245622,0.12193040161325427,0.10570432870232006,0.2211565879439264,0.22114064090010427,0.8228866923541442,0.8226632011549128,0.01479081935736815,0.014790900473133292,0.014790900473133292,0.09439926483086748,0.09210505411832756,0.12193040161325427,0.10570432870232006,0.2211565879439264
BH,2.743217722051485,122.79638847324745,122.47484095370791,121.94441598507028,48.40370112518256,35.37881375709313,122.85558769484507,122.79638847324745,827.6561179332039,827.5688212152737,2.743217722051485,2.743235273237991,2.743235273237991,33.330698016590404,32.24424526689796,48.40370112518256,35.37881375709313,122.85558769484507
D,0.3883343444734793,0.17105532504180254,0.17105532504180254,0.17221424441555924,0.22291599742123022,0.2767968598083848,0.17055831784001738,0.17105532504180254,0.22808640783125433,0.22801307190269895,0.3883343444734793,0.3883343444734793,0.3883343444734793,0.25544720329658765,0.3064454326256284,0.22291599742123022,0.2767968598083848,0.17055831784001738
H,0.746990238808457,0.8432622166069426,0.831462681954184,0.8291627206996611,0.9070298278577585,1.2935968740894894,0.8425461824111001,0.8432622166069426,0.5825662860210583,0.5824647843878346,0.746990238808457,0.7471035482431141,0.7471035482431141,1.1701651389326284,1.1182027734351458,0.9070298278577585,1.2935968740894894,0.8425461824111001
DBCV,0.05058637593366192,-0.9866841371277891,-0.990274916393849,-0.9883545109331328,-0.9574864823234095,-0.959559023341502,-0.9795675713513702,-0.9866841371277891,-0.9927960852773436,-0.9913873124923064,0.05058637593366192,0.06493217751531911,0.06493217751531911,-0.6460627506522173,-0.46955660836257174,-0.9574864823234095,-0.959559023341502,-0.9795675713513702
I,1.5554884153380046,0.3273351455385106,0.3402979993815456,0.3420400376378852,0.4017512725663363,0.42484777267511215,0.32756854457467294,0.3273351455385106,0.3445069189271196,0.34459134821650333,1.5554884153380046,1.555363469655402,1.555363469655402,0.4653442725314959,0.47355339777921673,0.4017512725663363,0.42484777267511215,0.32756854457467294
C,0.0019487017987926528,0.08945675714682243,0.08921292974186038,0.08849497520451534,0.04279369694920539,0.039379264333914636,0.0895329097007835,0.08945675714682243,0.19845338427119105,0.19840769005739398,0.0019487017987926528,0.0019495482896206436,0.0019495482896206436,0.034478973049853874,0.03139139429438538,0.04279369694920539,0.039379264333914636,0.0895329097007835
CDbw,0.29818266969506396,0.048594784727405194,0.014649442861728453,0.01572758793230479,0.04248274535892791,0.07797583388195586,0.04879954731689754,0.048594784727405194,0.0077814424872755476,0.008225961917123261,0.29818266969506396,0.29764821885720577,0.29764821885720577,0.12185771474191003,0.10513317054707562,0.04248274535892791,0.07797583388195586,0.04879954731689754
VIASCKDE,0.7858509206599923,0.7397793901763938,0.7384467025472219,0.737310347240647,0.7579525940829203,0.7495059098208254,0.7397126875497971,0.7397793901763938,0.7823423663062177,0.7822677975057994,0.7858509206599923,0.7857014675105786,0.7857014675105786,0.748776372408208,0.7566917664927005,0.7579525940829203,0.7495059098208254,0.7397126875497971
COP,0.10383547546187753,0.29007676300507645,0.28996720658056385,0.28937759612528013,0.2555168389252854,0.25547526317585667,0.29004334098799445,0.29007676300507645,0.43297060797459447,0.43292401452525753,0.10383547546187753,0.10387687556665906,0.10387687556665906,0.22959423199865642,0.2374409608213142,0.2555168389252854,0.25547526317585667,0.29004334098799445
Sym,0.022163851824005792,0.00218684264448272,0.002201227907463042,0.002214169810816472,0.00518498750698168,0.0048335433494283726,0.0021826409590148346,0.00218684264448272,0.0021020605404408906,0.0021073057921392065,0.022163851824005792,0.02214617782719604,0.02214617782719604,0.004278021570520435,0.004789272915550694,0.00518498750698168,0.0048335433494283726,0.0021826409590148346
CS,0.7713932582952037,1.1313364648867605,1.137658054060688,1.1361851173683672,0.9956789812905426,1.063379385533162,1.1311757537909397,1.1313364648867605,1.6827810164167571,1.6826078124344364,0.7713932582952037,0.7710242391142116,0.7710242391142116,1.083741261648812,1.042964043423759,0.9956789812905426,1.063379385533162,1.1311757537909397
SF,0.29398594276948875,0.2091033275210863,0.21039513197415494,0.21074220488724693,0.1914417653116548,0.17605921645736033,0.2092402396893389,0.2091033275210863,0.32039809213383874,0.3204097523862156,0.29398594276948875,0.29397658595615195,0.29397658595615195,0.17934217498043348,0.18124170549866914,0.1914417653116548,0.17605921645736033,0.2092402396893389
SD,34601272.427091695,489649425.4951075,484140702.8277578,482148524.6260701,279916912.3412636,240670062.8987538,489589667.75155485,489649425.4951075,1541232119.28161,1541411202.8780572,34601272.427091695,34600982.72216727,34600982.72216727,242070893.386795,237040447.5459265,279916912.3412636,240670062.8987538,489589667.75155485
SDbw,0.04591960878909556,0.7936267978945908,0.8068507888983232,0.8078775598038094,0.5208909894640861,0.46692056285645883,0.7925312907903592,0.7936267978945908,1.5735161397647774,1.573597257972862,0.04591960878909556,0.04594058721550867,0.04594058721550867,0.38575732548235,0.3826237690081259,0.5208909894640861,0.46692056285645883,0.7925312907903592
XB*,0.08654605022882052,0.41666232244879653,0.41381935946364296,0.41151475392233056,0.26703367701118086,0.6224097838262228,0.4169496772414828,0.41666232244879653,0.428245496132005,0.42795050521449024,0.08654605022882052,0.08659163471909366,0.08659163471909366,0.2864999363832213,0.23849133713936352,0.26703367701118086,0.6224097838262228,0.4169496772414828
S,0.7115589502896177,0.35789854840133445,0.35949477162067556,0.36097924139574405,0.46867560275009473,0.46456107828314763,0.357944173718399,0.35789854840133445,0.3699971180948482,0.3700371844598753,0.7115589502896177,0.7115487871562973,0.7115487871562973,0.48523584389425833,0.49792827599719786,0.46867560275009473,0.46456107828314763,0.357944173718399
DB,0.36537461851602404,0.829185167481867,0.8209076457165703,0.8205138517146378,0.742675334683009,0.8281017028039038,0.8287059842780735,0.829185167481867,1.1724349940400172,1.1723053924769546,0.36537461851602404,0.3654277899617114,0.3654277899617114,0.7804963736480929,0.7598999020549138,0.742675334683009,0.8281017028039038,0.8287059842780735
CH,22674.580852695737,4164.281458433423,4178.492922805166,4202.099950104145,5704.4701125803595,5992.863038088248,4161.67313385629,4164.281458433423,3037.94535247907,3038.793030202969,22674.580852695737,22674.433502857577,22674.433502857577,6404.935903261682,6644.775793380246,5704.4701125803595,5992.863038088248,4161.67313385629
AD-S,0.727382016843451,0.11413902453142905,0.11651707589335233,0.11804099274084305,0.3038323700884612,0.27794152864774835,0.1141991371829723,0.11413902453142905,0.054039824630261385,0.054039824630261385,0.727382016843451,0.7272211859742361,0.7272211859742361,0.3224290962387753,0.32334320224655866,0.3038323700884612,0.27794152864774835,0.1141991371829723
AD-DB,0.5706774100796597,1.6438487715620123,1.6394687974209283,1.6389093183351384,1.6925930788228654,1.388950673680125,1.6434844073969521,1.6438487715620123,3.2517965486156464,3.251779392260432,0.5706774100796597,0.5709532196208826,0.5709532196208826,1.5457680847851925,1.5417764779313525,1.6925930788228654,1.388950673680125,1.6434844073969521
AD-CH,2205.342021996644,1543.5591728254833,1544.661847820597,1546.4330256924675,1294.847170374082,1277.150546236389,1543.5666680675533,1543.5591728254833,2912.982317713993,2913.046496531526,2205.342021996644,2204.501916904446,2204.501916904446,1165.5585027060215,1170.6165476945516,1294.847170374082,1277.150546236389,1543.5666680675533
AD-idea,516445461.2469509,2.2252272238465296,2.274843003356177,2.2925020166440393,15.535796446051448,14.171962302129863,2.2416418867243673,2.2252272238465296,0.9188575459306649,0.9185984649771162,516445461.2469509,513439430.37067026,513439430.37067026,10.874312749335319,10.782970732159825,15.535796446051448,14.171962302129863,2.2416418867243673
