,labels_compound_MeanShift_params1,labels_compound_MeanShift_params10,labels_compound_MeanShift_params11,labels_compound_MeanShift_params12,labels_compound_MeanShift_params13,labels_compound_MeanShift_params14,labels_compound_MeanShift_params15,labels_compound_MeanShift_params16,labels_compound_MeanShift_params17,labels_compound_MeanShift_params18,labels_compound_MeanShift_params19,labels_compound_MeanShift_params2,labels_compound_MeanShift_params20,labels_compound_MeanShift_params21,labels_compound_MeanShift_params22,labels_compound_MeanShift_params23,labels_compound_MeanShift_params24,labels_compound_MeanShift_params25,labels_compound_MeanShift_params26,labels_compound_MeanShift_params27,labels_compound_MeanShift_params29,labels_compound_MeanShift_params3,labels_compound_MeanShift_params4,labels_compound_MeanShift_params5,labels_compound_MeanShift_params6,labels_compound_MeanShift_params7,labels_compound_MeanShift_params8,labels_compound_MeanShift_params9
Sym,0.03133283365733634,0.041194628632005535,0.050532911573108116,0.05010945671702867,0.03556287354548981,0.03175030414747786,0.050532911573108116,0.041194628632005535,0.048517973064820946,0.048517973064820946,0.048517973064820946,0.03231740807759896,0.048517973064820946,0.05026780701386882,0.05026780701386882,0.048517973064820946,0.048517973064820946,0.05026780701386882,0.05026780701386882,0.01686460647266853,0.017109928302995438,0.03671160085867002,0.040489094277424684,0.034247602952689624,0.05069336622950787,0.03556287354548981,0.03175030414747786,0.050532911573108116
CS,0.9921451204820207,1.1271943600255192,0.9522293512602801,0.9711714047286116,1.147263472546782,1.1390300797213992,0.9522293512602801,1.1271943600255192,0.8753507705495535,0.8753507705495535,0.8753507705495535,0.9314669652591131,0.8753507705495535,0.8762857121181256,0.8762857121181256,0.8753507705495535,0.8753507705495535,0.8762857121181256,0.8762857121181256,1.411326922942231,1.4108150108835036,1.1669291132107857,1.1858988509146169,1.153974816506564,1.1423159293129908,1.147263472546782,1.1390300797213992,0.9522293512602801
SF,0.04621474697042782,0.23255119227301735,0.2541086987722868,0.2539268270745578,0.11239696454729131,0.12429547098377303,0.2541086987722868,0.23255119227301735,0.37101820418824194,0.37101820418824194,0.37101820418824194,0.048939385937234126,0.37101820418824194,0.37078875447059945,0.37078875447059945,0.37101820418824194,0.37101820418824194,0.37078875447059945,0.37078875447059945,0.368768581870179,0.3689166567383819,0.11202354180806229,0.12256582855513487,0.16263788015830105,0.1804454523131277,0.11239696454729131,0.12429547098377303,0.2541086987722868
SD,478.41440575385,1849.252677864271,1659.9892443781832,1667.8383782162934,955.9138829136518,943.8856013308089,1659.9892443781832,1849.252677864271,2393.091568353426,2393.091568353426,2393.091568353426,456.7394578848552,2393.091568353426,2396.061964357589,2396.061964357589,2393.091568353426,2393.091568353426,2396.061964357589,2396.061964357589,5808.249291824024,5795.7999516080035,987.0756526691356,1086.2385365551409,1201.6263880804368,1418.062061552849,955.9138829136518,943.8856013308089,1659.9892443781832
SDbw,0.1361455095676648,0.4459733492374395,0.47514511425663175,0.47579201512645203,0.26985206379424775,0.2805449290768935,0.47514511425663175,0.4459733492374395,0.48833472158084057,0.48833472158084057,0.48833472158084057,0.12317621204950907,0.48833472158084057,0.4885791324628834,0.4885791324628834,0.48833472158084057,0.48833472158084057,0.4885791324628834,0.4885791324628834,1.045285896372774,1.0441785395540375,0.27493774247939456,0.30538586029511,0.37023852984122685,0.35066698614087183,0.26985206379424775,0.2805449290768935,0.47514511425663175
XB*,1.1533298538496644,0.34304442782505734,0.38330303348453093,0.40231815626244233,0.5107178587443769,0.8006934901782305,0.38330303348453093,0.34304442782505734,0.11757523261031436,0.11757523261031436,0.11757523261031436,1.3501189459300225,0.11757523261031436,0.11977476546906893,0.11977476546906893,0.11757523261031436,0.11757523261031436,0.11977476546906893,0.11977476546906893,0.2941607634844391,0.29728008170004616,0.6714878472450553,0.4724260828580909,0.5153785946644703,0.5548883621931529,0.5107178587443769,0.8006934901782305,0.38330303348453093
S,0.3348713487100453,0.4358888677294226,0.5247898293803396,0.5253389023481236,0.37225313136971727,0.3747028844489351,0.5247898293803396,0.4358888677294226,0.6052614530197686,0.6052614530197686,0.6052614530197686,0.3255166959832277,0.6052614530197686,0.6052217886741793,0.6052217886741793,0.6052614530197686,0.6052614530197686,0.6052217886741793,0.6052217886741793,0.495028749038181,0.49568710505373476,0.3736945002902784,0.39190473154677746,0.37381823789813357,0.4352056277946357,0.37225313136971727,0.3747028844489351,0.5247898293803396
DB,0.827341896970592,0.8427867861827391,0.729538913950495,0.7298917245982662,0.9168540028489983,0.8478618488059197,0.729538913950495,0.8427867861827391,0.5451864797233253,0.5451864797233253,0.5451864797233253,0.7981943396297229,0.5451864797233253,0.5466540313216526,0.5466540313216526,0.5451864797233253,0.5451864797233253,0.5466540313216526,0.5466540313216526,0.8301793251145824,0.8295213026875482,0.9322996734340648,0.9146446089094056,0.881929678728007,0.8889647334792672,0.9168540028489983,0.8478618488059197,0.729538913950495
CH,447.2437737041799,567.3209109187186,540.4821576840695,539.6249748699647,446.6300503809868,451.09971551626955,540.4821576840695,567.3209109187186,774.9125635249362,774.9125635249362,774.9125635249362,422.1259720783045,774.9125635249362,774.8796884147271,774.8796884147271,774.9125635249362,774.9125635249362,774.8796884147271,774.8796884147271,434.3775974989896,435.198615900342,450.6119168836158,480.6503316074605,464.1443379790375,549.0620275955214,446.6300503809868,451.09971551626955,540.4821576840695
AD-S,0.11544040286954647,0.4411016019247507,0.5947298726076929,0.5932843190931112,0.21270480104584158,0.262208026302435,0.5947298726076929,0.4411016019247507,0.624716256869917,0.624716256869917,0.624716256869917,0.1377246486734572,0.624716256869917,0.6265329454325904,0.6265329454325904,0.624716256869917,0.624716256869917,0.6265329454325904,0.6265329454325904,0.39868572654047124,0.39921927300381066,0.20995850958214823,0.24050143375381647,0.22214647356080097,0.3375977997227544,0.21270480104584158,0.262208026302435,0.5947298726076929
AD-DB,1.7317221329545354,1.7516176369121716,1.3051826528338712,1.3059137821847187,1.8321979339834797,1.8103245390621856,1.3051826528338712,1.7516176369121716,0.7215658531658115,0.7215658531658115,0.7215658531658115,1.6045920727714498,0.7215658531658115,0.7201955211040357,0.7201955211040357,0.7215658531658115,0.7215658531658115,0.7201955211040357,0.7201955211040357,1.182525739319963,1.1807975673359252,2.035549431565449,1.7842893623697673,1.9019205919722493,1.6574186990557287,1.8321979339834797,1.8103245390621856,1.3051826528338712
AD-CH,57.64493649731238,214.18776180073914,243.88582224459944,242.91137766861453,135.69670038180604,138.4481971502379,243.88582224459944,214.18776180073914,476.7839562241602,476.7839562241602,476.7839562241602,54.585104163980255,476.7839562241602,477.9959336962228,477.9959336962228,476.7839562241602,476.7839562241602,477.9959336962228,477.9959336962228,637.8036892381756,637.9126685576159,133.7596396001834,150.19749790387004,179.49071035964622,217.54410945986504,135.69670038180604,138.4481971502379,243.88582224459944
AD-idea,0.26595344611818156,8.621877859326075,22.374417511164904,22.052082668438644,3.16719867912237,4.703532832757323,22.374417511164904,8.621877859326075,20.068569088084573,20.068569088084573,20.068569088084573,0.05102020371387327,20.068569088084573,20.128403265975905,20.128403265975905,20.068569088084573,20.068569088084573,20.128403265975905,20.128403265975905,2.2713261375555085,2.301141417683614,0.9557007085283494,4.71562305620206,4.043226503081742,9.541944670319019,3.16719867912237,4.703532832757323,22.374417511164904
