,labels_r15_MeanShift_params1,labels_r15_MeanShift_params10,labels_r15_MeanShift_params11,labels_r15_MeanShift_params12,labels_r15_MeanShift_params13,labels_r15_MeanShift_params14,labels_r15_MeanShift_params15,labels_r15_MeanShift_params16,labels_r15_MeanShift_params17,labels_r15_MeanShift_params18,labels_r15_MeanShift_params19,labels_r15_MeanShift_params2,labels_r15_MeanShift_params20,labels_r15_MeanShift_params21,labels_r15_MeanShift_params22,labels_r15_MeanShift_params25,labels_r15_MeanShift_params26,labels_r15_MeanShift_params3,labels_r15_MeanShift_params4,labels_r15_MeanShift_params5,labels_r15_MeanShift_params6,labels_r15_MeanShift_params7,labels_r15_MeanShift_params8,labels_r15_MeanShift_params9
B,0.02640364300508106,0.03785203328868769,0.05263659175787697,0.05263659175787697,0.037937008090464845,0.037873519727061725,0.03741235497422757,0.03785203328868769,0.08800079147309138,0.05263659175787697,0.05263659175787697,0.026809048316658497,0.05263659175787697,0.052866992856253577,0.053031014164381454,0.05263659175787697,0.05263659175787697,0.020561814397800394,0.020344689678512936,0.05310031650675174,0.052866992856253577,0.037937008090464845,0.037873519727061725,0.03741235497422757
BH,1.075345741421388,1.9006330856054143,3.3692632745695144,3.3692632745695144,1.9046896912759652,1.9016038748424724,1.878849332185678,1.9006330856054143,6.1239535905517934,3.3692632745695144,3.3692632745695144,1.090782805379066,3.3692632745695144,3.372127384427384,3.3812975304305355,3.3692632745695144,3.3692632745695144,0.5856877545505665,0.5795660326813233,3.3851808378835813,3.372127384427384,1.9046896912759652,1.9016038748424724,1.878849332185678
D,0.31540448958496836,0.238943227821944,0.8213453183652926,0.8213453183652926,0.25136899332694923,0.25552831506551615,0.26058226063827833,0.238943227821944,0.5960292629957012,0.8213453183652926,0.8213453183652926,0.3032649751466191,0.8213453183652926,0.5683713281933997,0.5117068211413287,0.8213453183652926,0.8213453183652926,0.2795004856017415,0.30185148661509914,0.49859731843604493,0.5683713281933997,0.25136899332694923,0.25552831506551615,0.26058226063827833
H,0.542570419610999,0.6133788797916715,0.12669146880868873,0.12669146880868873,0.6226090539540037,0.6198293621965679,0.6058565790033965,0.6133788797916715,0.4376647892625924,0.12669146880868873,0.12669146880868873,0.5529252760801906,0.12669146880868873,0.13654918977648256,0.1368243886042708,0.12669146880868873,0.12669146880868873,0.9236259817567914,0.9039769489683719,0.13741342389418845,0.13654918977648256,0.6226090539540037,0.6198293621965679,0.6058565790033965
DBCV,-0.04092979753310954,0.0033457404074404185,0.9677970735538118,0.9677970735538118,-0.019766307544495883,-0.04522563487234495,-0.023586444205976873,0.0033457404074404185,0.5693176930377509,0.9677970735538118,0.9677970735538118,-0.03992212977170272,0.9677970735538118,0.9688045134688622,0.9686789050212459,0.9677970735538118,0.9677970735538118,-0.027354705488740715,-0.02802445567250648,0.9669389424889661,0.9688045134688622,-0.019766307544495883,-0.04522563487234495,-0.023586444205976873
I,0.8919867526983826,0.7257111961959126,0.6083270962252059,0.6083270962252059,0.7250017409554425,0.7259697399145841,0.7305975835591273,0.7257111961959126,0.43675697683052184,0.6083270962252059,0.6083270962252059,0.8848422665727637,0.6083270962252059,0.6074824468861191,0.6049338760972337,0.6083270962252059,0.6083270962252059,0.8955622054222947,0.9067007147113951,0.606210430861124,0.6074824468861191,0.7250017409554425,0.7259697399145841,0.7305975835591273
C,0.02202472332267384,0.03617816176962289,0.005027683119358178,0.005027683119358178,0.036419073400427986,0.03626913517138761,0.03518263683662757,0.03617816176962289,0.013060786843552734,0.005027683119358178,0.005027683119358178,0.022890868130374845,0.005027683119358178,0.005601480261617891,0.005767066321798116,0.005027683119358178,0.005027683119358178,0.01874531503256272,0.018580326292280083,0.005850631889843768,0.005601480261617891,0.036419073400427986,0.03626913517138761,0.03518263683662757
CDbw,1.5268954866534796,1.7324553177361168,2.132151428291182,2.132151428291182,1.7525800692605173,1.7537178884989517,1.7306189995742356,1.7324553177361168,1.1441572060518466,2.132151428291182,2.132151428291182,1.5173246276678112,2.132151428291182,1.884280252018148,1.8483048921784069,2.132151428291182,2.132151428291182,1.472348532633317,1.4274099824606596,3.2826331927240244,1.884280252018148,1.7525800692605173,1.7537178884989517,1.7306189995742356
VIASCKDE,0.683052021924413,0.6899813783494285,0.7503350532850191,0.7503350532850191,0.6929795088914239,0.6940072606188677,0.6947402388460038,0.6899813783494285,0.7283767810288757,0.7503350532850191,0.7503350532850191,0.6701632700918179,0.7503350532850191,0.7280205179157524,0.7426450780325077,0.7503350532850191,0.7503350532850191,0.6488784889782917,0.6479544990548789,0.7416824037107265,0.7280205179157524,0.6929795088914239,0.6940072606188677,0.6947402388460038
COP,0.2557456053237883,0.309927931665856,0.3576238737187483,0.3576238737187483,0.29070144482474497,0.2903661651224754,0.3045456611056882,0.309927931665856,0.41792559691388476,0.3576238737187483,0.3576238737187483,0.2598695696075765,0.3576238737187483,0.3707623195093733,0.3569950528532492,0.3576238737187483,0.3576238737187483,0.21067476658143838,0.20904042722704885,0.35704477059132367,0.3707623195093733,0.29070144482474497,0.2903661651224754,0.3045456611056882
Sym,0.0894397174991715,0.057002816865182764,0.06695813636093839,0.06695813636093839,0.05425267765079024,0.05422109056034551,0.05983087118673302,0.057002816865182764,0.022560814393907586,0.06695813636093839,0.06695813636093839,0.07202505826400848,0.06695813636093839,0.06435883795950366,0.06330072018129708,0.06695813636093839,0.06695813636093839,0.07319179228206688,0.07094613857418679,0.06301609374409906,0.06435883795950366,0.05425267765079024,0.05422109056034551,0.05983087118673302
CS,0.37342456574376487,0.35944866426214994,0.2739413117656955,0.2739413117656955,0.36518830031342053,0.36507482759182786,0.35931004373233616,0.35944866426214994,0.5174380403400471,0.2739413117656955,0.2739413117656955,0.3801198829647613,0.2739413117656955,0.3242397213392427,0.32860411317622223,0.2739413117656955,0.2739413117656955,0.4170527258987897,0.4159941497715163,0.33291986840937204,0.3242397213392427,0.36518830031342053,0.36507482759182786,0.35931004373233616
SF,0.3585990058992997,0.37715868004166186,0.4244381510099925,0.4244381510099925,0.3765511656880133,0.37671304966075336,0.3772587961518522,0.37715868004166186,0.2765234988211046,0.4244381510099925,0.4244381510099925,0.3563213286846968,0.4244381510099925,0.4210547931637001,0.42067573548770887,0.4244381510099925,0.4244381510099925,0.3230961571084673,0.32401620085832505,0.42043985625380464,0.4210547931637001,0.3765511656880133,0.37671304966075336,0.3772587961518522
SD,1790581.2351331625,2309129.1685781362,1980929.7487324332,1980929.7487324332,2107222.47747237,2109371.0552376597,2243116.2146870987,2309129.1685781362,9282106.189956592,1980929.748732433,1980929.7487324332,1815932.8140867648,1980929.7487324332,2074188.1954028695,2094839.6110011395,1980929.7487324332,1980929.7487324332,1422780.8666729392,1412765.7074114217,2113468.3548103026,2074188.1954028695,2107222.47747237,2109371.0552376597,2243116.2146870987
SDbw,0.07581472197808753,0.06758315669228462,0.17529193025551243,0.17529193025551243,0.062196381969452354,0.06218599535777948,0.06712646039921084,0.06758315669228462,0.3249176567504318,0.1752919302555124,0.17529193025551243,0.0735442927267443,0.17529193025551243,0.17748399519126357,0.18119624883116353,0.17529193025551243,0.17529193025551243,0.11109654439888922,0.1116105371467156,0.18317737312693963,0.17748399519126357,0.062196381969452354,0.06218599535777948,0.06712646039921084
XB*,0.24481413406421007,0.44376958816274,0.1304478001005846,0.1304478001005846,0.41217907956103184,0.41658551034665336,0.40701847366828564,0.44376958816274,0.21162358781714388,0.1304478001005846,0.1304478001005846,0.22340209982494227,0.1304478001005846,0.12985367998485312,0.13139407536037498,0.1304478001005846,0.1304478001005846,0.41557612298592594,0.37909372150699455,0.13003270639068892,0.12985367998485312,0.41217907956103184,0.41658551034665336,0.40701847366828564
S,0.6320188263647308,0.610262676395928,0.6530036549717388,0.6530036549717388,0.6072432528099756,0.6078306703590722,0.6119518424193366,0.610262676395928,0.5685989037382363,0.6530036549717388,0.6530036549717388,0.626576242059968,0.6530036549717388,0.6516472698476166,0.6510948155052227,0.6530036549717388,0.6530036549717388,0.5938269926110221,0.5957984378968408,0.6508216868315208,0.6516472698476166,0.6072432528099756,0.6078306703590722,0.6119518424193366
DB,0.46017595479719675,0.5163281324085245,0.34877957357619516,0.34877957357619516,0.5180974729946395,0.5173469850100054,0.5130178057148531,0.5163281324085245,0.5266143672456761,0.34877957357619516,0.34877957357619516,0.4594361429116325,0.34877957357619516,0.3515562157852555,0.3527720483768938,0.34877957357619516,0.34877957357619516,0.4950098350150749,0.48950243616370787,0.35156391503396006,0.3515562157852555,0.5180974729946395,0.5173469850100054,0.5130178057148531
CH,1575.2796373742967,1088.5375201714642,759.9337387040634,759.9337387040634,1086.0618154714045,1087.9440960737677,1102.0147624801768,1088.5375201714642,521.7171122586562,759.9337387040634,759.9337387040634,1552.0580778737644,759.9337387040634,759.2164598771169,756.9280903789798,759.9337387040634,759.9337387040634,1993.6538082511488,2015.2765867973876,755.96276488821,759.2164598771169,1086.0618154714045,1087.9440960737677,1102.0147624801768
AD-S,0.5194779147475121,0.46765379570164367,0.8765665544441492,0.8765665544441492,0.5372766960997083,0.5372766960997083,0.5641846246247864,0.46765379570164367,0.8019630077673973,0.8765665544441492,0.8765665544441492,0.5213600815409137,0.8765665544441492,0.87400216434306,0.8736755580506183,0.8765665544441492,0.8765665544441492,0.5359211474430544,0.519466453179976,0.8739064515630107,0.87400216434306,0.5372766960997083,0.5372766960997083,0.5641846246247864
AD-DB,0.6175348897292018,0.5655382505887121,0.20026634936452076,0.20026634936452076,0.5616643535765707,0.5613701199176456,0.46462538659778185,0.5655382505887121,0.5137749066835686,0.20026634936452076,0.20026634936452076,0.6137217014154728,0.20026634936452076,0.2057575496639933,0.20325197976212098,0.20026634936452076,0.20026634936452076,0.9205948742787681,0.7402821886607276,0.2031165291673036,0.2057575496639933,0.5616643535765707,0.5613701199176456,0.46462538659778185
AD-CH,445.6951593202464,394.0246764647777,406.82799140284055,406.82799140284055,496.1816732198869,496.181673219887,487.98581281239865,394.0246764647777,282.2057925232049,406.82799140284055,406.82799140284055,446.30650303823853,406.82799140284055,404.00765295335617,411.9681551633817,406.82799140284055,406.82799140284055,396.89481869080817,406.69303747197847,403.2463691977759,404.00765295335617,496.1816732198869,496.181673219887,487.98581281239865
AD-idea,3257664006.784995,1849212360.0178468,10783611867.830225,10783611867.830225,2710590082.3238273,2720658357.178249,3489062866.3350782,1849212360.0178468,6621596.9333125055,10783611867.830225,10783611867.830225,3160736696.909226,10783611867.830225,7717664952.825707,7420135305.703955,10783611867.830225,10783611867.830225,4587979278.020424,4839938213.680401,6903007458.547674,7717664952.825707,2710590082.3238273,2720658357.178249,3489062866.3350782
