,labels_smile_MeanShift_params1,labels_smile_MeanShift_params10,labels_smile_MeanShift_params11,labels_smile_MeanShift_params12,labels_smile_MeanShift_params13,labels_smile_MeanShift_params14,labels_smile_MeanShift_params15,labels_smile_MeanShift_params16,labels_smile_MeanShift_params17,labels_smile_MeanShift_params18,labels_smile_MeanShift_params19,labels_smile_MeanShift_params2,labels_smile_MeanShift_params20,labels_smile_MeanShift_params21,labels_smile_MeanShift_params22,labels_smile_MeanShift_params23,labels_smile_MeanShift_params24,labels_smile_MeanShift_params25,labels_smile_MeanShift_params26,labels_smile_MeanShift_params27,labels_smile_MeanShift_params28,labels_smile_MeanShift_params29,labels_smile_MeanShift_params3,labels_smile_MeanShift_params30,labels_smile_MeanShift_params31,labels_smile_MeanShift_params32,labels_smile_MeanShift_params4,labels_smile_MeanShift_params5,labels_smile_MeanShift_params6,labels_smile_MeanShift_params7,labels_smile_MeanShift_params8,labels_smile_MeanShift_params9
B,0.006157583142486089,0.07094465981341502,0.08379009588080515,0.07471055844499681,0.014590789219694143,0.014052139359336654,0.0740181544735989,0.07094465981341502,0.48127091508713377,0.22980895156393188,0.07383495758091732,0.005049632083691065,0.07776305427561164,0.07594512678308367,0.07704969007052638,0.3931337285050745,0.3931337285050745,0.08340394683165045,0.09987867709618407,0.3931337285050745,0.3931337285050745,0.3931337285050745,0.0042824143005766755,0.3931337285050745,0.3859718769678598,0.3859718769678598,0.0045457025156623,0.04107994537948681,0.033480471306779135,0.014590789219694143,0.014052139359336654,0.0740181544735989
BH,0.19831804595771366,6.10270833357858,10.390069908503069,8.758332315961736,0.8188203131737936,0.7312460408129048,7.647633273319971,6.10270833357858,70.35772004951251,53.522348017099226,8.793504964905466,0.1632119017205429,8.761933272863793,8.727762964351081,8.757181806273428,125.61357381124893,125.61357381124893,10.334564515385688,15.089968450454235,125.61357381124893,125.61357381124893,125.61357381124893,0.12848104874827865,125.61357381124893,124.93257512400577,124.93257512400577,0.1460514835626762,3.159054454609421,2.2149088200640454,0.8188203131737936,0.7312460408129048,7.647633273319971
D,0.20615567164938764,0.18993197435496573,0.26728069348358513,0.28651123084005736,0.22917075613783153,0.2282418210747458,0.2328345059207221,0.18993197435496573,0.26003453784829605,0.34505417193767,0.2761692659738716,0.21769978074062626,0.2820497350734945,0.2742147708787884,0.2687174695608326,0.27698344627091853,0.27698344627091853,0.2742147708787884,0.45075616844482136,0.27698344627091853,0.27698344627091853,0.27698344627091853,0.27555689901101965,0.27698344627091853,0.27015422169738873,0.27015422169738873,0.28786914280733744,0.3036887816418336,0.20196411229661645,0.22917075613783153,0.2282418210747458,0.2328345059207221
H,1.9223544868507745,1.5734763991316538,1.277141996516106,1.2799876105520112,1.525876748009249,1.83953000572627,1.368703111116278,1.5734763991316538,0.922189756615811,0.4647658728818914,1.2699611352738946,2.121883840921335,1.4481437805744186,1.32042908026536,1.4271023735616961,0.3189350716900373,0.3189350716900373,1.3061817299292375,1.3774674730499408,0.3189350716900373,0.3189350716900373,0.3189350716900373,2.1184125276968024,0.3189350716900373,0.323575940755071,0.323575940755071,1.9159949324587713,1.3056110418308515,1.5586665942950255,1.525876748009249,1.83953000572627,1.368703111116278
DBCV,0.054467098849505874,-0.4725359702896585,-0.38817845626580205,-0.25676068522026835,-0.3275713503762015,-0.17664112848517172,-0.47958188978805044,-0.4725359702896585,-0.521386476469524,0.4477751865933724,-0.5545515973884081,0.16733460684375182,-0.5803806905731268,-0.5230167091803904,-0.6815537282488329,0.7083770871337626,0.7083770871337626,-0.46797141754977484,-0.4461848690505336,0.7083770871337626,0.7083770871337626,0.7083770871337626,0.21064278374256265,0.7083770871337626,-0.9997424242665247,-0.9997424242665247,0.0020155232512415987,-0.5279779092139286,-0.5568127434521509,-0.3275713503762015,-0.17664112848517172,-0.47958188978805044
I,0.8432017322318922,0.263222372547461,0.44166455319987774,0.39458027659439515,0.6900171028695381,0.6117245982592474,0.3348334863817435,0.263222372547461,0.5788473257887939,0.7826083800139197,0.3841972285173765,0.9572958248893443,0.39472689560570745,0.3912645278735299,0.3925965242079364,0.7510559860124786,0.7510559860124786,0.444827306443812,0.6957375216389438,0.7510559860124786,0.7510559860124786,0.7510559860124786,0.9333237529662753,0.7510559860124786,0.7485558596557439,0.7485558596557439,1.0232385503177834,0.5248875049116903,0.3477885401458447,0.6900171028695381,0.6117245982592474,0.3348334863817435
C,0.012659760279608464,0.05353726920876164,0.04350267181821135,0.0452688974946645,0.01657112101373008,0.018598051347717862,0.049189979084825676,0.05353726920876164,0.09313340100019829,0.05017087632019716,0.04492127058279402,0.009016329256980727,0.047666730089385455,0.04604680134228211,0.04756898862110081,0.11076305347176438,0.11076305347176438,0.04401079502831563,0.04037643683300451,0.11076305347176438,0.11076305347176438,0.11076305347176438,0.006561639368660281,0.11076305347176438,0.10353893042659694,0.10353893042659694,0.007072758814932631,0.03842013841154093,0.0389116768661965,0.01657112101373008,0.018598051347717862,0.049189979084825676
CDbw,9.547702279082358,1.2069704813018265,0.3885937642539222,0.5222912287641116,2.8445569136829763,2.872329078044385,0.761292876227606,1.2069704813018265,0.15173225427712392,0.21611346433627812,0.4313076589673146,8.567348781430477,0.5665672881048265,0.5683941388723452,0.5073179565063494,0.10572535283732191,0.10572535283732191,0.4092658515774547,0.2352295415279032,0.10572535283732191,0.10572535283732191,0.10572535283732191,8.57625320755955,0.10572535283732191,0.04955107709076424,0.04955107709076424,8.916434511504912,0.8082560818109792,2.5395543732910792,2.8445569136829763,2.872329078044385,0.761292876227606
VIASCKDE,0.6796565671059531,0.6517259075668873,0.6279838844688704,0.6359728381830319,0.7275110031354861,0.7204985512886144,0.6418224840551732,0.6517259075668873,0.6930544474489904,0.7281544931567121,0.632743282096587,0.6503547672389347,0.6454244529936739,0.6392578743305986,0.6409182742334656,0.6525266730535372,0.6525266730535372,0.6384363152030089,0.642321949584152,0.6525266730535372,0.6525266730535372,0.6525266730535372,0.637577207650699,0.6525266730535372,0.587203977636779,0.587203977636779,0.6361520475151259,0.7120803022109093,0.7052135056500195,0.7275110031354861,0.7204985512886144,0.6418224840551732
COP,0.09825301117486077,0.21280687787667343,0.21940491724187888,0.22304090434609525,0.12657101070416144,0.12462507957511847,0.2202546936053103,0.21280687787667343,0.3164598477008806,0.2981853456661406,0.2210679307911717,0.09838216456344351,0.22323229928415214,0.22256839823366079,0.22054182370536451,0.35678731064054164,0.35678731064054164,0.22132050124833533,0.22045105727856498,0.35678731064054164,0.35678731064054164,0.35678731064054164,0.09671639251260693,0.35678731064054164,0.35818979236675624,0.35818979236675624,0.09608124197901419,0.17152532531813977,0.16740955817465492,0.12657101070416144,0.12462507957511847,0.2202546936053103
