,labels_coil20_HDBSCAN_params1,labels_coil20_HDBSCAN_params10,labels_coil20_HDBSCAN_params11,labels_coil20_HDBSCAN_params12,labels_coil20_HDBSCAN_params13,labels_coil20_HDBSCAN_params14,labels_coil20_HDBSCAN_params15,labels_coil20_HDBSCAN_params16,labels_coil20_HDBSCAN_params17,labels_coil20_HDBSCAN_params18,labels_coil20_HDBSCAN_params19,labels_coil20_HDBSCAN_params2,labels_coil20_HDBSCAN_params20,labels_coil20_HDBSCAN_params21,labels_coil20_HDBSCAN_params22,labels_coil20_HDBSCAN_params23,labels_coil20_HDBSCAN_params24,labels_coil20_HDBSCAN_params25,labels_coil20_HDBSCAN_params26,labels_coil20_HDBSCAN_params27,labels_coil20_HDBSCAN_params28,labels_coil20_HDBSCAN_params29,labels_coil20_HDBSCAN_params3,labels_coil20_HDBSCAN_params30,labels_coil20_HDBSCAN_params31,labels_coil20_HDBSCAN_params32,labels_coil20_HDBSCAN_params33,labels_coil20_HDBSCAN_params34,labels_coil20_HDBSCAN_params35,labels_coil20_HDBSCAN_params36,labels_coil20_HDBSCAN_params37,labels_coil20_HDBSCAN_params38,labels_coil20_HDBSCAN_params39,labels_coil20_HDBSCAN_params4,labels_coil20_HDBSCAN_params40,labels_coil20_HDBSCAN_params41,labels_coil20_HDBSCAN_params42,labels_coil20_HDBSCAN_params43,labels_coil20_HDBSCAN_params44,labels_coil20_HDBSCAN_params45,labels_coil20_HDBSCAN_params46,labels_coil20_HDBSCAN_params47,labels_coil20_HDBSCAN_params48,labels_coil20_HDBSCAN_params49,labels_coil20_HDBSCAN_params5,labels_coil20_HDBSCAN_params50,labels_coil20_HDBSCAN_params51,labels_coil20_HDBSCAN_params52,labels_coil20_HDBSCAN_params53,labels_coil20_HDBSCAN_params54,labels_coil20_HDBSCAN_params55,labels_coil20_HDBSCAN_params56,labels_coil20_HDBSCAN_params57,labels_coil20_HDBSCAN_params58,labels_coil20_HDBSCAN_params59,labels_coil20_HDBSCAN_params6,labels_coil20_HDBSCAN_params60,labels_coil20_HDBSCAN_params61,labels_coil20_HDBSCAN_params62,labels_coil20_HDBSCAN_params63,labels_coil20_HDBSCAN_params7,labels_coil20_HDBSCAN_params8,labels_coil20_HDBSCAN_params9
BH,18695.499041748048,12221.522254943848,12221.522254943848,12221.522254943848,12221.522254943848,12221.522254943848,11569.331527709961,11569.331527709961,11569.331527709961,11569.331527709961,11569.331527709961,18695.499041748048,11569.331527709961,11569.331527709961,19523.73979695638,19523.73979695638,19523.73979695638,19523.73979695638,19523.73979695638,19523.73979695638,19523.73979695638,14124.659912109375,18695.499041748048,14124.659912109375,14124.659912109375,14124.659912109375,14124.659912109375,14124.659912109375,14124.659912109375,12986.963326590401,12986.963326590401,12986.963326590401,12986.963326590401,18695.499041748048,12986.963326590401,12986.963326590401,12986.963326590401,23353.31201171875,23353.31201171875,23353.31201171875,23353.31201171875,23353.31201171875,23353.31201171875,23353.31201171875,18695.499041748048,19148.110153198242,19148.110153198242,19148.110153198242,19148.110153198242,19148.110153198242,19148.110153198242,19148.110153198242,12986.963326590401,12986.963326590401,12986.963326590401,18695.499041748048,12986.963326590401,12986.963326590401,12986.963326590401,12986.963326590401,18695.499041748048,12221.522254943848,12221.522254943848
D,0.30553417747499334,0.40119346907925646,0.40119346907925646,0.40119346907925646,0.40119346907925646,0.40119346907925646,0.4502885118846761,0.4502885118846761,0.4502885118846761,0.4502885118846761,0.4502885118846761,0.30553417747499334,0.4502885118846761,0.4502885118846761,0.30553417747499334,0.30553417747499334,0.30553417747499334,0.30553417747499334,0.30553417747499334,0.30553417747499334,0.30553417747499334,0.40119346907925646,0.30553417747499334,0.40119346907925646,0.40119346907925646,0.40119346907925646,0.40119346907925646,0.40119346907925646,0.40119346907925646,0.44948997291775644,0.44948997291775644,0.44948997291775644,0.44948997291775644,0.30553417747499334,0.44948997291775644,0.44948997291775644,0.44948997291775644,0.31196099335009686,0.31196099335009686,0.31196099335009686,0.31196099335009686,0.31196099335009686,0.31196099335009686,0.31196099335009686,0.30553417747499334,0.33173018736728005,0.33173018736728005,0.33173018736728005,0.33173018736728005,0.33173018736728005,0.33173018736728005,0.33173018736728005,0.44948997291775644,0.44948997291775644,0.44948997291775644,0.30553417747499334,0.44948997291775644,0.44948997291775644,0.44948997291775644,0.44948997291775644,0.30553417747499334,0.40119346907925646,0.40119346907925646
H,9.933763035715375,7.615995619375881,7.615995619375881,7.615995619375881,7.615995619375881,7.615995619375881,4.881927741952044,4.881927741952044,4.881927741952044,4.881927741952044,4.881927741952044,9.933763035715375,4.881927741952044,4.881927741952044,9.58154418391954,9.58154418391954,9.58154418391954,9.58154418391954,9.58154418391954,9.58154418391954,9.58154418391954,7.024612939181857,9.933763035715375,7.024612939181857,7.024612939181857,7.024612939181857,7.024612939181857,7.024612939181857,7.024612939181857,4.463461316782507,4.463461316782507,4.463461316782507,4.463461316782507,9.933763035715375,4.463461316782507,4.463461316782507,4.463461316782507,9.100279467170317,9.100279467170317,9.100279467170317,9.100279467170317,9.100279467170317,9.100279467170317,9.100279467170317,9.933763035715375,6.105205277627874,6.105205277627874,6.105205277627874,6.105205277627874,6.105205277627874,6.105205277627874,6.105205277627874,4.463461316782507,4.463461316782507,4.463461316782507,9.933763035715375,4.463461316782507,4.463461316782507,4.463461316782507,4.463461316782507,9.933763035715375,7.615995619375881,7.615995619375881
DBCV,0.8868055555555016,0.7583333333332793,0.7583333333332793,0.7583333333332793,0.7583333333332793,0.7583333333332793,0.5965277777777238,0.5965277777777238,0.5965277777777238,0.5965277777777238,0.5965277777777238,0.8868055555555016,0.5965277777777238,0.5965277777777238,0.8902777777777238,0.8902777777777238,0.8902777777777238,0.8902777777777238,0.8902777777777238,0.8902777777777238,0.8902777777777238,0.7569444444443905,0.8868055555555016,0.7569444444443905,0.7569444444443905,0.7569444444443905,0.7569444444443905,0.7569444444443905,0.7569444444443905,0.5881944444443904,0.5881944444443904,0.5881944444443904,0.5881944444443904,0.8868055555555016,0.5881944444443904,0.5881944444443904,0.5881944444443904,0.9083333333332794,0.9083333333332794,0.9083333333332794,0.9083333333332794,0.9083333333332794,0.9083333333332794,0.9083333333332794,0.8868055555555016,0.724999999999946,0.724999999999946,0.724999999999946,0.724999999999946,0.724999999999946,0.724999999999946,0.724999999999946,0.5881944444443904,0.5881944444443904,0.5881944444443904,0.8868055555555016,0.5881944444443904,0.5881944444443904,0.5881944444443904,0.5881944444443904,0.8868055555555016,0.7583333333332793,0.7583333333332793
I,23.99220585525906,49.72082436184261,49.72082436184261,49.72082436184261,49.72082436184261,49.72082436184261,236.6783568194686,236.6783568194686,236.6783568194686,236.6783568194686,236.6783568194686,23.99220585525906,236.6783568194686,236.6783568194686,25.805927646071783,25.805927646071783,25.805927646071783,25.805927646071783,25.805927646071783,25.805927646071783,25.805927646071783,64.00288247929375,23.99220585525906,64.00288247929375,64.00288247929375,64.00288247929375,64.00288247929375,64.00288247929375,64.00288247929375,319.6407340717734,319.6407340717734,319.6407340717734,319.6407340717734,23.99220585525906,319.6407340717734,319.6407340717734,319.6407340717734,30.57795496329778,30.57795496329778,30.57795496329778,30.57795496329778,30.57795496329778,30.57795496329778,30.57795496329778,23.99220585525906,113.55187148054426,113.55187148054426,113.55187148054426,113.55187148054426,113.55187148054426,113.55187148054426,113.55187148054426,319.6407340717734,319.6407340717734,319.6407340717734,23.99220585525906,319.6407340717734,319.6407340717734,319.6407340717734,319.6407340717734,23.99220585525906,49.72082436184261,49.72082436184261
C,0.18508161719339816,0.3476098541124943,0.3476098541124943,0.3476098541124943,0.3476098541124943,0.3476098541124943,0.465343516693243,0.465343516693243,0.465343516693243,0.465343516693243,0.465343516693243,0.18508161719339816,0.465343516693243,0.465343516693243,0.18190159676517745,0.18190159676517745,0.18190159676517745,0.18190159676517745,0.18190159676517745,0.18190159676517745,0.18190159676517745,0.34286102775537725,0.18508161719339816,0.34286102775537725,0.34286102775537725,0.34286102775537725,0.34286102775537725,0.34286102775537725,0.34286102775537725,0.47268161638772277,0.47268161638772277,0.47268161638772277,0.47268161638772277,0.18508161719339816,0.47268161638772277,0.47268161638772277,0.47268161638772277,0.1572520821112645,0.1572520821112645,0.1572520821112645,0.1572520821112645,0.1572520821112645,0.1572520821112645,0.1572520821112645,0.18508161719339816,0.36564042531765684,0.36564042531765684,0.36564042531765684,0.36564042531765684,0.36564042531765684,0.36564042531765684,0.36564042531765684,0.47268161638772277,0.47268161638772277,0.47268161638772277,0.18508161719339816,0.47268161638772277,0.47268161638772277,0.47268161638772277,0.47268161638772277,0.18508161719339816,0.3476098541124943,0.3476098541124943
VIASCKDE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,0.4498278466651634,0.44284096000156925,0.44284096000156925,0.44284096000156925,0.44284096000156925,0.44284096000156925,0.4422801049569269,0.4422801049569269,0.4422801049569269,0.4422801049569269,0.4422801049569269,0.4498278466651634,0.4422801049569269,0.4422801049569269,0.44104605226413324,0.44104605226413324,0.44104605226413324,0.44104605226413324,0.44104605226413324,0.44104605226413324,0.44104605226413324,0.42973970863406236,0.4498278466651634,0.42973970863406236,0.42973970863406236,0.42973970863406236,0.42973970863406236,0.42973970863406236,0.42973970863406236,0.44490025862468524,0.44490025862468524,0.44490025862468524,0.44490025862468524,0.4498278466651634,0.44490025862468524,0.44490025862468524,0.44490025862468524,0.4309128684209982,0.4309128684209982,0.4309128684209982,0.4309128684209982,0.4309128684209982,0.4309128684209982,0.4309128684209982,0.4498278466651634,0.44168378964736116,0.44168378964736116,0.44168378964736116,0.44168378964736116,0.44168378964736116,0.44168378964736116,0.44168378964736116,0.44490025862468524,0.44490025862468524,0.44490025862468524,0.4498278466651634,0.44490025862468524,0.44490025862468524,0.44490025862468524,0.44490025862468524,0.4498278466651634,0.44284096000156925,0.44284096000156925
Sym,3.5572247594911683e-06,3.362381127757318e-06,3.362381127757318e-06,3.362381127757318e-06,3.362381127757318e-06,3.362381127757318e-06,4.185455536131562e-06,4.185455536131562e-06,4.185455536131562e-06,4.185455536131562e-06,4.185455536131562e-06,3.5572247594911683e-06,4.185455536131562e-06,4.185455536131562e-06,3.710371213285068e-06,3.710371213285068e-06,3.710371213285068e-06,3.710371213285068e-06,3.710371213285068e-06,3.710371213285068e-06,3.710371213285068e-06,3.7701312295058513e-06,3.5572247594911683e-06,3.7701312295058513e-06,3.7701312295058513e-06,3.7701312295058513e-06,3.7701312295058513e-06,3.7701312295058513e-06,3.7701312295058513e-06,4.709543673358632e-06,4.709543673358632e-06,4.709543673358632e-06,4.709543673358632e-06,3.5572247594911683e-06,4.709543673358632e-06,4.709543673358632e-06,4.709543673358632e-06,4.153416326425566e-06,4.153416326425566e-06,4.153416326425566e-06,4.153416326425566e-06,4.153416326425566e-06,4.153416326425566e-06,4.153416326425566e-06,3.5572247594911683e-06,4.60054332545389e-06,4.60054332545389e-06,4.60054332545389e-06,4.60054332545389e-06,4.60054332545389e-06,4.60054332545389e-06,4.60054332545389e-06,4.709543673358632e-06,4.709543673358632e-06,4.709543673358632e-06,3.5572247594911683e-06,4.709543673358632e-06,4.709543673358632e-06,4.709543673358632e-06,4.709543673358632e-06,3.5572247594911683e-06,3.362381127757318e-06,3.362381127757318e-06
CS,1.6529356263606916,1.3437021903104762,1.3437021903104762,1.3437021903104762,1.3437021903104762,1.3437021903104762,1.2766297179624084,1.2766297179624084,1.2766297179624084,1.2766297179624084,1.2766297179624084,1.6529356263606916,1.2766297179624084,1.2766297179624084,1.6474233630639703,1.6474233630639703,1.6474233630639703,1.6474233630639703,1.6474233630639703,1.6474233630639703,1.6474233630639703,1.391169718634261,1.6529356263606916,1.391169718634261,1.391169718634261,1.391169718634261,1.391169718634261,1.391169718634261,1.391169718634261,1.3342480828793588,1.3342480828793588,1.3342480828793588,1.3342480828793588,1.6529356263606916,1.3342480828793588,1.3342480828793588,1.3342480828793588,1.7512947675020956,1.7512947675020956,1.7512947675020956,1.7512947675020956,1.7512947675020956,1.7512947675020956,1.7512947675020956,1.6529356263606916,1.5460731872218731,1.5460731872218731,1.5460731872218731,1.5460731872218731,1.5460731872218731,1.5460731872218731,1.5460731872218731,1.3342480828793588,1.3342480828793588,1.3342480828793588,1.6529356263606916,1.3342480828793588,1.3342480828793588,1.3342480828793588,1.3342480828793588,1.6529356263606916,1.3437021903104762,1.3437021903104762
SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,1.6634238544499025,1.4297012263232942,1.4297012263232942,1.4297012263232942,1.4297012263232942,1.4297012263232942,1.3147733130439845,1.3147733130439845,1.3147733130439845,1.3147733130439845,1.3147733130439845,1.6634238544499025,1.3147733130439845,1.3147733130439845,1.7075997425313074,1.7075997425313074,1.7075997425313074,1.7075997425313074,1.7075997425313074,1.7075997425313074,1.7075997425313074,1.506320599499197,1.6634238544499025,1.506320599499197,1.506320599499197,1.506320599499197,1.506320599499197,1.506320599499197,1.506320599499197,1.2760903425684693,1.2760903425684693,1.2760903425684693,1.2760903425684693,1.6634238544499025,1.2760903425684693,1.2760903425684693,1.2760903425684693,1.8328577687460759,1.8328577687460759,1.8328577687460759,1.8328577687460759,1.8328577687460759,1.8328577687460759,1.8328577687460759,1.6634238544499025,1.598407878191479,1.598407878191479,1.598407878191479,1.598407878191479,1.598407878191479,1.598407878191479,1.598407878191479,1.2760903425684693,1.2760903425684693,1.2760903425684693,1.6634238544499025,1.2760903425684693,1.2760903425684693,1.2760903425684693,1.2760903425684693,1.6634238544499025,1.4297012263232942,1.4297012263232942
SDbw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XB*,11.595722704265068,4.5785873623446065,4.5785873623446065,4.5785873623446065,4.5785873623446065,4.5785873623446065,4.609795876910763,4.609795876910763,4.609795876910763,4.609795876910763,4.609795876910763,11.595722704265068,4.609795876910763,4.609795876910763,4.152789496758094,4.152789496758094,4.152789496758094,4.152789496758094,4.152789496758094,4.152789496758094,4.152789496758094,4.482684064867716,11.595722704265068,4.482684064867716,4.482684064867716,4.482684064867716,4.482684064867716,4.482684064867716,4.482684064867716,4.650214389770078,4.650214389770078,4.650214389770078,4.650214389770078,11.595722704265068,4.650214389770078,4.650214389770078,4.650214389770078,5.009252325151202,5.009252325151202,5.009252325151202,5.009252325151202,5.009252325151202,5.009252325151202,5.009252325151202,11.595722704265068,4.309302754154518,4.309302754154518,4.309302754154518,4.309302754154518,4.309302754154518,4.309302754154518,4.309302754154518,4.650214389770078,4.650214389770078,4.650214389770078,11.595722704265068,4.650214389770078,4.650214389770078,4.650214389770078,4.650214389770078,11.595722704265068,4.5785873623446065,4.5785873623446065
S,0.17870166897773743,0.165492981672287,0.165492981672287,0.165492981672287,0.165492981672287,0.165492981672287,0.11084623634815216,0.11084623634815216,0.11084623634815216,0.11084623634815216,0.11084623634815216,0.17870166897773743,0.11084623634815216,0.11084623634815216,0.18456675112247467,0.18456675112247467,0.18456675112247467,0.18456675112247467,0.18456675112247467,0.18456675112247467,0.18456675112247467,0.17961856722831726,0.17870166897773743,0.17961856722831726,0.17961856722831726,0.17961856722831726,0.17961856722831726,0.17961856722831726,0.17961856722831726,0.11455623060464859,0.11455623060464859,0.11455623060464859,0.11455623060464859,0.17870166897773743,0.11455623060464859,0.11455623060464859,0.11455623060464859,0.2032000720500946,0.2032000720500946,0.2032000720500946,0.2032000720500946,0.2032000720500946,0.2032000720500946,0.2032000720500946,0.17870166897773743,0.16204260289669037,0.16204260289669037,0.16204260289669037,0.16204260289669037,0.16204260289669037,0.16204260289669037,0.16204260289669037,0.11455623060464859,0.11455623060464859,0.11455623060464859,0.17870166897773743,0.11455623060464859,0.11455623060464859,0.11455623060464859,0.11455623060464859,0.17870166897773743,0.165492981672287,0.165492981672287
DB,2.000487298161671,1.8613070758684653,1.8613070758684653,1.8613070758684653,1.8613070758684653,1.8613070758684653,1.8410063509902073,1.8410063509902073,1.8410063509902073,1.8410063509902073,1.8410063509902073,2.000487298161671,1.8410063509902073,1.8410063509902073,2.022268174103298,2.022268174103298,2.022268174103298,2.022268174103298,2.022268174103298,2.022268174103298,2.022268174103298,1.9091403925374115,2.000487298161671,1.9091403925374115,1.9091403925374115,1.9091403925374115,1.9091403925374115,1.9091403925374115,1.9091403925374115,1.9006486809227552,1.9006486809227552,1.9006486809227552,1.9006486809227552,2.000487298161671,1.9006486809227552,1.9006486809227552,1.9006486809227552,2.093852281125916,2.093852281125916,2.093852281125916,2.093852281125916,2.093852281125916,2.093852281125916,2.093852281125916,2.000487298161671,1.9804799976766116,1.9804799976766116,1.9804799976766116,1.9804799976766116,1.9804799976766116,1.9804799976766116,1.9804799976766116,1.9006486809227552,1.9006486809227552,1.9006486809227552,2.000487298161671,1.9006486809227552,1.9006486809227552,1.9006486809227552,1.9006486809227552,2.000487298161671,1.8613070758684653,1.8613070758684653
CH,88.34443741063448,76.70252702252367,76.70252702252367,76.70252702252367,76.70252702252367,76.70252702252367,77.22734419183895,77.22734419183895,77.22734419183895,77.22734419183895,77.22734419183895,88.34443741063448,77.22734419183895,77.22734419183895,92.5652374207528,92.5652374207528,92.5652374207528,92.5652374207528,92.5652374207528,92.5652374207528,92.5652374207528,87.11117728398638,88.34443741063448,87.11117728398638,87.11117728398638,87.11117728398638,87.11117728398638,87.11117728398638,87.11117728398638,85.86692814939072,85.86692814939072,85.86692814939072,85.86692814939072,88.34443741063448,85.86692814939072,85.86692814939072,85.86692814939072,107.17366441614114,107.17366441614114,107.17366441614114,107.17366441614114,107.17366441614114,107.17366441614114,107.17366441614114,88.34443741063448,100.79751947152917,100.79751947152917,100.79751947152917,100.79751947152917,100.79751947152917,100.79751947152917,100.79751947152917,85.86692814939072,85.86692814939072,85.86692814939072,88.34443741063448,85.86692814939072,85.86692814939072,85.86692814939072,85.86692814939072,88.34443741063448,76.70252702252367,76.70252702252367
AD-S,0.47915381859354605,0.33443633009163104,0.33443633009163104,0.33443633009163104,0.33443633009163104,0.33443633009163104,0.23602455972748568,0.23602455972748568,0.23602455972748568,0.23602455972748568,0.23602455972748568,0.47915381859354605,0.23602455972748568,0.23602455972748568,0.47842518480930185,0.47842518480930185,0.47842518480930185,0.47842518480930185,0.47842518480930185,0.47842518480930185,0.47842518480930185,0.3747165893596335,0.47915381859354605,0.3747165893596335,0.3747165893596335,0.3747165893596335,0.3747165893596335,0.3747165893596335,0.3747165893596335,0.26122478502795776,0.26122478502795776,0.26122478502795776,0.26122478502795776,0.47915381859354605,0.26122478502795776,0.26122478502795776,0.26122478502795776,0.500453284902191,0.500453284902191,0.500453284902191,0.500453284902191,0.500453284902191,0.500453284902191,0.500453284902191,0.47915381859354605,0.37248770703278866,0.37248770703278866,0.37248770703278866,0.37248770703278866,0.37248770703278866,0.37248770703278866,0.37248770703278866,0.26122478502795776,0.26122478502795776,0.26122478502795776,0.47915381859354605,0.26122478502795776,0.26122478502795776,0.26122478502795776,0.26122478502795776,0.47915381859354605,0.33443633009163104,0.33443633009163104
AD-DB,1.6578983380098546,1.426241771565822,1.426241771565822,1.426241771565822,1.426241771565822,1.426241771565822,1.6025373948936916,1.6025373948936916,1.6025373948936916,1.6025373948936916,1.6025373948936916,1.6578983380098546,1.6025373948936916,1.6025373948936916,1.5501367521671707,1.5501367521671707,1.5501367521671707,1.5501367521671707,1.5501367521671707,1.5501367521671707,1.5501367521671707,1.3822200077488365,1.6578983380098546,1.3822200077488365,1.3822200077488365,1.3822200077488365,1.3822200077488365,1.3822200077488365,1.3822200077488365,1.6523780131448478,1.6523780131448478,1.6523780131448478,1.6523780131448478,1.6578983380098546,1.6523780131448478,1.6523780131448478,1.6523780131448478,1.3789431921729662,1.3789431921729662,1.3789431921729662,1.3789431921729662,1.3789431921729662,1.3789431921729662,1.3789431921729662,1.6578983380098546,1.4954041345937776,1.4954041345937776,1.4954041345937776,1.4954041345937776,1.4954041345937776,1.4954041345937776,1.4954041345937776,1.6523780131448478,1.6523780131448478,1.6523780131448478,1.6578983380098546,1.6523780131448478,1.6523780131448478,1.6523780131448478,1.6523780131448478,1.6578983380098546,1.426241771565822,1.426241771565822
