,labels_s2_DBSCAN_params1,labels_s2_DBSCAN_params10,labels_s2_DBSCAN_params11,labels_s2_DBSCAN_params12,labels_s2_DBSCAN_params13,labels_s2_DBSCAN_params14,labels_s2_DBSCAN_params15,labels_s2_DBSCAN_params16,labels_s2_DBSCAN_params17,labels_s2_DBSCAN_params18,labels_s2_DBSCAN_params19,labels_s2_DBSCAN_params20,labels_s2_DBSCAN_params24,labels_s2_DBSCAN_params5,labels_s2_DBSCAN_params6,labels_s2_DBSCAN_params7,labels_s2_DBSCAN_params8,labels_s2_DBSCAN_params9
SD,358223856.00729877,129509767.9867476,141526340.88444278,193632084.77263966,39907281.68468243,136869327.0469799,156185818.6984399,162881545.5998688,453573057.50335306,341201145.8059411,253923126.06155187,212258866.10267028,2158627185.8402658,49845066.23838115,193580191.67646173,251759049.1230503,626998117.1614176,30450610.573601663
SDbw,0.7700562511869975,0.158970111899833,0.18251535556519138,0.2886798034661902,0.09206714408250988,0.19397043809950265,0.2141901761542801,0.22005984182074606,0.534172309674156,0.43956384915893665,0.33714916719058724,0.2637388769972002,1.8378567876466767,0.15366504489288613,0.2970001502094719,0.43218026100214035,1.2547872003049751,0.11311428834329068
XB*,4.21096422224695,526.8247519229546,486.9267489596924,4.164361510485156,681.2046881150836,91.76526914594909,69.89301731902422,81.82229416797293,116.0280760090685,8.349166446093266,21.00024169239064,71.29835806063916,6.4916698414690215,5293.879729116551,4.253583447246531,4.147097662708534,4.1334987696616015,1427.6907813383912
S,-0.6106281318679593,-0.5308440719320892,-0.6128647587106473,-0.595858174667911,-0.07668700431282598,-0.07259417719271821,-0.16802623965920496,-0.2738793234426862,-0.16033152574386272,0.4971275811805327,0.4455911210823836,0.3864355024891262,0.06790019354046051,-0.703416158300224,-0.7013254367202731,-0.6749881073021071,-0.32196473699376954,-0.4227150377504082
DB,1.1766971168784102,1.7778627589789173,1.9214199933083718,1.130589963552433,1.6714941238680388,1.812029269680642,1.9464049257343683,2.062101011394563,1.6193154071192013,1.6390433153517654,1.8373555183261974,1.9443608287677938,3.2331075459183336,1.5465735529781486,1.1263400473433849,1.2223544179969252,1.420553884951535,1.4657743803379442
CH,6.935595911435913,57.54333303745054,49.616159718062256,57.18884917288676,140.64279261729618,232.08811674239573,191.81656125400121,154.6420703774612,435.3633188738084,2500.8626460595324,1661.9367548274768,1237.6069881013636,248.01592024248478,14.73296256285593,28.786262473981946,25.408621106177364,33.13738728663297,31.0554151142773
AD-S,-0.30302711608028104,-0.259926860080372,-0.3351509031560367,-0.3116128734259065,0.22287245374831663,0.11639918158639716,0.033753689256986824,-0.04717350128002608,0.2446641673943992,0.48321247322539995,0.4684280415372995,0.42586166141637266,0.32829419513788616,-0.40563897263537835,-0.3860795324807469,-0.33634528160188104,-0.10993217287768364,-0.12318906616531836
AD-DB,1.0475458762191445,1.2185669746010295,1.2600914748206056,1.1904176618446773,1.5259351407771717,1.47309113198673,1.3647291761302036,1.3362390859665942,1.5448955196589316,1.6906362913992607,1.6018778675354255,1.54207658656156,1.8094680110344579,1.2758324531225986,1.1429408036570776,1.1400686882764344,1.1104691228608663,1.3066204749874282
AD-CH,7.385688667885226,241.94272924929706,254.91990527217595,347.5450286821364,117.12997067865791,305.6156944363261,325.8205068305827,310.2277785024554,421.94935674398215,867.5143060556159,745.810253962172,671.7111559524125,1322.7313270354962,84.7809611372354,210.67068057501444,268.2112605664034,760.8951338235769,58.06659079657274
AD-idea,1.2228370726001152,266.343129110486,123.5305756930796,28.861562467328394,52734207.47986741,14607.287321430418,5894.888937147664,2746.9710230161913,101.93851910434978,28016.22148803374,102632.3647647547,68273.04199538796,4.49147584096033,26.21249872725539,9.249573570302553,3.5455632492293256,1.201270733984116,20338.14180410227
