,labels_wdbc_HDBSCAN_params1,labels_wdbc_HDBSCAN_params10,labels_wdbc_HDBSCAN_params11,labels_wdbc_HDBSCAN_params12,labels_wdbc_HDBSCAN_params13,labels_wdbc_HDBSCAN_params14,labels_wdbc_HDBSCAN_params2,labels_wdbc_HDBSCAN_params22,labels_wdbc_HDBSCAN_params23,labels_wdbc_HDBSCAN_params24,labels_wdbc_HDBSCAN_params25,labels_wdbc_HDBSCAN_params26,labels_wdbc_HDBSCAN_params27,labels_wdbc_HDBSCAN_params28,labels_wdbc_HDBSCAN_params3,labels_wdbc_HDBSCAN_params4,labels_wdbc_HDBSCAN_params5,labels_wdbc_HDBSCAN_params6,labels_wdbc_HDBSCAN_params7,labels_wdbc_HDBSCAN_params8,labels_wdbc_HDBSCAN_params9
CS,2.8712570289740604,2.7164286585035016,2.7164286585035016,2.7164286585035016,2.7164286585035016,2.7164286585035016,2.8712570289740604,2.8712570289740604,2.8712570289740604,2.8712570289740604,2.8712570289740604,2.8712570289740604,2.8712570289740604,2.8712570289740604,2.8712570289740604,2.8712570289740604,2.8712570289740604,2.8712570289740604,2.8712570289740604,2.7164286585035016,2.7164286585035016
SF,0.051862373884003055,0.06011334867694995,0.06011334867694995,0.06011334867694995,0.06011334867694995,0.06011334867694995,0.051862373884003055,0.051862373884003055,0.051862373884003055,0.051862373884003055,0.051862373884003055,0.051862373884003055,0.051862373884003055,0.051862373884003055,0.051862373884003055,0.051862373884003055,0.051862373884003055,0.051862373884003055,0.051862373884003055,0.06011334867694995,0.06011334867694995
SD,93.76784282168049,88.8776127309835,88.8776127309835,88.8776127309835,88.8776127309835,88.8776127309835,93.76784282168049,93.76784282168049,93.76784282168049,93.76784282168049,93.76784282168049,93.76784282168049,93.76784282168049,93.76784282168049,93.76784282168049,93.76784282168049,93.76784282168049,93.76784282168049,93.76784282168049,88.8776127309835,88.8776127309835
SDbw,0.9434447131122534,0.8533579488790974,0.8533579488790974,0.8533579488790974,0.8533579488790974,0.8533579488790974,0.9434447131122534,0.9434447131122534,0.9434447131122534,0.9434447131122534,0.9434447131122534,0.9434447131122534,0.9434447131122534,0.9434447131122534,0.9434447131122534,0.9434447131122534,0.9434447131122534,0.9434447131122534,0.9434447131122534,0.8533579488790974,0.8533579488790974
XB*,4.790109581352171,4.440221209154374,4.440221209154374,4.440221209154374,4.440221209154374,4.440221209154374,4.790109581352171,4.790109581352171,4.790109581352171,4.790109581352171,4.790109581352171,4.790109581352171,4.790109581352171,4.790109581352171,4.790109581352171,4.790109581352171,4.790109581352171,4.790109581352171,4.790109581352171,4.440221209154374,4.440221209154374
S,0.032452357552416815,0.014992512987249237,0.014992512987249237,0.014992512987249237,0.014992512987249237,0.014992512987249237,0.032452357552416815,0.032452357552416815,0.032452357552416815,0.032452357552416815,0.032452357552416815,0.032452357552416815,0.032452357552416815,0.032452357552416815,0.032452357552416815,0.032452357552416815,0.032452357552416815,0.032452357552416815,0.032452357552416815,0.014992512987249237,0.014992512987249237
DB,2.4582790279056255,2.297908635076216,2.297908635076216,2.297908635076216,2.297908635076216,2.297908635076216,2.4582790279056255,2.4582790279056255,2.4582790279056255,2.4582790279056255,2.4582790279056255,2.4582790279056255,2.4582790279056255,2.4582790279056255,2.4582790279056255,2.4582790279056255,2.4582790279056255,2.4582790279056255,2.4582790279056255,2.297908635076216,2.297908635076216
CH,63.29228738528812,63.26170906253003,63.26170906253003,63.26170906253003,63.26170906253003,63.26170906253003,63.29228738528812,63.29228738528812,63.29228738528812,63.29228738528812,63.29228738528812,63.29228738528812,63.29228738528812,63.29228738528812,63.29228738528812,63.29228738528812,63.29228738528812,63.29228738528812,63.29228738528812,63.26170906253003,63.26170906253003
AD-S,0.08547946410370286,0.08053877517378376,0.08053877517378376,0.08053877517378376,0.08053877517378376,0.08053877517378376,0.08547946410370286,0.08547946410370286,0.08547946410370286,0.08547946410370286,0.08547946410370286,0.08547946410370286,0.08547946410370286,0.08547946410370286,0.08547946410370286,0.08547946410370286,0.08547946410370286,0.08547946410370286,0.08547946410370286,0.08053877517378376,0.08053877517378376
AD-DB,2.2680451597712596,2.2249558607906446,2.2249558607906446,2.2249558607906446,2.2249558607906446,2.2249558607906446,2.2680451597712596,2.2680451597712596,2.2680451597712596,2.2680451597712596,2.2680451597712596,2.2680451597712596,2.2680451597712596,2.2680451597712596,2.2680451597712596,2.2680451597712596,2.2680451597712596,2.2680451597712596,2.2680451597712596,2.2249558607906446,2.2249558607906446
AD-CH,229.3709315358415,228.84649124035695,228.84649124035695,228.84649124035695,228.84649124035695,228.84649124035695,229.3709315358415,229.3709315358415,229.3709315358415,229.3709315358415,229.3709315358415,229.3709315358415,229.3709315358415,229.3709315358415,229.3709315358415,229.3709315358415,229.3709315358415,229.3709315358415,229.3709315358415,228.84649124035695,228.84649124035695
AD-idea,1.2878061039255104,1.3026008263968565,1.3026008263968565,1.3026008263968565,1.3026008263968565,1.3026008263968565,1.2878061039255104,1.2878061039255104,1.2878061039255104,1.2878061039255104,1.2878061039255104,1.2878061039255104,1.2878061039255104,1.2878061039255104,1.2878061039255104,1.2878061039255104,1.2878061039255104,1.2878061039255104,1.2878061039255104,1.3026008263968565,1.3026008263968565
