,labels_s1_DBSCAN_params1,labels_s1_DBSCAN_params10,labels_s1_DBSCAN_params11,labels_s1_DBSCAN_params12,labels_s1_DBSCAN_params13,labels_s1_DBSCAN_params14,labels_s1_DBSCAN_params15,labels_s1_DBSCAN_params16,labels_s1_DBSCAN_params17,labels_s1_DBSCAN_params18,labels_s1_DBSCAN_params19,labels_s1_DBSCAN_params20,labels_s1_DBSCAN_params21,labels_s1_DBSCAN_params22,labels_s1_DBSCAN_params23,labels_s1_DBSCAN_params24,labels_s1_DBSCAN_params5,labels_s1_DBSCAN_params6,labels_s1_DBSCAN_params7,labels_s1_DBSCAN_params8,labels_s1_DBSCAN_params9
CS,0.7354305867009733,0.5867290039891455,0.373876437691184,0.3630749787332351,0.9196883564582188,0.9735848523087638,0.6389928074957334,0.48239014478752396,1.293305462873766,0.9261433684874008,0.8850092931234494,0.8574273842635007,0.8751724837903069,1.393348191357504,1.5295030583637406,1.6465397884254915,1.1707292866338292,0.3574133703989676,0.43278896522640303,1.4828084152549992,0.9574824113121545
SF,0.39383077377599496,0.33058773246377016,0.35160264892119497,0.3579566515975253,0.13087611436222424,0.22730676422687357,0.26908301241095944,0.3003599531957716,0.12797160595493695,0.16523599699955782,0.17074409130034973,0.17687246997557982,0.2600392491087702,0.13249101272030606,0.10939649943609797,0.10414757023402632,0.34459788889293463,0.3753183991586868,0.3828755465118775,0.3927215335754658,0.1974279415788851
SD,276390535.7203729,97267823.07155064,139769687.27944985,139583518.945999,44474812.92550472,84424825.79533301,115290571.56260055,142263567.08153424,285857851.63322675,186452157.21996003,181197216.9520502,175934932.08698192,281420250.61873096,478966050.9364266,519678819.42477775,563423929.040757,54132466.9154756,148753778.19544384,202838037.54581192,739978694.3846024,23826073.356458154
SDbw,0.7385080317795873,0.3380403428232491,0.43377248209819635,0.47670720169719016,0.13501366414407714,0.21327965046551256,0.20204235540625987,0.25864632414567496,0.42184592474609195,0.2317018701643847,0.2253813600804811,0.2201064019008238,0.43879415441196223,0.5313938476145135,0.6063157435556572,0.63408305878955,0.3627914700321405,0.5151357964960509,0.5977346292866385,1.3029284300075776,0.14907337495760697
XB*,31447.453830007384,924.4095743009981,7.659335862186922,7.383444296793027,658.9453462116021,556.607920397098,117.73726704998916,7.979499740566492,11.535061534726045,9.372383688419163,8.619190036266152,8.524152829202013,1.319172632108432,23.66171523292832,6.639877987692811,34.29644629456585,4903.0302311076275,7.391579942158454,7.6883493031381995,7.768344487282242,1787.7897247959067
S,-0.6027261681326267,-0.4957727313884416,-0.532470273838781,-0.5822922717880458,0.10355393160024837,0.006733690465073762,-0.06130787215196317,-0.14542163466550834,0.47856416552877634,0.6740964680301225,0.6522184323207036,0.6306265090910977,0.31402484606421843,0.41818464277159767,0.49006050484916197,0.4897974760822819,-0.6592932385035483,-0.704248080739101,-0.6636389131300378,-0.3007123772902297,-0.33020768404588996
DB,1.4159737058712603,1.3044915753935842,1.3199384319185485,1.3163243854570883,1.3383767023074944,1.5880917738589573,1.340207677832554,1.3459895081740558,1.544182535044186,1.522060431195211,1.513623837116934,1.496664317433233,0.6509063002164864,2.338547610471315,1.7030039349233812,2.6804179463589652,1.1397254964859014,1.340872687487523,1.5171386207751654,2.0778577643401444,1.2098155567521398
CH,6.444491690548094,73.0264283655323,78.86889946857583,65.89120647387736,329.38488923400075,276.30028373087896,251.14831134460027,225.95114196654075,4007.5937339413945,5198.379006704211,3735.916269866568,2990.292082706981,2216.719672780501,3149.890343534746,4603.529198531639,4583.737016324523,24.855621022343996,34.2813642130927,28.431059472091672,45.83467730159587,43.763745686149434
AD-S,-0.3886086261295714,-0.4119438266652297,-0.44890189748519344,-0.496923525613206,0.29901712072132614,0.09845929885670998,-0.0020137802820527156,-0.08234418552746428,0.5758290094427703,0.6978871333966972,0.6837127356722243,0.66314981267171,0.40970118781728176,0.48803334257556225,0.5228448621751746,0.5227570068476968,-0.5627806790341027,-0.5836038603120088,-0.4969249205087286,-0.1488629066408293,-0.20119157722065412
AD-DB,1.1425654961594272,1.257100193894078,1.1856462994200636,1.182271491474067,1.286810244386638,1.3539819521348786,1.2874040051390434,1.2065841279781915,1.3345116148286098,1.3748131909333354,1.2720626231931993,1.2762522770821108,1.0528274541385054,1.0549331612382835,1.3509970980395225,1.2676603075375668,1.1677073157885363,1.1617595104329863,1.2496961257781811,1.5851873759984956,1.2791752025585692
AD-CH,6.970311732975638,74.71817953456008,81.75819558694938,68.86106084103444,252.32352364811788,254.60901252639263,244.64823356292578,225.80377318473418,1397.0600334472867,1824.74375057856,1623.5004917887363,1490.081250691736,1155.9932516786153,1333.7846050377445,1493.2646381960185,1492.8286156162383,25.46401416761936,38.000155344718564,32.83625110045756,55.60503419192911,42.61337471305653
AD-idea,1.2725149507529832,1668.6938161456599,2890.3067291182424,1249.7929196582975,1584305900.378684,4068969.25929087,591685.4106630317,520377.210368324,5574879.733862287,1193211654.3447597,1176971040.9282835,1102114426.8335042,600.518065035399,1206.138763278666,8351.889697744726,8344.778388062725,47.61689800666776,70.42968735838326,8.284861918935855,1.2100406832204758,9779496.818700183
