,labels_zigzag_outliers_DBSCAN_params1,labels_zigzag_outliers_DBSCAN_params11,labels_zigzag_outliers_DBSCAN_params12,labels_zigzag_outliers_DBSCAN_params16,labels_zigzag_outliers_DBSCAN_params17,labels_zigzag_outliers_DBSCAN_params18,labels_zigzag_outliers_DBSCAN_params19,labels_zigzag_outliers_DBSCAN_params21,labels_zigzag_outliers_DBSCAN_params22,labels_zigzag_outliers_DBSCAN_params23,labels_zigzag_outliers_DBSCAN_params24,labels_zigzag_outliers_DBSCAN_params26,labels_zigzag_outliers_DBSCAN_params27,labels_zigzag_outliers_DBSCAN_params28,labels_zigzag_outliers_DBSCAN_params29,labels_zigzag_outliers_DBSCAN_params31,labels_zigzag_outliers_DBSCAN_params32,labels_zigzag_outliers_DBSCAN_params33,labels_zigzag_outliers_DBSCAN_params34,labels_zigzag_outliers_DBSCAN_params35,labels_zigzag_outliers_DBSCAN_params36,labels_zigzag_outliers_DBSCAN_params37,labels_zigzag_outliers_DBSCAN_params38,labels_zigzag_outliers_DBSCAN_params39,labels_zigzag_outliers_DBSCAN_params40,labels_zigzag_outliers_DBSCAN_params41,labels_zigzag_outliers_DBSCAN_params42,labels_zigzag_outliers_DBSCAN_params43,labels_zigzag_outliers_DBSCAN_params44,labels_zigzag_outliers_DBSCAN_params45,labels_zigzag_outliers_DBSCAN_params46,labels_zigzag_outliers_DBSCAN_params47,labels_zigzag_outliers_DBSCAN_params48,labels_zigzag_outliers_DBSCAN_params49,labels_zigzag_outliers_DBSCAN_params50,labels_zigzag_outliers_DBSCAN_params51,labels_zigzag_outliers_DBSCAN_params52,labels_zigzag_outliers_DBSCAN_params53,labels_zigzag_outliers_DBSCAN_params6,labels_zigzag_outliers_DBSCAN_params7
B,9.904717026304886e-06,0.002395285407485722,0.0008020520650456786,0.006588661407565325,0.004625189521906325,0.0023711337678171446,0.006540974644211844,0.16568059087855183,0.07770901959723961,0.0031675823733852667,0.010042281224909532,0.2878613494070358,0.2835711136012403,0.006506618095792304,0.010042281224909532,0.2878613494070358,0.2878613494070358,0.2878613494070358,0.010042281224909532,0.010042281224909532,0.2878613494070358,0.2878613494070358,0.2878613494070358,0.05062946649664201,0.010042281224909532,0.2878613494070358,0.2878613494070358,0.2878613494070358,1.4692348650952365,0.010042281224909532,0.25027926060405215,0.25027926060405215,0.25027926060405215,1.5191187194185996,0.032587309159444446,0.20457263928036462,0.20457263928036462,0.20457263928036462,5.82670434719393e-05,1.8495372868477286e-05
BH,2.7206608210862476e-05,0.009291527576917214,0.006245096016832368,0.03269887633945004,0.027115933805564017,0.07639228001162712,0.09122956975380023,5.75757648272284,2.0668315778618394,0.07296384469776218,0.16876529129077844,12.447963784782281,12.216708374003417,0.08147086661990044,0.16876529129077844,12.447963784782281,12.447963784782281,12.447963784782281,0.16876529129077844,0.16876529129077844,12.447963784782281,12.447963784782281,12.447963784782281,0.5381787967737621,0.16876529129077844,12.447963784782281,12.447963784782281,12.447963784782281,20.74405792152341,0.16876529129077844,17.166980015569482,17.166980015569482,17.166980015569482,34.33013745146838,0.5383542258189004,26.46279170522681,26.46279170522681,26.46279170522681,0.00013948304917152133,0.00015150395415654014
D,78.56231144477954,0.17632622456844993,0.2237265702471599,0.21476822026184478,0.30043587468676436,3.7488976724491327,4.866513905865356,0.08598992414594343,0.25947628891660024,2.509130883197367,3.200759446898388,0.13730712317486746,0.1405305100451429,0.35740190097778185,3.200759446898388,0.13730712317486746,0.13730712317486746,0.13730712317486746,3.200759446898388,3.200759446898388,0.13730712317486746,0.13730712317486746,0.13730712317486746,1.0694588305995352,3.200759446898388,0.13730712317486746,0.13730712317486746,0.13730712317486746,0.13730712317486746,3.200759446898388,0.19861671474740347,0.19861671474740347,0.19861671474740347,0.19861671474740347,1.1414262106858368,0.5201774559537701,0.5201774559537701,0.5201774559537701,0.7301097328694777,1.3927629789637586
H,5.841367940428789e-05,0.7843099319247571,0.7633234512959102,1.515003095832332,0.7016601443584479,0.009260251348974994,0.0063732483825825435,1.1548940706481357,0.9381962407211377,0.020055578320524063,0.009793214944490664,0.7454724312695844,0.7499603642110583,0.3077143543121302,0.009793214944490664,0.7454724312695844,0.7454724312695844,0.7454724312695844,0.009793214944490664,0.009793214944490664,0.7454724312695844,0.7454724312695844,0.7454724312695844,0.16617756158597746,0.009793214944490664,0.7454724312695844,0.7454724312695844,0.7454724312695844,0.7451083752908311,0.009793214944490664,0.5734748775712077,0.5734748775712077,0.5734748775712077,0.5731148335105123,0.030369234131711886,0.18790325901695396,0.18790325901695396,0.18790325901695396,0.3555042030614283,0.0541697008778583
DBCV,0.9999964684472561,0.720952844451918,0.5521354582350474,0.8459741315203242,0.9425791327067826,0.9974990740345179,0.9981283184663483,0.40179179064053283,0.3768107533589164,0.9952715378040374,0.9958311207043615,0.8427588238285278,0.9025777723521902,0.931373143335703,0.9958311207043615,0.8427588238285278,0.8427588238285278,0.8427588238285278,0.9958311207043615,0.9958311207043615,0.8427588238285278,0.8427588238285278,0.8427588238285278,0.9739512092701258,0.9958311207043615,0.8427588238285278,0.8427588238285278,0.8427588238285278,0.8240006322160537,0.9958311207043615,0.49079254140068634,0.49079254140068634,0.49079254140068634,0.42979839589687124,0.6449560012074954,0.7315846605823826,0.7315846605823826,0.7315846605823826,0.9465758496752703,0.9660095622803047
I,39257.44188271211,14.905930831188686,100.26558868233575,1.6375265753919455,5.300798919351171,70.73720879847376,15.685725260824393,0.8501287620583599,1.4434562135375468,41.037263795747904,10.898863773436437,0.6989811742575406,0.7058894696956785,8.692501105701576,10.898863773436437,0.6989811742575406,0.6989811742575406,0.6989811742575406,10.898863773436437,10.898863773436437,0.6989811742575406,0.6989811742575406,0.6989811742575406,1.1876519620920793,10.898863773436437,0.6989811742575406,0.6989811742575406,0.6989811742575406,0.14773532475645063,10.898863773436437,0.8142293627189362,0.8142293627189362,0.8142293627189362,0.09670066168563508,5.226283140620512,1.0043536258978156,1.0043536258978156,1.0043536258978156,1264.8146113566527,33000.143123512826
C,3.2779326729989426e-19,0.004973727590258735,0.003587130691871432,0.0034260170608578526,0.001636633189337276,0.0,1.0931670936875385e-17,0.17213021697004208,0.04979837385236694,-7.952817597361573e-18,0.0,0.311586271196502,0.3084746461441107,0.0015030640242640768,0.0,0.311586271196502,0.311586271196502,0.311586271196502,0.0,0.0,0.311586271196502,0.311586271196502,0.311586271196502,0.00035453790113038774,0.0,0.311586271196502,0.311586271196502,0.311586271196502,0.44258370345039344,0.0,0.2926889029337389,0.2926889029337389,0.2926889029337389,0.4757015796426763,0.002140760337032113,0.14142219293007216,0.14142219293007216,0.14142219293007216,0.00015310348602848916,0.0
CDbw,1118.2093100523625,99.04824345508905,62.48271636510172,5.550505755436921,9.494869562430193,41.93069810491765,4.528891171681898,11.988521902972897,9.187372383018475,40.76698018321225,2.141406752187856,16.22340632372651,16.22793399903649,12.03876877653634,2.141406752187856,16.22340632372651,16.22340632372651,16.22340632372651,2.141406752187856,2.141406752187856,16.22340632372651,16.22340632372651,16.22340632372651,1.4251251080286618,2.141406752187856,16.22340632372651,16.22340632372651,16.22340632372651,1.0413958663702596,2.141406752187856,20.963328625640372,20.963328625640372,20.963328625640372,0.47983499867883417,0.5605404285649155,28.196038338766428,28.196038338766428,28.196038338766428,127.65204695638067,333.08681295132186
VIASCKDE,0.4389627437594236,0.4929710355918018,0.45628690064358696,0.5765945362821372,0.601451347372014,0.6900877960690013,0.6199907119963526,0.7031820887484853,0.673150216696559,0.6961596311007979,0.7337981838812366,0.7017976399250975,0.6943542713165454,0.6485770944649546,0.7337981838812366,0.7017976399250975,0.7017976399250975,0.7017976399250975,0.7337981838812366,0.7337981838812366,0.7017976399250975,0.7017976399250975,0.7017976399250975,0.6917129453936629,0.7337981838812366,0.7017976399250975,0.7017976399250975,0.7017976399250975,0.7142918168990626,0.7337981838812366,0.5273163321993223,0.5273163321993223,0.5273163321993223,0.5188725565532544,0.7607827951272754,0.560273903166322,0.560273903166322,0.560273903166322,0.4434368790946264,0.5235782908183245
COP,0.11971122684689016,0.122394427314409,0.18296952051753393,0.10710542061900281,0.09637698125126418,0.17666863182889375,0.18655099952284082,0.17509021615614928,0.1364556675620094,0.09623872372796316,0.18100693811734467,0.16442448168132684,0.16690973145986568,0.08533292384042086,0.18100693811734467,0.16442448168132684,0.16442448168132684,0.16442448168132684,0.18100693811734467,0.18100693811734467,0.16442448168132684,0.16442448168132684,0.16442448168132684,0.14558485818141553,0.18100693811734467,0.16442448168132684,0.16442448168132684,0.16442448168132684,0.18059080860329652,0.18100693811734467,0.17847729623893538,0.17847729623893538,0.17847729623893538,0.19558482222762397,0.09687574140330342,0.2121703643797174,0.2121703643797174,0.2121703643797174,0.18442657487421765,0.17475575626557555
