,labels_twodiamonds_SpectralClustering_params1,labels_twodiamonds_SpectralClustering_params10,labels_twodiamonds_SpectralClustering_params11,labels_twodiamonds_SpectralClustering_params12,labels_twodiamonds_SpectralClustering_params13,labels_twodiamonds_SpectralClustering_params14,labels_twodiamonds_SpectralClustering_params15,labels_twodiamonds_SpectralClustering_params16,labels_twodiamonds_SpectralClustering_params17,labels_twodiamonds_SpectralClustering_params18,labels_twodiamonds_SpectralClustering_params19,labels_twodiamonds_SpectralClustering_params2,labels_twodiamonds_SpectralClustering_params20,labels_twodiamonds_SpectralClustering_params21,labels_twodiamonds_SpectralClustering_params22,labels_twodiamonds_SpectralClustering_params23,labels_twodiamonds_SpectralClustering_params24,labels_twodiamonds_SpectralClustering_params25,labels_twodiamonds_SpectralClustering_params26,labels_twodiamonds_SpectralClustering_params27,labels_twodiamonds_SpectralClustering_params28,labels_twodiamonds_SpectralClustering_params29,labels_twodiamonds_SpectralClustering_params3,labels_twodiamonds_SpectralClustering_params30,labels_twodiamonds_SpectralClustering_params31,labels_twodiamonds_SpectralClustering_params32,labels_twodiamonds_SpectralClustering_params33,labels_twodiamonds_SpectralClustering_params34,labels_twodiamonds_SpectralClustering_params35,labels_twodiamonds_SpectralClustering_params36,labels_twodiamonds_SpectralClustering_params4,labels_twodiamonds_SpectralClustering_params5,labels_twodiamonds_SpectralClustering_params6,labels_twodiamonds_SpectralClustering_params7,labels_twodiamonds_SpectralClustering_params8,labels_twodiamonds_SpectralClustering_params9
I,0.2906646859780411,0.5956624319764171,0.5956624319764171,0.5956624319764171,0.5059063785096215,0.5059063785096218,0.42993366441522624,0.42896064962369573,0.4350289213322385,0.4347726001610729,0.36644165406467016,0.2906646859780411,0.3543637300273786,0.36644165406467016,0.3543637300273786,0.36644165406467016,0.3543637300273786,0.597081475244346,0.5922220639538713,0.5059362872844477,0.5029439898614436,0.5169044461516941,0.5956624319764171,0.48389542583419926,0.5027546546641187,0.5027576743141158,0.5027546546641187,0.5027576743141158,0.5027546546641187,0.5027576743141158,0.5956624319764171,0.5953716445179806,0.5953716445179806,0.5956624319764171,0.5956624319764171,0.5956624319764171
C,0.36217145016796004,0.10054043514698989,0.10054043514698989,0.10054043514698989,0.09847355456916826,0.09847355456916826,0.11087407804724492,0.1107919381531063,0.10985196046024302,0.10968560680684741,0.13071818402094965,0.36217145016796004,0.12514996239131046,0.13071818402094965,0.12514996239131046,0.13071818402094965,0.12514996239131046,0.1035508503525293,0.1036450541682505,0.06989754686288552,0.06988339389789525,0.06834047680048541,0.10054043514698989,0.06697529173227611,0.06699366865848813,0.0669366470817762,0.06699366865848813,0.0669366470817762,0.06699366865848813,0.0669366470817762,0.10054043514698989,0.10063354278706792,0.10063354278706792,0.10054043514698989,0.10054043514698989,0.10054043514698989
CDbw,0.3470876851068653,0.10456355536302142,0.10407742511833905,0.10456355536302142,1.020925159585224,0.3421993875525282,0.09672761455555891,0.09595239804515436,0.08159039802602841,0.0955928876427684,0.017364831558144608,0.3470876851068653,0.021224220551489068,0.017364831558144608,0.021224220551489068,0.017364831558144608,0.021224220551489068,0.18507221251359343,0.18699511160396004,0.06207262436251033,0.06459667357481658,0.09474761402650772,0.10407742511833905,0.0390963711310425,0.09489530841146239,0.04848774276105898,0.09489530841146239,0.04848774276105898,0.09489530841146239,0.04848774276105898,0.10456355536302142,0.10819819512354804,0.10915843678116668,0.10407742511833905,0.10456355536302142,0.10407742511833905
VIASCKDE,0.6599021974790577,0.6273969681296703,0.6273969681296703,0.6273969681296703,0.6237960752258669,0.6237960752258669,0.6090894459135275,0.6087076981200906,0.605968600258813,0.6087822752616056,0.5840016691889435,0.6599021974790577,0.5775477638817906,0.5840016691889435,0.5775477638817906,0.5840016691889435,0.5775477638817906,0.6068794446284024,0.606884230658747,0.5809885591197886,0.5767982805690631,0.5665654152020727,0.6273969681296703,0.5660903415005794,0.5705069673448413,0.5714523756578397,0.5705069673448413,0.5714523756578397,0.5705069673448413,0.5714523756578397,0.6273969681296703,0.6271754726652455,0.6271754726652455,0.6273969681296703,0.6273969681296703,0.6273969681296703
COP,0.32371557320021843,0.3031636805638746,0.3031636805638746,0.3031636805638746,0.30101978520727635,0.30101978520727635,0.24966372248899396,0.24992643626207972,0.2493944896022963,0.24993903741541082,0.25194036409693465,0.32371557320021843,0.2556338951012341,0.25194036409693465,0.2556338951012341,0.25194036409693465,0.2556338951012341,0.2599491225751094,0.2602156645758707,0.2277411382044841,0.22769701957897787,0.22884744850828437,0.3031636805638746,0.22759727358756565,0.22310173204670206,0.22693930451086747,0.22310173204670206,0.22693930451086747,0.22310173204670206,0.22693930451086747,0.3031636805638746,0.3029511677373671,0.3029511677373671,0.3031636805638746,0.3031636805638746,0.3031636805638746
Sym,0.03199561478838999,0.05384924013241848,0.05384924013241848,0.05384924013241848,0.04353629151996847,0.04353629151996847,0.02401248516406217,0.023885515251049646,0.024364219461113133,0.024264098560443932,0.01598852412414255,0.03199561478838999,0.015511189668191623,0.01598852412414255,0.015511189668191623,0.01598852412414255,0.015511189668191623,0.02804910623846105,0.027897385778463606,0.015188968252122948,0.0150230932025269,0.015306484865768267,0.05384924013241848,0.01502081100834141,0.014906802971021059,0.014910442211310881,0.014906802971021059,0.014910442211310881,0.014906802971021059,0.014910442211310881,0.05384924013241848,0.05307899274642702,0.05307899274642702,0.05384924013241848,0.05384924013241848,0.05384924013241848
CS,0.8523906345785258,1.3479259993630959,1.3479259993630959,1.3479259993630959,0.9572036116311775,0.9572036116311777,1.2123650258842167,1.215750913709181,1.2018605868733365,1.2111947894340163,1.2120823998103174,0.8523906345785258,1.2423066091314392,1.2120823998103174,1.2423066091314392,1.2120823998103174,1.2423066091314392,0.9239319523652089,0.9288813840717536,1.169710699450367,1.1738683577287625,1.1717880242789391,1.3479259993630959,1.1909831681175718,1.1836722503671329,1.1823103023079038,1.1836722503671329,1.1823103023079038,1.1836722503671329,1.1823103023079038,1.3479259993630959,1.3480955980516687,1.3480955980516687,1.3479259993630959,1.3479259993630959,1.3479259993630959
SF,0.3947655099381371,0.38029995292911933,0.38029995292911933,0.38029995292911933,0.35955064294463557,0.35955064294463557,0.330511862310932,0.3302685473093646,0.3327262532751438,0.3321402374930561,0.2891791649700719,0.3947655099381371,0.2873307033989224,0.2891791649700719,0.2873307033989224,0.2891791649700719,0.2873307033989224,0.318001591024739,0.31737270933710937,0.2885826727601083,0.28838777009338545,0.2898364446711029,0.38029995292911933,0.28899139311622124,0.28964045714910647,0.2896119658830515,0.28964045714910647,0.2896119658830515,0.28964045714910647,0.2896119658830515,0.38029995292911933,0.38025307670816777,0.38025307670816777,0.38029995292911933,0.38029995292911933,0.38029995292911933
SD,811648.4343210835,882181.857377843,882181.857377843,882181.857377843,570825.2201614366,570825.2201614366,516708.12123769807,518076.58687098953,511399.56956854055,514355.0125105648,659921.3590754006,811648.4343210835,676306.5462422281,659921.3590754006,676306.5462422281,659921.3590754006,676306.5462422281,373438.2212205398,375353.7755574903,341222.5151432644,341883.98415800824,339538.94902008976,882181.857377843,341431.87304373854,339771.30604976474,339783.49333534914,339771.30604976474,339783.49333534914,339771.30604976474,339783.49333534914,882181.857377843,882298.0116220217,882298.0116220217,882181.857377843,882181.857377843,882181.857377843
SDbw,1.3644861756769777,1.3572097734317103,1.3572097734317103,1.3572097734317103,0.8558409776330494,0.8558409776330494,1.1477432265340899,1.1490409141852218,1.1117755706513797,1.1194885654380626,1.2244255028795408,1.3644861756769777,1.2184046182236707,1.2244255028795408,1.2184046182236707,1.2244255028795408,1.2184046182236707,0.7456329416795567,0.7452984896282032,0.8426771590491077,0.8493329669165286,0.8461550845458371,1.3572097734317103,0.8728940104379369,0.8617505256795188,0.862498105136611,0.8617505256795188,0.862498105136611,0.8617505256795188,0.862498105136611,1.3572097734317103,1.357281015831889,1.357281015831889,1.3572097734317103,1.3572097734317103,1.3572097734317103
