,labels_mk2_KMeans_params1,labels_mk2_KMeans_params10,labels_mk2_KMeans_params11,labels_mk2_KMeans_params12,labels_mk2_KMeans_params13,labels_mk2_KMeans_params14,labels_mk2_KMeans_params15,labels_mk2_KMeans_params16,labels_mk2_KMeans_params17,labels_mk2_KMeans_params18,labels_mk2_KMeans_params19,labels_mk2_KMeans_params2,labels_mk2_KMeans_params20,labels_mk2_KMeans_params21,labels_mk2_KMeans_params22,labels_mk2_KMeans_params23,labels_mk2_KMeans_params24,labels_mk2_KMeans_params25,labels_mk2_KMeans_params26,labels_mk2_KMeans_params27,labels_mk2_KMeans_params28,labels_mk2_KMeans_params29,labels_mk2_KMeans_params3,labels_mk2_KMeans_params30,labels_mk2_KMeans_params31,labels_mk2_KMeans_params32,labels_mk2_KMeans_params33,labels_mk2_KMeans_params34,labels_mk2_KMeans_params35,labels_mk2_KMeans_params36,labels_mk2_KMeans_params37,labels_mk2_KMeans_params38,labels_mk2_KMeans_params39,labels_mk2_KMeans_params4,labels_mk2_KMeans_params40,labels_mk2_KMeans_params41,labels_mk2_KMeans_params42,labels_mk2_KMeans_params43,labels_mk2_KMeans_params44,labels_mk2_KMeans_params45,labels_mk2_KMeans_params46,labels_mk2_KMeans_params47,labels_mk2_KMeans_params48,labels_mk2_KMeans_params49,labels_mk2_KMeans_params5,labels_mk2_KMeans_params50,labels_mk2_KMeans_params51,labels_mk2_KMeans_params52,labels_mk2_KMeans_params53,labels_mk2_KMeans_params54,labels_mk2_KMeans_params6,labels_mk2_KMeans_params7,labels_mk2_KMeans_params8,labels_mk2_KMeans_params9
B,0.7272129739423333,0.7272129739423333,0.7272129739423333,0.7272129739423333,0.7272129739423333,0.7272129739423333,0.7272129739423333,0.7272129739423333,0.7272129739423333,0.7272129739423333,0.4063943961763133,0.7272129739423333,0.4063943961763133,0.40608382412822097,0.40608382412822097,0.40608382412822097,0.40608382412822097,0.4063943961763133,0.4063943961763133,0.40608382412822097,0.40608382412822097,0.40608382412822097,0.7272129739423333,0.40608382412822097,0.4063943961763133,0.4063943961763133,0.40608382412822097,0.40608382412822097,0.40608382412822097,0.40608382412822097,0.27053699904143647,0.27053699904143647,0.270379717134312,0.7272129739423333,0.270379717134312,0.270379717134312,0.270379717134312,0.27053699904143647,0.27053699904143647,0.270379717134312,0.270379717134312,0.270379717134312,0.270379717134312,0.27053699904143647,0.7272129739423333,0.27053699904143647,0.270379717134312,0.270379717134312,0.270379717134312,0.270379717134312,0.7272129739423333,0.7272129739423333,0.7272129739423333,0.7272129739423333
BH,141.22157418437706,141.22157418437706,141.22157418437706,141.22157418437706,141.22157418437706,141.22157418437706,141.22157418437706,141.22157418437706,141.22157418437706,141.22157418437706,60.06604598359729,141.22157418437706,60.06604598359729,60.05506574299029,60.05506574299029,60.05506574299029,60.05506574299029,60.06604598359729,60.06604598359729,60.05506574299029,60.05506574299029,60.05506574299029,141.22157418437706,60.05506574299029,60.06604598359729,60.06604598359729,60.05506574299029,60.05506574299029,60.05506574299029,60.05506574299029,31.66116406407853,31.66116406407853,31.65633151437634,141.22157418437706,31.65633151437634,31.65633151437634,31.65633151437634,31.66116406407853,31.66116406407853,31.65633151437634,31.65633151437634,31.65633151437634,31.65633151437634,31.66116406407853,141.22157418437706,31.66116406407853,31.65633151437634,31.65633151437634,31.65633151437634,31.65633151437634,141.22157418437706,141.22157418437706,141.22157418437706,141.22157418437706
D,0.3069364985725517,0.3069364985725517,0.3069364985725517,0.3069364985725517,0.3069364985725517,0.3069364985725517,0.3069364985725517,0.3069364985725517,0.3069364985725517,0.3069364985725517,0.279379801030501,0.3069364985725517,0.279379801030501,0.2791301893642208,0.2791301893642208,0.2791301893642208,0.2791301893642208,0.279379801030501,0.279379801030501,0.2791301893642208,0.2791301893642208,0.2791301893642208,0.3069364985725517,0.2791301893642208,0.279379801030501,0.279379801030501,0.2791301893642208,0.2791301893642208,0.2791301893642208,0.2791301893642208,0.28831478025194596,0.28831478025194596,0.29492742354682083,0.3069364985725517,0.29492742354682083,0.29492742354682083,0.29492742354682083,0.28831478025194596,0.28831478025194596,0.29492742354682083,0.29492742354682083,0.29492742354682083,0.29492742354682083,0.28831478025194596,0.3069364985725517,0.28831478025194596,0.29492742354682083,0.29492742354682083,0.29492742354682083,0.29492742354682083,0.3069364985725517,0.3069364985725517,0.3069364985725517,0.3069364985725517
H,0.5325368535750139,0.5325368535750139,0.5325368535750139,0.5325368535750139,0.5325368535750139,0.5325368535750139,0.5325368535750139,0.5325368535750139,0.5325368535750139,0.5325368535750139,0.5325519433630137,0.5325368535750139,0.5325519433630137,0.5324762584408969,0.5324762584408969,0.5324762584408969,0.5324762584408969,0.5325519433630137,0.5325519433630137,0.5324762584408969,0.5324762584408969,0.5324762584408969,0.5325368535750139,0.5324762584408969,0.5325519433630137,0.5325519433630137,0.5324762584408969,0.5324762584408969,0.5324762584408969,0.5324762584408969,0.6647173258221167,0.6647173258221167,0.664205679240497,0.5325368535750139,0.664205679240497,0.664205679240497,0.664205679240497,0.6647173258221167,0.6647173258221167,0.664205679240497,0.664205679240497,0.664205679240497,0.664205679240497,0.6647173258221167,0.5325368535750139,0.6647173258221167,0.664205679240497,0.664205679240497,0.664205679240497,0.664205679240497,0.5325368535750139,0.5325368535750139,0.5325368535750139,0.5325368535750139
DBCV,-0.9636297608814405,-0.9636297608814405,-0.9636297608814405,-0.9636297608814405,-0.9636297608814405,-0.9636297608814405,-0.9636297608814405,-0.9636297608814405,-0.9636297608814405,-0.9636297608814405,-0.9711423686022016,-0.9636297608814405,-0.9711423686022016,-0.9630811495879509,-0.9630811495879509,-0.9630811495879509,-0.9630811495879509,-0.9711423686022016,-0.9711423686022016,-0.9630811495879509,-0.9630811495879509,-0.9630811495879509,-0.9636297608814405,-0.9630811495879509,-0.9711423686022016,-0.9711423686022016,-0.9630811495879509,-0.9630811495879509,-0.9630811495879509,-0.9630811495879509,-0.9466261000904828,-0.9466261000904828,-0.9840604663027693,-0.9636297608814405,-0.9840604663027693,-0.9840604663027693,-0.9840604663027693,-0.9466261000904828,-0.9466261000904828,-0.9840604663027693,-0.9840604663027693,-0.9840604663027693,-0.9840604663027693,-0.9466261000904828,-0.9636297608814405,-0.9466261000904828,-0.9840604663027693,-0.9840604663027693,-0.9840604663027693,-0.9840604663027693,-0.9636297608814405,-0.9636297608814405,-0.9636297608814405,-0.9636297608814405
I,0.3535131494889155,0.3535131494889155,0.3535131494889155,0.3535131494889155,0.3535131494889155,0.3535131494889155,0.3535131494889155,0.3535131494889155,0.3535131494889155,0.3535131494889155,0.3073214746479127,0.3535131494889155,0.3073214746479127,0.3070014344120445,0.3070014344120445,0.3070014344120445,0.3070014344120445,0.3073214746479127,0.3073214746479127,0.3070014344120445,0.3070014344120445,0.3070014344120445,0.3535131494889155,0.3070014344120445,0.3073214746479127,0.3073214746479127,0.3070014344120445,0.3070014344120445,0.3070014344120445,0.3070014344120445,0.3617767023658822,0.3617767023658822,0.36115025419392094,0.3535131494889155,0.36115025419392094,0.36115025419392094,0.36115025419392094,0.3617767023658822,0.3617767023658822,0.36115025419392094,0.36115025419392094,0.36115025419392094,0.36115025419392094,0.3617767023658822,0.3535131494889155,0.3617767023658822,0.36115025419392094,0.36115025419392094,0.36115025419392094,0.36115025419392094,0.3535131494889155,0.3535131494889155,0.3535131494889155,0.3535131494889155
C,0.18812915352825763,0.18812915352825763,0.18812915352825763,0.18812915352825763,0.18812915352825763,0.18812915352825763,0.18812915352825763,0.18812915352825763,0.18812915352825763,0.18812915352825763,0.11825376616053257,0.18812915352825763,0.11825376616053257,0.11812794623895445,0.11812794623895445,0.11812794623895445,0.11812794623895445,0.11825376616053257,0.11825376616053257,0.11812794623895445,0.11812794623895445,0.11812794623895445,0.18812915352825763,0.11812794623895445,0.11825376616053257,0.11825376616053257,0.11812794623895445,0.11812794623895445,0.11812794623895445,0.11812794623895445,0.08552367906223059,0.08552367906223059,0.08547838336748952,0.18812915352825763,0.08547838336748952,0.08547838336748952,0.08547838336748952,0.08552367906223059,0.08552367906223059,0.08547838336748952,0.08547838336748952,0.08547838336748952,0.08547838336748952,0.08552367906223059,0.18812915352825763,0.08552367906223059,0.08547838336748952,0.08547838336748952,0.08547838336748952,0.08547838336748952,0.18812915352825763,0.18812915352825763,0.18812915352825763,0.18812915352825763
CDbw,0.016430803123579852,0.016430803123579852,0.016430803123579852,0.016430803123579852,0.016430803123579852,0.016430803123579852,0.016430803123579852,0.016430803123579852,0.016430803123579852,0.016430803123579852,0.020204496510284012,0.016430803123579852,0.020204496510284012,0.02018203556488303,0.02018203556488303,0.02018203556488303,0.02018203556488303,0.020204496510284012,0.020204496510284012,0.02018203556488303,0.02018203556488303,0.02018203556488303,0.016430803123579852,0.02018203556488303,0.020204496510284012,0.020204496510284012,0.02018203556488303,0.02018203556488303,0.02018203556488303,0.02018203556488303,0.06497792107992677,0.06497792107992677,0.06555919344093558,0.016430803123579852,0.06555919344093558,0.06555919344093558,0.06555919344093558,0.06497792107992677,0.06497792107992677,0.06555919344093558,0.06555919344093558,0.06555919344093558,0.06555919344093558,0.06497792107992677,0.016430803123579852,0.06497792107992677,0.06555919344093558,0.06555919344093558,0.06555919344093558,0.06555919344093558,0.016430803123579852,0.016430803123579852,0.016430803123579852,0.016430803123579852
VIASCKDE,0.6296639853310977,0.6296639853310977,0.6296639853310977,0.6296639853310977,0.6296639853310977,0.6296639853310977,0.6296639853310977,0.6296639853310977,0.6296639853310977,0.6296639853310977,0.601506672545897,0.6296639853310977,0.601506672545897,0.6027959099344762,0.6027959099344762,0.6027959099344762,0.6027959099344762,0.601506672545897,0.601506672545897,0.6027959099344762,0.6027959099344762,0.6027959099344762,0.6296639853310977,0.6027959099344762,0.601506672545897,0.601506672545897,0.6027959099344762,0.6027959099344762,0.6027959099344762,0.6027959099344762,0.582635083873288,0.582635083873288,0.5850859304823576,0.6296639853310977,0.5850859304823576,0.5850859304823576,0.5850859304823576,0.582635083873288,0.582635083873288,0.5850859304823576,0.5850859304823576,0.5850859304823576,0.5850859304823576,0.582635083873288,0.6296639853310977,0.582635083873288,0.5850859304823576,0.5850859304823576,0.5850859304823576,0.5850859304823576,0.6296639853310977,0.6296639853310977,0.6296639853310977,0.6296639853310977
COP,0.2680403586820131,0.2680403586820131,0.2680403586820131,0.2680403586820131,0.2680403586820131,0.2680403586820131,0.2680403586820131,0.2680403586820131,0.2680403586820131,0.2680403586820131,0.28224417244528743,0.2680403586820131,0.28224417244528743,0.28251628893759695,0.28251628893759695,0.28251628893759695,0.28251628893759695,0.28224417244528743,0.28224417244528743,0.28251628893759695,0.28251628893759695,0.28251628893759695,0.2680403586820131,0.28251628893759695,0.28224417244528743,0.28224417244528743,0.28251628893759695,0.28251628893759695,0.28251628893759695,0.28251628893759695,0.3458750153854208,0.3458750153854208,0.3482582867327382,0.2680403586820131,0.3482582867327382,0.3482582867327382,0.3482582867327382,0.3458750153854208,0.3458750153854208,0.3482582867327382,0.3482582867327382,0.3482582867327382,0.3482582867327382,0.3458750153854208,0.2680403586820131,0.3458750153854208,0.3482582867327382,0.3482582867327382,0.3482582867327382,0.3482582867327382,0.2680403586820131,0.2680403586820131,0.2680403586820131,0.2680403586820131
