,labels_statlog_DBSCAN_params11,labels_statlog_DBSCAN_params16,labels_statlog_DBSCAN_params21,labels_statlog_DBSCAN_params22,labels_statlog_DBSCAN_params26,labels_statlog_DBSCAN_params27,labels_statlog_DBSCAN_params31,labels_statlog_DBSCAN_params32,labels_statlog_DBSCAN_params33,labels_statlog_DBSCAN_params36,labels_statlog_DBSCAN_params37,labels_statlog_DBSCAN_params38,labels_statlog_DBSCAN_params39,labels_statlog_DBSCAN_params41,labels_statlog_DBSCAN_params42,labels_statlog_DBSCAN_params43,labels_statlog_DBSCAN_params44,labels_statlog_DBSCAN_params46,labels_statlog_DBSCAN_params47,labels_statlog_DBSCAN_params48,labels_statlog_DBSCAN_params49,labels_statlog_DBSCAN_params51,labels_statlog_DBSCAN_params52,labels_statlog_DBSCAN_params53,labels_statlog_DBSCAN_params54,labels_statlog_DBSCAN_params55
COP,0.417304652952738,0.4437180239351742,0.4463571797008517,0.44744891926125935,0.4376733139134562,0.45205953288558687,0.42250940269359705,0.43105420090213453,0.43273101249611395,0.41382003319884175,0.39773700898522824,0.4257042361214402,0.4405998080490859,0.42299283334686477,0.40625264586359155,0.4243125270311909,0.43402554175091035,0.4189653616119944,0.41881166217532384,0.41258855433321395,0.42804756593788545,0.4829593998907427,0.4825440880873085,0.4242820752916107,0.4070808623463752,0.4112105018546101
Sym,0.00014447119949363688,5.292035373296983e-05,3.4832564190980956e-05,8.218449672964545e-05,1.815202632122821e-05,3.452129379754273e-05,1.786769427948203e-05,3.1326823697554105e-05,5.895249251632752e-05,2.7530205517937862e-05,3.931374915022892e-05,7.769228610614194e-05,7.568192086360112e-05,4.937553351561744e-05,5.534294118869556e-05,8.105569536356773e-05,8.611341362845293e-05,0.0001002986688667499,0.00011511354135266072,0.00011196719942859184,0.0001830114684408739,0.0001713050769262975,0.0002552678370024277,0.00036417232519755764,0.00037695126039995354,0.0003150885829817156
CS,1.6834274421710143,0.9671504541770279,0.5561655209350629,1.2650063628132548,0.5625947586413355,0.8320286823707368,0.7416825417303866,0.7354046788871461,1.0091417658601631,0.8415043542727018,0.9115396197203273,1.0507020038334332,1.3035363195684964,0.9988517241056857,1.1325644892362696,0.944706767030445,1.2604889392317504,1.064967053668153,1.1820796289514206,1.3096221662668601,1.3742147656596801,1.2233827744436987,1.5780005436400149,1.7497025021960417,1.7221070559989098,1.325485018174401
SF,0.17311676389394848,0.13547084608745097,0.04490565815030911,0.13974822358961836,0.0021386247924961577,0.05105883622653584,3.7623964642685692e-06,0.0011263487909765058,0.046755747740771736,8.94886595936839e-08,2.5160391784795344e-05,0.006393326476220373,0.09218446861646612,1.275169980718971e-08,1.132406522330598e-06,0.0009142534388614232,0.026642797863233314,5.633023569817652e-07,5.530407083398359e-06,0.00014028599822413224,0.015488704611819837,3.3641152696772814e-05,0.00047749230967908396,0.002939060169839247,0.006764872717843429,0.008965980883863134
SD,27361.44098487652,6944.220903964946,2878.2111790304143,11956.016265702927,1779.2717035796118,4411.977671000616,1603.018800954108,2702.9831923914703,7194.203359681282,2764.9258575144977,3741.280117114041,7618.282069278908,14815.219068504224,4418.953055186758,5529.901942314942,8597.863729276009,13648.758968328948,7609.307403297646,10406.32390540564,11995.733466859052,20823.796618481687,16137.063342387435,22091.652580893435,29738.087821830213,29484.31481905729,29366.914164413804
SDbw,1.0304168081578629,0.29541780509175386,0.06753202330552739,0.37827687316668945,0.026404394895756824,0.13265360541916713,inf,0.04534651663867327,0.17922901656422222,inf,0.05381986068240026,0.13340134330642717,0.5131945067752072,inf,0.07640506397698488,0.11233207044300052,0.27160379276670127,inf,inf,0.16889653364659896,0.31334545555272875,inf,0.2818710713594841,0.4089638499984327,0.474465039765287,0.4239072499530711
XB*,14.369382706234765,62.738529503736245,240.78961957032772,162.82832883492296,266.4904793585042,194.26602530593667,156.7147338216054,91.55901679291787,38.144367923063214,57.07214101869564,42.10097594782227,32.970480816414366,19.367822489415623,28.66029156234139,40.76040531111866,11.114471233122034,15.540022220297937,14.419021075063206,12.671386243101285,10.16846695425205,3.8766227122971904,10.07149917826316,7.430609317246991,6.776206219550039,6.423760729409999,4.509400701871278
S,-0.05749216676755997,-0.41234167804593486,-0.5653620717915674,-0.4095238569317153,-0.4939563118909849,-0.46328622269821595,-0.2748301721997552,-0.4049572528750657,-0.3477029404224042,-0.1637832757405786,-0.2066212356690726,-0.332636212974135,-0.23987562984665067,-0.06649553869936725,-0.0916988083303803,-0.2144187774691995,-0.2713379171153396,-0.07154020886547771,-0.036977005938020065,-0.10112286914098687,-0.1493344036305988,-0.15219929541378402,-0.10361903974914383,-0.04726440055711111,0.014116026488165697,0.01708859469969054
DB,0.9512368452108949,1.382722080940897,1.258892432700121,1.683722973411722,1.3384871397020501,1.3734103909368334,1.2997020206538852,1.3459209006708412,1.2398873542482844,1.3965973613154339,1.2803647413606642,1.3851361594232632,1.2940690049217152,1.479920609311346,1.5294168821446654,1.4508675602879182,1.5084664078065415,1.5337846886484792,1.6137627400292958,1.6356402170403452,1.4021905740458642,1.6878227124291807,1.864822332894436,2.02098371284678,2.0620498310249973,1.7016414461211669
CH,2.9031525686635717,2.9838395156200384,3.8381247766092015,4.303283503114195,4.623742861104766,5.918818219229684,13.384932381991515,12.698398090832898,15.294736914886041,30.086617764615834,36.67926093505428,31.294849123038567,20.00282282409331,63.606800796743066,66.39373465427582,63.14241598792046,39.11293724261468,118.03733077650058,134.69832196395177,120.09590645504164,111.57950589204623,163.75129221139676,254.41918710676836,395.2438986769845,386.5019364376829,318.9290071062585
AD-S,0.16858282474991543,-0.043863473641913835,-0.21370511294762584,-0.06254298498939341,-0.23763964242283583,-0.08799550258626856,-0.02833468661519117,-0.1774517683444938,-0.04075828375526789,0.10000718649294259,0.03323812080510061,-0.04936833766414013,-0.018586518196107748,0.1936003457498391,0.12903290568890374,-0.035032266102547095,0.016740881227539094,0.25758495514799923,0.18893584132442393,0.04948751475995586,0.022876732308720595,0.4683307549956521,0.4584007543433577,0.4964890831211476,0.29130500666474485,0.09343444407999321
AD-DB,1.515214417120358,2.1501113420256894,2.1586006804163547,2.3958484319023228,2.2370969621321044,2.417498907360565,2.0759403077678265,2.272513480699032,2.4826974004582323,2.0895687611297893,2.004552885299348,2.424742791180811,2.594102104462023,2.14168835745339,2.086574772522478,2.36320850752305,2.911333514995317,1.8234481343010254,1.9292087954759776,1.8188689616696916,2.780623356024498,1.511469457255406,1.5070015306444426,1.6197275037077854,1.6032425951400768,1.8810276009165328
AD-CH,2.0095674328044377,65.10371053107826,22.312562219971785,118.65418189642917,11.344177818934437,36.98921572074459,14.216010678290955,21.451918476640213,9.049687731978892,24.49734028517055,33.85600553573864,20.532445347957324,12.736930591035796,43.03304502345586,53.918447262387865,66.41456928824368,23.82979143082774,81.97330731049603,104.98766266319996,118.06806746436617,72.07931555663822,190.6420803642165,304.9665875202302,501.33379483078187,524.7118128641299,377.1499902887088
AD-idea,1.0131803124749308,1.2849971122930657,4.907324583459815,1.0689973930444738,653.0796090288243,2.4556272884053008,7318298.943852291,1185.360949855072,2.507791373417006,1528428314.8091242,1016271.6835146302,11.707254086852288,1.293190472862453,202014573.96465486,694836.2008795001,294.73333729294063,1.848728480859249,29163879.51488729,220758.69191883338,583.9289976031197,2.5350240263507087,2464.496941325453,6805.317154929107,277.6741257754652,74.75097304536398,12.618848509941435
