,labels_ecoli_SpectralClustering_params1,labels_ecoli_SpectralClustering_params10,labels_ecoli_SpectralClustering_params11,labels_ecoli_SpectralClustering_params12,labels_ecoli_SpectralClustering_params13,labels_ecoli_SpectralClustering_params14,labels_ecoli_SpectralClustering_params15,labels_ecoli_SpectralClustering_params16,labels_ecoli_SpectralClustering_params17,labels_ecoli_SpectralClustering_params18,labels_ecoli_SpectralClustering_params19,labels_ecoli_SpectralClustering_params2,labels_ecoli_SpectralClustering_params20,labels_ecoli_SpectralClustering_params21,labels_ecoli_SpectralClustering_params22,labels_ecoli_SpectralClustering_params23,labels_ecoli_SpectralClustering_params24,labels_ecoli_SpectralClustering_params25,labels_ecoli_SpectralClustering_params26,labels_ecoli_SpectralClustering_params27,labels_ecoli_SpectralClustering_params28,labels_ecoli_SpectralClustering_params29,labels_ecoli_SpectralClustering_params3,labels_ecoli_SpectralClustering_params30,labels_ecoli_SpectralClustering_params31,labels_ecoli_SpectralClustering_params32,labels_ecoli_SpectralClustering_params33,labels_ecoli_SpectralClustering_params34,labels_ecoli_SpectralClustering_params35,labels_ecoli_SpectralClustering_params36,labels_ecoli_SpectralClustering_params37,labels_ecoli_SpectralClustering_params38,labels_ecoli_SpectralClustering_params39,labels_ecoli_SpectralClustering_params4,labels_ecoli_SpectralClustering_params40,labels_ecoli_SpectralClustering_params41,labels_ecoli_SpectralClustering_params42,labels_ecoli_SpectralClustering_params43,labels_ecoli_SpectralClustering_params44,labels_ecoli_SpectralClustering_params45,labels_ecoli_SpectralClustering_params46,labels_ecoli_SpectralClustering_params47,labels_ecoli_SpectralClustering_params48,labels_ecoli_SpectralClustering_params49,labels_ecoli_SpectralClustering_params5,labels_ecoli_SpectralClustering_params50,labels_ecoli_SpectralClustering_params51,labels_ecoli_SpectralClustering_params52,labels_ecoli_SpectralClustering_params53,labels_ecoli_SpectralClustering_params54,labels_ecoli_SpectralClustering_params55,labels_ecoli_SpectralClustering_params56,labels_ecoli_SpectralClustering_params57,labels_ecoli_SpectralClustering_params58,labels_ecoli_SpectralClustering_params59,labels_ecoli_SpectralClustering_params6,labels_ecoli_SpectralClustering_params60,labels_ecoli_SpectralClustering_params7,labels_ecoli_SpectralClustering_params8,labels_ecoli_SpectralClustering_params9
B,0.18938332258344864,0.1262708255360018,0.10327966419033108,0.1262708255360018,0.19678764405000232,0.1853262900082138,0.1816534076707145,0.18319956691841185,0.4635532109729229,0.4465684972601479,0.12384398296941689,0.18117121948195367,0.13059530308872033,0.12384398296941689,0.13059530308872033,0.12384398296941689,0.13059530308872033,0.1882337748137044,0.18804132003356722,0.18552606612917508,0.2113296754604383,0.42985741348702794,0.17734094687662075,0.4353625585370021,0.1329884660287742,0.13365006723605113,0.1329884660287742,0.13365006723605113,0.1329884660287742,0.13365006723605113,0.19429807889348014,0.19181204594915488,0.18752943006694225,0.17876964219160132,0.1881756196725666,0.3837379397529103,0.3926019439753415,0.10367751318181948,0.13301607254180872,0.10367751318181948,0.13301607254180872,0.10367751318181948,0.13301607254180872,0.18892302007059725,0.529696925184725,0.1875972472778167,0.18357706880163116,0.18418116300010254,0.37703725524650716,0.40245628390919563,0.10162567220454793,0.14292375007716684,0.10162567220454793,0.14292375007716684,0.10162567220454793,0.523371973474302,0.14292375007716684,0.10327966419033108,0.1262708255360018,0.10327966419033108
BH,15.214338730507498,15.09137459284858,17.00341877660037,15.09137459284858,11.85013424501059,11.12424679804209,10.904136196545627,10.943197803764292,15.315949652588634,14.655226721430859,19.35293661109616,14.262236950809454,11.893128676724645,19.35293661109616,11.893128676724645,19.35293661109616,11.893128676724645,9.196678181901039,9.160996613334252,8.999712036568994,9.278864459022515,12.503965797231741,14.153731865222765,12.427312903293718,16.231820079846774,9.726226548732916,16.231820079846774,9.726226548732916,16.231820079846774,9.726226548732916,7.916126450901272,7.77714296412972,7.705324198226139,14.09304809764727,7.700263755929894,10.083672546714915,10.151232217075504,10.225719072005205,7.901625529101842,10.225719072005205,7.901625529101842,10.225719072005205,7.901625529101842,6.771287567094632,19.757157107743122,6.669663547832012,6.6397100165330105,6.603733583213478,9.07385666526451,9.371739963608949,8.16529488411413,7.056262950159983,8.16529488411413,7.056262950159983,8.16529488411413,19.25084223949438,7.056262950159983,17.00341877660037,15.09137459284858,17.00341877660037
D,0.18113183035331631,0.20968144842508446,0.3275329382434532,0.20968144842508446,0.11764744274731159,0.11742227372736412,0.15128429741623264,0.1505222312413977,0.0956065223687764,0.10404296603844622,0.31689830861964347,0.17376434153302653,0.21800832709063572,0.31689830861964347,0.21800832709063572,0.31689830861964347,0.21800832709063572,0.15442372585350253,0.13699215965683603,0.12229222644974569,0.09181573763936599,0.09197788305594969,0.1493382407478402,0.10666073565399958,0.1690979703196738,0.20367548220842224,0.1690979703196738,0.20367548220842224,0.1690979703196738,0.20367548220842224,0.12228025120369244,0.11890095890186063,0.11460552505199366,0.1493382407478402,0.10266039302537418,0.09220649953954081,0.08560451546000013,0.23106242009987218,0.15011653182939974,0.23106242009987218,0.15011653182939974,0.23106242009987218,0.15011653182939974,0.10367415364089778,0.12150875382153768,0.10867793224891512,0.10266039302537418,0.10266039302537418,0.0916950652723956,0.09223754634135743,0.16483255728514484,0.14898020101302054,0.16483255728514484,0.14898020101302054,0.16483255728514484,0.10512619188633486,0.14898020101302054,0.3275329382434532,0.20968144842508446,0.3275329382434532
H,1.3529935843156637,1.4702002261663925,1.0613420901570845,1.4702002261663925,2.238399727958693,2.2455580014069056,2.1782719971808984,2.223048127352573,2.6632270184281364,2.469943528408028,1.3409301507390008,1.4770505790343083,1.8344190508603808,1.3409301507390008,1.8344190508603808,1.3409301507390008,1.8344190508603808,2.293116456820268,2.316517508358888,2.2620927717771657,2.4882446367203626,2.8553750312509845,1.473224449676252,2.8389713350476704,1.554032120318485,2.2145972597061196,1.554032120318485,2.2145972597061196,1.554032120318485,2.2145972597061196,2.8483295418829373,2.8303454857300894,2.721348656767931,1.5050889540802275,2.7657906177944898,3.0792096535865205,3.056811797786611,1.8635433314687717,2.6108206084616867,1.8635433314687717,2.6108206084616867,1.8635433314687717,2.6108206084616867,3.5071628473463954,2.1903598034723917,3.5296248528631646,3.3664385798991003,3.3936635438002627,3.7037808859806702,3.9887781399985767,2.583628478373752,3.0124233925694437,2.583628478373752,3.0124233925694437,2.583628478373752,2.303026489286074,3.0124233925694437,1.0613420901570845,1.4702002261663925,1.0613420901570845
DBCV,-0.6035822875040775,-0.5765865828110941,-0.755530122789594,-0.5765865828110941,-0.643159128338853,-0.6750217075196504,-0.638020883912897,-0.6605024502887414,-0.8754622502864728,-0.7960347599507502,-0.6125221994360553,-0.631180627534798,-0.6426660486764383,-0.6125221994360553,-0.6426660486764383,-0.6125221994360553,-0.6426660486764383,-0.6850083973635217,-0.7271796521323888,-0.6938881668207336,-0.7056980096792842,-0.7806913605388466,-0.6174077986837359,-0.7713504138470147,-0.6295097352805835,-0.7067208691218705,-0.6295097352805835,-0.7067208691218705,-0.6295097352805835,-0.7067208691218705,-0.6234799277710401,-0.6070215192213425,-0.645300152156168,-0.6093984121523794,-0.6654631740557427,-0.7746933214233005,-0.7675467830058684,-0.68230385384963,-0.7102732558817351,-0.68230385384963,-0.7102732558817351,-0.68230385384963,-0.7102732558817351,-0.6745522357177043,-0.8005371853196572,-0.6379687637351895,-0.6323155670137369,-0.6495585581197244,-0.76224361731916,-0.7994352096730075,-0.7181500932614019,-0.724484292044678,-0.7181500932614019,-0.724484292044678,-0.7181500932614019,-0.7804136457977745,-0.724484292044678,-0.755530122789594,-0.5765865828110941,-0.755530122789594
I,0.49778398242054533,0.5520455421816964,0.5023347299650923,0.5520455421816964,0.40520679867121195,0.4270530310651771,0.44141294437033124,0.43985186466556486,0.21288137570374488,0.21268517638527382,0.3023172394030039,0.5180063760635659,0.44235816365963787,0.3023172394030039,0.44235816365963787,0.3023172394030039,0.44235816365963787,0.361660124545869,0.3634791252802903,0.3797069180805948,0.3320598546462897,0.17320581189656215,0.5238769155197475,0.17130493683523487,0.250270412126882,0.3823709517068231,0.250270412126882,0.3823709517068231,0.250270412126882,0.3823709517068231,0.3088131284053626,0.31913792480175396,0.32527195125763686,0.5256104826541111,0.32791731068687396,0.14816394253299073,0.15031501031583355,0.3016025527532513,0.34855206846439934,0.3016025527532513,0.34855206846439934,0.3016025527532513,0.34855206846439934,0.26567167015207266,0.25658111480680773,0.271430457945815,0.2793905218729552,0.2809686646079141,0.13916691564597033,0.13851195514161296,0.2766124486853553,0.2856834443621222,0.2766124486853553,0.2856834443621222,0.2766124486853553,0.2630852703320411,0.2856834443621222,0.5023347299650923,0.5520455421816964,0.5023347299650923
C,0.08125551782372703,0.06590042481006644,0.056126236340762664,0.06590042481006644,0.09761802181677377,0.0858333863390986,0.07997694092872755,0.08067269089708592,0.12923707145189633,0.11297428323515159,0.1017427341025914,0.06437174786861705,0.06390368086277491,0.1017427341025914,0.06390368086277491,0.1017427341025914,0.06390368086277491,0.08955024963440772,0.08911103804598276,0.08500544809577223,0.08265056526116728,0.12337866061961038,0.06336552654803211,0.11932403990346163,0.1502728001447518,0.08896396704288216,0.1502728001447518,0.08896396704288216,0.1502728001447518,0.08896396704288216,0.09413653579099175,0.09205842717633375,0.09057622499006461,0.06112035497695716,0.09075999638015605,0.1062709291413538,0.10683997782104639,0.08587829324044548,0.09311426974496308,0.08587829324044548,0.09311426974496308,0.08587829324044548,0.09311426974496308,0.09301059726231235,0.16134108767167335,0.08990613845735175,0.09196255913701483,0.09059396695915825,0.11690546850530553,0.12262686979411239,0.11081226103235146,0.09626097863076215,0.11081226103235146,0.09626097863076215,0.11081226103235146,0.14562353487777666,0.09626097863076215,0.056126236340762664,0.06590042481006644,0.056126236340762664
VIASCKDE,0.07578210265551692,0.07019529611172012,,0.07019529611172012,0.05938501142128503,0.05870653389619712,0.06862947592709763,0.07064643788310765,0.057456812674920116,0.05099137456808393,,0.07815718929219681,0.07377729766608097,,0.07377729766608097,,0.07377729766608097,0.06592855279268744,0.06546195947553303,0.06839504154097914,0.05718771785825866,0.06044340512931555,0.07710505946221453,0.061764615423031986,,0.06702909802047663,,0.06702909802047663,,0.06702909802047663,0.07444898736847712,0.07258693825024057,0.072012634156759,0.07550452385257958,0.07252044550211145,0.0627071942824821,0.06260909571789179,,0.06790651402811108,,0.06790651402811108,,0.06790651402811108,0.07221054808536027,0.056587256149120864,0.0717404116962715,0.06342751252875968,0.07152395370628659,0.0700697180477566,0.07253450604354332,,0.06524431403546012,,0.06524431403546012,,0.042790050456868935,0.06524431403546012,,0.07019529611172012,
COP,0.2959265311734213,0.32406317699512827,0.3260644898279813,0.32406317699512827,0.29737815634305853,0.29249525531740067,0.29943062728324543,0.3002891585738369,0.27768872534622424,0.3116330595596551,0.3771394655527487,0.2998985432680618,0.3419165592964689,0.3771394655527487,0.3419165592964689,0.3771394655527487,0.3419165592964689,0.3212857811624707,0.3204181442203744,0.31955175040294154,0.315425086075074,0.31216836556462607,0.2882069886835379,0.31279667828509694,0.33474085021399513,0.32670409843381115,0.33474085021399513,0.32670409843381115,0.33474085021399513,0.32670409843381115,0.32161219156838206,0.32024411449201,0.32084966694823097,0.29791549273577245,0.3186653082912147,0.309517108868134,0.32202234975099703,0.31099850855427913,0.3195355919265658,0.31099850855427913,0.3195355919265658,0.31099850855427913,0.3195355919265658,0.3336822679249539,0.3005575760437266,0.33154773970856266,0.3318061251319094,0.3321328581070491,0.32971292581850864,0.32022686119797455,0.3321871748289439,0.3348496297209931,0.3321871748289439,0.3348496297209931,0.3321871748289439,0.2986752052492665,0.3348496297209931,0.3260644898279813,0.32406317699512827,0.3260644898279813
Sym,0.0069525252422695276,0.007715270548189492,0.007491392607931103,0.007715270548189492,0.006295308450490983,0.0065326340016556746,0.006894429451149683,0.006835534191872413,0.0028977545946573353,0.0031975392805089578,0.005524420928461175,0.007356127961405965,0.006990045540227209,0.005524420928461175,0.006990045540227209,0.005524420928461175,0.006990045540227209,0.006181146734260615,0.006177274180236183,0.0062944773827805865,0.005503197026972664,0.002707640047626407,0.0074971203778627276,0.002702487272784014,0.0047841513179899715,0.006362739471603439,0.0047841513179899715,0.006362739471603439,0.0047841513179899715,0.006362739471603439,0.0056444195912124665,0.005716842675146844,0.005736323685504227,0.007481075796429378,0.005727521537017193,0.003148715691248012,0.0030519236148080268,0.005767746519150031,0.00609509391901301,0.005767746519150031,0.00609509391901301,0.005767746519150031,0.00609509391901301,0.005223333661153537,0.003140744539665722,0.005294911637535878,0.00533116833078258,0.00528627400348635,0.002633185777854458,0.002344050241133199,0.005394585306788849,0.005357100981966469,0.005394585306788849,0.005357100981966469,0.005394585306788849,0.0032433723124539555,0.005357100981966469,0.007491392607931103,0.007715270548189492,0.007491392607931103
