,labels_a2_HDBSCAN_params1,labels_a2_HDBSCAN_params10,labels_a2_HDBSCAN_params11,labels_a2_HDBSCAN_params12,labels_a2_HDBSCAN_params13,labels_a2_HDBSCAN_params14,labels_a2_HDBSCAN_params15,labels_a2_HDBSCAN_params16,labels_a2_HDBSCAN_params17,labels_a2_HDBSCAN_params18,labels_a2_HDBSCAN_params19,labels_a2_HDBSCAN_params2,labels_a2_HDBSCAN_params20,labels_a2_HDBSCAN_params21,labels_a2_HDBSCAN_params22,labels_a2_HDBSCAN_params23,labels_a2_HDBSCAN_params24,labels_a2_HDBSCAN_params25,labels_a2_HDBSCAN_params26,labels_a2_HDBSCAN_params27,labels_a2_HDBSCAN_params28,labels_a2_HDBSCAN_params29,labels_a2_HDBSCAN_params3,labels_a2_HDBSCAN_params30,labels_a2_HDBSCAN_params31,labels_a2_HDBSCAN_params32,labels_a2_HDBSCAN_params33,labels_a2_HDBSCAN_params34,labels_a2_HDBSCAN_params35,labels_a2_HDBSCAN_params36,labels_a2_HDBSCAN_params37,labels_a2_HDBSCAN_params38,labels_a2_HDBSCAN_params39,labels_a2_HDBSCAN_params4,labels_a2_HDBSCAN_params40,labels_a2_HDBSCAN_params41,labels_a2_HDBSCAN_params42,labels_a2_HDBSCAN_params43,labels_a2_HDBSCAN_params44,labels_a2_HDBSCAN_params45,labels_a2_HDBSCAN_params46,labels_a2_HDBSCAN_params47,labels_a2_HDBSCAN_params48,labels_a2_HDBSCAN_params49,labels_a2_HDBSCAN_params5,labels_a2_HDBSCAN_params50,labels_a2_HDBSCAN_params51,labels_a2_HDBSCAN_params52,labels_a2_HDBSCAN_params53,labels_a2_HDBSCAN_params54,labels_a2_HDBSCAN_params55,labels_a2_HDBSCAN_params56,labels_a2_HDBSCAN_params57,labels_a2_HDBSCAN_params58,labels_a2_HDBSCAN_params59,labels_a2_HDBSCAN_params6,labels_a2_HDBSCAN_params60,labels_a2_HDBSCAN_params61,labels_a2_HDBSCAN_params62,labels_a2_HDBSCAN_params63,labels_a2_HDBSCAN_params64,labels_a2_HDBSCAN_params65,labels_a2_HDBSCAN_params66,labels_a2_HDBSCAN_params67,labels_a2_HDBSCAN_params68,labels_a2_HDBSCAN_params69,labels_a2_HDBSCAN_params7,labels_a2_HDBSCAN_params70,labels_a2_HDBSCAN_params71,labels_a2_HDBSCAN_params72,labels_a2_HDBSCAN_params8,labels_a2_HDBSCAN_params9
B,1.6260909194148403,1.448706421129553,1.448706421129553,1.448706421129553,0.9437529634757265,0.8856644632809453,1.3805807099191107,1.3805807099191107,1.3805807099191107,1.3805807099191107,1.4683819234129571,2.107311699206588,2.107311699206588,1.4161651028612203,1.4161651028612203,1.4161651028612203,1.4161651028612203,1.536835910369406,0.9434386543127682,1.448706421129553,1.448706421129553,1.448706421129553,1.4161651028612203,1.448706421129553,0.9437529634757265,0.8856644632809453,1.3805807099191107,1.3805807099191107,1.3805807099191107,1.3805807099191107,1.3630530001814185,2.107311699206588,1.4161651028612203,1.4161651028612203,1.4161651028612203,1.4161651028612203,1.4161651028612203,1.536835910369406,0.9434386543127682,1.448706421129553,1.448706421129553,1.448706421129553,1.448706421129553,0.9437529634757265,1.4161651028612203,0.8856644632809453,1.3805807099191107,1.3805807099191107,1.3805807099191107,1.3805807099191107,1.4173878562766948,2.107311699206588,1.4161651028612203,1.4161651028612203,1.4161651028612203,1.4161651028612203,1.4161651028612203,1.536835910369406,0.9434386543127682,1.448706421129553,1.448706421129553,1.448706421129553,1.448706421129553,1.3325761022370937,1.329477360748641,1.3805807099191107,1.6057977526505507,1.3805807099191107,1.3805807099191107,1.3805807099191107,0.9434386543127682,1.448706421129553
BH,0.9294519486453096,829.249943434379,829.249943434379,829.249943434379,0.8604998705678562,1.4797469495819278,822.4553422634681,822.4553422634681,822.4553422634681,822.4553422634681,3.142119197823547,38.06598765567997,38.06598765567997,831.6395928845345,831.6395928845345,831.6395928845345,831.6395928845345,0.9436487985280663,5.527187196011683,829.249943434379,829.249943434379,829.249943434379,831.6395928845345,829.249943434379,0.8604998705678562,1.4797469495819278,822.4553422634681,822.4553422634681,822.4553422634681,822.4553422634681,3.1415961384662925,38.06598765567997,831.6395928845345,831.6395928845345,831.6395928845345,831.6395928845345,831.6395928845345,0.9436487985280663,5.527187196011683,829.249943434379,829.249943434379,829.249943434379,829.249943434379,0.8604998705678562,831.6395928845345,1.4797469495819278,822.4553422634681,822.4553422634681,822.4553422634681,822.4553422634681,1.0662614503272871,38.06598765567997,831.6395928845345,831.6395928845345,831.6395928845345,831.6395928845345,831.6395928845345,0.9436487985280663,5.527187196011683,829.249943434379,829.249943434379,829.249943434379,829.249943434379,1.5275792447083156,1.9116317755327958,822.4553422634681,1.0424293026358562,822.4553422634681,822.4553422634681,822.4553422634681,5.527187196011683,829.249943434379
D,0.0042808063188515735,0.1595481720511186,0.1595481720511186,0.1595481720511186,0.1271637717374152,0.05070125332949987,0.20091647155476106,0.20091647155476106,0.20091647155476106,0.20091647155476106,0.038140659156493346,0.008288875585305404,0.008288875585305404,0.34965599261923186,0.34965599261923186,0.34965599261923186,0.34965599261923186,0.11465591210510265,0.014168835300868638,0.1595481720511186,0.1595481720511186,0.1595481720511186,0.34965599261923186,0.1595481720511186,0.1271637717374152,0.05070125332949987,0.20091647155476106,0.20091647155476106,0.20091647155476106,0.20091647155476106,0.007349148246371668,0.008288875585305404,0.34965599261923186,0.34965599261923186,0.34965599261923186,0.34965599261923186,0.34965599261923186,0.11465591210510265,0.014168835300868638,0.1595481720511186,0.1595481720511186,0.1595481720511186,0.1595481720511186,0.1271637717374152,0.34965599261923186,0.05070125332949987,0.20091647155476106,0.20091647155476106,0.20091647155476106,0.20091647155476106,0.019255309216922235,0.008288875585305404,0.34965599261923186,0.34965599261923186,0.34965599261923186,0.34965599261923186,0.34965599261923186,0.11465591210510265,0.014168835300868638,0.1595481720511186,0.1595481720511186,0.1595481720511186,0.1595481720511186,0.017476117173033892,0.05775885149238425,0.20091647155476106,0.08811226402267676,0.20091647155476106,0.20091647155476106,0.20091647155476106,0.014168835300868638,0.1595481720511186
H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBCV,0.45317237965823404,-0.488679509665119,-0.488679509665119,-0.488679509665119,0.6616389880029356,0.6427989333996528,-0.5308912773862449,-0.5308912773862449,-0.5308912773862449,-0.5308912773862449,0.43076233997309626,-0.026325169941655655,-0.026325169941655655,-0.28089753242979176,-0.28089753242979176,-0.28089753242979176,-0.28089753242979176,0.5650548255313562,0.4815074253598877,-0.488679509665119,-0.488679509665119,-0.488679509665119,-0.28089753242979176,-0.488679509665119,0.6616389880029356,0.6427989333996528,-0.5308912773862449,-0.5308912773862449,-0.5308912773862449,-0.5308912773862449,0.4245260727800347,-0.026325169941655655,-0.28089753242979176,-0.28089753242979176,-0.28089753242979176,-0.28089753242979176,-0.28089753242979176,0.5650548255313562,0.4815074253598877,-0.488679509665119,-0.488679509665119,-0.488679509665119,-0.488679509665119,0.6616389880029356,-0.28089753242979176,0.6427989333996528,-0.5308912773862449,-0.5308912773862449,-0.5308912773862449,-0.5308912773862449,0.4904871511399589,-0.026325169941655655,-0.28089753242979176,-0.28089753242979176,-0.28089753242979176,-0.28089753242979176,-0.28089753242979176,0.5650548255313562,0.4815074253598877,-0.488679509665119,-0.488679509665119,-0.488679509665119,-0.488679509665119,0.6752579517741337,0.679284103793991,-0.5308912773862449,0.5536214213006182,-0.5308912773862449,-0.5308912773862449,-0.5308912773862449,0.4815074253598877,-0.488679509665119
I,0.1456487092398002,0.17022833360021458,0.17022833360021458,0.17022833360021458,0.7801748479598147,0.6400887338907367,0.1721863237982456,0.1721863237982456,0.1721863237982456,0.1721863237982456,0.3384076967389008,0.2683748301934206,0.2683748301934206,0.1689090165791879,0.1689090165791879,0.1689090165791879,0.1689090165791879,0.6695021925121937,0.4039711866155513,0.17022833360021458,0.17022833360021458,0.17022833360021458,0.1689090165791879,0.17022833360021458,0.7801748479598147,0.6400887338907367,0.1721863237982456,0.1721863237982456,0.1721863237982456,0.1721863237982456,0.38664077715840356,0.2683748301934206,0.1689090165791879,0.1689090165791879,0.1689090165791879,0.1689090165791879,0.1689090165791879,0.6695021925121937,0.4039711866155513,0.17022833360021458,0.17022833360021458,0.17022833360021458,0.17022833360021458,0.7801748479598147,0.1689090165791879,0.6400887338907367,0.1721863237982456,0.1721863237982456,0.1721863237982456,0.1721863237982456,0.5934924695949843,0.2683748301934206,0.1689090165791879,0.1689090165791879,0.1689090165791879,0.1689090165791879,0.1689090165791879,0.6695021925121937,0.4039711866155513,0.17022833360021458,0.17022833360021458,0.17022833360021458,0.17022833360021458,0.5986290446977839,0.5562942661610455,0.1721863237982456,0.522236113380668,0.1721863237982456,0.1721863237982456,0.1721863237982456,0.4039711866155513,0.17022833360021458
C,0.11785522578863543,0.3065657682240007,0.3065657682240007,0.3065657682240007,0.22763784255464564,0.17048537630269783,0.31106060110044065,0.31106060110044065,0.31106060110044065,0.31106060110044065,0.05564239857724372,0.09874518947386998,0.09874518947386998,0.3029136903740969,0.3029136903740969,0.3029136903740969,0.3029136903740969,0.1632476278389579,0.045406934674598894,0.3065657682240007,0.3065657682240007,0.3065657682240007,0.3029136903740969,0.3065657682240007,0.22763784255464564,0.17048537630269783,0.31106060110044065,0.31106060110044065,0.31106060110044065,0.31106060110044065,0.05827898838722023,0.09874518947386998,0.3029136903740969,0.3029136903740969,0.3029136903740969,0.3029136903740969,0.3029136903740969,0.1632476278389579,0.045406934674598894,0.3065657682240007,0.3065657682240007,0.3065657682240007,0.3065657682240007,0.22763784255464564,0.3029136903740969,0.17048537630269783,0.31106060110044065,0.31106060110044065,0.31106060110044065,0.31106060110044065,0.12424137233217855,0.09874518947386998,0.3029136903740969,0.3029136903740969,0.3029136903740969,0.3029136903740969,0.3029136903740969,0.1632476278389579,0.045406934674598894,0.3065657682240007,0.3065657682240007,0.3065657682240007,0.3065657682240007,0.16057272514275722,0.1287807625340981,0.31106060110044065,0.1532198856303805,0.31106060110044065,0.31106060110044065,0.31106060110044065,0.045406934674598894,0.3065657682240007
CDbw,0.387607040840411,0.06975815062940134,0.06975815062940134,0.06975815062940134,0.5052543781986152,0.5439296640316976,0.08338570059758323,0.08338570059758323,0.08338570059758323,0.08338570059758323,0.49714894768609086,0.3556937371928827,0.3556937371928827,0.13382165675186677,0.13382165675186677,0.13382165675186677,0.13382165675186677,0.5462719027601087,0.57164255967947,0.06975815062940134,0.06975815062940134,0.06975815062940134,0.13382165675186677,0.06975815062940134,0.5052543781986152,0.5439296640316976,0.08338570059758323,0.08338570059758323,0.08338570059758323,0.08338570059758323,0.49960112669746576,0.3556937371928827,0.13382165675186677,0.13382165675186677,0.13382165675186677,0.13382165675186677,0.13382165675186677,0.5462719027601087,0.57164255967947,0.06975815062940134,0.06975815062940134,0.06975815062940134,0.06975815062940134,0.5052543781986152,0.13382165675186677,0.5439296640316976,0.08338570059758323,0.08338570059758323,0.08338570059758323,0.08338570059758323,0.5065401446866843,0.3556937371928827,0.13382165675186677,0.13382165675186677,0.13382165675186677,0.13382165675186677,0.13382165675186677,0.5462719027601087,0.57164255967947,0.06975815062940134,0.06975815062940134,0.06975815062940134,0.06975815062940134,0.4581124150452254,0.4733534232740023,0.08338570059758323,0.5867629370899223,0.08338570059758323,0.08338570059758323,0.08338570059758323,0.57164255967947,0.06975815062940134
VIASCKDE,0.5700402346219595,0.7503687828831995,0.7503687828831995,0.7503687828831995,0.5260592499679314,0.5385940897656484,0.7250692441738348,0.7250692441738348,0.7250692441738348,0.7250692441738348,0.6280406537503036,0.7103537759898328,0.7103537759898328,0.7959549585496932,0.7959549585496932,0.7959549585496932,0.7959549585496932,0.5543933797276565,0.6146843500659476,0.7503687828831995,0.7503687828831995,0.7503687828831995,0.7959549585496932,0.7503687828831995,0.5260592499679314,0.5385940897656484,0.7250692441738348,0.7250692441738348,0.7250692441738348,0.7250692441738348,0.6193663276520494,0.7103537759898328,0.7959549585496932,0.7959549585496932,0.7959549585496932,0.7959549585496932,0.7959549585496932,0.5543933797276565,0.6146843500659476,0.7503687828831995,0.7503687828831995,0.7503687828831995,0.7503687828831995,0.5260592499679314,0.7959549585496932,0.5385940897656484,0.7250692441738348,0.7250692441738348,0.7250692441738348,0.7250692441738348,0.5701748360641826,0.7103537759898328,0.7959549585496932,0.7959549585496932,0.7959549585496932,0.7959549585496932,0.7959549585496932,0.5543933797276565,0.6146843500659476,0.7503687828831995,0.7503687828831995,0.7503687828831995,0.7503687828831995,0.549667036701997,0.5577736117608215,0.7250692441738348,0.5624548940310924,0.7250692441738348,0.7250692441738348,0.7250692441738348,0.6146843500659476,0.7503687828831995
COP,0.14050279687482817,0.37314780267618364,0.37314780267618364,0.37314780267618364,0.14325006272528085,0.14969466410775858,0.38056176918864126,0.38056176918864126,0.38056176918864126,0.38056176918864126,0.14316097106097933,0.22727268268800713,0.22727268268800713,0.37315227481814156,0.37315227481814156,0.37315227481814156,0.37315227481814156,0.13421802051809625,0.16582034790650557,0.37314780267618364,0.37314780267618364,0.37314780267618364,0.37315227481814156,0.37314780267618364,0.14325006272528085,0.14969466410775858,0.38056176918864126,0.38056176918864126,0.38056176918864126,0.38056176918864126,0.140209334855771,0.22727268268800713,0.37315227481814156,0.37315227481814156,0.37315227481814156,0.37315227481814156,0.37315227481814156,0.13421802051809625,0.16582034790650557,0.37314780267618364,0.37314780267618364,0.37314780267618364,0.37314780267618364,0.14325006272528085,0.37315227481814156,0.14969466410775858,0.38056176918864126,0.38056176918864126,0.38056176918864126,0.38056176918864126,0.1300351751879925,0.22727268268800713,0.37315227481814156,0.37315227481814156,0.37315227481814156,0.37315227481814156,0.37315227481814156,0.13421802051809625,0.16582034790650557,0.37314780267618364,0.37314780267618364,0.37314780267618364,0.37314780267618364,0.14110672028216473,0.14549567066030908,0.38056176918864126,0.14008207124655483,0.38056176918864126,0.38056176918864126,0.38056176918864126,0.16582034790650557,0.37314780267618364
Sym,0.0010838124031010254,0.0015453233583134216,0.0015453233583134216,0.0015453233583134216,0.0016343204046976886,0.0019340856283760176,0.0014668870343397128,0.0014668870343397128,0.0014668870343397128,0.0014668870343397128,0.0017821536139785708,0.002220963901528816,0.002220963901528816,0.0019332279914877294,0.0019332279914877294,0.0019332279914877294,0.0019332279914877294,0.001932539656927264,0.0031976964432036898,0.0015453233583134216,0.0015453233583134216,0.0015453233583134216,0.0019332279914877294,0.0015453233583134216,0.0016343204046976886,0.0019340856283760176,0.0014668870343397128,0.0014668870343397128,0.0014668870343397128,0.0014668870343397128,0.0016931046390452845,0.002220963901528816,0.0019332279914877294,0.0019332279914877294,0.0019332279914877294,0.0019332279914877294,0.0019332279914877294,0.001932539656927264,0.0031976964432036898,0.0015453233583134216,0.0015453233583134216,0.0015453233583134216,0.0015453233583134216,0.0016343204046976886,0.0019332279914877294,0.0019340856283760176,0.0014668870343397128,0.0014668870343397128,0.0014668870343397128,0.0014668870343397128,0.0020868820048438926,0.002220963901528816,0.0019332279914877294,0.0019332279914877294,0.0019332279914877294,0.0019332279914877294,0.0019332279914877294,0.001932539656927264,0.0031976964432036898,0.0015453233583134216,0.0015453233583134216,0.0015453233583134216,0.0015453233583134216,0.0014178931081561684,0.0020120128217547724,0.0014668870343397128,0.0016669426776588915,0.0014668870343397128,0.0014668870343397128,0.0014668870343397128,0.0031976964432036898,0.0015453233583134216
CS,1.128728634518624,2.658129829167792,2.658129829167792,2.658129829167792,0.9041585571962714,0.9597596421898904,3.256262931636653,3.256262931636653,3.256262931636653,3.256262931636653,1.1031934419774656,1.5298336531073087,1.5298336531073087,1.6241963106215649,1.6241963106215649,1.6241963106215649,1.6241963106215649,0.9485067887233554,1.1733174994800526,2.658129829167792,2.658129829167792,2.658129829167792,1.6241963106215649,2.658129829167792,0.9041585571962714,0.9597596421898904,3.256262931636653,3.256262931636653,3.256262931636653,3.256262931636653,1.0903029408596494,1.5298336531073087,1.6241963106215649,1.6241963106215649,1.6241963106215649,1.6241963106215649,1.6241963106215649,0.9485067887233554,1.1733174994800526,2.658129829167792,2.658129829167792,2.658129829167792,2.658129829167792,0.9041585571962714,1.6241963106215649,0.9597596421898904,3.256262931636653,3.256262931636653,3.256262931636653,3.256262931636653,1.0026799482890076,1.5298336531073087,1.6241963106215649,1.6241963106215649,1.6241963106215649,1.6241963106215649,1.6241963106215649,0.9485067887233554,1.1733174994800526,2.658129829167792,2.658129829167792,2.658129829167792,2.658129829167792,0.9558952794776271,0.9795126199007915,3.256262931636653,0.9499069043670538,3.256262931636653,3.256262931636653,3.256262931636653,1.1733174994800526,2.658129829167792
SF,0.05041668584389414,0.1882509955810563,0.1882509955810563,0.1882509955810563,0.0715161890484266,0.06984884817138359,0.1699369691203031,0.1699369691203031,0.1699369691203031,0.1699369691203031,0.06895097912351822,0.08090484349694649,0.08090484349694649,0.18641686265381074,0.18641686265381074,0.18641686265381074,0.18641686265381074,0.06539326298624437,0.06567805189295373,0.1882509955810563,0.1882509955810563,0.1882509955810563,0.18641686265381074,0.1882509955810563,0.0715161890484266,0.06984884817138359,0.1699369691203031,0.1699369691203031,0.1699369691203031,0.1699369691203031,0.07244381999705019,0.08090484349694649,0.18641686265381074,0.18641686265381074,0.18641686265381074,0.18641686265381074,0.18641686265381074,0.06539326298624437,0.06567805189295373,0.1882509955810563,0.1882509955810563,0.1882509955810563,0.1882509955810563,0.0715161890484266,0.18641686265381074,0.06984884817138359,0.1699369691203031,0.1699369691203031,0.1699369691203031,0.1699369691203031,0.06220032253402874,0.08090484349694649,0.18641686265381074,0.18641686265381074,0.18641686265381074,0.18641686265381074,0.18641686265381074,0.06539326298624437,0.06567805189295373,0.1882509955810563,0.1882509955810563,0.1882509955810563,0.1882509955810563,0.07522866489848967,0.07241092497066981,0.1699369691203031,0.06567098983470687,0.1699369691203031,0.1699369691203031,0.1699369691203031,0.06567805189295373,0.1882509955810563
SD,5859829.856231531,178653491.1716898,178653491.1716898,178653491.1716898,9742548.229245367,11486447.822445577,205210747.00775918,205210747.00775918,205210747.00775918,205210747.00775918,11821437.702915525,41910139.394276455,41910139.394276455,165229626.15717503,165229626.15717503,165229626.15717503,165229626.15717503,10013080.962493613,19713399.309971355,178653491.1716898,178653491.1716898,178653491.1716898,165229626.15717503,178653491.1716898,9742548.229245367,11486447.822445577,205210747.00775918,205210747.00775918,205210747.00775918,205210747.00775918,12094379.122583926,41910139.394276455,165229626.15717503,165229626.15717503,165229626.15717503,165229626.15717503,165229626.15717503,10013080.962493613,19713399.309971355,178653491.1716898,178653491.1716898,178653491.1716898,178653491.1716898,9742548.229245367,165229626.15717503,11486447.822445577,205210747.00775918,205210747.00775918,205210747.00775918,205210747.00775918,10267104.237534162,41910139.394276455,165229626.15717503,165229626.15717503,165229626.15717503,165229626.15717503,165229626.15717503,10013080.962493613,19713399.309971355,178653491.1716898,178653491.1716898,178653491.1716898,178653491.1716898,10857593.416992221,12048784.385968158,205210747.00775918,9088898.594891347,205210747.00775918,205210747.00775918,205210747.00775918,19713399.309971355,178653491.1716898
SDbw,0.17490539231937405,1.5410992352839572,1.5410992352839572,1.5410992352839572,0.13344242107197823,0.15625348027961572,1.6398601757192963,1.6398601757192963,1.6398601757192963,1.6398601757192963,0.187378268058441,0.4932228108393194,0.4932228108393194,1.4176028278757142,1.4176028278757142,1.4176028278757142,1.4176028278757142,0.13406225256905074,0.2295162655209116,1.5410992352839572,1.5410992352839572,1.5410992352839572,1.4176028278757142,1.5410992352839572,0.13344242107197823,0.15625348027961572,1.6398601757192963,1.6398601757192963,1.6398601757192963,1.6398601757192963,0.18271229106485368,0.4932228108393194,1.4176028278757142,1.4176028278757142,1.4176028278757142,1.4176028278757142,1.4176028278757142,0.13406225256905074,0.2295162655209116,1.5410992352839572,1.5410992352839572,1.5410992352839572,1.5410992352839572,0.13344242107197823,1.4176028278757142,0.15625348027961572,1.6398601757192963,1.6398601757192963,1.6398601757192963,1.6398601757192963,0.1381779626408501,0.4932228108393194,1.4176028278757142,1.4176028278757142,1.4176028278757142,1.4176028278757142,1.4176028278757142,0.13406225256905074,0.2295162655209116,1.5410992352839572,1.5410992352839572,1.5410992352839572,1.5410992352839572,0.15440549664997938,0.16896126962278457,1.6398601757192963,0.13521623391247498,1.6398601757192963,1.6398601757192963,1.6398601757192963,0.2295162655209116,1.5410992352839572
XB*,631.530458758705,4.085768551131616,4.085768551131616,4.085768551131616,25.027214182394648,37.941912874513264,13.100254714943327,13.100254714943327,13.100254714943327,13.100254714943327,44.562625128481756,7.662806260538552,7.662806260538552,1.351621515763975,1.351621515763975,1.351621515763975,1.351621515763975,23.897851186487845,35.57531985624091,4.085768551131616,4.085768551131616,4.085768551131616,1.351621515763975,4.085768551131616,25.027214182394648,37.941912874513264,13.100254714943327,13.100254714943327,13.100254714943327,13.100254714943327,128.0954806338259,7.662806260538552,1.351621515763975,1.351621515763975,1.351621515763975,1.351621515763975,1.351621515763975,23.897851186487845,35.57531985624091,4.085768551131616,4.085768551131616,4.085768551131616,4.085768551131616,25.027214182394648,1.351621515763975,37.941912874513264,13.100254714943327,13.100254714943327,13.100254714943327,13.100254714943327,51.19015239499128,7.662806260538552,1.351621515763975,1.351621515763975,1.351621515763975,1.351621515763975,1.351621515763975,23.897851186487845,35.57531985624091,4.085768551131616,4.085768551131616,4.085768551131616,4.085768551131616,173.55354829800433,70.58742093105336,13.100254714943327,155.13420110808673,13.100254714943327,13.100254714943327,13.100254714943327,35.57531985624091,4.085768551131616
