,labels_data7_MeanShift_params1,labels_data7_MeanShift_params10,labels_data7_MeanShift_params11,labels_data7_MeanShift_params12,labels_data7_MeanShift_params13,labels_data7_MeanShift_params14,labels_data7_MeanShift_params15,labels_data7_MeanShift_params16,labels_data7_MeanShift_params17,labels_data7_MeanShift_params18,labels_data7_MeanShift_params19,labels_data7_MeanShift_params2,labels_data7_MeanShift_params20,labels_data7_MeanShift_params3,labels_data7_MeanShift_params4,labels_data7_MeanShift_params5,labels_data7_MeanShift_params6,labels_data7_MeanShift_params7,labels_data7_MeanShift_params8,labels_data7_MeanShift_params9
B,0.02336237102201213,0.22092563489728445,0.29540248203579167,0.28370294876940144,0.05040436384672061,0.05017971981369277,0.4161106140094139,0.22092563489728445,0.861726279457181,0.22690324116620159,0.056803910732206454,0.018152296130873605,0.038275662922308204,0.03022590783588338,0.023183986840497522,0.04766929644349603,0.04362632329362598,0.05040436384672061,0.05017971981369277,0.4161106140094139
BH,0.6135233802953537,22.79953757263727,37.47274286512135,36.13204896049952,2.106376468263812,2.1070518737353243,67.52215476322708,22.79953757263727,177.25919303389773,23.365786598186112,2.3268572004191257,0.3962204767691161,1.418661409060638,0.9881929957497284,0.6550468611354567,1.8701268694972442,1.6721652074370907,2.106376468263812,2.1070518737353243,67.52215476322708
D,0.20637453116450427,0.3240059472459325,0.2604712333007207,0.33395343707726916,0.30122822092436885,0.28521927281337495,0.29685766433379873,0.3240059472459325,0.3129978812425261,0.2799994352019638,0.25403251030129415,0.2725678156326287,0.28079760812526977,0.21728894399953871,0.224159217029741,0.300251976533317,0.2637260850453412,0.30122822092436885,0.28521927281337495,0.29685766433379873
H,2.6409416513771924,0.855515906050414,0.6867745260548739,0.6415496159791901,1.8028659316816085,1.6993668775277502,0.5180493670612201,0.855515906050414,0.6045029568880582,0.8941721721884612,1.9823150435165924,3.227242434562292,1.9196593763056868,2.091062970001485,2.339434104314158,2.00064730424033,1.99605022776664,1.8028659316816085,1.6993668775277502,0.5180493670612201
DBCV,-0.5977584893710381,-0.9634503137858024,-0.933360596667339,-0.9492973384559767,-0.5706700580466078,-0.578302600403781,-0.9625090181996855,-0.9634503137858024,-0.988508295657616,-0.9566296786510827,-0.5677097436399938,-0.5771263245027871,-0.4990835604528836,-0.5525957528240514,-0.48606692909158616,-0.6478580584373266,-0.5865245064150774,-0.5706700580466078,-0.578302600403781,-0.9625090181996855
I,0.2396219232333512,0.28402044762450396,0.3447079747910947,0.3583352973021476,0.279002047054928,0.27623366762661883,0.306352655117704,0.28402044762450396,0.3076359251962193,0.28556849654625605,0.25135931143012613,0.22850061478726572,0.24228050638043014,0.25436654907726297,0.2454282894111345,0.26201371816520225,0.24744175242927122,0.279002047054928,0.27623366762661883,0.306352655117704
C,0.022709148345066203,0.07773443928450133,0.09830572227746205,0.09113289430049143,0.03401172086003454,0.03411023473990024,0.12040905334830591,0.07773443928450133,0.2530691877499401,0.08184799225399511,0.03983853632207702,0.01863674808887026,0.03260713036412593,0.025119101399445648,0.02164829810320842,0.03465036206597216,0.03477036217538108,0.03401172086003454,0.03411023473990024,0.12040905334830591
CDbw,0.508576069902795,0.06466136051440279,0.013853119701187917,0.01142430961303018,0.3008901978198803,0.28551886875095217,0.0073092043121728584,0.06466136051440279,0.004084893526771328,0.06972107375657051,0.1852535457232772,0.6655548059800547,0.3892224530480897,0.5185955317185484,0.5639155981787977,0.2192933927551166,0.31221543090578957,0.3008901978198803,0.28551886875095217,0.0073092043121728584
VIASCKDE,0.575784650504988,0.5712162928316536,0.5976783128191087,0.5949311965686134,0.6023598901106848,0.5878750692873094,0.6265949013117134,0.5712162928316536,0.6471064765585939,0.5895834626001565,0.5877140451553459,0.5255887483920602,0.5989877440503993,0.5862514721665727,0.5568400464279318,0.5689174288993607,0.5723625053827719,0.6023598901106848,0.5878750692873094,0.6265949013117134
COP,0.34206231542884225,0.33848332861106284,0.36431970016346976,0.3549073613176862,0.32296842085429595,0.33954504544411584,0.345226331998466,0.33848332861106284,0.3748616447292033,0.37007735935187064,0.32631885596017707,0.3761829866043386,0.3229982645066798,0.3289462254437389,0.34831433534979683,0.31977510830151823,0.3149057966250609,0.32296842085429595,0.33954504544411584,0.345226331998466
Sym,0.02550397148464937,0.011196072977009032,0.012445154726431358,0.01337038389304858,0.019334771851322857,0.020937378698621074,0.012153677628739187,0.011196072977009032,0.008875544733698166,0.0115303157045547,0.014587007172266473,0.02609311130109802,0.02223103539499253,0.025974101314157318,0.025562134705097415,0.0155211915427599,0.018219295973197748,0.019334771851322857,0.020937378698621074,0.012153677628739187
CS,0.8546617207883805,1.1031423170637762,1.1478304484324662,1.0924637175795688,0.9202208698700265,0.9057895089684883,1.2046207357260048,1.1031423170637762,1.694866656393548,1.1343025037683176,0.9644416474076463,0.8618070908067155,0.870608207804523,0.849953116067797,0.8223000309399636,0.922642471053579,0.9329250026947526,0.9202208698700265,0.9057895089684883,1.2046207357260048
SF,0.0846509581146121,0.1967861439391273,0.23174412598356753,0.23229611477821577,0.09852209730816286,0.09738241546243387,0.2771250853762879,0.1967861439391273,0.31888512546226044,0.19625967056973437,0.0930562013407017,0.0727037021213478,0.09120325839923438,0.08994309007463719,0.08411030530328756,0.09039401565680794,0.0909487002471675,0.09852209730816286,0.09738241546243387,0.2771250853762879
SD,197090.46017069,1540139.0923187037,2002321.5149682022,1962121.1795070448,471026.23475329246,478698.63838252885,2929672.8109729616,1540139.0923187037,5113440.8238072535,1546778.4775396294,514272.85064631,156773.1210233371,333902.824610583,270236.77558028826,211145.51491746353,450707.25843850384,390008.31790100504,471026.23475329246,478698.63838252885,2929672.8109729616
SDbw,0.11140288122240492,0.7977347668799424,0.9525267890015338,0.9015238208513179,0.23834074357130872,0.24909549613391485,1.3300206812505135,0.7977347668799424,2.2113440770193895,0.8006210045187283,0.2509317112925122,0.09683265855147552,0.18581185236349348,0.14726671968639166,0.11664596895714008,0.2241554133501328,0.2072060534087361,0.23834074357130872,0.24909549613391485,1.3300206812505135
XB*,0.39028573973290925,0.2523819320270754,0.27668206571056997,0.2062961400156019,0.26638672567310684,0.2682337410880318,0.2222152527164645,0.2523819320270754,0.5338871719674648,0.2964206939499633,0.38482854763196894,0.43409779937837323,0.31035747100217936,0.3906178488272931,0.3012661359794224,0.37444444065682203,0.3361636277129276,0.26638672567310684,0.2682337410880318,0.2222152527164645
S,0.43467952100701335,0.35280392994129306,0.3609235145541138,0.3719291387923619,0.44902564563860015,0.44974000153799487,0.39045285671726754,0.35280392994129306,0.3199607643224382,0.3464995026596063,0.4251357320710666,0.411539272498411,0.4409941259418034,0.449401301940115,0.443129594452498,0.43390212442819903,0.43246943083428735,0.44902564563860015,0.44974000153799487,0.39045285671726754
DB,0.6125199490717739,0.8547075623560891,0.8268100199131972,0.8159803253242125,0.6424193928648295,0.6319470537629807,0.8341947644281998,0.8547075623560891,1.1981103893261642,0.8668642236506965,0.6911386705105691,0.6360556564055119,0.603784880810188,0.5943412004005615,0.6035713853745438,0.6822266216681433,0.6286088856256651,0.6424193928648295,0.6319470537629807,0.8341947644281998
CH,1478.739461146474,903.0216580712877,837.127700286225,880.5086439800591,1105.0282317997844,1104.6514675999683,800.4635242019162,903.0216580712877,487.90525565252204,875.1094978580181,993.6549047549073,1676.8009463661056,1136.2526711014361,1325.9478270527436,1511.4527091023735,1091.6098660626396,1079.3500476786517,1105.0282317997844,1104.6514675999683,800.4635242019162
AD-S,0.1346266280551405,-0.031026520326386118,0.006370649205515087,-0.03544974165714573,0.12198233758632267,0.10521104638462486,0.05673976428560553,-0.031026520326386118,0.04908372207398282,0.009129508122139385,0.12323756677943033,0.1253829859967467,0.10142855598960494,0.11353561752646012,0.12007107573047787,0.136532458755096,0.12925101097133773,0.12198233758632267,0.10521104638462486,0.05673976428560553
AD-DB,1.8170127231433322,5.693713802096058,6.026206974243865,5.701579394768219,1.9578557061048734,1.858753844397888,6.251575764437696,5.693713802096058,6.00575351454625,6.009979550434567,2.0297874873379724,1.8620313135483195,1.8659703812262483,1.802921519161768,1.8076125055939878,2.0664587741521285,1.8537428398143423,1.9578557061048734,1.858753844397888,6.251575764437696
AD-CH,148.12033427312224,113.49848464844409,153.13334359571977,151.021054056178,219.10307261626065,217.3642821296217,233.54830494689318,113.49848464844409,463.63046204401815,115.0484932114571,214.36763916916942,127.66017990779378,185.27093352777544,173.00555994997316,152.71535256834727,203.21284040725723,199.0408052214234,219.10307261626065,217.3642821296217,233.54830494689318
AD-idea,42.145497692766575,0.46847224268954524,0.6955888939697105,0.653483699260244,7.117770919898759,4.726336970782123,0.8763299641877249,0.46847224268954524,0.8271498776061749,0.580166657539758,9.398642987028818,77.14486250892712,10.783013666380699,21.628908473790407,62.3913441881606,17.51293044089379,9.210268351299522,7.117770919898759,4.726336970782123,0.8763299641877249
