,labels_smile_DBSCAN_params1,labels_smile_DBSCAN_params11,labels_smile_DBSCAN_params12,labels_smile_DBSCAN_params13,labels_smile_DBSCAN_params14,labels_smile_DBSCAN_params15,labels_smile_DBSCAN_params16,labels_smile_DBSCAN_params17,labels_smile_DBSCAN_params18,labels_smile_DBSCAN_params19,labels_smile_DBSCAN_params2,labels_smile_DBSCAN_params20,labels_smile_DBSCAN_params21,labels_smile_DBSCAN_params22,labels_smile_DBSCAN_params23,labels_smile_DBSCAN_params24,labels_smile_DBSCAN_params25,labels_smile_DBSCAN_params26,labels_smile_DBSCAN_params27,labels_smile_DBSCAN_params28,labels_smile_DBSCAN_params29,labels_smile_DBSCAN_params30,labels_smile_DBSCAN_params31,labels_smile_DBSCAN_params32,labels_smile_DBSCAN_params33,labels_smile_DBSCAN_params34,labels_smile_DBSCAN_params35,labels_smile_DBSCAN_params36,labels_smile_DBSCAN_params37,labels_smile_DBSCAN_params38,labels_smile_DBSCAN_params39,labels_smile_DBSCAN_params40,labels_smile_DBSCAN_params41,labels_smile_DBSCAN_params42,labels_smile_DBSCAN_params43,labels_smile_DBSCAN_params44,labels_smile_DBSCAN_params45,labels_smile_DBSCAN_params46,labels_smile_DBSCAN_params47,labels_smile_DBSCAN_params48,labels_smile_DBSCAN_params49,labels_smile_DBSCAN_params50,labels_smile_DBSCAN_params51,labels_smile_DBSCAN_params52,labels_smile_DBSCAN_params53,labels_smile_DBSCAN_params54,labels_smile_DBSCAN_params55,labels_smile_DBSCAN_params6,labels_smile_DBSCAN_params7,labels_smile_DBSCAN_params8,labels_smile_DBSCAN_params9
Sym,0.000340033387551107,0.0022694782969395113,0.0057389119455557485,0.005089843244612037,0.0012064382435595688,0.0010636497453510943,0.0018192818502379725,0.0021841324608811753,0.005591323779381684,0.006931958505981109,0.0003021965416778348,0.0010490448971670822,0.0024971002182738794,0.0027226999141979516,0.005020329385547736,0.006931958505981109,0.0038410924538481825,0.003692905051286031,0.0034696435999636787,0.004043571406552453,0.006931958505981109,0.006931958505981109,0.006481111000155732,0.006481111000155732,0.0037351441557281484,0.006931958505981109,0.006931958505981109,0.007088425193656427,0.007088425193656427,0.005663406554439455,0.0038106028519072415,0.0066637119776837336,0.007325165734257995,0.007325165734257995,0.007325165734257995,0.00576850509121095,0.005619945328579814,0.007325165734257995,0.007325165734257995,0.007325165734257995,0.007325165734257995,0.005959987774048422,0.006596835711864674,0.006596835711864674,0.006596835711864674,0.006596835711864674,0.007414762982899113,0.0054814194348273395,0.0017259183716766835,0.0006862544012531634,0.001304791055160797
CS,1.36969975259424,0.6023482144491898,1.1557451666879155,0.9264464524846269,0.8407872562976743,1.1465932080929457,0.7721612012312881,0.7825787831114919,0.7883684430717466,1.097849262388593,1.6132442196604106,1.157880781164655,0.7497259030536861,0.7921503746047746,0.7998092998602038,1.097849262388593,0.9061208615423089,0.8317301566709497,0.7740656516099774,0.7609218783490401,1.097849262388593,1.097849262388593,1.3910496877854137,1.3910496877854137,0.8369256997194756,1.097849262388593,1.097849262388593,0.8866581208671035,0.8866581208671035,0.9867630134128073,1.207990814334222,1.2454847143774446,1.3579460353203137,1.3579460353203137,1.3579460353203137,0.8974815551254062,1.3622493523201076,1.3579460353203137,1.3579460353203137,1.3579460353203137,1.3579460353203137,2.0345376365352736,1.0752892573181172,1.0752892573181172,1.0752892573181172,1.0752892573181172,0.764117900871335,0.8954625433596877,0.9028058897232656,0.944394729362132,1.1891699247118883
SF,0.2947828911181003,0.2525131179157247,0.3012196584913459,0.29138636681917696,0.3491255674347764,0.38147073149558075,0.15727024057183714,0.2026616138468691,0.2840277811927667,0.30799568973814073,0.3243131887876497,0.38117223985182414,0.18974511099185531,0.19435196267789456,0.2554203883660273,0.30799568973814073,0.2821720013156116,0.1958339410628923,0.20648055351170946,0.2116773490456456,0.30799568973814073,0.30799568973814073,0.2624562538306524,0.2624562538306524,0.20110308790214226,0.30799568973814073,0.30799568973814073,0.35954093052053493,0.35954093052053493,0.3530588784274171,0.2005441137596199,0.2986854937187433,0.3623442828036222,0.3623442828036222,0.3623442828036222,0.28258824891445034,0.2613644079544739,0.3623442828036222,0.3623442828036222,0.3623442828036222,0.3623442828036222,0.2094641870703613,0.3769803198383326,0.3769803198383326,0.3769803198383326,0.3769803198383326,0.36184851121436057,0.29086348729223277,0.29174385556739457,0.32853709867365377,0.3817468021273134
SD,262211934.74596235,1261179083.3608732,4627018410.32672,2149456286.6928973,3108819854.923348,5743466515.319105,846696038.0900548,998936160.083224,3464246391.3099475,5495178905.522377,453118086.292319,5769494266.682822,589319623.0775628,709171927.9385903,3291670949.450891,5495178905.522377,4058365937.455758,1052764858.459764,891464137.3423167,2313477489.1262493,5495178905.522377,5495178905.522377,3224369847.1138306,3224369847.1138306,1027390482.8088139,5495178905.522377,5495178905.522377,3371172549.493736,3371172549.493736,2695829622.377734,2757549548.976958,5703823503.359786,6985535099.772506,6985535099.772506,6985535099.772506,1993869893.0997133,6654453788.363237,6985535099.772506,6985535099.772506,6985535099.772506,6985535099.772506,10744817076.754917,9588348977.795359,9588348977.795359,9588348977.795359,9588348977.795359,6374845988.427283,885808994.3845432,894207592.2596612,1201396990.5941067,5596631596.007349
SDbw,0.2358817771983802,0.3410681922809732,0.7338437668849964,0.40500042942680015,0.6960564542488439,1.2906592364817042,0.17272184575091248,0.19855965917348795,0.4848808534160037,0.9763173256064143,0.2735225680285341,1.2565666057813454,0.15000355011636848,0.14531744111570494,0.44433913694357785,0.9763173256064143,0.5394129069818131,0.22370248095688855,0.18765502136718898,0.2868334980736053,0.9763173256064143,0.9763173256064143,inf,inf,0.1988631962252534,0.9763173256064143,0.9763173256064143,0.6284915704042112,0.6284915704042112,0.6114578774925628,0.406797825988649,0.9714573088531662,0.865084835891756,0.865084835891756,0.865084835891756,0.2419033966884101,0.9373593151729949,0.865084835891756,0.865084835891756,0.865084835891756,0.865084835891756,1.0769784505586615,0.7113541865836127,0.7113541865836127,0.7113541865836127,0.7113541865836127,0.5982763219274132,0.36559462687937977,0.42441486552749225,0.6712156076917626,1.9897350617756124
XB*,10830.662349651137,460.7381938701717,9.664963578021844,43.52955782009496,57.19158288532144,18.801360970619676,34.14492647484737,32.223473974742284,3.9502002024357794,2.8650178858080904,7028.644499729434,16.14128238740393,14.761398289089216,5.3327178522492025,4.05204208359601,2.8650178858080904,6.654200473742916,3.205905665576471,2.9076553985110865,9.422060919061806,2.8650178858080904,2.8650178858080904,3.8749076632768293,3.8749076632768293,2.970695826196306,2.8650178858080904,2.8650178858080904,0.4057260788328104,0.4057260788328104,0.8561432023873522,21.100150086749228,2.9926760852172203,1.0715170998729668,1.0715170998729668,1.0715170998729668,0.45924963651172984,2.79131090860481,1.0715170998729668,1.0715170998729668,1.0715170998729668,1.0715170998729668,4.167389042404296,0.28541744603815805,0.28541744603815805,0.28541744603815805,0.28541744603815805,0.34569291305335414,1462.9785478040692,722.8167023764863,2283.1628947140675,74.4109434320191
S,0.10587172243358482,0.3782593451234401,0.3568638433963287,0.38139183379388,-0.07555244255605836,0.07517840802306341,0.5380261664101397,0.4922408886367175,0.38684037364964097,0.3644919824260802,-0.18795427521055186,0.11535773278095152,0.5439886424216522,0.5358925560335654,0.41189287605892627,0.3644919824260802,0.2432885718780061,0.5303286145858703,0.5433385214326372,0.4674822217007934,0.3644919824260802,0.3644919824260802,0.4272368306285654,0.4272368306285654,0.543048939073399,0.3644919824260802,0.3644919824260802,0.48556584671758324,0.48556584671758324,0.3767524446047487,0.47467846930987134,0.3752615352414325,0.32946027499109215,0.32946027499109215,0.32946027499109215,0.4813750597645517,0.4089289772094589,0.32946027499109215,0.32946027499109215,0.32946027499109215,0.32946027499109215,0.34217918805931175,0.506510074222806,0.506510074222806,0.506510074222806,0.506510074222806,0.37964765883443896,0.320979846009761,0.3759657994232526,-0.024776369469998172,-0.20765637677478305
DB,0.8898865859968504,1.5914706071258287,1.4761940410315042,0.9661390574468155,2.6761051014435386,2.428761988071364,1.426743566303972,1.0682127179610663,1.1238073521963874,1.2842509583109305,1.5924107735237627,2.2713287943077547,0.8107154498689024,0.7838453465024948,1.218223672228393,1.2842509583109305,1.6279931932716447,0.6094832577615639,0.49819988157269945,1.1894178826978532,1.2842509583109305,1.2842509583109305,1.5189971484921678,1.5189971484921678,0.5273587079674387,1.2842509583109305,1.2842509583109305,0.5894889610172038,0.5894889610172038,0.6432177727007746,1.596522023563137,1.315672631040202,0.7943809394455235,0.7943809394455235,0.7943809394455235,0.6149169756511005,1.3873337935512662,0.7943809394455235,0.7943809394455235,0.7943809394455235,0.7943809394455235,1.902415482886439,0.8027249458984559,0.8027249458984559,0.8027249458984559,0.8027249458984559,0.7187556433622988,0.7916647310519187,0.7583613311808844,2.4385016777870265,4.4972882113805035
CH,20.923238640603454,138.51946600856493,448.4210999929784,316.566967981031,58.56177341905126,94.5295444904003,220.11226642944757,224.4125734612779,374.6739246961816,561.4351264603742,9.627171028144293,103.59865308092462,325.9355217008068,349.11861663248607,355.733618381551,561.4351264603742,217.13951126063233,500.9415222513185,474.3100665346825,351.8929194799269,561.4351264603742,561.4351264603742,863.5219891473081,863.5219891473081,510.9890853261859,561.4351264603742,561.4351264603742,1357.9015170683278,1357.9015170683278,1019.2029959061953,456.7365701295752,567.3969746242099,836.4063163667392,836.4063163667392,836.4063163667392,864.1175578087139,598.2497762785011,836.4063163667392,836.4063163667392,836.4063163667392,836.4063163667392,612.9835240059098,1271.4483892201013,1271.4483892201013,1271.4483892201013,1271.4483892201013,639.8491851576239,159.69031103522104,124.19427943675875,27.31913708401545,39.64757509312202
AD-S,0.2755712970277601,0.7474624882668263,0.7733653436279834,0.4361359620293141,0.1494204307918955,0.08517431565437211,0.8833812534571287,0.8325604114481759,0.7560822004968355,0.7950579155447608,-0.22047385626698998,0.6380314682231151,0.9027467111158198,0.8830981586014058,0.7737095500456859,0.7950579155447608,0.2926507951685828,0.8823403584736051,0.8864892300624526,0.8186749419378331,0.7950579155447608,0.7950579155447608,0.8713186523561083,0.8713186523561083,0.8766559367071961,0.7950579155447608,0.7950579155447608,0.8271864650039289,0.8271864650039289,0.7686213592523677,0.8168515725998734,0.7963470935579818,0.8713008661976641,0.8713008661976641,0.8713008661976641,0.77831704404443,0.7880835041985249,0.8713008661976641,0.8713008661976641,0.8713008661976641,0.8713008661976641,0.6038859516954648,0.7585417415258889,0.7585417415258889,0.7585417415258889,0.7585417415258889,0.46085019381797837,0.4177055962460094,0.45060006649211926,-0.1302214902147018,-0.1392341926025555
