,labels_data4_DBSCAN_params13,labels_data4_DBSCAN_params14,labels_data4_DBSCAN_params17,labels_data4_DBSCAN_params18,labels_data4_DBSCAN_params19,labels_data4_DBSCAN_params20,labels_data4_DBSCAN_params22,labels_data4_DBSCAN_params23,labels_data4_DBSCAN_params24,labels_data4_DBSCAN_params9
BH,0.01095980471885059,0.0025811042688954657,8.990162214069715,10.20510213735128,8.440539298473162,3.7677166624530494,24.313029565098002,22.50116431546982,19.901305252455682,0.00016146237340983245
D,,,,,,,,,,
H,4.073308188376555,0.0029519732458162164,0.7873237650521798,0.44225536162323925,0.37217781265068683,0.48320450846700624,0.6696647598588404,0.6438515947516081,0.5773742153378122,0.01475224507731613
DBCV,0.5094895516307885,0.9984019440512325,0.3949425680086498,0.4561839283990362,0.8911466911229786,0.4306293494778382,0.5192802171631818,0.5239077447977365,0.5816245616214823,0.9970868573133764
I,1.2571115671349884,8.031329715588262,1.0718716303914686,1.5985448705114536,1.753763293996645,2.0134920863349524,1.0196804173753617,1.0305703948180684,1.0993593998215836,583.8774178710281
C,0.007454861072260877,-9.8787666140046e-18,0.05115107778440958,0.03974730348622893,0.024178801329659848,0.024578871656895752,0.06825526127937985,0.06425154099455331,0.057193435541167015,0.0
CDbw,20.217042092384734,13.70264183299925,2.133546893116334,0.8368309920659717,0.6718376582633362,1.5639636018133745,0.1475803469540782,0.1682150727959094,0.20343588278646724,147.57503494184377
VIASCKDE,0.4523511697077707,0.6008143505196467,0.7105321848963779,0.702285864021112,0.7108157218664287,0.6629860000159351,0.7458292408272089,0.7426490785974758,0.7379041406048383,0.5176765546736279
COP,0.37060315931037835,0.24258944349050016,0.3192533683478849,0.2905438130202324,0.23256250697510808,0.28154353244025765,0.21624530040339188,0.21576503853282464,0.22887069782737512,0.28452582501308954
Sym,0.39679410653868485,65.54066607309966,0.10809738416886121,0.1627081452421882,0.21536007139241084,0.2628564170871243,0.089081861027687,0.09420326725368332,0.11077798663257118,356.73959030844765
CS,0.7285763031560003,0.0866784114953226,1.0708271817531125,0.8082303098818723,0.8044556430861672,0.9829793961096114,1.3781970146121527,1.306094213050909,1.1742723083101636,0.07034145349164567
SF,0.4047086703279136,0.6292826989447025,0.4024146564240001,0.4518995457061491,0.49546736874176367,0.49504331104645327,0.4310835327197303,0.4361603916816761,0.444288377234905,0.6400576474556643
SD,238960.94598731006,3790.737904668083,18607092.553294025,21395897.766400408,16331752.777150735,8482998.130551666,51849047.23745966,45708193.49490176,38311689.12275939,1289.5417667736533
SDbw,0.12102123476687279,0.0051286638163927445,0.5211531048510796,0.5621887872079432,0.6486684460277053,0.4699570460881288,1.1016377315590455,1.0770233574231,1.0334741107810181,0.10677136480844283
XB*,1.4522894174716545,0.001641522725434802,3.241130634858346,0.2919001978506199,0.2191335052624621,0.3453548451169209,0.46026180142972023,0.44417127754189867,0.36005133806538075,0.0076641984316245075
S,0.3879365110248434,0.9483067420994169,0.33186196280026076,0.5000289790894564,0.600582831609175,0.529935109086368,0.48376490060409133,0.4915243961556424,0.5077765747574428,0.9383824572132848
DB,0.6741163097841741,0.06834391514960393,0.6367254469207397,0.6192440839537576,0.6290566084554846,0.6437952526392785,0.8740833701854441,0.8559995374930572,0.8037454080365706,0.08045172165936722
CH,4672.366424020179,3527.966704795161,1080.9173346921566,1912.8447460864209,3354.015222223068,3021.4029947434765,2072.6089710358224,2133.4051330246466,2295.3149891667977,53280.739023834445
AD-S,0.3807131622889951,0.9711794356569718,0.626760344459221,0.7307352067999336,0.8833695011151614,0.6768895057523043,0.6011754430340691,0.6073988705112866,0.6698293803847744,0.9625337183203864
AD-DB,1.1207066716314256,0.05751973422850424,0.8364273755975676,0.6410434401342485,0.23313788838524677,0.8317216903415936,0.8056442083696805,0.7925936018398829,0.6626566073801022,0.07906372917212333
AD-CH,313.5382564123915,360.4664724817086,951.089776116865,1881.6426149556632,3544.1459137413694,3010.522644966604,1070.6788048540418,1073.671507821932,1686.173226464145,549.9033502303935
AD-idea,78857919.29319827,1211.8552808576442,309.41626018978974,273.81117280508875,910.9995434507068,146.73942936891092,16.141491137388225,17.085491306896806,40.20304708503329,16735454.768551258
