,labels_mk1_HDBSCAN_params1,labels_mk1_HDBSCAN_params10,labels_mk1_HDBSCAN_params11,labels_mk1_HDBSCAN_params12,labels_mk1_HDBSCAN_params13,labels_mk1_HDBSCAN_params14,labels_mk1_HDBSCAN_params15,labels_mk1_HDBSCAN_params16,labels_mk1_HDBSCAN_params17,labels_mk1_HDBSCAN_params18,labels_mk1_HDBSCAN_params19,labels_mk1_HDBSCAN_params2,labels_mk1_HDBSCAN_params20,labels_mk1_HDBSCAN_params21,labels_mk1_HDBSCAN_params22,labels_mk1_HDBSCAN_params23,labels_mk1_HDBSCAN_params24,labels_mk1_HDBSCAN_params25,labels_mk1_HDBSCAN_params26,labels_mk1_HDBSCAN_params27,labels_mk1_HDBSCAN_params28,labels_mk1_HDBSCAN_params29,labels_mk1_HDBSCAN_params3,labels_mk1_HDBSCAN_params30,labels_mk1_HDBSCAN_params31,labels_mk1_HDBSCAN_params32,labels_mk1_HDBSCAN_params33,labels_mk1_HDBSCAN_params34,labels_mk1_HDBSCAN_params35,labels_mk1_HDBSCAN_params36,labels_mk1_HDBSCAN_params37,labels_mk1_HDBSCAN_params38,labels_mk1_HDBSCAN_params39,labels_mk1_HDBSCAN_params4,labels_mk1_HDBSCAN_params40,labels_mk1_HDBSCAN_params41,labels_mk1_HDBSCAN_params42,labels_mk1_HDBSCAN_params43,labels_mk1_HDBSCAN_params44,labels_mk1_HDBSCAN_params45,labels_mk1_HDBSCAN_params46,labels_mk1_HDBSCAN_params47,labels_mk1_HDBSCAN_params48,labels_mk1_HDBSCAN_params49,labels_mk1_HDBSCAN_params5,labels_mk1_HDBSCAN_params50,labels_mk1_HDBSCAN_params51,labels_mk1_HDBSCAN_params52,labels_mk1_HDBSCAN_params53,labels_mk1_HDBSCAN_params54,labels_mk1_HDBSCAN_params55,labels_mk1_HDBSCAN_params56,labels_mk1_HDBSCAN_params57,labels_mk1_HDBSCAN_params58,labels_mk1_HDBSCAN_params59,labels_mk1_HDBSCAN_params6,labels_mk1_HDBSCAN_params60,labels_mk1_HDBSCAN_params61,labels_mk1_HDBSCAN_params62,labels_mk1_HDBSCAN_params63,labels_mk1_HDBSCAN_params7,labels_mk1_HDBSCAN_params8,labels_mk1_HDBSCAN_params9
B,2.549576016204655,2.4670148337828026,2.4670148337828026,2.4670148337828026,2.1580223372387506,2.1580223372387506,2.4660803870197348,2.4660803870197348,2.4660803870197348,2.4660803870197348,2.4660803870197348,2.549576016204655,3.5511992596217103,3.5511992596217103,2.549576016204655,2.549576016204655,2.549576016204655,2.549576016204655,2.376646908609148,2.376646908609148,2.376646908609148,2.4670148337828026,2.549576016204655,2.4670148337828026,2.4670148337828026,2.4670148337828026,2.4670148337828026,2.1580223372387506,2.1580223372387506,2.4660803870197348,2.4660803870197348,2.4660803870197348,2.4660803870197348,2.549576016204655,2.4660803870197348,3.5511992596217103,3.5511992596217103,2.549576016204655,2.549576016204655,2.549576016204655,2.549576016204655,2.376646908609148,2.376646908609148,2.376646908609148,2.376646908609148,2.4670148337828026,2.4670148337828026,2.4670148337828026,2.4670148337828026,2.4670148337828026,2.1580223372387506,2.1580223372387506,2.4660803870197348,2.4660803870197348,2.4660803870197348,2.376646908609148,2.4660803870197348,2.4660803870197348,3.5511992596217103,3.5511992596217103,2.376646908609148,2.4670148337828026,2.4670148337828026
BH,4.862793793370106,4.353692572531949,4.353692572531949,4.353692572531949,23.701128843377674,23.701128843377674,4.103668092601894,4.103668092601894,4.103668092601894,4.103668092601894,4.103668092601894,4.862793793370106,23.84000732101281,23.84000732101281,4.862793793370106,4.862793793370106,4.862793793370106,4.862793793370106,24.35318659505671,24.35318659505671,24.35318659505671,4.353692572531949,4.862793793370106,4.353692572531949,4.353692572531949,4.353692572531949,4.353692572531949,23.701128843377674,23.701128843377674,4.103668092601894,4.103668092601894,4.103668092601894,4.103668092601894,4.862793793370106,4.103668092601894,23.84000732101281,23.84000732101281,4.862793793370106,4.862793793370106,4.862793793370106,4.862793793370106,24.35318659505671,24.35318659505671,24.35318659505671,24.35318659505671,4.353692572531949,4.353692572531949,4.353692572531949,4.353692572531949,4.353692572531949,23.701128843377674,23.701128843377674,4.103668092601894,4.103668092601894,4.103668092601894,24.35318659505671,4.103668092601894,4.103668092601894,23.84000732101281,23.84000732101281,24.35318659505671,4.353692572531949,4.353692572531949
D,0.08560123770109675,0.1419337875029643,0.1419337875029643,0.1419337875029643,0.15749251249124166,0.15749251249124166,0.17725223747780247,0.17725223747780247,0.17725223747780247,0.17725223747780247,0.17725223747780247,0.08560123770109675,0.123409958725543,0.123409958725543,0.08560123770109675,0.08560123770109675,0.08560123770109675,0.08560123770109675,0.12005203722294468,0.12005203722294468,0.12005203722294468,0.1419337875029643,0.08560123770109675,0.1419337875029643,0.1419337875029643,0.1419337875029643,0.1419337875029643,0.15749251249124166,0.15749251249124166,0.17725223747780247,0.17725223747780247,0.17725223747780247,0.17725223747780247,0.08560123770109675,0.17725223747780247,0.123409958725543,0.123409958725543,0.08560123770109675,0.08560123770109675,0.08560123770109675,0.08560123770109675,0.12005203722294468,0.12005203722294468,0.12005203722294468,0.12005203722294468,0.1419337875029643,0.1419337875029643,0.1419337875029643,0.1419337875029643,0.1419337875029643,0.15749251249124166,0.15749251249124166,0.17725223747780247,0.17725223747780247,0.17725223747780247,0.12005203722294468,0.17725223747780247,0.17725223747780247,0.123409958725543,0.123409958725543,0.12005203722294468,0.1419337875029643,0.1419337875029643
H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBCV,0.8007666345954579,0.7847187882314787,0.7847187882314787,0.7847187882314787,0.6474103664177289,0.6474103664177289,0.7665395358394451,0.7665395358394451,0.7665395358394451,0.7665395358394451,0.7665395358394451,0.8007666345954579,0.8298344132605128,0.8298344132605128,0.8007666345954579,0.8007666345954579,0.8007666345954579,0.8007666345954579,0.6613852553105298,0.6613852553105298,0.6613852553105298,0.7847187882314787,0.8007666345954579,0.7847187882314787,0.7847187882314787,0.7847187882314787,0.7847187882314787,0.6474103664177289,0.6474103664177289,0.7665395358394451,0.7665395358394451,0.7665395358394451,0.7665395358394451,0.8007666345954579,0.7665395358394451,0.8298344132605128,0.8298344132605128,0.8007666345954579,0.8007666345954579,0.8007666345954579,0.8007666345954579,0.6613852553105298,0.6613852553105298,0.6613852553105298,0.6613852553105298,0.7847187882314787,0.7847187882314787,0.7847187882314787,0.7847187882314787,0.7847187882314787,0.6474103664177289,0.6474103664177289,0.7665395358394451,0.7665395358394451,0.7665395358394451,0.6613852553105298,0.7665395358394451,0.7665395358394451,0.8298344132605128,0.8298344132605128,0.6613852553105298,0.7847187882314787,0.7847187882314787
I,1.0816402866166754,1.2428391743469729,1.2428391743469729,1.2428391743469729,0.4438813300785449,0.4438813300785449,1.3300758591756372,1.3300758591756372,1.3300758591756372,1.3300758591756372,1.3300758591756372,1.0816402866166754,0.4360434937642845,0.4360434937642845,1.0816402866166754,1.0816402866166754,1.0816402866166754,1.0816402866166754,0.4240259119261462,0.4240259119261462,0.4240259119261462,1.2428391743469729,1.0816402866166754,1.2428391743469729,1.2428391743469729,1.2428391743469729,1.2428391743469729,0.4438813300785449,0.4438813300785449,1.3300758591756372,1.3300758591756372,1.3300758591756372,1.3300758591756372,1.0816402866166754,1.3300758591756372,0.4360434937642845,0.4360434937642845,1.0816402866166754,1.0816402866166754,1.0816402866166754,1.0816402866166754,0.4240259119261462,0.4240259119261462,0.4240259119261462,0.4240259119261462,1.2428391743469729,1.2428391743469729,1.2428391743469729,1.2428391743469729,1.2428391743469729,0.4438813300785449,0.4438813300785449,1.3300758591756372,1.3300758591756372,1.3300758591756372,0.4240259119261462,1.3300758591756372,1.3300758591756372,0.4360434937642845,0.4360434937642845,0.4240259119261462,1.2428391743469729,1.2428391743469729
C,0.0174025667780736,0.027445993512141997,0.027445993512141997,0.027445993512141997,0.09131710051270506,0.09131710051270506,0.037591876016026655,0.037591876016026655,0.037591876016026655,0.037591876016026655,0.037591876016026655,0.0174025667780736,0.09392468039575853,0.09392468039575853,0.0174025667780736,0.0174025667780736,0.0174025667780736,0.0174025667780736,0.08697366694793673,0.08697366694793673,0.08697366694793673,0.027445993512141997,0.0174025667780736,0.027445993512141997,0.027445993512141997,0.027445993512141997,0.027445993512141997,0.09131710051270506,0.09131710051270506,0.037591876016026655,0.037591876016026655,0.037591876016026655,0.037591876016026655,0.0174025667780736,0.037591876016026655,0.09392468039575853,0.09392468039575853,0.0174025667780736,0.0174025667780736,0.0174025667780736,0.0174025667780736,0.08697366694793673,0.08697366694793673,0.08697366694793673,0.08697366694793673,0.027445993512141997,0.027445993512141997,0.027445993512141997,0.027445993512141997,0.027445993512141997,0.09131710051270506,0.09131710051270506,0.037591876016026655,0.037591876016026655,0.037591876016026655,0.08697366694793673,0.037591876016026655,0.037591876016026655,0.09392468039575853,0.09392468039575853,0.08697366694793673,0.027445993512141997,0.027445993512141997
CDbw,0.25359812984134195,0.30231205990707366,0.30231205990707366,0.30231205990707366,0.09843341769978167,0.09843341769978167,0.31194923823945364,0.31194923823945364,0.31194923823945364,0.31194923823945364,0.31194923823945364,0.25359812984134195,0.13720038661227904,0.13720038661227904,0.25359812984134195,0.25359812984134195,0.25359812984134195,0.25359812984134195,0.16241500995006897,0.16241500995006897,0.16241500995006897,0.30231205990707366,0.25359812984134195,0.30231205990707366,0.30231205990707366,0.30231205990707366,0.30231205990707366,0.09843341769978167,0.09843341769978167,0.31194923823945364,0.31194923823945364,0.31194923823945364,0.31194923823945364,0.25359812984134195,0.31194923823945364,0.13720038661227904,0.13720038661227904,0.25359812984134195,0.25359812984134195,0.25359812984134195,0.25359812984134195,0.16241500995006897,0.16241500995006897,0.16241500995006897,0.16241500995006897,0.30231205990707366,0.30231205990707366,0.30231205990707366,0.30231205990707366,0.30231205990707366,0.09843341769978167,0.09843341769978167,0.31194923823945364,0.31194923823945364,0.31194923823945364,0.16241500995006897,0.31194923823945364,0.31194923823945364,0.13720038661227904,0.13720038661227904,0.16241500995006897,0.30231205990707366,0.30231205990707366
VIASCKDE,0.5365727348608748,0.4833395545402042,0.4833395545402042,0.4833395545402042,0.5092058866147363,0.5092058866147363,0.4907551342446108,0.4907551342446108,0.4907551342446108,0.4907551342446108,0.4907551342446108,0.5365727348608748,0.5271764326641145,0.5271764326641145,0.5365727348608748,0.5365727348608748,0.5365727348608748,0.5365727348608748,0.5378065152512929,0.5378065152512929,0.5378065152512929,0.4833395545402042,0.5365727348608748,0.4833395545402042,0.4833395545402042,0.4833395545402042,0.4833395545402042,0.5092058866147363,0.5092058866147363,0.4907551342446108,0.4907551342446108,0.4907551342446108,0.4907551342446108,0.5365727348608748,0.4907551342446108,0.5271764326641145,0.5271764326641145,0.5365727348608748,0.5365727348608748,0.5365727348608748,0.5365727348608748,0.5378065152512929,0.5378065152512929,0.5378065152512929,0.5378065152512929,0.4833395545402042,0.4833395545402042,0.4833395545402042,0.4833395545402042,0.4833395545402042,0.5092058866147363,0.5092058866147363,0.4907551342446108,0.4907551342446108,0.4907551342446108,0.5378065152512929,0.4907551342446108,0.4907551342446108,0.5271764326641145,0.5271764326641145,0.5378065152512929,0.4833395545402042,0.4833395545402042
COP,0.2635113159265869,0.2660995030748052,0.2660995030748052,0.2660995030748052,0.2866379416990714,0.2866379416990714,0.2681799619939881,0.2681799619939881,0.2681799619939881,0.2681799619939881,0.2681799619939881,0.2635113159265869,0.28791060752514086,0.28791060752514086,0.2635113159265869,0.2635113159265869,0.2635113159265869,0.2635113159265869,0.27736382672470605,0.27736382672470605,0.27736382672470605,0.2660995030748052,0.2635113159265869,0.2660995030748052,0.2660995030748052,0.2660995030748052,0.2660995030748052,0.2866379416990714,0.2866379416990714,0.2681799619939881,0.2681799619939881,0.2681799619939881,0.2681799619939881,0.2635113159265869,0.2681799619939881,0.28791060752514086,0.28791060752514086,0.2635113159265869,0.2635113159265869,0.2635113159265869,0.2635113159265869,0.27736382672470605,0.27736382672470605,0.27736382672470605,0.27736382672470605,0.2660995030748052,0.2660995030748052,0.2660995030748052,0.2660995030748052,0.2660995030748052,0.2866379416990714,0.2866379416990714,0.2681799619939881,0.2681799619939881,0.2681799619939881,0.27736382672470605,0.2681799619939881,0.2681799619939881,0.28791060752514086,0.28791060752514086,0.27736382672470605,0.2660995030748052,0.2660995030748052
Sym,0.0429992631557964,0.0429261375302599,0.0429261375302599,0.0429261375302599,0.039318012388266585,0.039318012388266585,0.04117328246685223,0.04117328246685223,0.04117328246685223,0.04117328246685223,0.04117328246685223,0.0429992631557964,0.03772526016005913,0.03772526016005913,0.0429992631557964,0.0429992631557964,0.0429992631557964,0.0429992631557964,0.04982061926573361,0.04982061926573361,0.04982061926573361,0.0429261375302599,0.0429992631557964,0.0429261375302599,0.0429261375302599,0.0429261375302599,0.0429261375302599,0.039318012388266585,0.039318012388266585,0.04117328246685223,0.04117328246685223,0.04117328246685223,0.04117328246685223,0.0429992631557964,0.04117328246685223,0.03772526016005913,0.03772526016005913,0.0429992631557964,0.0429992631557964,0.0429992631557964,0.0429992631557964,0.04982061926573361,0.04982061926573361,0.04982061926573361,0.04982061926573361,0.0429261375302599,0.0429261375302599,0.0429261375302599,0.0429261375302599,0.0429261375302599,0.039318012388266585,0.039318012388266585,0.04117328246685223,0.04117328246685223,0.04117328246685223,0.04982061926573361,0.04117328246685223,0.04117328246685223,0.03772526016005913,0.03772526016005913,0.04982061926573361,0.0429261375302599,0.0429261375302599
CS,1.509302872427112,1.409476228586944,1.409476228586944,1.409476228586944,2.416224794863857,2.416224794863857,1.3782855408533237,1.3782855408533237,1.3782855408533237,1.3782855408533237,1.3782855408533237,1.509302872427112,2.658717713741945,2.658717713741945,1.509302872427112,1.509302872427112,1.509302872427112,1.509302872427112,1.1951787585822569,1.1951787585822569,1.1951787585822569,1.409476228586944,1.509302872427112,1.409476228586944,1.409476228586944,1.409476228586944,1.409476228586944,2.416224794863857,2.416224794863857,1.3782855408533237,1.3782855408533237,1.3782855408533237,1.3782855408533237,1.509302872427112,1.3782855408533237,2.658717713741945,2.658717713741945,1.509302872427112,1.509302872427112,1.509302872427112,1.509302872427112,1.1951787585822569,1.1951787585822569,1.1951787585822569,1.1951787585822569,1.409476228586944,1.409476228586944,1.409476228586944,1.409476228586944,1.409476228586944,2.416224794863857,2.416224794863857,1.3782855408533237,1.3782855408533237,1.3782855408533237,1.1951787585822569,1.3782855408533237,1.3782855408533237,2.658717713741945,2.658717713741945,1.1951787585822569,1.409476228586944,1.409476228586944
SF,0.2272369553615592,0.23805114516530335,0.23805114516530335,0.23805114516530335,0.20416611115017558,0.20416611115017558,0.24326783119296858,0.24326783119296858,0.24326783119296858,0.24326783119296858,0.24326783119296858,0.2272369553615592,0.19549079384896317,0.19549079384896317,0.2272369553615592,0.2272369553615592,0.2272369553615592,0.2272369553615592,0.28381850230688666,0.28381850230688666,0.28381850230688666,0.23805114516530335,0.2272369553615592,0.23805114516530335,0.23805114516530335,0.23805114516530335,0.23805114516530335,0.20416611115017558,0.20416611115017558,0.24326783119296858,0.24326783119296858,0.24326783119296858,0.24326783119296858,0.2272369553615592,0.24326783119296858,0.19549079384896317,0.19549079384896317,0.2272369553615592,0.2272369553615592,0.2272369553615592,0.2272369553615592,0.28381850230688666,0.28381850230688666,0.28381850230688666,0.28381850230688666,0.23805114516530335,0.23805114516530335,0.23805114516530335,0.23805114516530335,0.23805114516530335,0.20416611115017558,0.20416611115017558,0.24326783119296858,0.24326783119296858,0.24326783119296858,0.28381850230688666,0.24326783119296858,0.24326783119296858,0.19549079384896317,0.19549079384896317,0.28381850230688666,0.23805114516530335,0.23805114516530335
SD,196824.00999816993,185934.55310439464,185934.55310439464,185934.55310439464,354273.94265722553,354273.94265722553,180166.12503291637,180166.12503291637,180166.12503291637,180166.12503291637,180166.12503291637,196824.00999816993,356936.1289662412,356936.1289662412,196824.00999816993,196824.00999816993,196824.00999816993,196824.00999816993,198718.16103759516,198718.16103759516,198718.16103759516,185934.55310439464,196824.00999816993,185934.55310439464,185934.55310439464,185934.55310439464,185934.55310439464,354273.94265722553,354273.94265722553,180166.12503291637,180166.12503291637,180166.12503291637,180166.12503291637,196824.00999816993,180166.12503291637,356936.1289662412,356936.1289662412,196824.00999816993,196824.00999816993,196824.00999816993,196824.00999816993,198718.16103759516,198718.16103759516,198718.16103759516,198718.16103759516,185934.55310439464,185934.55310439464,185934.55310439464,185934.55310439464,185934.55310439464,354273.94265722553,354273.94265722553,180166.12503291637,180166.12503291637,180166.12503291637,198718.16103759516,180166.12503291637,180166.12503291637,356936.1289662412,356936.1289662412,198718.16103759516,185934.55310439464,185934.55310439464
SDbw,0.9132944659172169,0.8761838627151798,0.8761838627151798,0.8761838627151798,1.4152571092952135,1.4152571092952135,0.8691065536670579,0.8691065536670579,0.8691065536670579,0.8691065536670579,0.8691065536670579,0.9132944659172169,1.4015860141781853,1.4015860141781853,0.9132944659172169,0.9132944659172169,0.9132944659172169,0.9132944659172169,0.9588008386757801,0.9588008386757801,0.9588008386757801,0.8761838627151798,0.9132944659172169,0.8761838627151798,0.8761838627151798,0.8761838627151798,0.8761838627151798,1.4152571092952135,1.4152571092952135,0.8691065536670579,0.8691065536670579,0.8691065536670579,0.8691065536670579,0.9132944659172169,0.8691065536670579,1.4015860141781853,1.4015860141781853,0.9132944659172169,0.9132944659172169,0.9132944659172169,0.9132944659172169,0.9588008386757801,0.9588008386757801,0.9588008386757801,0.9588008386757801,0.8761838627151798,0.8761838627151798,0.8761838627151798,0.8761838627151798,0.8761838627151798,1.4152571092952135,1.4152571092952135,0.8691065536670579,0.8691065536670579,0.8691065536670579,0.9588008386757801,0.8691065536670579,0.8691065536670579,1.4015860141781853,1.4015860141781853,0.9588008386757801,0.8761838627151798,0.8761838627151798
XB*,3.3874086732091717,2.32263433352565,2.32263433352565,2.32263433352565,2.8561620307208813,2.8561620307208813,2.5707246948308162,2.5707246948308162,2.5707246948308162,2.5707246948308162,2.5707246948308162,3.3874086732091717,6.3926383470396395,6.3926383470396395,3.3874086732091717,3.3874086732091717,3.3874086732091717,3.3874086732091717,0.4572817087904302,0.4572817087904302,0.4572817087904302,2.32263433352565,3.3874086732091717,2.32263433352565,2.32263433352565,2.32263433352565,2.32263433352565,2.8561620307208813,2.8561620307208813,2.5707246948308162,2.5707246948308162,2.5707246948308162,2.5707246948308162,3.3874086732091717,2.5707246948308162,6.3926383470396395,6.3926383470396395,3.3874086732091717,3.3874086732091717,3.3874086732091717,3.3874086732091717,0.4572817087904302,0.4572817087904302,0.4572817087904302,0.4572817087904302,2.32263433352565,2.32263433352565,2.32263433352565,2.32263433352565,2.32263433352565,2.8561620307208813,2.8561620307208813,2.5707246948308162,2.5707246948308162,2.5707246948308162,0.4572817087904302,2.5707246948308162,2.5707246948308162,6.3926383470396395,6.3926383470396395,0.4572817087904302,2.32263433352565,2.32263433352565
S,0.6112361777407044,0.5798626820657695,0.5798626820657695,0.5798626820657695,0.4399785214511885,0.4399785214511885,0.5539561378885531,0.5539561378885531,0.5539561378885531,0.5539561378885531,0.5539561378885531,0.6112361777407044,0.43325113466177567,0.43325113466177567,0.6112361777407044,0.6112361777407044,0.6112361777407044,0.6112361777407044,0.37068517763813874,0.37068517763813874,0.37068517763813874,0.5798626820657695,0.6112361777407044,0.5798626820657695,0.5798626820657695,0.5798626820657695,0.5798626820657695,0.4399785214511885,0.4399785214511885,0.5539561378885531,0.5539561378885531,0.5539561378885531,0.5539561378885531,0.6112361777407044,0.5539561378885531,0.43325113466177567,0.43325113466177567,0.6112361777407044,0.6112361777407044,0.6112361777407044,0.6112361777407044,0.37068517763813874,0.37068517763813874,0.37068517763813874,0.37068517763813874,0.5798626820657695,0.5798626820657695,0.5798626820657695,0.5798626820657695,0.5798626820657695,0.4399785214511885,0.4399785214511885,0.5539561378885531,0.5539561378885531,0.5539561378885531,0.37068517763813874,0.5539561378885531,0.5539561378885531,0.43325113466177567,0.43325113466177567,0.37068517763813874,0.5798626820657695,0.5798626820657695
DB,1.7769632710748855,1.6115849612758102,1.6115849612758102,1.6115849612758102,2.2679474529078125,2.2679474529078125,1.6354875599311325,1.6354875599311325,1.6354875599311325,1.6354875599311325,1.6354875599311325,1.7769632710748855,3.065630388518098,3.065630388518098,1.7769632710748855,1.7769632710748855,1.7769632710748855,1.7769632710748855,0.9756568953954474,0.9756568953954474,0.9756568953954474,1.6115849612758102,1.7769632710748855,1.6115849612758102,1.6115849612758102,1.6115849612758102,1.6115849612758102,2.2679474529078125,2.2679474529078125,1.6354875599311325,1.6354875599311325,1.6354875599311325,1.6354875599311325,1.7769632710748855,1.6354875599311325,3.065630388518098,3.065630388518098,1.7769632710748855,1.7769632710748855,1.7769632710748855,1.7769632710748855,0.9756568953954474,0.9756568953954474,0.9756568953954474,0.9756568953954474,1.6115849612758102,1.6115849612758102,1.6115849612758102,1.6115849612758102,1.6115849612758102,2.2679474529078125,2.2679474529078125,1.6354875599311325,1.6354875599311325,1.6354875599311325,0.9756568953954474,1.6354875599311325,1.6354875599311325,3.065630388518098,3.065630388518098,0.9756568953954474,1.6115849612758102,1.6115849612758102
CH,491.8473152054982,421.1357255955773,421.1357255955773,421.1357255955773,180.67261462691778,180.67261462691778,378.4270578253384,378.4270578253384,378.4270578253384,378.4270578253384,378.4270578253384,491.8473152054982,177.63937853353437,177.63937853353437,491.8473152054982,491.8473152054982,491.8473152054982,491.8473152054982,189.19914435669665,189.19914435669665,189.19914435669665,421.1357255955773,491.8473152054982,421.1357255955773,421.1357255955773,421.1357255955773,421.1357255955773,180.67261462691778,180.67261462691778,378.4270578253384,378.4270578253384,378.4270578253384,378.4270578253384,491.8473152054982,378.4270578253384,177.63937853353437,177.63937853353437,491.8473152054982,491.8473152054982,491.8473152054982,491.8473152054982,189.19914435669665,189.19914435669665,189.19914435669665,189.19914435669665,421.1357255955773,421.1357255955773,421.1357255955773,421.1357255955773,421.1357255955773,180.67261462691778,180.67261462691778,378.4270578253384,378.4270578253384,378.4270578253384,189.19914435669665,378.4270578253384,378.4270578253384,177.63937853353437,177.63937853353437,189.19914435669665,421.1357255955773,421.1357255955773
