,labels_a3_DBSCAN_params10,labels_a3_DBSCAN_params13,labels_a3_DBSCAN_params14,labels_a3_DBSCAN_params15,labels_a3_DBSCAN_params16,labels_a3_DBSCAN_params17,labels_a3_DBSCAN_params18,labels_a3_DBSCAN_params19,labels_a3_DBSCAN_params20,labels_a3_DBSCAN_params5,labels_a3_DBSCAN_params9
COP,0.10959807057138299,0.07776423902669173,0.05785725228491313,0.056946595824129365,0.044129108670004386,0.2553429590184498,0.1870418393474271,0.14096130185138428,0.12388961980746366,0.10714009553453968,0.07667564169721561
Sym,72.46127727456778,0.009036320606669942,0.022583782817557945,0.06525194316720369,0.9357317815923276,0.0008161878737745039,0.001469758897242668,0.004211053761707762,0.005034736017934275,167.33299850638417,0.054408729983145825
CS,0.061524153634423304,0.7887501044684746,0.5918713762085018,0.4695774260902919,0.18739097401352492,1.4122767186495162,1.0486872954791784,0.9424794393052418,0.862348698369487,0.03535908288245665,0.6196302618131012
SF,0.6291720230749095,0.06671715366374475,0.1194195037794824,0.20072858074863975,0.4894199403706636,0.1296276155840811,0.10255281094440671,0.08479027016268292,0.08066814054497695,0.6269182981525121,0.10075698634835328
SD,6249.984946748753,1700336.8337119173,1030672.0657823093,473650.28846343904,27007.607106950723,78642353.70091404,28250500.137137417,12817281.316620942,9067694.66483517,10592.393509794962,53868.041173150574
SDbw,0.04453834641152949,0.021735399060712618,0.015799261446542444,0.016969445518226527,0.006007203617315593,0.5713074727028631,0.25409526547550454,0.11890393373028403,0.08745297537349818,0.029431024336312925,0.010350606432090037
XB*,0.03738995716261265,8.19215652516941,0.6768429809473057,1.0950924020697224,0.4089946819781964,5.1768709650760885,2.9590423678984448,0.8378319347277859,0.7207956836795383,0.05960553696847247,2.5984702327177054
S,0.934584006768532,0.43724457598033506,0.6192537131143984,0.6502689930509608,0.8697779244121531,0.15086775144790057,0.30175525614104365,0.41384578621378854,0.481460223591631,0.9461596517890771,0.5041632119118707
DB,0.09910761167253769,0.6079909245502846,0.53563425580426,0.5327842938524783,0.18647177153714875,1.0143530823682758,0.7612053181962295,0.6685368748098093,0.5848737355230466,0.07172278309991392,0.5577894724232519
CH,129121.60094025606,16076.320369005123,27708.882623991947,32115.24571840276,53426.7412451356,2366.496666158406,3907.322721340611,8593.717405585838,10487.596658381857,250737.21517627302,34993.20621628198
AD-S,0.9549461322146726,0.547464476175798,0.6896782463918159,0.6636220228327006,0.9123281038470755,0.4162756362372499,0.4534362372496936,0.4657568562157943,0.5048265271224223,0.9644213435751074,0.475687453525908
AD-DB,0.10107500199559354,1.0021568007301684,0.8295054058253518,0.8938686719736398,0.21420750401261834,1.0449398933543326,0.9821602111950481,1.0160792527140914,0.9556282420671868,0.07710434704735127,0.9475306760989135
AD-CH,1580.8646413614238,767.3885633367715,947.3253263110214,936.3647958431851,1810.4961751406015,1671.390758746681,1126.6137794745118,1014.9697504086085,972.1960157051172,1337.4834006470116,444.63321223758317
AD-idea,8956265735699318.0,5.241071674305941e+21,1.1912558978214372e+39,5.3853821813020875e+44,5.783006325822112e+33,3249.4595212923095,3453388.5497901314,1779234047.1935647,505453259458.6292,1.2478834294726389e+23,1.1887163930576061e+65
