,labels_s1_DBSCAN_params1,labels_s1_DBSCAN_params10,labels_s1_DBSCAN_params11,labels_s1_DBSCAN_params12,labels_s1_DBSCAN_params13,labels_s1_DBSCAN_params14,labels_s1_DBSCAN_params15,labels_s1_DBSCAN_params16,labels_s1_DBSCAN_params17,labels_s1_DBSCAN_params18,labels_s1_DBSCAN_params19,labels_s1_DBSCAN_params20,labels_s1_DBSCAN_params21,labels_s1_DBSCAN_params22,labels_s1_DBSCAN_params23,labels_s1_DBSCAN_params24,labels_s1_DBSCAN_params5,labels_s1_DBSCAN_params6,labels_s1_DBSCAN_params7,labels_s1_DBSCAN_params8,labels_s1_DBSCAN_params9
B,1.5387168522588627e-06,0.0004337257440378087,0.000286879759947185,0.00020174359270123512,0.005974638827396216,0.0038090526599519952,0.002113456090347034,0.0014572119874211656,0.08264081258640053,0.012028760801303141,0.011083742997084405,0.010311074613485658,0.21348248294983593,0.15992562628672688,0.10126550526945581,0.10126856885546091,0.00013751020297793234,8.335016375096542e-05,6.14994117409715e-05,0.00010000993820250178,0.0008620939278928002
BH,3.715117265566158e-06,0.012725113782032282,0.010727821031623392,0.006536518729993981,0.21799048735510967,0.20120537506398334,0.15056530421472727,0.11052695435976073,16.960883478541486,2.136606996928164,1.9257771907528005,1.7539534090015334,121.07053989574833,70.11174442747061,39.17982751747414,39.17195205756689,0.0016641539267198122,0.0016008470461171141,0.0009234750990343656,0.0017225230373979243,0.011049763132532255
D,1.412821086313002,0.13461827140392116,4.673953774884766,5.8627140160835784,0.09264133638044775,0.11526086909171676,0.2705572066576927,2.183436368609141,0.15786064639141223,0.465066560779841,0.5371234346330346,0.6136083733372516,0.16120569570434615,0.16120569570434615,0.16841510648265087,0.16841510648265087,0.096537493093568,9.638233057359098,13.33739492109706,34.35640618732389,0.08532555115659858
H,0.06524327267339285,1.3029824381057007,0.013651176357851355,0.009736049001221384,4.945911599644095,2.4028023530384943,0.8104591297765977,0.07332115034426027,1.37940040676154,0.6214873876738823,0.5763951985940781,0.5389950233996467,0.6750815368062797,0.9632750351670559,0.8573743123642171,0.8574110243284594,2.404513257499861,0.002860454522206676,0.0012569995095064624,0.00010236306826606563,7.556033007945006
DBCV,0.9666235556190091,0.5632338827126357,0.9993298425334488,0.9993748015849702,-0.20437730347841984,0.35382832821536275,0.6339486584552099,0.9958596156118507,0.5700627757137559,0.6739722242570487,0.7715250084492065,0.8561008104202616,0.1298196487771315,0.39613648826698933,0.2607600657534818,0.32259736157217456,0.7836105820900506,0.9998067746696578,0.9998812637261824,0.9999712239921437,0.16227097363898996
I,33851.74982613383,23.17938631437602,65.53496318133185,90.77539715214232,0.30206393309505924,2.1665092244245976,6.690436407582309,14.306569203467994,0.5212835911573661,1.8255082960260844,1.9552824027720435,2.085125096688866,0.42479374129322794,0.45360739284641005,0.5182671838760029,0.5182161012614042,23.059664977632853,237.95558924473633,413.7980073464304,381.57923689218325,0.8076989284752137
C,3.6193180388891723e-07,0.0008318860046770723,-1.6552194073814192e-18,-1.0689032860754735e-18,0.003190470268328061,0.0015246572374271806,0.00088340584200086,7.316623017350114e-18,0.04513704446710968,0.0009370596318560289,0.0006371321469955986,0.00046107974522332086,0.15232713715752072,0.08539349336901292,0.04443048496202936,0.04444993619045089,0.0009889178263423927,0.0,0.0,0.0,0.0026124398969136963
CDbw,1620.8691431656086,15.77252129015244,15.245395792442965,18.564668294097075,12.97169745609533,12.879860882293821,6.083513148982433,4.503834712404735,0.6023955302805851,0.2953149142590454,0.38630747318353365,0.47604314907720996,0.3445447502322405,0.33129502779425407,0.31350814916982833,0.31395806201336784,73.1857332349885,61.42075714939302,54.06707265878003,37.01527364228026,50.29702740972565
VIASCKDE,0.6089516616641274,0.693992348561079,0.7235600464900416,0.7249076956706406,0.7000659235709508,0.737268817643536,0.7378100581123835,0.7389610868586401,0.7683772565240656,0.7486370065604504,0.743886225235323,0.7384248295861717,0.7821973644242566,0.7838664027108265,0.7849317623256027,0.7843835160843485,0.650011092547405,0.7086946690799604,0.6917821804888041,0.7101802762473147,0.6283752084435416
COP,0.10366009884749339,0.0341155599964133,0.03469053036387119,0.034804056197710015,0.08423811258149567,0.0703861122264408,0.05425837151676522,0.05094750345126659,0.19318568165762726,0.1047612568266472,0.10365925752913617,0.10043437505786851,0.3350155322348346,0.28145282183728226,0.23770904046800334,0.23771658949322524,0.029094678091029398,0.04293006141958615,0.055930385977823446,0.11643620398043615,0.0723339261294603
Sym,15693.66390085326,1.6179227383113604,3.695434519668706,5.648400674028124,0.0189837489232564,0.0842320267917633,0.2288610444978109,0.47122223129702584,0.010949450662779395,0.03263504541423049,0.036295795619676566,0.03926760689791335,0.0025247212671669476,0.0030095100801007303,0.0065202987330599356,0.006524573610744184,2.630677294507948,25.13113324145889,70.16027751072913,431.853129007496,0.09854510195107663
CS,0.0038249847510599096,0.16648964920841222,0.07596806614465385,0.06424194693919123,0.6438657646181907,0.5493700532022036,0.29981778461367237,0.18541572080442087,0.954531893657496,0.6284003901854678,0.5882978321635431,0.5596208538713534,0.941189716117937,1.0389285582047114,1.036543438501118,1.036625876010634,0.27240907447044443,0.033788113035515314,0.024626722621944142,0.017965100952295556,0.5588442095645422
SF,0.6470985784859768,0.5565632384662809,0.5882964383207658,0.5967276977831999,0.2475098096699363,0.40455716590926494,0.4691093117623697,0.5163115825738447,0.24524629662926567,0.3157510890773182,0.3247641246827482,0.332787334391044,0.2620911896827238,0.21426630880927366,0.22732936063475284,0.22733740358326238,0.572186873627113,0.6195063684506711,0.6306165080146326,0.6459355148535105,0.35415049491704087
SD,236131.2829768245,562881.0197591156,503244.0018526442,355055.0442861497,3927681.2327472335,3964006.362427897,3430424.9113352117,2598694.192184945,103777891.11126415,26052384.387325313,23861066.107913308,22248565.637137253,311100525.333598,322584916.97573566,210196374.53778663,210296411.47791287,147753.52704205032,140053.37381676811,116905.21031604771,75384.16006977277,511414.18209457747
SDbw,0.06746179121340412,0.04410755991773785,0.0002941799320167618,0.00020652240731823754,0.036982625114001084,0.04652015786668204,0.025556766816644257,0.001526608919964163,0.20004041370245396,0.03435843186980533,0.03010643436987492,0.026784041385076663,0.5815520059461277,0.48618679275504817,0.4615855650463402,0.4618106516612583,0.061934638816747746,7.241381224105364e-05,5.901903219032744e-05,0.00026579515264878574,0.03660246283772155
XB*,0.05435417785446382,0.6243009367647588,0.002008087050583607,0.0013497196100742364,5.452264064152236,2.4624241541632723,0.3385974028827265,0.008091433826713835,2.387144914967377,0.06331090441588129,0.05779154074493163,0.0509581117435945,1.1445642041492337,0.9656429324163539,0.8819875787127586,0.8819875787127586,1.6799069669300708,0.0007145352459227274,0.00040498590734669535,7.095371144193822e-05,2.8607441411895507
S,0.9032918577082062,0.7311881059410091,0.9598901718665355,0.9657599610624987,0.33969228924130934,0.5743794776739694,0.768925939047716,0.9113418515418482,0.49800457473126225,0.7371751069436101,0.7481481117805034,0.7569370705675112,0.3529052078607936,0.4349484655604226,0.4915069956591603,0.49149933210324126,0.605579696010601,0.9785286116223583,0.9832837507936527,0.9902309967533179,0.37916995758601163
DB,0.09025717100289986,0.36257991359119385,0.05203611910420944,0.0443134319075639,0.5446522127920046,0.4754350943894417,0.2957102009242809,0.11941034171847457,0.6397450642798428,0.34012528166929484,0.3284906993275178,0.3184617225588025,0.6831884422559665,0.7836026468162837,0.6525353389672134,0.6525678062887023,0.41412260187795924,0.02486160105817922,0.020010574975170274,0.01235175086631526,0.5297391001181166
CH,3951762.5768566267,130415.6297595491,213994.4721713324,262108.74917426688,12023.558202437698,33898.286576598875,61330.13772316824,93995.07492080382,5280.5390304103785,26623.05881910988,28234.2164924967,29746.571117770753,2658.0462971751995,3675.973292128877,5325.383284335396,5323.390451566409,132738.13689247842,342382.02874362504,408816.52232462703,360538.02659912035,27195.52267036434
AD-S,0.9301270110172184,0.7642772884172354,0.9900194121974262,0.990813046071518,0.5598049146395956,0.6887486352352331,0.8269020571062529,0.980333874002445,0.6519274348082498,0.8153601477312086,0.8602789763765218,0.8926703055660705,0.4095831044381694,0.4881114782038343,0.5529859124664063,0.5530388875525977,0.7092406370819963,0.9939612982875474,0.9952944703555324,0.9976086679979672,0.5089903956247751
AD-DB,0.1061998673815385,0.6356345920096392,0.020502293671384352,0.018843726020418634,0.9831503626508148,0.8253662558664472,0.4864512270117486,0.03997182784142108,0.6508254248988883,0.3734384222978551,0.285189016897309,0.21702046100571556,1.1232600394092656,1.0505785274081896,0.8465828088316507,0.8465329355284765,0.5949172784314187,0.01216173922010732,0.009139784761798688,0.00468134337449748,0.9117811355547665
AD-CH,9293.903692123366,8437.921685458343,11483.098330244813,10964.361379663516,1986.036553345789,4955.48197919201,7799.9424327996485,9023.944508890749,2697.9560802079745,4248.844118973491,4857.320747891521,5591.967405015065,1386.7640912528964,1555.716893572865,1791.7592733928752,1791.7041912511959,4890.998270301816,8829.568819081227,10629.187735426713,12436.29288020076,2300.8985830537226
AD-idea,8271267077857006.0,9.672104146350966e+20,8.585283330165967e+29,2.7488112621825485e+30,458585305662249.56,2878836107280703.5,1.1503206816618488e+20,3.6187285467060206e+25,18020442.176446162,521741909193.34625,29580151030966.95,746089404542126.6,601.2871087789154,1209.5681074538843,15330.731558249,15345.421376763217,2.1640832224535452e+20,1.1489852521344706e+31,3.613483068508503e+23,182884.54304200478,2.6787395802188226e+25
