,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors
CH,0,0,2,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,1,0,4,0,0,0,1,0,29,88,33,111,68,76,79,62,24,69,29,72,0,80,97,133,43,94,97,26,58,0,65,35,93,97,95
COP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,36,58,46,103,79,72,64,9,43,72,70,19,4,84,110,150,60,93,61,64,16,37,28,48,47,27,16
CS,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,78,24,119,86,57,88,79,21,75,50,83,21,80,108,130,21,91,99,61,65,2,78,75,71,100,28
D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,113,27,113,48,18,74,61,32,54,27,91,61,48,78,101,1,88,76,41,32,11,95,99,68,110,83
DB,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,116,10,108,76,56,83,59,4,74,33,91,13,80,104,146,26,90,102,45,61,0,57,36,80,99,86
DBCV,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,1,0,0,0,0,0,2,0,2,14,7,25,31,85,19,29,11,57,11,54,62,19,13,28,19,32,9,52,8,17,16,46,52,18,40,8
DH,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,73,58,98,96,70,79,84,49,72,84,44,37,75,100,116,72,92,123,64,68,26,67,57,61,74,21
GD43,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,108,62,109,57,53,74,51,4,72,40,83,2,83,108,148,21,86,88,32,55,1,78,74,79,100,96
GD53,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,29,28,35,24,20,29,62,6,56,6,99,0,46,52,102,36,31,69,8,14,38,83,114,111,111,133
H,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,117,13,56,74,22,70,55,9,71,21,90,22,66,95,115,22,95,76,3,32,8,64,84,55,100,83
I,1,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,15,98,12,99,76,59,80,76,24,68,21,48,0,69,98,105,51,105,82,2,66,0,20,35,75,86,40
PS,0,0,3,0,1,0,0,0,2,0,2,0,2,1,0,0,0,1,0,0,0,0,0,2,0,0,0,88,71,1,77,3,63,46,49,4,39,25,87,22,5,23,89,59,30,48,36,39,40,55,18,71,36,117
RS,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,34,31,98,98,76,77,76,20,72,50,97,10,70,98,130,25,95,128,46,60,7,23,50,65,107,53
S,0,0,3,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,4,0,4,0,0,0,0,0,30,102,16,89,34,45,83,56,24,61,21,67,21,62,73,112,25,94,56,0,49,0,50,57,88,85,89
SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,113,73,101,88,75,79,71,50,72,82,52,8,80,102,135,71,92,117,64,70,46,53,56,60,82,45
SDbw,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,15,75,25,100,91,63,82,82,13,66,72,22,13,75,99,145,65,97,117,62,67,5,52,63,84,80,49
SF,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,19,29,6,12,90,23,72,55,26,69,24,94,23,19,32,77,32,96,53,5,31,0,47,73,25,80,21
SSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,36,101,82,111,81,81,81,72,53,74,84,41,8,82,98,134,68,91,104,57,68,51,60,52,92,78,77
Sym,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,4,0,4,0,0,2,0,0,6,31,30,121,43,78,58,17,25,64,76,47,3,81,114,29,76,96,94,0,59,0,16,20,22,89,16
VIASCKDE,0,0,0,0,3,2,2,0,0,0,0,0,0,4,3,2,0,0,0,3,0,4,0,0,2,3,0,22,55,11,9,47,10,1,22,21,24,39,48,29,0,0,3,95,37,57,2,14,0,3,17,5,2,1
WB,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,0,2,0,26,107,64,111,79,82,80,64,24,73,62,70,0,81,97,133,46,91,98,43,61,2,58,43,90,88,93
XB,2,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,4,0,0,0,0,0,10,117,20,98,45,40,78,54,20,71,21,77,14,68,90,128,28,101,79,24,58,0,75,68,67,98,93
XB*,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,4,0,2,0,0,0,0,0,8,114,22,91,34,28,71,60,20,70,21,83,14,73,95,131,23,98,82,0,51,1,87,81,65,103,97
cSIL,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,113,33,111,78,60,86,76,4,76,27,85,22,78,103,131,30,92,107,42,62,0,70,82,84,114,92
rCIP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,21,115,22,53,73,24,13,32,48,59,22,67,28,61,84,99,34,89,44,0,17,0,55,66,78,100,111
