,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors
CH,1,0,2,0,1,2,2,1,4,0,1,0,4,2,0,1,2,1,1,2,1,6,0,0,0,0,1,107,177,70,168,173,111,98,129,24,137,40,158,31,109,151,216,105,153,214,40,92,0,105,102,172,152,201
COP,1,0,0,0,0,0,2,1,1,1,0,0,4,1,1,0,0,1,2,0,2,1,0,1,1,1,1,105,236,126,165,161,135,83,45,88,145,164,116,45,146,206,314,177,171,149,146,36,78,84,101,86,73,114
CS,2,1,2,0,1,0,2,1,1,0,1,1,2,1,0,1,2,1,1,0,0,5,1,0,0,0,1,98,164,63,222,198,99,102,148,79,195,121,126,123,115,203,181,47,159,143,173,151,8,134,165,145,232,164
D,2,1,1,0,0,2,2,0,1,2,0,1,2,2,0,0,1,1,0,0,0,5,0,0,1,0,2,109,193,176,222,204,140,132,211,143,134,139,204,145,142,238,216,91,191,246,146,139,12,235,290,145,259,223
DB,0,1,1,0,0,1,2,1,2,0,1,1,2,2,0,0,3,0,1,0,1,6,1,0,0,0,1,96,168,41,179,166,94,78,135,69,184,99,144,91,108,210,290,39,190,208,158,147,0,119,111,166,231,199
DBCV,1,1,1,1,0,0,3,0,0,0,0,0,2,4,2,2,0,1,2,3,0,2,0,0,3,0,2,91,48,131,92,189,121,54,78,118,79,147,103,80,47,88,95,85,53,80,45,115,55,180,219,61,137,72
DH,1,0,0,0,0,0,2,1,0,0,0,0,0,2,0,1,0,1,1,0,0,2,0,0,1,1,1,100,180,149,193,176,159,109,156,152,185,188,99,196,110,213,128,198,166,189,142,174,46,110,120,114,132,141
GD43,1,1,0,0,0,0,2,0,3,0,1,1,2,1,0,0,4,2,0,0,0,6,0,0,0,0,1,148,176,187,237,228,157,137,209,100,201,123,200,109,163,273,296,36,161,301,126,161,0,199,236,205,213,235
GD53,0,0,1,1,0,1,1,1,2,2,3,0,3,1,0,0,0,1,0,1,1,0,0,0,0,0,0,239,159,143,169,185,108,118,161,104,102,93,252,113,147,229,270,153,152,235,88,109,123,204,294,264,266,317
H,0,1,2,1,0,1,1,0,3,0,1,0,2,1,0,0,2,1,0,2,1,3,0,0,0,0,0,132,218,117,150,242,117,147,186,105,175,102,212,128,162,275,266,124,226,249,81,127,29,189,232,209,294,250
I,1,1,2,0,0,0,2,0,2,0,1,1,3,2,0,0,0,0,1,2,0,5,3,2,1,1,1,65,182,77,194,192,141,124,182,69,163,58,129,44,132,187,153,163,216,179,62,166,9,30,56,126,133,174
PS,0,0,4,0,2,1,2,0,3,2,1,1,2,3,0,1,0,1,1,0,0,2,0,3,0,0,0,209,223,106,181,137,162,91,180,100,134,110,203,124,86,184,228,222,106,159,120,152,49,170,119,222,228,286
RS,2,0,1,0,0,0,2,0,1,0,1,0,1,1,0,2,2,2,0,0,1,4,1,0,0,0,1,127,207,132,229,268,195,136,234,113,202,145,223,147,168,287,178,94,180,302,164,188,16,95,178,191,226,200
S,0,1,4,1,0,2,2,0,3,0,1,1,4,2,0,0,2,0,1,6,2,6,0,0,1,0,1,98,168,15,116,194,41,81,144,25,154,48,144,24,83,152,241,96,169,166,0,85,0,132,175,174,170,214
SD,2,0,0,0,0,0,2,1,0,0,0,0,1,2,1,1,0,1,1,0,0,1,1,1,1,1,1,78,189,177,216,157,162,108,153,141,176,177,101,122,110,145,170,175,165,212,177,175,96,71,109,120,126,156
SDbw,1,0,1,0,0,1,1,1,2,0,0,0,1,2,1,0,0,1,1,0,0,5,1,1,1,1,1,89,155,81,186,192,109,129,158,63,178,169,111,104,104,176,234,193,178,251,141,168,5,85,115,134,129,205
SF,0,1,3,0,0,1,1,0,1,1,1,1,1,2,1,0,0,0,2,2,1,6,0,1,0,0,0,128,141,51,97,215,56,91,119,77,143,68,110,148,63,125,134,82,230,67,33,97,0,142,162,96,242,166
SSE,0,0,0,1,0,0,2,0,0,0,0,0,1,2,1,1,1,3,2,0,1,2,1,0,2,2,1,150,171,178,158,146,168,122,208,129,167,177,114,153,130,103,208,127,105,193,159,117,96,74,117,134,69,189
Sym,2,1,0,0,0,1,2,3,2,0,0,0,3,2,0,2,0,0,1,4,0,6,1,0,3,2,1,61,108,97,230,155,126,71,76,38,189,175,135,66,109,196,104,161,223,157,34,171,0,109,92,27,87,71
VIASCKDE,0,0,1,1,2,3,5,0,2,1,0,3,1,5,3,4,1,0,1,3,3,6,1,2,4,2,2,135,158,81,95,168,87,3,145,57,100,122,101,178,4,110,31,239,130,122,16,36,0,90,92,6,33,55
WB,0,0,0,0,0,0,2,0,2,0,0,0,3,2,0,1,2,2,0,0,0,5,1,0,2,2,1,180,296,194,230,235,202,130,215,114,211,184,214,130,145,200,234,89,163,308,161,174,2,125,175,154,163,232
XB,0,1,2,0,0,1,1,0,2,0,1,1,2,2,0,0,2,1,0,0,1,6,0,0,0,0,1,117,186,118,216,187,140,164,210,110,204,102,190,120,132,218,259,135,191,286,113,164,0,198,202,225,224,231
XB*,1,1,1,0,0,1,1,1,2,0,1,1,2,1,0,0,2,0,1,4,1,6,1,0,0,0,1,98,150,45,173,198,55,120,130,77,177,39,156,94,125,228,271,53,192,201,38,128,0,160,228,153,230,203
cSIL,1,1,1,0,0,0,2,0,3,0,1,1,2,1,0,1,2,1,0,0,1,6,0,0,1,0,1,138,195,137,230,254,166,117,236,100,205,118,189,128,180,284,226,141,208,290,162,171,0,182,249,157,263,235
rCIP,0,1,1,0,0,1,3,1,0,2,1,0,1,3,1,0,0,1,1,4,1,6,0,0,0,0,0,140,209,122,150,243,126,80,121,157,124,104,210,143,112,196,224,148,217,172,75,105,0,191,216,215,254,267
