,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors
dataset,a1,a2,a3,aggregation,compound,d31,data1,data2,data3,data4,data5,data6,data7,dense,flame,fuzzyx,jain,line,lsun,mk1,mk2,parabolic,pathbased,r15,ring,ring_noisy,ring_outliers,s1,s2,s3,s4,smile,spiral,target,trajectories,twodiamonds,unbalance,wingnut,x1,x2,x3,zigzag,zigzag_noisy,zigzag_outliers,a1,a2,a3,aggregation,compound,d31,data1,data2,data3,data4,data5,data6,data7,dense,flame,fuzzyx,jain,line,lsun,mk1,mk2,parabolic,pathbased,r15,ring,ring_noisy,ring_outliers,s1,s2,s3,s4,smile,spiral,target,trajectories,twodiamonds,unbalance,wingnut,x1,x2,x3,zigzag,zigzag_noisy,zigzag_outliers
COP,2,3,3,1,1,3,5,2,6,2,2,1,1,0,1,1,0,2,2,1,0,0,0,1,1,1,0,3,1,5,1,0,2,2,0,0,2,1,1,0,1,1,0,1,58,38,25,113,205,31,10,66,0,71,56,141,117,121,156,125,125,83,9,88,196,164,113,61,145,177,306,68,26,1,81,138,162,141,128,146,44,66,78,76,113,86,90,114
Sym,0,1,1,2,2,0,6,3,6,2,6,1,1,0,1,0,1,2,4,2,0,0,1,4,2,0,2,4,1,0,1,0,1,1,1,5,6,1,6,1,0,3,1,1,70,36,119,68,75,75,0,51,0,112,0,113,146,94,135,135,114,71,22,38,188,169,130,19,108,174,104,19,50,75,149,107,216,157,76,33,0,142,0,94,93,27,97,70
CS,0,0,0,2,2,1,6,1,6,1,3,2,1,2,0,0,0,2,1,1,1,1,1,2,1,0,1,1,0,3,2,2,2,1,2,0,3,0,5,2,0,0,0,1,141,114,136,96,125,123,0,96,0,186,65,81,158,70,174,188,106,102,128,78,143,119,132,120,114,181,181,30,88,64,79,71,150,143,36,172,107,136,2,121,145,144,236,162
SF,0,1,0,0,1,0,6,4,6,1,4,3,1,4,0,0,1,1,0,1,0,1,1,1,2,1,0,2,0,0,0,0,0,2,4,2,4,0,6,0,1,0,0,0,144,159,223,118,157,155,0,71,0,146,72,37,88,46,108,177,83,89,134,77,184,62,104,141,62,113,126,46,137,160,155,112,232,63,11,31,38,134,0,131,126,93,243,162
SD,1,1,1,2,0,1,2,0,2,0,0,1,1,0,1,0,0,2,2,0,1,0,0,0,2,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,71,46,32,84,207,46,98,137,100,151,133,145,145,169,142,172,137,106,99,141,123,176,100,117,109,139,170,94,71,68,90,139,157,212,130,176,87,151,96,68,110,120,129,154
SDbw,0,1,3,1,1,1,6,3,6,0,3,1,1,1,1,0,1,1,2,2,1,0,0,1,2,1,0,2,1,1,1,0,1,1,0,0,1,0,5,1,1,1,0,1,72,64,7,93,125,54,0,71,0,187,56,146,121,79,154,181,89,127,104,63,124,169,110,99,103,147,226,34,52,84,136,157,169,245,116,140,112,137,5,78,128,134,137,198
XB*,1,1,2,1,1,1,6,4,6,1,2,3,1,1,0,0,2,1,1,2,0,1,1,2,1,0,0,2,0,1,0,1,0,1,2,4,1,0,6,2,0,0,0,1,110,149,96,110,130,116,0,79,0,131,66,28,142,53,179,164,77,120,110,77,144,37,156,97,124,199,263,56,56,104,154,89,182,201,70,36,117,123,0,147,199,150,238,199
S,2,4,3,0,2,5,6,5,6,2,4,3,2,4,0,0,2,2,0,3,0,1,1,3,2,0,0,4,4,3,1,1,2,1,3,6,5,1,6,0,1,1,0,1,19,25,64,86,136,12,0,28,0,114,17,44,124,24,141,147,81,81,108,25,140,48,141,30,83,127,235,5,21,59,32,144,155,162,28,0,12,75,0,126,143,172,177,210
DB,2,1,2,0,1,1,6,1,6,1,3,3,1,1,1,1,2,2,1,2,1,1,1,2,2,0,0,2,3,2,2,2,1,1,5,0,4,0,6,2,0,0,0,1,53,47,91,85,145,104,0,126,0,156,58,93,147,54,182,173,100,77,98,69,142,97,145,92,107,181,282,28,58,43,68,57,183,208,2,157,35,132,0,108,89,163,239,197
CH,1,2,2,1,1,3,6,6,6,2,5,3,1,2,0,0,1,2,2,4,1,1,0,4,2,0,1,4,3,2,0,2,2,1,2,2,6,2,6,0,0,0,0,1,70,23,47,118,145,27,0,0,0,115,10,60,144,69,146,143,124,98,75,24,90,40,160,32,108,137,216,9,22,65,47,61,145,214,87,40,0,61,0,98,86,171,165,199
ED-S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,380,377,343,347,380,346,386,346,328,347,276,266,254,283,319,238,260,297,304,242,246,290,350,263,298,366,381,384,377,379,376,289,362,388,240,429,240,302,266,338,308,345,357
ED-DB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,380,377,343,347,380,346,386,346,328,347,276,266,254,283,319,238,260,297,304,242,246,290,350,263,298,366,381,384,377,379,376,289,362,388,240,429,240,302,266,338,308,345,357
ED-CH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,380,377,343,347,380,346,386,346,328,347,276,266,254,283,319,238,260,297,304,242,246,290,350,263,298,366,381,384,377,379,376,289,362,388,240,429,240,302,266,338,308,345,357
AD-S,0,3,1,1,3,1,6,1,6,4,0,4,5,1,1,0,2,5,4,5,0,0,1,1,5,1,4,4,4,2,1,0,4,3,6,2,5,4,6,0,1,4,1,3,97,24,47,85,71,91,0,89,0,30,95,47,5,49,136,171,30,23,19,6,51,173,90,87,5,108,40,13,26,40,71,127,56,109,0,13,3,63,0,182,138,35,49,43
AD-DB,0,2,1,1,2,1,6,1,6,2,0,5,4,2,1,0,0,5,3,2,1,1,0,1,5,1,4,3,1,0,0,0,3,4,6,1,3,2,2,1,1,4,1,2,137,75,105,99,87,112,0,131,0,77,110,9,26,65,120,202,87,4,51,61,86,119,114,130,36,99,55,32,96,108,132,151,72,24,0,41,60,43,34,108,82,66,67,65
AD-CH,1,0,0,0,2,0,6,3,6,3,4,5,5,4,2,0,2,5,1,1,1,2,0,2,6,3,1,3,0,0,1,2,3,3,5,3,6,2,2,1,0,3,0,3,108,145,215,114,117,153,0,45,0,56,49,18,3,6,96,124,33,1,57,68,95,35,153,57,0,14,82,15,159,142,122,61,72,22,2,6,0,91,19,114,144,57,210,40
AD-idea,1,2,0,3,3,2,5,1,5,2,3,3,4,2,0,0,0,3,2,3,0,0,1,2,4,1,3,2,1,2,2,0,5,2,4,1,3,2,6,2,1,4,1,2,45,16,39,45,58,22,4,76,3,48,18,54,11,71,122,150,92,29,43,23,55,153,83,25,17,67,45,10,36,29,71,145,54,123,13,66,37,80,0,20,96,27,51,71
